600004 白云机场 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/04/28	1.47	2.08	1.46	2.07	187469932	1512258176.00
2003/04/29	1.93	2.05	1.79	1.92	75212876	635863424.00
2003/04/30	1.95	2.27	1.95	2.13	80122500	710063488.00
2003/05/12	2.04	2.14	1.81	2.03	36122300	308806272.00
2003/05/13	2.01	2.02	1.64	1.69	39277696	325715936.00
2003/05/14	1.64	1.92	1.59	1.84	30387370	253425344.00
2003/05/15	1.83	1.98	1.73	1.95	28183918	236834464.00
2003/05/16	1.95	2.03	1.84	1.96	36065125	307204544.00
2003/05/19	1.98	2.20	1.98	2.07	46250444	407544256.00
2003/05/20	2.07	2.12	1.95	2.03	17067564	147727680.00
2003/05/21	2.03	2.08	1.94	1.98	12859547	110939928.00
2003/05/22	1.97	2.05	1.93	2.01	10301282	88781120.00
2003/05/23	2.04	2.52	1.93	2.29	72926760	670902016.00
2003/05/26	2.27	2.45	2.27	2.30	46718180	431132448.00
2003/05/27	2.33	2.38	2.25	2.30	20188005	184901456.00
2003/05/28	2.33	2.38	2.20	2.23	33183174	302104864.00
2003/05/29	2.23	2.43	2.19	2.42	23025540	210900160.00
2003/05/30	2.44	2.52	2.33	2.35	26011735	244128624.00
2003/06/02	2.36	2.49	2.33	2.38	21582098	201804928.00
2003/06/03	2.39	2.43	2.31	2.32	13226726	122447232.00
2003/06/04	2.31	2.39	2.26	2.37	12237084	112488208.00
2003/06/05	2.34	2.38	2.27	2.30	12108703	110737200.00
2003/06/06	2.27	2.38	2.26	2.31	9715878	88911856.00
2003/06/09	2.27	2.33	2.26	2.29	6946622	63322600.00
2003/06/10	2.29	2.44	2.28	2.38	16954572	157420720.00
2003/06/11	2.39	2.49	2.37	2.45	13992361	131429944.00
2003/06/12	2.47	2.48	2.38	2.40	8916546	83354480.00
2003/06/13	2.42	2.48	2.38	2.40	6677204	62495500.00
2003/06/16	2.40	2.44	2.31	2.37	6645891	61435524.00
2003/06/17	2.34	2.37	2.30	2.33	5069464	46610784.00
2003/06/18	2.33	2.40	2.29	2.30	6074105	55781136.00
2003/06/19	2.29	2.33	2.22	2.26	6532675	59409928.00
2003/06/20	2.39	2.39	2.23	2.26	5142300	46895164.00
2003/06/23	2.25	2.29	2.19	2.24	6939561	62547672.00
2003/06/24	2.23	2.27	2.20	2.24	3128626	28250536.00
2003/06/25	2.27	2.27	2.03	2.04	19463165	171431600.00
2003/06/27	2.10	2.17	2.00	2.05	11451907	100730064.00
2003/06/30	2.04	2.12	2.01	2.04	4754370	41484932.00
2003/07/01	2.04	2.14	2.03	2.05	4670093	40975088.00
