600006 东风汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/07/27	1.29	1.30	1.05	1.07	107249700	734412608.00
1999/07/28	1.07	1.18	1.07	1.13	32242300	220726144.00
1999/07/29	1.21	1.21	1.09	1.11	13575900	92844624.00
1999/07/30	1.11	1.14	1.08	1.09	7753200	52278576.00
1999/08/02	1.09	1.14	1.09	1.10	6593000	44700788.00
1999/08/03	1.11	1.11	1.05	1.07	9514900	63470828.00
1999/08/04	1.07	1.11	1.06	1.09	8469400	56958080.00
1999/08/05	1.10	1.18	1.09	1.15	14603500	100529352.00
1999/08/06	1.15	1.21	1.07	1.18	14542600	99815040.00
1999/08/09	1.18	1.21	1.14	1.16	10283800	71431960.00
1999/08/10	1.15	1.20	1.11	1.12	6168800	42527164.00
1999/08/11	1.11	1.12	1.07	1.07	4005600	26993908.00
1999/08/12	1.07	1.11	1.07	1.08	2367300	15903073.00
1999/08/13	1.09	1.13	1.09	1.11	2820200	19155122.00
1999/08/16	1.11	1.12	1.07	1.10	1864500	12594117.00
1999/08/17	1.11	1.15	1.09	1.10	3666200	24966820.00
1999/08/18	1.11	1.11	1.05	1.10	2824700	18905448.00
1999/08/19	1.17	1.17	1.12	1.14	7660700	52617520.00
1999/08/20	1.15	1.16	1.09	1.10	5523700	37813960.00
1999/08/23	1.10	1.12	1.08	1.10	3280100	22227296.00
1999/08/24	1.11	1.15	1.11	1.11	4586300	31246366.00
1999/08/25	1.12	1.17	1.11	1.13	7471100	51272476.00
1999/08/26	1.13	1.24	1.12	1.21	17541100	123073840.00
1999/08/27	1.22	1.23	1.18	1.18	7491900	52548724.00
1999/08/30	1.19	1.20	1.17	1.17	4711800	32907250.00
1999/08/31	1.18	1.20	1.16	1.19	4594100	32023584.00
1999/09/01	1.19	1.19	1.11	1.12	2762300	19051146.00
1999/09/02	1.11	1.17	1.11	1.15	3167000	21736048.00
1999/09/03	1.15	1.16	1.07	1.09	2259700	15392321.00
1999/09/06	1.09	1.13	1.07	1.09	1581200	10716037.00
1999/09/07	1.10	1.14	1.08	1.10	1491400	10096081.00
1999/09/08	1.11	1.14	1.10	1.11	1402600	9565830.00
1999/09/09	1.15	1.23	1.14	1.23	15861100	111593920.00
1999/09/10	1.25	1.37	1.22	1.27	24409400	177534960.00
1999/09/13	1.29	1.36	1.28	1.30	7229500	52918788.00
1999/09/14	1.31	1.33	1.23	1.26	6215600	44874080.00
1999/09/15	1.26	1.30	1.25	1.26	4761600	34319440.00
1999/09/16	1.26	1.29	1.24	1.25	2832400	20362044.00
1999/09/17	1.25	1.30	1.23	1.26	4095700	29471284.00
1999/09/20	1.26	1.27	1.18	1.19	3510200	24833710.00
1999/09/21	1.18	1.21	1.15	1.17	2537000	17667208.00
1999/09/22	1.17	1.18	1.15	1.17	1542100	10705097.00
