600007 中国国贸 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/03/12	0.66	0.75	0.51	0.54	55675300	329260320.00
1999/03/15	0.52	0.62	0.42	0.57	14449600	84195928.00
1999/03/16	0.58	1.03	0.52	0.93	33196100	207144592.00
1999/03/17	0.94	1.05	0.90	0.93	23754800	151684672.00
1999/03/18	0.95	1.03	0.81	0.87	13184000	83092400.00
1999/03/19	0.86	1.21	0.77	1.16	20101300	129390344.00
1999/03/22	1.19	1.26	1.09	1.17	19180800	127824472.00
1999/03/23	1.17	1.18	1.04	1.15	7967900	52248480.00
1999/03/24	1.15	1.21	1.06	1.12	6567600	43071752.00
1999/03/25	1.06	1.10	0.91	0.93	7339700	46904448.00
1999/03/26	0.91	0.98	0.87	0.95	4724100	29869372.00
1999/03/29	0.92	1.02	0.88	0.97	3720900	23630896.00
1999/03/30	0.96	0.97	0.80	0.83	4073900	25552532.00
1999/03/31	0.83	0.94	0.80	0.90	3191000	19937842.00
1999/04/01	0.91	0.91	0.82	0.85	2951800	18389296.00
1999/04/02	0.85	0.99	0.79	0.92	4146200	26131786.00
1999/04/05	0.95	1.13	0.91	1.06	5893700	38085344.00
1999/04/06	1.07	1.11	0.98	1.02	3529900	22835236.00
1999/04/07	1.02	1.07	0.95	0.99	3295400	21190360.00
1999/04/08	0.99	1.12	0.95	0.99	4093400	26397416.00
1999/04/09	0.99	1.04	0.90	0.93	3771500	24075132.00
1999/04/12	0.96	1.10	0.87	1.00	6142300	39318360.00
1999/04/13	1.00	1.44	0.99	1.19	19159100	129670864.00
1999/04/14	1.19	1.25	1.11	1.15	4653400	30871196.00
1999/04/15	1.20	1.46	1.16	1.35	17080800	116776200.00
1999/04/16	1.38	1.50	1.30	1.41	14930200	103441128.00
1999/04/19	1.42	1.43	1.14	1.20	9103400	61615800.00
1999/04/20	1.19	1.28	1.12	1.27	5309800	35320288.00
1999/04/21	1.27	1.28	1.01	1.04	5455000	35887608.00
1999/04/22	0.98	1.07	0.89	0.96	5061100	32428122.00
1999/04/23	0.98	1.06	0.94	1.01	2727600	17518760.00
1999/04/26	1.01	1.01	0.82	0.83	3934600	24773504.00
1999/04/27	0.82	1.09	0.78	0.89	2820800	17760112.00
1999/04/28	0.89	1.03	0.83	0.88	1898300	12003128.00
1999/04/29	0.88	1.00	0.83	0.95	1595400	10122223.00
1999/04/30	0.96	0.99	0.87	0.94	1651600	10467811.00
1999/05/04	0.90	0.96	0.86	0.87	1124100	7086643.00
1999/05/05	0.87	0.96	0.87	0.93	1098600	6937606.00
1999/05/06	0.94	1.06	0.92	0.97	1443700	9255699.00
1999/05/07	0.97	0.99	0.80	0.84	3388000	21207354.00
1999/05/10	0.78	0.79	0.58	0.61	4695800	28259332.00
1999/05/11	0.61	0.78	0.61	0.70	1729100	10407402.00
1999/05/13	0.70	0.71	0.53	0.56	2169600	12781107.00
1999/05/14	0.56	0.57	0.34	0.38	3870500	22037068.00
1999/05/17	0.35	0.46	0.24	0.35	1649700	9216377.00
1999/05/18	0.34	0.59	0.34	0.43	3212200	18709316.00
1999/05/19	0.44	0.63	0.39	0.62	2774300	16275083.00
1999/05/20	0.66	0.73	0.55	0.72	4192800	25133002.00
1999/05/21	0.74	0.78	0.60	0.68	4859900	29256212.00
1999/05/24	0.68	0.96	0.55	0.89	7178000	44261400.00
1999/05/25	0.95	1.05	0.67	0.71	6636800	41735208.00
1999/05/26	0.71	0.82	0.67	0.78	4244100	25863864.00
1999/05/27	0.83	1.26	0.83	1.12	13152300	85915432.00
1999/05/28	1.16	1.42	1.03	1.09	13123000	88048584.00
1999/05/31	1.14	1.35	1.06	1.15	12085800	80843800.00
1999/06/01	1.23	1.27	1.05	1.20	6205200	40976040.00
1999/06/02	1.27	1.62	1.26	1.34	19353800	134958448.00
1999/06/03	1.30	1.37	1.06	1.08	6422000	42885096.00
1999/06/04	1.06	1.17	1.02	1.08	4649900	30261088.00
1999/06/07	1.08	1.22	0.96	1.19	6321500	41180560.00
1999/06/08	1.23	1.42	1.07	1.12	7383800	49732904.00
1999/06/09	1.12	1.34	1.12	1.27	5796700	38895944.00
1999/06/10	1.39	1.82	1.29	1.78	37466000	269140928.00
1999/06/11	1.74	1.80	1.55	1.63	14877500	107672480.00
1999/06/14	1.74	1.98	1.64	1.92	14475000	108512272.00
1999/06/15	2.14	2.45	1.74	1.92	30650600	245269680.00
1999/06/16	2.11	2.53	2.11	2.53	22050900	177889136.00
1999/06/17	2.82	3.19	2.70	3.19	28281700	253514432.00
1999/06/18	3.26	3.30	2.96	3.07	16407100	148099808.00
1999/06/21	3.07	3.30	2.82	3.06	14470000	129563840.00
1999/06/22	3.06	3.18	2.90	3.17	8607200	77559712.00
1999/06/23	3.17	3.62	3.04	3.35	10572300	98556816.00
1999/06/24	3.22	3.46	3.06	3.20	9448400	86484376.00
1999/06/25	3.20	3.44	2.98	2.98	19712500	179051792.00
1999/06/28	2.99	3.69	2.98	3.69	15875400	147638928.00
