600011 华能国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/12/06	0.85	1.15	0.85	0.98	123438100	1684639232.00
2001/12/07	0.97	1.00	0.75	0.78	21226600	284941984.00
2001/12/10	0.74	0.84	0.64	0.80	11154100	145102144.00
2001/12/11	0.77	0.85	0.72	0.72	5654100	74127608.00
2001/12/12	0.70	1.02	0.68	0.91	18886100	254419520.00
2001/12/13	0.90	0.96	0.84	0.88	5719600	76988192.00
2001/12/14	0.86	0.96	0.84	0.85	3588100	48141408.00
2001/12/17	0.89	0.95	0.85	0.85	2935500	39365224.00
2001/12/18	0.85	0.88	0.70	0.80	7393500	96591648.00
2001/12/19	0.80	0.83	0.71	0.73	3267700	42651832.00
2001/12/20	0.70	0.70	0.52	0.54	7445700	93776200.00
2001/12/21	0.50	0.57	0.46	0.55	3083400	38183000.00
2001/12/24	0.50	0.54	0.39	0.45	4534200	55657808.00
2001/12/25	0.46	0.57	0.42	0.51	3351600	41584044.00
2001/12/26	0.47	0.64	0.47	0.54	3566700	44719248.00
2001/12/27	0.57	0.63	0.53	0.54	3720900	46725484.00
2001/12/28	0.54	0.57	0.48	0.55	2142800	26678028.00
2001/12/31	0.57	0.63	0.55	0.57	2109900	26631836.00
2002/01/04	0.57	0.57	0.41	0.43	1922100	23600214.00
2002/01/07	0.43	0.47	0.38	0.45	1328200	16136023.00
2002/01/08	0.45	0.49	0.40	0.41	1042400	12783145.00
2002/01/09	0.39	0.42	0.27	0.31	2066700	24735268.00
2002/01/10	0.27	0.42	0.16	0.39	3313700	38863524.00
2002/01/11	0.37	0.37	0.16	0.17	2739000	32258152.00
2002/01/14	0.12	0.16	0.04	0.07	2764000	31313460.00
2002/01/15	0.03	0.27	0.03	0.10	3424400	39158236.00
2002/01/16	0.10	0.24	0.03	0.19	2830200	32501508.00
2002/01/17	0.17	0.20	0.07	0.10	2558600	29213158.00
2002/01/18	0.06	0.35	0.03	0.20	5675100	66055248.00
2002/01/21	0.23	0.29	0.15	0.22	3142800	36496712.00
2002/01/22	0.20	0.35	0.18	0.26	3163300	37246384.00
2002/01/23	0.30	0.58	0.23	0.54	6359300	77314680.00
2002/01/24	0.54	0.68	0.36	0.55	9668600	121114944.00
2002/01/25	0.55	0.57	0.49	0.50	3145000	39162760.00
2002/01/28	0.47	0.50	0.15	0.16	5566400	66214120.00
2002/01/29	0.04	0.31	0.04	0.29	2695600	31564416.00
2002/01/30	0.27	0.33	0.23	0.25	1632500	19295664.00
2002/01/31	0.31	0.66	0.31	0.51	7924500	98754192.00
