600012 皖通高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/01/07	-0.65	-0.32	-0.73	-0.54	148778282	649435008.00
2003/01/08	-0.59	-0.18	-0.63	-0.18	69001550	306829504.00
2003/01/09	-0.04	0.22	-0.14	0.22	128392519	661450112.00
2003/01/10	0.22	0.64	0.15	0.25	110100169	598121472.00
2003/01/13	0.18	0.32	0.02	0.13	52827777	273708064.00
2003/01/14	0.13	0.47	0.06	0.27	80150160	425395584.00
2003/01/15	0.25	0.42	0.17	0.33	56097108	300671648.00
2003/01/16	0.39	0.55	0.32	0.39	42443065	231578096.00
2003/01/17	0.41	0.42	0.22	0.23	26191152	139620880.00
2003/01/20	0.18	0.35	0.16	0.27	20419468	107891000.00
2003/01/21	0.27	0.28	0.10	0.10	18944697	98065896.00
2003/01/22	0.06	0.14	0.05	0.08	12304737	62722896.00
2003/01/23	0.11	0.20	0.08	0.12	11612541	59745620.00
2003/01/24	0.12	0.37	0.12	0.28	28350937	150181696.00
2003/01/27	0.27	0.30	0.22	0.27	12178382	64457248.00
2003/01/28	0.27	0.31	0.18	0.27	10422162	54981472.00
2003/01/29	0.26	0.39	0.25	0.30	23489439	126773168.00
2003/02/10	0.29	0.30	0.22	0.22	6499302	34267968.00
2003/02/11	0.19	0.30	0.19	0.29	5783141	30576328.00
2003/02/12	0.27	0.63	0.24	0.43	30148437	167006576.00
2003/02/13	0.42	0.50	0.37	0.37	15849933	86958904.00
2003/02/14	0.36	0.50	0.35	0.42	11418300	62700560.00
2003/02/17	0.42	0.46	0.31	0.33	10469614	56642172.00
2003/02/18	0.32	0.40	0.29	0.34	6628586	35700276.00
2003/02/19	0.35	0.42	0.32	0.40	9984274	54360280.00
2003/02/20	0.41	0.45	0.36	0.37	6158662	33557404.00
2003/02/21	0.36	0.37	0.23	0.24	14023613	74537176.00
2003/02/24	0.23	0.28	0.22	0.25	5196442	27464992.00
2003/02/25	0.25	0.37	0.24	0.32	7290800	39122320.00
2003/02/26	0.32	0.37	0.29	0.30	4707379	25263140.00
2003/02/27	0.30	0.36	0.28	0.30	5433336	29126256.00
2003/02/28	0.30	0.33	0.24	0.27	4170738	22154508.00
2003/03/03	0.27	0.33	0.27	0.33	4444317	23738860.00
2003/03/04	0.33	0.40	0.30	0.33	7875323	42581644.00
2003/03/05	0.33	0.35	0.26	0.27	5455098	29057544.00
2003/03/06	0.27	0.29	0.17	0.18	7666327	40111760.00
2003/03/07	0.18	0.22	0.14	0.15	6222277	32298036.00
2003/03/10	0.15	0.18	0.06	0.06	6262881	31940436.00
2003/03/11	0.05	0.09	0.03	0.06	5027643	25410542.00
2003/03/12	0.04	0.08	-0.07	0.02	7746286	38432500.00
2003/03/13	0.01	0.04	-0.09	-0.08	5243700	25991402.00
2003/03/14	-0.08	-0.03	-0.09	-0.08	4641032	22772924.00
2003/03/17	-0.08	0.01	-0.10	-0.01	4625892	22782836.00
2003/03/18	-0.01	0.04	-0.07	-0.07	4760823	23668850.00
2003/03/19	-0.08	0.02	-0.12	-0.02	6407496	31522352.00
2003/03/20	-0.04	0.02	-0.04	-0.03	3411786	16948412.00
2003/03/21	0.00	0.03	-0.03	0.01	3116164	15553524.00
2003/03/24	0.03	0.04	-0.02	0.04	2477441	12386173.00
2003/03/25	0.02	0.02	-0.07	-0.07	3391026	16795420.00
2003/03/26	-0.08	-0.03	-0.11	-0.08	2062109	10074008.00
2003/03/27	-0.08	0.18	-0.11	0.09	12272994	62207408.00
2003/03/28	0.10	0.22	0.07	0.12	14161112	73212712.00
2003/03/31	0.09	0.27	0.09	0.23	14102340	74080016.00
2003/04/01	0.23	0.35	0.20	0.29	13723032	72815104.00
2003/04/02	0.30	0.34	0.25	0.28	6961452	37041236.00
2003/04/03	0.28	0.35	0.22	0.23	8180124	43400144.00
2003/04/04	0.19	0.28	0.19	0.27	4361659	23020248.00
2003/04/07	0.27	0.37	0.27	0.32	16852320	90782792.00
2003/04/08	0.31	0.47	0.29	0.43	22960417	125430752.00
2003/04/09	0.43	0.83	0.42	0.72	35149100	200080912.00
2003/04/10	0.71	0.81	0.56	0.62	27608368	160092256.00
2003/04/11	0.62	0.79	0.57	0.77	26327310	153441168.00
2003/04/14	0.81	1.04	0.77	0.87	27807208	168025088.00
2003/04/15	0.85	0.92	0.75	0.82	15747674	93900392.00
2003/04/16	0.82	0.88	0.60	0.65	22188264	129502464.00
2003/04/17	0.65	0.82	0.64	0.70	12253402	71636312.00
2003/04/18	0.69	0.75	0.51	0.53	9597034	54472512.00
2003/04/21	0.52	0.52	0.42	0.47	10258773	56556848.00
2003/04/22	0.47	0.52	0.44	0.47	3316995	18388604.00
2003/04/23	0.43	0.50	0.32	0.36	6621376	35939520.00
2003/04/24	0.42	0.42	0.10	0.17	9158166	47774356.00
2003/04/25	0.17	0.22	0.12	0.16	5235675	27168546.00
2003/04/28	0.12	0.51	0.07	0.42	9470896	50441732.00
2003/04/29	0.37	0.38	0.25	0.25	7541600	40359328.00
2003/04/30	0.25	0.39	0.22	0.31	5077100	27187560.00
2003/05/12	0.27	0.33	0.18	0.27	5344100	28248288.00
2003/05/13	0.27	0.31	0.00	0.07	13671033	69535728.00
2003/05/14	0.07	0.18	0.02	0.15	4575052	23439736.00
2003/05/15	0.17	0.31	0.08	0.29	8538454	44890840.00
2003/05/16	0.29	0.41	0.25	0.37	11645115	62601856.00
2003/05/19	0.39	0.40	0.28	0.33	5404303	29062232.00
2003/05/20	0.31	0.33	0.27	0.31	4196219	22419488.00
2003/05/21	0.32	0.37	0.22	0.24	3407568	18154324.00
2003/05/22	0.24	0.26	0.15	0.25	2748946	14383815.00
2003/05/23	0.25	0.42	0.22	0.33	9186728	49543836.00
2003/05/26	0.37	0.78	0.36	0.78	60719512	352850112.00
2003/05/27	0.83	0.87	0.73	0.78	38293503	227494784.00
2003/05/28	0.78	0.78	0.57	0.58	20299058	116864176.00
2003/05/29	0.57	0.70	0.50	0.69	14454960	82221200.00
2003/05/30	0.68	0.77	0.62	0.63	13806949	80223088.00
2003/06/02	0.65	0.75	0.54	0.71	9216824	52989976.00
2003/06/03	0.71	0.73	0.59	0.62	5764918	33216876.00
2003/06/04	0.59	0.72	0.53	0.71	6576170	37627352.00
2003/06/05	0.72	0.76	0.58	0.60	8320051	48256916.00
2003/06/06	0.57	0.62	0.50	0.51	5776829	32633960.00
2003/06/09	0.48	0.57	0.43	0.44	5091879	28348080.00
2003/06/11	0.50	0.67	0.47	0.63	7691547	43877464.00
2003/06/12	0.64	0.77	0.60	0.70	10581725	61759712.00
2003/06/13	0.73	0.77	0.65	0.69	4644503	27042528.00
2003/06/16	0.70	0.72	0.62	0.72	2646673	15299241.00
2003/06/17	0.72	0.76	0.66	0.67	3588690	20952618.00
2003/06/18	0.68	0.91	0.68	0.80	17432654	104077488.00
2003/06/19	0.80	0.84	0.65	0.72	9676573	56618716.00
2003/06/20	0.69	0.72	0.62	0.62	5088200	29471768.00
2003/06/23	0.60	0.67	0.58	0.61	3375114	19324468.00
2003/06/24	0.62	0.84	0.60	0.79	10206236	59906072.00
2003/06/25	0.81	0.81	0.64	0.69	6190972	36101916.00
2003/06/26	0.67	0.78	0.58	0.77	7959014	46329144.00
2003/06/27	0.75	0.76	0.62	0.63	5905401	34205496.00
2003/06/30	0.62	0.68	0.57	0.59	4465155	25497292.00
2003/07/01	0.58	0.69	0.52	0.56	5384717	30749504.00
2003/07/02	0.56	0.64	0.50	0.63	4448453	25220872.00
2003/07/03	0.62	0.64	0.56	0.62	2376718	13562356.00
2003/07/04	0.62	0.68	0.57	0.68	3968107	22834754.00
2003/07/07	0.70	0.73	0.62	0.70	3478951	20215140.00
2003/07/08	0.72	0.79	0.71	0.72	5883315	34572168.00
2003/07/09	0.72	0.74	0.61	0.63	3850537	22174640.00
2003/07/10	0.62	0.84	0.61	0.78	13729900	80993976.00
2003/07/11	0.81	1.01	0.77	0.89	19967107	120574400.00
2003/07/14	0.88	0.97	0.87	0.90	7919775	47974192.00
2003/07/15	0.91	0.96	0.82	0.94	6901689	41620180.00
2003/07/16	0.94	1.05	0.92	1.02	13065441	80249120.00
2003/07/17	1.04	1.14	0.97	0.99	14597100	90915864.00
2003/07/18	0.99	1.03	0.82	0.83	13318200	80773424.00
2003/07/21	0.79	0.92	0.76	0.91	9811129	58605304.00
2003/07/22	0.94	0.99	0.82	0.95	5836450	35252672.00
2003/07/23	0.97	1.02	0.89	1.02	7438655	45534900.00
2003/07/24	1.02	1.12	0.97	0.99	12180763	75876144.00
2003/07/25	0.98	1.07	0.82	0.90	9879899	59793812.00
2003/07/28	0.87	0.93	0.84	0.87	4099606	24583028.00
2003/07/29	0.87	0.90	0.81	0.84	4122837	24583758.00
2003/07/30	0.82	0.87	0.78	0.83	2875437	17073908.00
2003/07/31	0.83	0.87	0.79	0.83	1867894	11127231.00
2003/08/01	0.83	0.94	0.81	0.91	4759290	28582920.00
2003/08/04	0.92	0.99	0.88	0.97	4944867	30114416.00
2003/08/05	0.99	0.99	0.92	0.93	2577606	15657446.00
