600015 华夏银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/09/12	-0.33	-0.29	-0.46	-0.44	480212288	3516635904.00
2003/09/15	-0.47	-0.40	-0.47	-0.41	95884884	687931072.00
2003/09/16	-0.37	-0.37	-0.43	-0.40	61922464	449853056.00
2003/09/17	-0.40	-0.39	-0.44	-0.43	36528096	263549904.00
2003/09/18	-0.44	-0.37	-0.44	-0.40	49335879	359097536.00
2003/09/19	-0.39	-0.38	-0.43	-0.40	32036592	232242240.00
2003/09/22	-0.40	-0.39	-0.43	-0.42	22624394	163131600.00
2003/09/23	-0.43	-0.36	-0.43	-0.37	72024640	527648384.00
2003/09/24	-0.37	-0.36	-0.39	-0.39	35390666	260142768.00
2003/09/25	-0.39	-0.38	-0.42	-0.41	24220907	176065728.00
2003/09/26	-0.41	-0.40	-0.43	-0.42	24739382	178919264.00
2003/09/29	-0.43	-0.42	-0.44	-0.43	24157056	173476080.00
2003/09/30	-0.44	-0.39	-0.47	-0.42	37613691	269491616.00
2003/10/08	-0.43	-0.40	-0.44	-0.43	10159077	73162248.00
2003/10/09	-0.43	-0.40	-0.44	-0.44	11537607	82936856.00
2003/10/10	-0.44	-0.37	-0.46	-0.39	49406364	358425248.00
2003/10/13	-0.39	-0.38	-0.42	-0.41	19934912	144968160.00
2003/10/14	-0.41	-0.40	-0.44	-0.43	15708662	113129896.00
2003/10/15	-0.43	-0.39	-0.45	-0.43	17325388	124757008.00
2003/10/17	-0.45	-0.42	-0.46	-0.44	15064521	107699848.00
2003/10/20	-0.44	-0.43	-0.47	-0.46	19442100	138249312.00
2003/10/21	-0.47	-0.45	-0.52	-0.50	38220838	267196000.00
2003/10/22	-0.51	-0.43	-0.52	-0.45	42126812	299329408.00
2003/10/23	-0.45	-0.43	-0.48	-0.47	27250361	194221408.00
2003/10/24	-0.47	-0.46	-0.50	-0.49	18730644	131496944.00
2003/10/27	-0.49	-0.48	-0.52	-0.51	11883767	82800736.00
2003/10/28	-0.51	-0.46	-0.52	-0.46	19707096	138458704.00
2003/10/29	-0.45	-0.43	-0.49	-0.44	44138957	314660416.00
2003/10/30	-0.44	-0.44	-0.47	-0.46	17258160	122804096.00
2003/10/31	-0.46	-0.42	-0.47	-0.44	26315223	188600064.00
2003/11/03	-0.43	-0.41	-0.45	-0.42	31486683	226870000.00
2003/11/04	-0.38	-0.31	-0.40	-0.36	66411705	468550144.00
2003/11/05	-0.36	-0.34	-0.37	-0.36	31386210	221772400.00
2003/11/06	-0.36	-0.34	-0.40	-0.39	30651432	214055936.00
2003/11/07	-0.39	-0.38	-0.45	-0.44	35784247	244948624.00
2003/11/10	-0.48	-0.44	-0.50	-0.46	23034872	154220784.00
2003/11/11	-0.46	-0.45	-0.49	-0.47	15175478	101667544.00
2003/11/12	-0.48	-0.48	-0.58	-0.58	30452082	197250192.00
2003/11/13	-0.58	-0.56	-0.60	-0.57	16544438	105910424.00
2003/11/14	-0.55	-0.51	-0.55	-0.54	17675293	115514424.00
2003/11/17	-0.54	-0.54	-0.57	-0.57	8777568	56634184.00
2003/11/18	-0.58	-0.57	-0.61	-0.61	12792903	81284960.00
