600016 民生银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/12/19	-1.38	-1.32	-1.46	-1.46	156352400	3058872064.00
2000/12/20	-1.46	-1.46	-1.50	-1.49	29046700	526016576.00
2000/12/21	-1.48	-1.46	-1.49	-1.49	11362900	206705744.00
2000/12/22	-1.49	-1.48	-1.51	-1.51	13026400	231272608.00
2000/12/25	-1.51	-1.51	-1.55	-1.54	10113100	174453024.00
2000/12/26	-1.54	-1.52	-1.54	-1.53	6539000	113179160.00
2000/12/27	-1.53	-1.53	-1.54	-1.54	6814000	116840536.00
2000/12/28	-1.54	-1.54	-1.55	-1.54	6921400	118199560.00
2000/12/29	-1.54	-1.53	-1.54	-1.53	3985200	68457752.00
2001/01/02	-1.53	-1.52	-1.54	-1.53	5440000	94143232.00
2001/01/03	-1.52	-1.52	-1.53	-1.53	4322300	74715216.00
2001/01/04	-1.53	-1.53	-1.54	-1.54	5205100	89541752.00
2001/01/05	-1.54	-1.54	-1.56	-1.55	9318500	157555680.00
2001/01/08	-1.55	-1.55	-1.57	-1.57	6452400	107107760.00
2001/01/09	-1.57	-1.54	-1.57	-1.55	5336400	89826848.00
2001/01/10	-1.54	-1.54	-1.56	-1.55	3901100	66339296.00
2001/01/11	-1.55	-1.51	-1.55	-1.53	13053900	228192672.00
2001/01/12	-1.53	-1.51	-1.54	-1.52	6113100	106765776.00
2001/01/15	-1.52	-1.52	-1.57	-1.56	7478100	127174472.00
2001/01/16	-1.56	-1.54	-1.57	-1.55	4824700	81394432.00
2001/01/17	-1.54	-1.52	-1.55	-1.54	3432900	59231396.00
2001/01/18	-1.54	-1.52	-1.54	-1.52	4883700	84924144.00
2001/01/19	-1.52	-1.51	-1.54	-1.52	6183600	108410904.00
2001/02/05	-1.51	-1.51	-1.55	-1.55	3121100	53615816.00
2001/02/06	-1.55	-1.55	-1.57	-1.55	2902100	48864616.00
2001/02/07	-1.55	-1.54	-1.56	-1.56	1293700	21839972.00
2001/02/08	-1.56	-1.55	-1.57	-1.57	3091100	51492744.00
2001/02/09	-1.57	-1.55	-1.57	-1.56	2211200	37064468.00
2001/02/12	-1.56	-1.54	-1.57	-1.55	2558200	43340392.00
2001/02/13	-1.54	-1.54	-1.56	-1.55	1146900	19476376.00
2001/02/14	-1.55	-1.55	-1.56	-1.56	1198400	20191834.00
2001/02/15	-1.56	-1.55	-1.57	-1.56	1250200	20906948.00
2001/02/16	-1.56	-1.56	-1.58	-1.57	3395500	56122872.00
2001/02/19	-1.58	-1.56	-1.58	-1.56	975900	16253685.00
2001/02/20	-1.55	-1.55	-1.57	-1.57	1738100	29093432.00
2001/02/21	-1.57	-1.57	-1.59	-1.59	3196200	52348616.00
2001/02/22	-1.59	-1.58	-1.60	-1.59	1694900	27521630.00
2001/02/23	-1.59	-1.57	-1.60	-1.57	1516800	24631630.00
2001/02/26	-1.57	-1.56	-1.58	-1.57	1771400	29424620.00
2001/02/27	-1.57	-1.56	-1.58	-1.57	1225600	20255998.00
2001/02/28	-1.57	-1.57	-1.58	-1.58	1346600	22138560.00
2001/03/01	-1.58	-1.56	-1.58	-1.58	1030100	16994048.00
2001/03/02	-1.57	-1.52	-1.58	-1.54	12850700	220527936.00
2001/03/05	-1.54	-1.53	-1.55	-1.55	4245500	72816192.00
2001/03/06	-1.55	-1.53	-1.56	-1.54	3646400	62317628.00
2001/03/07	-1.54	-1.52	-1.54	-1.53	6274800	109299384.00
2001/03/08	-1.53	-1.49	-1.53	-1.51	15669000	277433664.00
2001/03/09	-1.50	-1.50	-1.52	-1.51	5155000	90769744.00
2001/03/12	-1.51	-1.51	-1.53	-1.53	2329200	40631384.00
2001/03/13	-1.53	-1.52	-1.54	-1.54	3061500	52771152.00
2001/03/14	-1.54	-1.51	-1.54	-1.52	4752000	83491696.00
2001/03/15	-1.52	-1.52	-1.53	-1.53	2681900	46708412.00
2001/03/16	-1.53	-1.51	-1.54	-1.53	2577400	44755680.00
2001/03/19	-1.53	-1.53	-1.54	-1.53	2308100	39829376.00
2001/03/20	-1.53	-1.52	-1.53	-1.52	1674600	29082724.00
2001/03/21	-1.52	-1.49	-1.52	-1.50	9207900	163563744.00
2001/03/22	-1.50	-1.49	-1.50	-1.50	7989500	142600816.00
2001/03/23	-1.50	-1.50	-1.53	-1.53	5048200	88937144.00
2001/03/26	-1.53	-1.50	-1.53	-1.51	3847100	67998936.00
2001/03/27	-1.51	-1.50	-1.52	-1.51	2306000	40622708.00
2001/03/28	-1.51	-1.50	-1.51	-1.51	4105300	72528136.00
2001/03/29	-1.50	-1.47	-1.50	-1.49	12606800	228702944.00
2001/03/30	-1.49	-1.47	-1.49	-1.48	5821400	105771352.00
2001/04/02	-1.45	-1.44	-1.46	-1.45	15147800	283220128.00
2001/04/03	-1.45	-1.44	-1.46	-1.45	6876600	128292560.00
2001/04/04	-1.44	-1.43	-1.46	-1.46	13785000	260210304.00
2001/04/05	-1.46	-1.44	-1.46	-1.44	5124300	95928208.00
2001/04/06	-1.43	-1.43	-1.45	-1.44	3888500	73435664.00
2001/04/09	-1.44	-1.44	-1.45	-1.44	2970400	55840072.00
2001/04/10	-1.44	-1.42	-1.44	-1.43	6154400	117671032.00
2001/04/11	-1.42	-1.41	-1.43	-1.42	7283700	140281488.00
2001/04/12	-1.42	-1.42	-1.43	-1.43	5170200	99149208.00
2001/04/13	-1.43	-1.42	-1.45	-1.43	6018900	114123504.00
2001/04/16	-1.43	-1.43	-1.44	-1.43	5483100	104306512.00
2001/04/17	-1.43	-1.43	-1.44	-1.44	4005600	75651808.00
2001/04/18	-1.44	-1.44	-1.45	-1.44	4014700	75688456.00
2001/04/19	-1.44	-1.44	-1.46	-1.45	5351100	99842048.00
2001/04/20	-1.45	-1.43	-1.46	-1.46	4858600	91125688.00
2001/04/23	-1.47	-1.46	-1.48	-1.46	4179400	76915312.00
2001/04/24	-1.46	-1.45	-1.46	-1.46	2116200	39203856.00
2001/04/25	-1.46	-1.45	-1.49	-1.48	6572400	119565168.00
2001/04/26	-1.48	-1.47	-1.49	-1.48	2791500	50925536.00
2001/04/27	-1.48	-1.46	-1.48	-1.47	3071900	56699088.00
2001/04/30	-1.47	-1.45	-1.47	-1.46	3170700	58878348.00
2001/05/08	-1.46	-1.45	-1.46	-1.45	2115500	39491112.00
2001/05/09	-1.45	-1.43	-1.45	-1.44	3262100	61565036.00
2001/05/10	-1.44	-1.44	-1.45	-1.44	2426700	45853556.00
2001/05/11	-1.44	-1.44	-1.45	-1.45	2085600	39124076.00
2001/05/14	-1.43	-1.41	-1.44	-1.42	11813200	227296608.00
2001/05/15	-1.42	-1.41	-1.43	-1.43	5044800	97205872.00
2001/05/16	-1.42	-1.40	-1.42	-1.40	10833200	211189472.00
2001/05/17	-1.40	-1.40	-1.41	-1.41	6028600	117702776.00
2001/05/18	-1.41	-1.40	-1.41	-1.41	4259500	83019344.00
2001/05/21	-1.40	-1.38	-1.40	-1.38	12250000	244319808.00
2001/05/23	-1.41	-1.38	-1.41	-1.39	4595900	90707224.00
2001/05/24	-1.38	-1.36	-1.38	-1.37	6577600	132308800.00
2001/05/25	-1.37	-1.36	-1.39	-1.38	4299300	85713088.00
2001/05/28	-1.38	-1.37	-1.39	-1.39	3790000	75574904.00
2001/05/29	-1.39	-1.38	-1.39	-1.39	3972900	78969984.00
2001/05/30	-1.38	-1.37	-1.39	-1.37	7309200	146219376.00
2001/05/31	-1.36	-1.35	-1.37	-1.35	10565700	164464560.00
2001/06/01	-1.35	-1.30	-1.35	-1.31	16226500	260177744.00
2001/06/04	-1.30	-1.27	-1.32	-1.32	16045100	261957536.00
2001/06/05	-1.31	-1.30	-1.33	-1.32	7932200	127116400.00
2001/06/06	-1.32	-1.32	-1.34	-1.33	6922800	109736720.00
2001/06/07	-1.33	-1.32	-1.34	-1.32	4780800	75954328.00
