600017 日照港 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/10/17	1.74	1.87	1.72	1.78	135871584	883653632.00
2006/10/18	1.71	1.77	1.71	1.77	35204995	221936752.00
2006/10/19	1.76	1.81	1.73	1.80	23820658	153117648.00
2006/10/20	1.79	1.86	1.77	1.82	20758655	136073792.00
2006/10/23	1.83	1.84	1.77	1.79	11947248	77764752.00
2006/10/24	1.78	1.84	1.78	1.84	16668489	109537864.00
2006/10/25	1.85	2.06	1.84	1.96	30425669	212708496.00
2006/10/26	1.93	2.02	1.93	1.98	15182870	107304416.00
2006/10/27	1.98	2.02	1.92	2.01	10613842	74610992.00
2006/10/30	2.02	2.11	1.99	2.06	8959703	65241896.00
2006/10/31	2.07	2.09	2.02	2.04	6577864	47745008.00
2006/11/01	2.06	2.12	2.02	2.07	7738724	56320276.00
2006/11/02	2.04	2.10	1.97	2.03	7239612	52007088.00
2006/11/03	2.01	2.03	1.98	2.01	5024291	35627276.00
2006/11/06	1.98	2.03	1.98	2.00	5221901	37074968.00
2006/11/07	2.00	2.03	1.95	1.98	4437324	31319896.00
2006/11/08	1.98	2.05	1.97	2.03	5678177	40638416.00
2006/11/09	2.03	2.09	2.01	2.07	9034068	65694892.00
2006/11/10	2.07	2.09	1.95	1.99	6170501	44152032.00
2006/11/13	1.98	2.01	1.88	1.89	7923195	54400764.00
2006/11/14	1.89	1.92	1.82	1.90	7265779	48739064.00
2006/11/15	1.90	1.90	1.83	1.88	8120766	54444552.00
2006/11/16	1.88	1.89	1.80	1.82	10453585	69080960.00
2006/11/17	1.82	1.87	1.79	1.86	4411642	29215938.00
2006/11/20	1.85	1.87	1.82	1.86	5750187	38213332.00
2006/11/21	1.86	1.92	1.83	1.91	8134252	55154208.00
2006/11/22	1.91	1.97	1.89	1.91	8722987	60016592.00
2006/11/23	1.92	1.93	1.87	1.89	5897325	40083080.00
2006/11/24	1.88	1.91	1.85	1.88	4207949	28341440.00
2006/11/27	1.88	1.98	1.87	1.97	8495570	58541028.00
2006/11/28	1.96	1.97	1.89	1.92	6100386	41997336.00
2006/11/29	1.90	1.92	1.87	1.91	5435361	36795888.00
2006/11/30	1.90	1.96	1.89	1.94	9916889	68238912.00
2006/12/01	1.95	2.05	1.92	2.02	13798601	96846368.00
2006/12/04	2.01	2.07	2.00	2.05	12244614	88587184.00
2006/12/05	2.05	2.27	2.05	2.17	24468943	187806800.00
2006/12/06	2.13	2.18	2.02	2.12	21796000	161562032.00
2006/12/07	2.12	2.37	2.12	2.37	28572102	232228304.00
2006/12/08	2.37	2.45	2.18	2.19	35319815	283937248.00
2006/12/11	2.14	2.26	2.12	2.26	29584784	225933968.00
2006/12/12	2.23	2.23	2.07	2.15	23221967	175929248.00
2006/12/13	2.12	2.18	2.08	2.13	8400522	62722336.00
2006/12/14	2.13	2.14	2.07	2.12	10796736	80032912.00
2006/12/15	2.12	2.18	2.10	2.16	12538062	94566520.00
2006/12/18	2.17	2.19	2.12	2.19	14512476	109654016.00
2006/12/19	2.19	2.19	2.09	2.12	17416937	129755888.00
2006/12/20	2.11	2.15	2.08	2.15	10967866	81907824.00
2006/12/21	2.15	2.18	2.10	2.12	11192708	84172400.00
2006/12/22	2.11	2.14	2.08	2.10	6571798	48801824.00
2006/12/25	2.09	2.17	2.09	2.13	8738245	65239848.00
2006/12/26	2.13	2.17	2.10	2.11	8702435	65347592.00
2006/12/27	2.10	2.12	2.07	2.09	7853018	57828632.00
2006/12/28	2.09	2.10	1.97	1.99	11170348	80133368.00
2006/12/29	1.97	2.06	1.97	2.04	8818372	63292092.00
2007/01/04	2.02	2.10	2.01	2.05	11149103	81099232.00
2007/01/05	2.05	2.13	2.02	2.13	10252960	75020728.00
2007/01/08	2.14	2.26	2.13	2.23	17313022	132314424.00
2007/01/09	2.23	2.25	2.19	2.22	14989097	116384800.00
2007/01/10	2.21	2.30	2.17	2.30	18758888	146687920.00
2007/01/11	2.30	2.42	2.28	2.39	24321416	199580608.00
2007/01/12	2.41	2.42	2.19	2.26	23684053	191084384.00
2007/01/15	2.25	2.35	2.17	2.34	21227022	168892304.00
2007/01/16	2.42	2.49	2.34	2.46	36133560	300076000.00
2007/01/17	2.47	2.48	2.30	2.35	17031824	141136000.00
2007/01/18	2.30	2.33	2.20	2.33	24621805	194342272.00
2007/01/19	2.32	2.46	2.30	2.41	25434378	209246864.00
2007/01/22	2.42	2.68	2.38	2.68	52603386	458550496.00
2007/01/24	2.67	2.99	2.40	2.57	41458942	364580608.00
2007/01/25	2.56	2.68	2.47	2.51	40647334	361337152.00
