600018 上港集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/07/19	-0.50	-0.42	-0.53	-0.50	46958100	941085120.00
2000/07/20	-0.51	-0.46	-0.54	-0.53	8258600	165149984.00
2000/07/21	-0.53	-0.51	-0.58	-0.57	4882800	94463168.00
2000/07/24	-0.57	-0.53	-0.57	-0.56	3309000	64278724.00
2000/07/25	-0.55	-0.48	-0.57	-0.52	3695400	72830320.00
2000/07/26	-0.51	-0.51	-0.54	-0.52	1471900	28925050.00
2000/07/27	-0.52	-0.50	-0.54	-0.53	2368700	46730392.00
2000/07/28	-0.53	-0.50	-0.54	-0.54	1736000	34202148.00
2000/07/31	-0.53	-0.53	-0.56	-0.56	1883200	36442656.00
2000/08/01	-0.56	-0.53	-0.56	-0.55	1087200	21067064.00
2000/08/02	-0.54	-0.49	-0.55	-0.52	3281200	65189876.00
2000/08/03	-0.52	-0.50	-0.53	-0.52	1651300	32814360.00
2000/08/04	-0.52	-0.50	-0.53	-0.52	1398100	27697464.00
2000/08/07	-0.51	-0.46	-0.53	-0.47	3673300	74100224.00
2000/08/08	-0.47	-0.46	-0.51	-0.51	1925700	38647072.00
2000/08/09	-0.50	-0.48	-0.50	-0.50	1494600	29957816.00
2000/08/10	-0.49	-0.48	-0.52	-0.50	1579100	31521750.00
2000/08/11	-0.50	-0.49	-0.51	-0.50	1277800	25502284.00
2000/08/14	-0.50	-0.47	-0.51	-0.48	1993600	40234604.00
2000/08/15	-0.47	-0.44	-0.49	-0.45	3670300	75058208.00
2000/08/16	-0.45	-0.44	-0.47	-0.47	1696700	34675496.00
2000/08/17	-0.45	-0.42	-0.47	-0.44	3275500	67757544.00
2000/08/18	-0.43	-0.42	-0.46	-0.45	1782000	36745596.00
2000/08/21	-0.43	-0.42	-0.46	-0.45	2607100	53684604.00
2000/08/22	-0.41	-0.36	-0.44	-0.44	3535400	74204624.00
2000/08/23	-0.44	-0.26	-0.46	-0.32	10105300	215939328.00
2000/08/24	-0.32	-0.29	-0.34	-0.30	6281200	138801136.00
2000/08/25	-0.30	-0.28	-0.33	-0.29	2687600	59495692.00
2000/08/28	-0.29	-0.27	-0.31	-0.29	1821000	40462368.00
2000/08/29	-0.29	-0.21	-0.30	-0.23	3574800	81333032.00
2000/08/30	-0.22	-0.22	-0.28	-0.27	3615000	82428720.00
2000/08/31	-0.28	-0.28	-0.36	-0.35	4547100	99862592.00
2000/09/01	-0.38	-0.34	-0.38	-0.37	2540500	54638144.00
2000/09/04	-0.39	-0.32	-0.40	-0.34	2161400	46282336.00
2000/09/05	-0.33	-0.32	-0.41	-0.41	1782000	37963836.00
2000/09/06	-0.41	-0.37	-0.43	-0.39	2508400	52946296.00
2000/09/07	-0.38	-0.35	-0.40	-0.38	1106700	23535256.00
2000/09/08	-0.38	-0.36	-0.41	-0.38	847300	17995972.00
2000/09/11	-0.38	-0.36	-0.40	-0.36	628700	13426180.00
2000/09/12	-0.36	-0.36	-0.39	-0.38	566700	12088570.00
2000/09/13	-0.38	-0.34	-0.38	-0.37	1019800	21983652.00
2000/09/14	-0.37	-0.34	-0.37	-0.36	696200	14975419.00
2000/09/15	-0.36	-0.36	-0.40	-0.38	625200	13308000.00
2000/09/18	-0.38	-0.37	-0.44	-0.44	1066800	22305540.00
2000/09/19	-0.45	-0.45	-0.48	-0.48	1131300	22950136.00
2000/09/20	-0.45	-0.43	-0.50	-0.44	785000	16019958.00
2000/09/21	-0.44	-0.43	-0.48	-0.48	409900	8370492.00
2000/09/22	-0.48	-0.44	-0.49	-0.47	375900	7627345.00
2000/09/25	-0.46	-0.45	-0.49	-0.49	324800	6566731.00
2000/09/26	-0.48	-0.46	-0.49	-0.48	320900	6482742.00
2000/09/27	-0.47	-0.45	-0.48	-0.46	276300	5623924.00
2000/09/28	-0.46	-0.46	-0.48	-0.48	290400	5896993.00
2000/09/29	-0.46	-0.44	-0.48	-0.45	390900	8021056.00
2000/10/09	-0.45	-0.45	-0.49	-0.47	491500	9954896.00
2000/10/10	-0.47	-0.45	-0.48	-0.46	373500	7617219.00
2000/10/11	-0.44	-0.41	-0.46	-0.45	723800	14971300.00
2000/10/12	-0.44	-0.43	-0.47	-0.46	344600	7059874.00
2000/10/13	-0.47	-0.46	-0.48	-0.47	501800	10181627.00
2000/10/16	-0.48	-0.45	-0.48	-0.48	346400	7010690.00
2000/10/17	-0.48	-0.48	-0.49	-0.49	375600	7552049.00
2000/10/18	-0.48	-0.45	-0.48	-0.46	419300	8515505.00
2000/10/19	-0.46	-0.44	-0.47	-0.45	669000	13726177.00
2000/10/20	-0.45	-0.43	-0.46	-0.43	780800	16138091.00
2000/10/23	-0.42	-0.40	-0.44	-0.42	994900	20741728.00
2000/10/24	-0.42	-0.41	-0.44	-0.43	782800	16194122.00
2000/10/25	-0.42	-0.35	-0.42	-0.38	1916500	40714644.00
2000/10/26	-0.37	-0.36	-0.40	-0.39	950700	20223188.00
2000/10/27	-0.39	-0.37	-0.40	-0.39	660300	14004489.00
2000/10/30	-0.38	-0.32	-0.38	-0.34	1905000	41420952.00
2000/10/31	-0.33	-0.33	-0.41	-0.38	966900	20808864.00
