600019 宝钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/12/12	-1.18	0.79	-1.24	-0.25	312239700	1818469760.00
2000/12/13	-0.48	-0.37	-0.58	-0.57	96102000	554640640.00
2000/12/14	-0.59	-0.57	-0.73	-0.67	47045700	261534160.00
2000/12/15	-0.67	-0.61	-0.72	-0.71	16202200	90166640.00
2000/12/18	-0.71	-0.70	-0.92	-0.87	23154900	123828272.00
2000/12/19	-0.87	-0.78	-0.88	-0.86	11773900	63241080.00
2000/12/20	-0.86	-0.85	-0.93	-0.91	14936600	78994672.00
2000/12/21	-0.90	-0.79	-0.92	-0.85	13957900	74357136.00
2000/12/22	-0.85	-0.78	-0.86	-0.83	10208400	54985128.00
2000/12/25	-0.82	-0.78	-0.82	-0.82	10286100	55703040.00
2000/12/26	-0.82	-0.80	-0.90	-0.88	9146500	48731828.00
2000/12/27	-0.87	-0.84	-0.90	-0.87	5563100	29663142.00
2000/12/28	-0.87	-0.81	-0.90	-0.83	9737300	51996844.00
2000/12/29	-0.82	-0.79	-0.83	-0.80	6507700	35241328.00
2001/01/02	-0.78	-0.66	-0.78	-0.66	14936800	82921312.00
2001/01/03	-0.65	-0.49	-0.65	-0.55	22813200	129938032.00
2001/01/04	-0.55	-0.54	-0.65	-0.64	13037400	73829328.00
2001/01/05	-0.64	-0.64	-0.69	-0.67	7416900	41325808.00
2001/01/08	-0.67	-0.44	-0.70	-0.48	21305500	121900856.00
2001/01/09	-0.48	-0.42	-0.53	-0.49	16940400	98473936.00
2001/01/10	-0.49	-0.43	-0.49	-0.48	12634000	73725992.00
2001/01/11	-0.48	-0.43	-0.53	-0.45	16139700	94064312.00
2001/01/12	-0.44	-0.28	-0.44	-0.31	30834200	184560848.00
2001/01/15	-0.28	-0.26	-0.48	-0.45	22659300	135536608.00
2001/01/16	-0.51	-0.12	-0.53	-0.16	33215100	201993888.00
2001/01/17	-0.14	-0.10	-0.23	-0.16	19864200	123491448.00
2001/01/18	-0.16	0.04	-0.16	0.00	31558100	201448736.00
2001/01/19	0.04	0.08	-0.01	0.04	32646400	210730688.00
2001/02/05	0.04	0.08	-0.18	-0.16	23212500	146457312.00
2001/02/06	-0.18	0.04	-0.32	0.00	21869700	135194368.00
2001/02/07	0.00	0.05	-0.09	-0.06	13958400	89228264.00
2001/02/08	-0.08	-0.02	-0.23	-0.19	10594100	65978592.00
2001/02/09	-0.19	-0.08	-0.26	-0.17	10897000	67287680.00
2001/02/12	-0.17	-0.12	-0.28	-0.16	7076300	43533444.00
2001/02/13	-0.16	-0.10	-0.18	-0.12	6589300	40988336.00
2001/02/14	-0.13	-0.13	-0.22	-0.19	4401100	27220078.00
2001/02/15	-0.19	-0.14	-0.25	-0.23	5212500	31990820.00
2001/02/16	-0.24	-0.23	-0.28	-0.23	6867100	41831424.00
2001/02/19	-0.22	-0.17	-0.27	-0.18	4680200	28654398.00
2001/02/20	-0.19	-0.13	-0.23	-0.17	5368800	33204318.00
2001/02/21	-0.19	-0.19	-0.28	-0.26	7293400	44396680.00
2001/02/22	-0.28	-0.23	-0.31	-0.26	3736800	22705294.00
2001/02/23	-0.26	-0.10	-0.28	-0.12	8953600	55408948.00
2001/02/26	-0.14	-0.11	-0.23	-0.20	14518300	89715744.00
2001/02/27	-0.24	-0.23	-0.40	-0.37	33415000	199896752.00
2001/03/01	-0.34	-0.34	-0.86	-0.71	375817900	2050733056.00
2001/03/02	-0.74	-0.61	-0.77	-0.63	115400600	644475840.00
2001/03/05	-0.62	-0.60	-0.69	-0.66	36705400	205314352.00
2001/03/06	-0.66	-0.64	-0.69	-0.64	24376500	136396752.00
2001/03/07	-0.64	-0.64	-0.67	-0.66	22946100	128380088.00
2001/03/08	-0.66	-0.65	-0.73	-0.69	31134700	172397184.00
2001/03/09	-0.69	-0.69	-0.76	-0.74	44409600	244237472.00
2001/03/12	-0.74	-0.69	-0.77	-0.72	20664100	113661384.00
2001/03/13	-0.71	-0.69	-0.75	-0.72	10990700	60611292.00
2001/03/14	-0.73	-0.67	-0.73	-0.68	11478200	63727904.00
2001/03/15	-0.69	-0.62	-0.69	-0.67	15846500	88494240.00
2001/03/16	-0.67	-0.66	-0.70	-0.69	12195500	67801752.00
2001/03/19	-0.69	-0.69	-0.74	-0.70	14436800	79572792.00
2001/03/20	-0.70	-0.68	-0.73	-0.72	16533600	91394952.00
2001/03/21	-0.72	-0.62	-0.72	-0.63	35628400	199041680.00
2001/03/22	-0.61	-0.45	-0.62	-0.49	77081600	445346560.00
2001/03/23	-0.48	-0.46	-0.60	-0.59	36374000	208826128.00
2001/03/26	-0.60	-0.53	-0.61	-0.55	23440300	133626208.00
2001/03/27	-0.55	-0.53	-0.60	-0.58	17943100	102150912.00
2001/03/28	-0.58	-0.57	-0.61	-0.60	17267100	97955528.00
2001/03/29	-0.65	-0.60	-0.65	-0.62	20792300	117183152.00
2001/03/30	-0.62	-0.56	-0.62	-0.57	14674700	83371008.00
2001/04/02	-0.56	-0.55	-0.59	-0.56	13829300	78797088.00
2001/04/03	-0.56	-0.55	-0.59	-0.57	11698300	66629740.00
2001/04/04	-0.57	-0.48	-0.59	-0.58	29237300	167569264.00
2001/04/05	-0.59	-0.52	-0.60	-0.53	11847300	67684800.00
2001/04/06	-0.52	-0.50	-0.58	-0.56	8826100	50558216.00
2001/04/09	-0.56	-0.55	-0.60	-0.57	9416500	53560648.00
2001/04/10	-0.57	-0.55	-0.59	-0.56	8158200	46492648.00
2001/04/11	-0.56	-0.55	-0.62	-0.60	16358400	92686408.00
2001/04/12	-0.60	-0.60	-0.66	-0.64	23737200	133462264.00
2001/04/13	-0.64	-0.62	-0.68	-0.63	12266600	68778328.00
2001/04/16	-0.63	-0.62	-0.66	-0.64	13586200	76157552.00
2001/04/17	-0.64	-0.63	-0.66	-0.64	16153400	90533856.00
2001/04/18	-0.64	-0.64	-0.68	-0.67	16606400	92807496.00
2001/04/19	-0.66	-0.64	-0.69	-0.68	13658100	76189368.00
2001/04/20	-0.68	-0.68	-0.72	-0.72	19524000	108054216.00
2001/04/23	-0.72	-0.72	-0.78	-0.77	28270600	154612784.00
2001/04/24	-0.77	-0.72	-0.78	-0.73	12555700	68869880.00
2001/04/25	-0.73	-0.71	-0.84	-0.81	25143600	136508192.00
2001/04/26	-0.82	-0.79	-0.83	-0.82	10765600	58178636.00
2001/04/27	-0.82	-0.70	-0.82	-0.73	15267600	83475760.00
2001/05/08	-0.71	-0.69	-0.78	-0.76	4476500	24547260.00
2001/05/09	-0.76	-0.74	-0.82	-0.80	8338600	45189064.00
2001/05/10	-0.80	-0.79	-0.82	-0.81	7350400	39756776.00
2001/05/11	-0.81	-0.79	-0.82	-0.80	5543600	29981660.00
2001/05/14	-0.80	-0.78	-0.83	-0.80	13682300	73938032.00
2001/05/15	-0.78	-0.62	-0.78	-0.68	26154800	145781056.00
2001/05/16	-0.65	-0.64	-0.73	-0.70	9961200	55374528.00
2001/05/17	-0.69	-0.68	-0.76	-0.74	11426300	62771192.00
2001/05/18	-0.73	-0.73	-0.78	-0.75	8295100	45409024.00
2001/05/21	-0.73	-0.64	-0.75	-0.70	12725800	70685192.00
2001/05/22	-0.69	-0.67	-0.73	-0.73	4849700	26801184.00
2001/05/23	-0.73	-0.73	-0.82	-0.78	9188500	50016332.00
2001/05/24	-0.79	-0.78	-0.82	-0.79	14468900	78305984.00
2001/05/25	-0.80	-0.78	-0.82	-0.81	8208700	44414056.00
2001/05/28	-0.81	-0.81	-0.87	-0.84	13868100	74416392.00
2001/05/29	-0.89	-0.70	-0.90	-0.80	29062300	157487680.00
2001/05/30	-0.81	-0.74	-0.82	-0.80	14980500	81266552.00
2001/05/31	-0.80	-0.78	-0.84	-0.83	12854000	69229592.00
