600020 中原高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/08/08	1.45	1.51	1.31	1.32	120926146	949365248.00
2003/08/11	1.29	1.41	1.29	1.37	25965130	200644240.00
2003/08/12	1.37	1.40	1.35	1.38	10866599	84581528.00
2003/08/13	1.38	1.42	1.37	1.39	16090115	126145440.00
2003/08/14	1.36	1.39	1.32	1.34	12735496	98167336.00
2003/08/15	1.32	1.36	1.30	1.34	7465110	57010624.00
2003/08/18	1.34	1.39	1.32	1.36	7898548	61319216.00
2003/08/19	1.36	1.44	1.35	1.39	10567068	82876192.00
2003/08/20	1.38	1.42	1.37	1.40	7277667	57079116.00
2003/08/21	1.40	1.42	1.38	1.41	9325406	73325808.00
2003/08/22	1.41	1.44	1.38	1.42	7254659	57169780.00
2003/08/25	1.38	1.40	1.35	1.37	5743334	44714020.00
2003/08/26	1.36	1.41	1.35	1.40	3997228	31271252.00
2003/08/27	1.40	1.41	1.38	1.38	2232248	17472566.00
2003/08/28	1.39	1.40	1.36	1.39	4105960	32072524.00
2003/08/29	1.38	1.45	1.37	1.44	8251177	65204520.00
2003/09/01	1.44	1.58	1.41	1.53	21458637	174902640.00
2003/09/02	1.53	1.54	1.47	1.48	13711433	111613816.00
2003/09/03	1.48	1.50	1.43	1.45	6954530	55652164.00
2003/09/04	1.45	1.49	1.44	1.47	5880275	47295560.00
2003/09/05	1.46	1.46	1.37	1.40	10100830	79566864.00
2003/09/08	1.38	1.43	1.38	1.42	4164105	32779620.00
2003/09/09	1.41	1.42	1.36	1.39	4457412	34834552.00
2003/09/10	1.39	1.41	1.36	1.38	3991878	31162298.00
2003/09/11	1.38	1.41	1.35	1.40	2537734	19762272.00
2003/09/12	1.42	1.42	1.37	1.40	2647689	20671690.00
2003/09/15	1.38	1.40	1.36	1.39	2169340	16911212.00
2003/09/16	1.38	1.40	1.36	1.40	2935975	22899152.00
2003/09/17	1.40	1.40	1.31	1.33	9131291	69971992.00
2003/09/18	1.31	1.37	1.29	1.36	5792102	44206908.00
2003/09/19	1.34	1.37	1.33	1.37	1320013	10175394.00
2003/09/22	1.36	1.37	1.33	1.36	1137918	8761068.00
2003/09/23	1.33	1.39	1.33	1.38	1330429	10330996.00
2003/09/24	1.38	1.41	1.37	1.39	2176998	17059012.00
2003/09/25	1.38	1.39	1.35	1.36	1447068	11227058.00
2003/09/26	1.35	1.39	1.34	1.38	1122339	8687679.00
2003/09/29	1.36	1.37	1.34	1.36	1379940	10629799.00
2003/09/30	1.35	1.41	1.35	1.38	2840775	22152616.00
2003/10/08	1.38	1.39	1.34	1.37	699977	5439885.00
2003/10/09	1.36	1.39	1.35	1.35	993482	7700637.00
2003/10/10	1.35	1.45	1.35	1.44	11874274	94286544.00
2003/10/13	1.45	1.47	1.39	1.41	3868896	30754340.00
2003/10/14	1.42	1.46	1.40	1.43	4397731	34923360.00
2003/10/15	1.42	1.45	1.38	1.38	2827004	22310468.00
2003/10/16	1.35	1.38	1.35	1.36	1994235	15424889.00
2003/10/17	1.36	1.42	1.34	1.42	3897257	30485544.00
2003/10/20	1.42	1.42	1.38	1.39	1260850	9855463.00
2003/10/21	1.39	1.45	1.38	1.44	3936807	30936342.00
2003/10/22	1.44	1.51	1.41	1.47	10596009	85466560.00
2003/10/23	1.47	1.49	1.41	1.42	4649986	37107032.00
2003/10/24	1.42	1.44	1.39	1.40	3065454	24136772.00
2003/10/27	1.37	1.39	1.34	1.39	9028324	69938504.00
2003/10/28	1.38	1.43	1.36	1.39	4542543	35625416.00
2003/10/29	1.39	1.42	1.35	1.39	5341928	41730352.00
2003/10/30	1.38	1.40	1.37	1.38	3768707	29429056.00
2003/10/31	1.37	1.42	1.35	1.40	6963044	54343396.00
2003/11/03	1.38	1.44	1.35	1.41	6340389	49913180.00
2003/11/04	1.44	1.55	1.41	1.45	16902257	136026816.00
2003/11/05	1.45	1.50	1.43	1.46	6337251	50850420.00
2003/11/06	1.46	1.48	1.41	1.42	5976451	47513456.00
2003/11/07	1.41	1.42	1.34	1.38	6620977	51492300.00
2003/11/10	1.37	1.39	1.35	1.38	3530050	27316056.00
2003/11/11	1.38	1.39	1.10	1.19	18028721	132116600.00
2003/11/12	1.16	1.16	1.07	1.12	13558344	95337624.00
2003/11/13	1.09	1.13	1.06	1.10	5943669	41721952.00
2003/11/14	1.10	1.15	1.08	1.13	3361060	23620232.00
2003/11/17	1.13	1.15	1.09	1.10	1957065	13768436.00
2003/11/18	1.10	1.11	1.02	1.07	3182512	22021076.00
2003/11/19	1.03	1.13	1.03	1.10	7424729	51915040.00
2003/11/20	1.10	1.17	1.09	1.15	9409292	67008576.00
2003/11/21	1.15	1.19	1.11	1.14	4728718	33804600.00
2003/11/24	1.14	1.21	1.11	1.20	7827583	56534016.00
2003/11/25	1.22	1.24	1.19	1.20	11974407	87838200.00
2003/11/26	1.21	1.27	1.18	1.21	9544299	70162080.00
2003/11/27	1.22	1.22	1.13	1.15	9101742	65198416.00
2003/11/28	1.14	1.17	1.13	1.16	2483369	17775068.00
2003/12/01	1.16	1.20	1.14	1.20	5565543	40370912.00
2003/12/02	1.20	1.21	1.15	1.16	5388467	38865528.00
2003/12/03	1.17	1.21	1.14	1.16	5562837	40110888.00
2003/12/04	1.17	1.20	1.16	1.19	5857639	42280032.00
2003/12/05	1.20	1.20	1.17	1.19	2689949	19512672.00
2003/12/08	1.20	1.20	1.13	1.15	3748381	26772870.00
2003/12/09	1.15	1.15	1.11	1.14	2771235	19597572.00
2003/12/10	1.14	1.21	1.13	1.19	5407192	39069524.00
2003/12/11	1.20	1.21	1.17	1.20	3653557	26541848.00
2003/12/12	1.20	1.25	1.20	1.22	8081736	59576648.00
2003/12/15	1.24	1.24	1.20	1.21	3306372	24284200.00
2003/12/16	1.21	1.22	1.16	1.17	4945873	35688120.00
2003/12/17	1.17	1.20	1.14	1.15	5394892	38853040.00
2003/12/18	1.14	1.19	1.14	1.19	3062789	22072176.00
2003/12/19	1.20	1.21	1.15	1.20	7173540	51932536.00
2003/12/22	1.20	1.26	1.18	1.26	12330637	91045088.00
2003/12/23	1.27	1.28	1.24	1.26	7572299	56540492.00
2003/12/24	1.27	1.33	1.27	1.30	14186740	107396608.00
2003/12/25	1.33	1.33	1.26	1.27	5753031	43165536.00
2003/12/26	1.27	1.29	1.26	1.26	3593073	26891120.00
2003/12/29	1.24	1.25	1.20	1.20	4601994	33787012.00
2003/12/30	1.20	1.27	1.20	1.25	3633516	26865420.00
2003/12/31	1.25	1.27	1.19	1.20	2807527	20617176.00
2004/01/02	1.19	1.24	1.19	1.21	3376533	24810066.00
2004/01/05	1.21	1.30	1.20	1.27	9572532	71448256.00
