600023 浙能电力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/12/19	4.86	5.54	4.75	5.15	277465911	2439180544.00
2013/12/20	4.48	4.61	4.47	4.47	33114584	265410800.00
2013/12/23	3.85	4.34	3.85	4.01	151465265	1115784576.00
2013/12/24	3.93	4.16	3.80	4.11	120782281	888552192.00
2013/12/25	3.99	4.14	3.92	3.97	84249835	621184000.00
2013/12/26	3.90	4.08	3.79	3.87	70219364	511828960.00
2013/12/27	3.81	4.04	3.79	3.92	66838696	487258464.00
2013/12/30	3.94	3.98	3.61	3.64	85897675	610047808.00
2013/12/31	3.55	3.61	3.44	3.52	61696743	417556704.00
2014/01/02	3.51	3.63	3.51	3.57	44545195	303900512.00
2014/01/03	3.54	3.57	3.35	3.50	60690350	404486080.00
2014/01/06	3.47	3.68	3.44	3.53	56959661	388626464.00
2014/01/07	3.50	3.52	3.38	3.46	31335026	208980864.00
2014/01/08	3.44	3.64	3.41	3.51	46937432	318113664.00
2014/01/09	3.46	3.52	3.31	3.34	43098091	286285056.00
2014/01/10	3.31	3.38	3.19	3.24	39336363	253386480.00
2014/01/13	3.25	3.29	2.99	3.02	42398794	264653376.00
2014/01/14	3.01	3.07	2.94	3.04	33816201	206293888.00
2014/01/15	3.05	3.05	2.94	2.98	29126895	176566112.00
2014/01/16	2.98	3.44	2.97	3.29	93288084	602315904.00
2014/01/17	3.19	3.25	3.03	3.05	52563516	328968992.00
2014/01/20	3.01	3.12	2.98	3.04	23158026	142312320.00
2014/01/21	3.02	3.24	3.02	3.14	36766176	229930176.00
2014/01/22	3.09	3.30	3.08	3.24	47070950	299584704.00
2014/01/23	3.22	3.23	3.13	3.16	37107905	233897296.00
2014/01/24	3.14	3.28	3.12	3.22	40057669	254663760.00
2014/01/27	3.18	3.20	3.04	3.06	35813151	222293808.00
2014/01/28	3.12	3.38	3.08	3.23	59511011	381004000.00
2014/01/29	3.19	3.24	3.12	3.18	33505642	210961072.00
2014/01/30	3.16	3.16	3.06	3.09	17136556	106500128.00
2014/02/07	3.05	3.09	2.98	3.09	17430811	107062464.00
2014/02/10	3.11	3.22	3.08	3.21	34701538	218850992.00
2014/02/11	3.20	3.28	3.13	3.22	47089328	298304544.00
2014/02/12	3.22	3.38	3.18	3.31	55137211	355374688.00
2014/02/13	3.26	3.31	3.15	3.16	39224578	250329072.00
2014/02/14	3.16	3.24	3.14	3.22	23735626	150594640.00
2014/02/17	3.27	3.44	3.25	3.41	55163791	360441824.00
