600025 华能水电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/12/15	2.06	2.58	2.06	2.58	3242494	10068969.00
2017/12/18	2.89	2.89	2.89	2.89	1923883	6598919.00
2017/12/19	3.23	3.23	3.23	3.23	2368529	8929354.00
2017/12/20	3.61	3.61	3.61	3.61	3927349	16298498.00
2017/12/21	4.03	4.03	3.74	4.03	754467875	3381054976.00
2017/12/22	4.06	4.49	4.03	4.49	404553755	1933577600.00
2017/12/25	4.93	4.99	4.47	4.51	891008394	4711083008.00
2017/12/26	4.60	5.02	4.47	5.02	601921738	3198402304.00
2017/12/27	5.25	5.58	5.17	5.58	807041052	4833708032.00
2017/12/28	5.57	5.57	5.21	5.34	622355235	3674795520.00
2017/12/29	5.06	5.13	4.75	4.76	578188774	3103801856.00
2018/01/02	4.67	4.95	4.63	4.80	346440422	1847257088.00
2018/01/03	4.71	4.79	4.59	4.73	315443702	1653315072.00
2018/01/04	4.63	4.88	4.48	4.81	525425549	2744447232.00
2018/01/05	4.73	4.85	4.66	4.68	275383490	1453642496.00
2018/01/08	4.59	4.69	4.56	4.64	221018700	1136866816.00
2018/01/09	4.64	4.70	4.56	4.58	188853833	974376000.00
2018/01/10	4.53	4.56	4.37	4.42	268449181	1341450240.00
2018/01/11	4.38	4.55	4.27	4.43	225287606	1119393152.00
2018/01/12	4.42	4.43	4.27	4.28	204350099	994597568.00
2018/01/15	4.22	4.22	3.99	4.03	203351226	941727424.00
2018/01/16	4.00	4.49	3.96	4.49	395792153	1960494336.00
2018/01/17	4.74	4.91	4.56	4.62	548478266	2897082112.00
2018/01/18	4.49	4.64	4.32	4.51	283594868	1415170048.00
2018/01/19	4.44	4.64	4.38	4.46	190817077	964069888.00
2018/01/22	4.41	4.41	4.27	4.35	147959385	722717568.00
2018/01/23	4.30	4.40	4.30	4.38	119723472	583765376.00
2018/01/24	4.41	4.53	4.32	4.39	150490567	746469824.00
2018/01/25	4.35	4.41	4.29	4.33	131454007	641572864.00
2018/01/26	4.29	4.35	4.28	4.29	96941673	468846432.00
2018/01/29	4.32	4.41	4.29	4.33	120648549	587471296.00
2018/01/30	4.39	4.41	4.31	4.37	127520211	625012352.00
2018/01/31	4.32	4.35	4.11	4.17	140008035	665785344.00
2018/02/01	4.19	4.20	3.98	4.03	115500037	532413056.00
2018/02/02	4.02	4.20	3.82	4.08	102610646	470623040.00
2018/02/05	3.96	4.03	3.91	3.98	70714678	319992416.00
2018/02/06	3.88	3.93	3.66	3.67	116290313	506800512.00
2018/02/07	3.76	3.83	3.56	3.71	90435825	384538720.00
2018/02/08	3.67	3.73	3.66	3.70	62267425	263843504.00
2018/02/09	3.59	3.59	3.38	3.42	107172090	430619296.00
2018/02/12	3.47	3.51	3.44	3.49	53352202	214601808.00
2018/02/13	3.51	3.55	3.47	3.48	54858262	222118000.00
2018/02/14	3.49	3.50	3.44	3.46	37176863	148661504.00
2018/02/22	3.49	3.55	3.47	3.53	53306045	216134448.00
2018/02/23	3.53	3.86	3.50	3.69	103408030	437599936.00
2018/02/26	3.67	3.81	3.66	3.77	85781185	367887648.00
2018/02/27	3.75	3.76	3.68	3.70	65424321	278012160.00
2018/02/28	3.66	3.73	3.62	3.69	51545829	217266432.00
2018/03/01	3.65	3.69	3.63	3.67	54134806	227488736.00
2018/03/02	3.63	3.81	3.62	3.70	80396287	341567808.00
2018/03/05	3.69	3.69	3.63	3.65	57848579	242355872.00
2018/03/06	3.65	3.74	3.64	3.72	84638269	357466912.00
2018/03/07	3.69	3.84	3.68	3.74	128849681	554084736.00
2018/03/08	3.69	3.79	3.66	3.73	86648362	369348448.00
2018/03/09	3.71	3.75	3.69	3.74	84949818	362186080.00
2018/03/12	3.75	3.78	3.72	3.74	83792716	358619584.00
2018/03/13	3.73	3.74	3.67	3.69	71851206	304777056.00
2018/03/14	3.67	3.73	3.66	3.66	57301328	241808928.00
2018/03/15	3.64	3.68	3.58	3.63	76290678	317442272.00
2018/03/16	3.61	3.64	3.56	3.57	56368257	233338352.00
2018/03/19	3.57	3.58	3.51	3.55	53478064	218182816.00
2018/03/20	3.50	3.57	3.48	3.56	53246799	216758656.00
2018/03/21	3.56	3.66	3.52	3.57	92283157	379574592.00
2018/03/22	3.54	3.55	3.50	3.51	60064180	244004128.00
2018/03/23	3.41	3.41	3.17	3.22	110879710	425767648.00
2018/03/26	3.14	3.22	2.99	3.20	65981259	241150480.00
2018/03/27	3.24	3.33	3.23	3.27	68115476	260126352.00
2018/03/28	3.21	3.31	3.17	3.23	48026964	181821072.00
2018/03/29	3.25	3.28	3.22	3.26	43324734	164187584.00
2018/03/30	3.28	3.28	3.23	3.24	40004391	151595808.00
2018/04/02	3.23	3.24	3.18	3.20	49859404	186961472.00
2018/04/03	3.13	3.14	3.08	3.11	50395253	183652128.00
2018/04/04	3.14	3.15	3.08	3.09	37071150	135321248.00
2018/04/09	3.06	3.08	3.02	3.06	37256634	133809688.00
2018/04/10	3.07	3.26	3.04	3.20	97834436	363314688.00
2018/04/11	3.18	3.19	3.14	3.15	54353092	201147216.00
2018/04/12	3.16	3.26	3.14	3.21	75565565	283195200.00
2018/04/13	3.19	3.25	3.19	3.22	51078816	191745184.00
2018/04/16	3.23	3.23	3.08	3.12	48179426	177893968.00
2018/04/17	3.10	3.13	3.02	3.04	48046941	173591792.00
2018/04/18	3.05	3.08	2.97	3.03	43057828	152848256.00
2018/04/19	3.03	3.05	3.00	3.04	34812256	124406536.00
2018/04/20	3.02	3.03	2.94	2.96	45655800	160753152.00
2018/04/23	2.96	2.97	2.89	2.92	33127714	114850952.00
2018/04/24	2.91	2.98	2.91	2.96	42212599	147563216.00
2018/04/25	2.93	2.96	2.92	2.95	28393122	98774456.00
2018/04/26	2.98	2.99	2.87	2.87	37397357	129381896.00
2018/04/27	2.88	2.90	2.84	2.86	30492201	103614744.00
2018/05/02	2.86	2.88	2.81	2.82	25767714	86862992.00
2018/05/03	2.81	2.82	2.74	2.80	43686063	144888480.00
2018/05/04	2.80	2.83	2.77	2.80	30128289	100817024.00
2018/05/07	2.80	2.84	2.79	2.84	31207802	104979264.00
2018/05/08	2.84	2.86	2.82	2.86	35227632	119205952.00
2018/05/09	2.85	2.85	2.80	2.82	27027328	90966200.00
2018/05/10	2.82	2.84	2.81	2.83	21968580	73927480.00
2018/05/11	2.82	2.83	2.79	2.80	23960318	80280536.00
2018/05/14	2.80	2.81	2.76	2.78	23219952	77308072.00
2018/05/15	2.77	3.11	2.74	3.11	138814893	494669088.00
2018/05/16	3.00	3.05	2.94	2.96	135008914	477471680.00
2018/05/17	2.94	2.96	2.89	2.90	54382057	187604512.00
2018/05/18	2.89	2.98	2.87	2.94	55317296	192055248.00
2018/05/21	2.95	2.99	2.93	2.97	52882386	184954416.00
2018/05/22	2.96	3.09	2.94	3.02	68315205	243231776.00
2018/05/23	2.99	3.15	2.97	3.06	99003522	357547040.00
2018/05/24	3.02	3.04	2.97	3.00	59610845	211226256.00
2018/05/25	2.97	2.99	2.93	2.95	37365244	130687912.00
2018/05/28	2.95	2.95	2.85	2.86	39125799	134170120.00
2018/05/29	2.86	2.92	2.85	2.87	30965686	105860592.00
2018/05/30	2.81	2.81	2.72	2.73	49620709	164445280.00
2018/05/31	2.74	2.80	2.74	2.79	28760992	95230976.00
2018/06/01	2.76	2.81	2.75	2.77	21728742	72041976.00
2018/06/04	2.80	2.86	2.80	2.83	33588666	113230656.00
2018/06/05	2.84	2.84	2.79	2.82	25853978	86598192.00
2018/06/06	2.80	2.94	2.80	2.88	41396468	140765216.00
2018/06/07	2.87	2.93	2.85	2.86	31657214	108375728.00
2018/06/08	2.86	2.86	2.81	2.84	31547190	106270912.00
2018/06/11	2.82	2.86	2.80	2.83	19006211	63990144.00
2018/06/12	2.84	2.85	2.80	2.84	19918597	67136344.00
2018/06/13	2.83	2.84	2.77	2.78	24830088	82958984.00
2018/06/14	2.76	2.80	2.74	2.78	18346939	60889156.00
2018/06/15	2.78	2.79	2.73	2.74	25411625	83638840.00
2018/06/19	2.70	2.70	2.42	2.50	55799382	172822544.00
2018/06/20	2.48	2.54	2.46	2.52	24796617	75590520.00
2018/06/21	2.52	2.56	2.48	2.49	26738145	81808024.00
2018/06/22	2.46	2.51	2.45	2.50	18994565	57569304.00
2018/06/25	2.53	2.55	2.51	2.52	19909883	61022500.00
