600026 中远海能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/05/23	0.80	0.89	0.65	0.73	268457052	1200805888.00
2002/05/24	0.71	0.74	0.55	0.61	73276139	314760800.00
2002/05/27	0.62	0.66	0.57	0.63	19293068	82806584.00
2002/05/29	0.53	0.58	0.48	0.53	29164830	121789968.00
2002/05/30	0.55	0.65	0.51	0.63	30204444	128953456.00
2002/05/31	0.62	0.64	0.55	0.56	17552794	74806608.00
2002/06/03	0.55	0.61	0.50	0.59	15514549	65537724.00
2002/06/04	0.59	0.63	0.56	0.62	10304385	44052584.00
2002/06/05	0.62	0.62	0.55	0.57	10869904	46236908.00
2002/06/06	0.55	0.74	0.55	0.68	37256285	162771936.00
2002/06/07	0.68	0.78	0.66	0.71	48847597	216885024.00
2002/06/10	0.69	0.73	0.69	0.70	10897491	48005264.00
2002/06/11	0.70	0.79	0.69	0.73	32545068	144828512.00
2002/06/12	0.72	0.74	0.69	0.72	8924727	39388496.00
2002/06/13	0.72	0.75	0.69	0.69	7022717	31026392.00
2002/06/14	0.69	0.69	0.63	0.65	12386400	53837884.00
2002/06/17	0.62	0.67	0.61	0.65	5524200	23868316.00
2002/06/18	0.67	0.76	0.66	0.74	13884800	61475340.00
2002/06/19	0.74	0.74	0.71	0.71	5105200	22586706.00
2002/06/20	0.70	0.78	0.69	0.74	12951900	57837452.00
2002/06/21	0.74	0.89	0.74	0.85	40267400	184000512.00
2002/06/24	1.20	1.20	1.20	1.20	27080800	136758048.00
2002/06/25	1.60	1.60	1.53	1.60	59416000	328961824.00
2002/06/26	1.79	2.03	1.62	2.03	231836100	1376861312.00
2002/06/27	2.00	2.51	1.94	2.51	121169200	773540608.00
2002/06/28	2.72	2.95	2.34	2.55	154945700	1071649152.00
2002/07/01	2.49	3.06	2.38	2.82	91553900	639993728.00
2002/07/02	2.71	2.87	2.65	2.74	51934100	366288800.00
2002/07/03	2.76	3.02	2.74	2.86	45527600	328431264.00
2002/07/04	2.87	2.90	2.70	2.76	43310400	306747584.00
2002/07/05	2.76	2.89	2.64	2.85	43256300	304715328.00
2002/07/08	2.85	2.91	2.78	2.82	25727000	184184848.00
2002/07/09	2.81	3.31	2.72	3.12	85858400	635870080.00
2002/07/10	3.04	3.18	2.98	3.02	56656200	422025120.00
2002/07/11	2.96	3.06	2.84	2.86	40928600	297786272.00
2002/07/12	2.80	2.90	2.65	2.73	44886600	316232768.00
2002/07/15	2.72	2.83	2.68	2.74	24063700	169749216.00
2002/07/16	2.75	2.90	2.69	2.75	24890900	176516864.00
2002/07/17	2.75	2.86	2.74	2.86	18846300	133961160.00
2002/07/18	2.86	2.90	2.76	2.79	21967200	156533264.00
2002/07/19	2.79	2.86	2.76	2.79	11686900	83000080.00
2002/07/22	2.78	2.79	2.34	2.45	39959900	274448704.00
2002/07/23	2.42	2.55	2.40	2.47	25759400	172777392.00
