600027 华电国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2005/02/03	1.13	2.40	1.07	1.76	196781389	790418432.00
2005/02/04	1.41	1.41	1.41	1.41	11143800	45243828.00
2005/02/16	1.10	1.25	1.10	1.18	80917057	302883392.00
2005/02/17	1.13	1.35	1.13	1.28	70754510	274808096.00
2005/02/18	1.25	1.30	1.19	1.23	32158456	123340224.00
2005/02/21	1.23	1.26	1.19	1.25	25183889	96313816.00
2005/02/22	1.25	1.33	1.21	1.30	40941406	159267776.00
2005/02/23	1.30	1.30	1.27	1.29	29335587	114162416.00
2005/02/24	1.28	1.30	1.21	1.27	31030926	119130336.00
2005/02/25	1.30	1.55	1.27	1.47	83486317	340506112.00
2005/02/28	1.44	1.44	1.38	1.43	26485853	107672456.00
2005/03/01	1.43	1.50	1.41	1.46	21489617	88867128.00
2005/03/02	1.46	1.53	1.38	1.40	25325270	104269800.00
2005/03/03	1.40	1.44	1.35	1.43	16215842	65507216.00
2005/03/04	1.43	1.52	1.41	1.43	21803603	90047608.00
2005/03/07	1.43	1.45	1.30	1.33	25103021	99736880.00
2005/03/08	1.33	1.45	1.32	1.44	22510929	90603000.00
2005/03/09	1.46	1.47	1.40	1.42	20646211	84310160.00
2005/03/10	1.41	1.43	1.33	1.35	13313314	53267608.00
2005/03/11	1.34	1.40	1.33	1.34	8800613	35123008.00
2005/03/14	1.33	1.33	1.23	1.28	13836579	53826184.00
2005/03/15	1.29	1.30	1.24	1.27	7405034	28688538.00
2005/03/16	1.27	1.27	1.20	1.20	9272899	35280948.00
2005/03/17	1.20	1.26	1.20	1.21	6413918	24491808.00
2005/03/18	1.21	1.23	1.11	1.14	7458400	27924708.00
2005/03/21	1.13	1.19	1.13	1.17	4439308	16578532.00
2005/03/22	1.17	1.17	0.89	0.92	18381971	64089876.00
2005/03/23	0.83	0.99	0.67	0.90	8453844	28907002.00
2005/03/24	0.90	0.97	0.86	0.97	6323159	21670446.00
2005/03/25	0.97	0.97	0.91	0.92	4585370	15723104.00
2005/03/28	0.92	0.92	0.81	0.86	6072409	20200800.00
2005/03/29	0.83	0.89	0.83	0.84	4539517	15145016.00
2005/03/30	0.83	0.83	0.72	0.73	7116622	22851170.00
2005/03/31	0.70	0.80	0.69	0.79	7402836	23771470.00
2005/04/01	0.79	1.03	0.74	0.93	15651968	52606884.00
2005/04/04	0.90	0.97	0.85	0.89	11367013	38778788.00
2005/04/05	0.87	0.92	0.83	0.84	5797550	19495618.00
2005/04/06	0.85	0.98	0.85	0.95	11613597	39935816.00
2005/04/07	0.97	1.02	0.93	0.94	14434652	50527884.00
2005/04/08	0.92	0.98	0.90	0.97	9245369	31939910.00
2005/04/11	0.96	1.00	0.91	0.93	8222260	28466696.00
2005/04/12	0.94	1.00	0.91	0.92	7668470	26546516.00
2005/04/13	0.98	1.03	0.93	0.98	11163848	39131788.00
2005/04/14	0.98	1.00	0.91	0.92	6654643	23014912.00
2005/04/15	0.91	0.92	0.82	0.83	7736071	25765606.00
2005/04/18	0.83	0.83	0.75	0.79	4554096	14766091.00
2005/04/19	0.79	0.82	0.78	0.80	3736937	12202771.00
2005/04/20	0.81	0.81	0.77	0.77	3130259	10151996.00
2005/04/21	0.77	0.80	0.68	0.73	5980864	19077696.00
2005/04/22	0.73	0.82	0.70	0.81	4807572	15434583.00
2005/04/25	0.80	0.89	0.78	0.87	9300496	30889004.00
2005/04/26	0.86	0.88	0.81	0.87	6475233	21612372.00
2005/04/27	0.87	0.89	0.73	0.73	8616393	28033688.00
2005/04/28	0.71	0.84	0.69	0.82	7721677	25038550.00
2005/04/29	0.82	0.82	0.74	0.76	8281194	26695144.00
2005/05/09	0.60	0.60	0.51	0.51	12915700	38007376.00
2005/05/10	0.38	0.40	0.29	0.39	79198625	211846192.00
2005/05/11	0.37	0.39	0.31	0.33	32737759	87667104.00
2005/05/12	0.35	0.40	0.33	0.37	53405644	144558000.00
2005/05/13	0.37	0.40	0.33	0.38	30772341	83219216.00
2005/05/16	0.37	0.37	0.31	0.33	21580637	57669152.00
2005/05/17	0.33	0.40	0.32	0.40	49591232	134529968.00
2005/05/18	0.39	0.43	0.36	0.40	37018908	101212056.00
2005/05/19	0.40	0.41	0.36	0.40	19758100	53894780.00
2005/05/20	0.39	0.42	0.38	0.39	23813309	65441844.00
2005/05/23	0.38	0.38	0.33	0.35	11888955	31916648.00
2005/05/24	0.35	0.40	0.34	0.39	16526598	44887672.00
2005/05/25	0.38	0.41	0.37	0.38	11355190	30962604.00
2005/05/26	0.38	0.40	0.37	0.38	11182348	30362662.00
