600028 中国石化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/08/08	-1.05	-0.99	-1.23	-1.20	677553200	3015767040.00
2001/08/09	-1.21	-1.20	-1.28	-1.25	156809700	671175296.00
2001/08/10	-1.25	-1.17	-1.26	-1.21	80839200	349732800.00
2001/08/13	-1.22	-1.20	-1.25	-1.23	38012700	163570912.00
2001/08/14	-1.23	-1.20	-1.25	-1.25	28286800	121521160.00
2001/08/15	-1.25	-1.23	-1.26	-1.25	19902600	85130728.00
2001/08/16	-1.25	-1.24	-1.27	-1.27	23650500	100679000.00
2001/08/17	-1.26	-1.21	-1.27	-1.23	30386800	129895760.00
2001/08/20	-1.23	-1.23	-1.26	-1.26	10645000	45411352.00
2001/08/21	-1.25	-1.25	-1.27	-1.27	21154800	89907744.00
2001/08/22	-1.27	-1.26	-1.34	-1.33	78141500	324714656.00
2001/08/23	-1.34	-1.34	-1.40	-1.35	35309400	143967616.00
2001/08/27	-1.39	-1.38	-1.47	-1.44	33867300	134824672.00
2001/08/28	-1.46	-1.41	-1.47	-1.42	26103800	103591256.00
2001/08/29	-1.41	-1.40	-1.43	-1.43	12700500	50647584.00
2001/08/30	-1.43	-1.39	-1.45	-1.40	14503100	57842672.00
2001/08/31	-1.40	-1.40	-1.42	-1.42	5425900	21702000.00
2001/09/03	-1.42	-1.42	-1.46	-1.46	11589700	45782128.00
2001/09/04	-1.46	-1.41	-1.46	-1.43	12026600	47732668.00
2001/09/05	-1.42	-1.41	-1.44	-1.43	8398400	33481830.00
2001/09/06	-1.43	-1.43	-1.45	-1.45	7806600	30859504.00
2001/09/07	-1.45	-1.45	-1.51	-1.51	24770400	96419712.00
2001/09/10	-1.53	-1.40	-1.56	-1.48	19470300	75948528.00
2001/09/11	-1.48	-1.42	-1.50	-1.44	15392500	60395192.00
2001/09/12	-1.42	-1.20	-1.43	-1.33	127953100	527594816.00
2001/09/13	-1.34	-1.34	-1.43	-1.42	30487300	122275344.00
2001/09/14	-1.43	-1.39	-1.47	-1.43	17368500	68711488.00
2001/09/17	-1.43	-1.43	-1.48	-1.48	15349300	60128328.00
2001/09/18	-1.46	-1.43	-1.48	-1.46	6411600	25127796.00
2001/09/19	-1.45	-1.44	-1.48	-1.45	5588300	21932510.00
2001/09/20	-1.44	-1.43	-1.46	-1.45	5577000	22017244.00
2001/09/21	-1.45	-1.44	-1.48	-1.46	7015300	27476060.00
2001/09/24	-1.46	-1.46	-1.48	-1.47	4078500	15947075.00
2001/09/25	-1.46	-1.45	-1.48	-1.46	7242700	28304494.00
2001/09/26	-1.47	-1.47	-1.51	-1.50	10379800	40155936.00
2001/09/27	-1.50	-1.49	-1.51	-1.50	6692000	25834220.00
2001/09/28	-1.50	-1.48	-1.51	-1.48	5709000	22098188.00
2001/10/08	-1.48	-1.44	-1.51	-1.50	5674000	22026946.00
2001/10/09	-1.50	-1.47	-1.50	-1.48	4509500	17493134.00
2001/10/10	-1.48	-1.48	-1.54	-1.53	11281600	43263248.00
2001/10/11	-1.53	-1.51	-1.57	-1.57	12217100	46029960.00
2001/10/12	-1.57	-1.48	-1.63	-1.51	18752700	70684992.00
2001/10/15	-1.52	-1.52	-1.57	-1.55	10330500	38959176.00
2001/10/16	-1.55	-1.54	-1.62	-1.60	12381100	45845364.00
2001/10/17	-1.58	-1.52	-1.60	-1.59	8465900	31687640.00
2001/10/18	-1.58	-1.56	-1.61	-1.60	6554900	24331216.00
2001/10/19	-1.60	-1.54	-1.63	-1.61	15643600	57841968.00
2001/10/22	-1.63	-1.61	-1.67	-1.66	12179800	44100184.00
2001/10/23	-1.51	-1.44	-1.55	-1.44	78028800	305348448.00
2001/10/24	-1.42	-1.39	-1.51	-1.48	53275300	209849056.00
2001/10/25	-1.49	-1.48	-1.54	-1.53	17896600	68701536.00
2001/10/26	-1.54	-1.51	-1.60	-1.52	18577200	69879640.00
2001/10/29	-1.53	-1.50	-1.54	-1.52	6928700	26531276.00
2001/10/30	-1.52	-1.51	-1.56	-1.55	8025600	30391956.00
2001/10/31	-1.55	-1.55	-1.59	-1.56	8823700	32865766.00
2001/11/01	-1.55	-1.52	-1.56	-1.54	7934000	30086854.00
2001/11/02	-1.54	-1.51	-1.56	-1.56	6417300	24338706.00
2001/11/05	-1.57	-1.55	-1.58	-1.55	6039700	22657234.00
2001/11/06	-1.55	-1.55	-1.58	-1.58	6748800	25239916.00
2001/11/07	-1.58	-1.57	-1.63	-1.63	13452500	49516896.00
2001/11/08	-1.72	-1.65	-1.77	-1.66	32251000	113993080.00
2001/11/09	-1.67	-1.65	-1.70	-1.66	8802100	31444190.00
2001/11/12	-1.66	-1.61	-1.68	-1.64	10180300	36901168.00
2001/11/13	-1.66	-1.61	-1.69	-1.63	6736000	24455178.00
2001/11/14	-1.63	-1.62	-1.65	-1.65	3249600	11788681.00
2001/11/15	-1.66	-1.63	-1.66	-1.64	6060000	21929852.00
2001/11/16	-1.55	-1.51	-1.63	-1.62	23614300	87835776.00
2001/11/19	-1.63	-1.60	-1.64	-1.61	6941500	25405136.00
2001/11/20	-1.61	-1.58	-1.63	-1.60	11371800	41963200.00
2001/11/21	-1.60	-1.59	-1.61	-1.61	5547700	20435940.00
2001/11/22	-1.61	-1.60	-1.64	-1.62	9922000	36278704.00
2001/11/23	-1.61	-1.55	-1.61	-1.60	14389200	53479992.00
2001/11/26	-1.61	-1.61	-1.64	-1.62	6332500	23115400.00
2001/11/27	-1.62	-1.61	-1.64	-1.62	5833600	21264256.00
2001/11/28	-1.62	-1.61	-1.62	-1.61	8792600	32244912.00
2001/11/29	-1.61	-1.61	-1.64	-1.63	11861100	43213988.00
2001/11/30	-1.63	-1.62	-1.64	-1.62	11900400	43289176.00
2001/12/03	-1.63	-1.60	-1.63	-1.60	18090400	66326472.00
2001/12/04	-1.61	-1.60	-1.61	-1.60	8385000	30873222.00
2001/12/05	-1.61	-1.58	-1.63	-1.61	21642600	80015176.00
2001/12/06	-1.61	-1.60	-1.65	-1.64	17443600	63515652.00
2001/12/07	-1.64	-1.63	-1.65	-1.64	14641300	53038172.00
2001/12/10	-1.66	-1.64	-1.69	-1.66	50828800	182197840.00
2001/12/11	-1.66	-1.64	-1.68	-1.67	16848300	60327624.00
2001/12/12	-1.67	-1.66	-1.69	-1.68	21710800	77225936.00
2001/12/13	-1.68	-1.67	-1.72	-1.71	26133100	92243712.00
2001/12/14	-1.71	-1.70	-1.72	-1.72	11907900	41722896.00
2001/12/17	-1.72	-1.70	-1.73	-1.73	14387900	50181336.00
2001/12/18	-1.72	-1.72	-1.75	-1.73	23722300	82108728.00
2001/12/19	-1.73	-1.72	-1.73	-1.73	10196700	35473500.00
2001/12/20	-1.73	-1.73	-1.79	-1.78	29038500	99170832.00
2001/12/21	-1.79	-1.77	-1.79	-1.78	13130500	44470256.00
2001/12/24	-1.78	-1.78	-1.85	-1.84	20222800	67083604.00
2001/12/25	-1.84	-1.83	-1.90	-1.84	16960400	55192280.00
2001/12/26	-1.84	-1.78	-1.85	-1.79	22963800	76792144.00
2001/12/27	-1.79	-1.74	-1.79	-1.79	31462400	107823512.00
2001/12/28	-1.79	-1.74	-1.79	-1.75	23955500	81993080.00
2001/12/31	-1.75	-1.72	-1.75	-1.75	16069900	55737772.00
2002/01/04	-1.75	-1.75	-1.80	-1.79	8518400	28915306.00
2002/01/07	-1.80	-1.79	-1.84	-1.80	9383900	31243716.00
2002/01/08	-1.81	-1.78	-1.82	-1.82	5957000	19963648.00
2002/01/09	-1.82	-1.73	-1.85	-1.80	12226100	40889984.00
2002/01/10	-1.80	-1.79	-1.85	-1.79	16523600	54927396.00
