600030 中信证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/01/06	-3.78	-3.76	-3.92	-3.91	194288556	998892608.00
2003/01/07	-3.92	-3.90	-3.95	-3.94	58977717	290622432.00
2003/01/08	-3.95	-3.82	-3.95	-3.82	72064078	368411104.00
2003/01/09	-3.75	-3.69	-3.76	-3.69	110086868	636358016.00
2003/01/10	-3.61	-3.55	-3.63	-3.61	206393422	1300495488.00
2003/01/13	-3.59	-3.54	-3.64	-3.59	109178302	685740352.00
2003/01/14	-3.59	-3.44	-3.62	-3.53	149481283	977541632.00
2003/01/15	-3.54	-3.44	-3.56	-3.46	138174975	919559360.00
2003/01/16	-3.46	-3.42	-3.50	-3.46	65483154	444285056.00
2003/01/17	-3.46	-3.45	-3.53	-3.53	65358762	434861792.00
2003/01/20	-3.54	-3.42	-3.55	-3.46	69181845	468747488.00
2003/01/21	-3.45	-3.44	-3.53	-3.52	42863113	284742624.00
2003/01/22	-3.52	-3.50	-3.55	-3.54	32035252	209619840.00
2003/01/23	-3.54	-3.48	-3.55	-3.54	31538563	207919168.00
2003/01/24	-3.54	-3.38	-3.54	-3.42	92707075	637719040.00
2003/01/27	-3.43	-3.40	-3.46	-3.42	39473854	274235040.00
2003/01/28	-3.42	-3.39	-3.44	-3.40	25966421	181092736.00
2003/01/29	-3.40	-3.39	-3.44	-3.44	29621035	207060768.00
2003/02/10	-3.44	-3.44	-3.48	-3.47	21876077	148955168.00
2003/02/11	-3.48	-3.46	-3.48	-3.46	10495713	71109712.00
2003/02/12	-3.46	-3.42	-3.48	-3.42	20137979	138916464.00
2003/02/13	-3.42	-3.37	-3.44	-3.43	39872166	281763296.00
2003/02/14	-3.44	-3.41	-3.45	-3.43	15996400	110958112.00
2003/02/17	-3.43	-3.42	-3.48	-3.46	20410160	139692304.00
2003/02/18	-3.46	-3.43	-3.47	-3.45	11018398	75383480.00
2003/02/19	-3.45	-3.41	-3.45	-3.43	19591574	136072928.00
2003/02/20	-3.43	-3.41	-3.45	-3.45	13589081	94154320.00
2003/02/21	-3.44	-3.44	-3.50	-3.49	25195497	170253536.00
2003/02/24	-3.49	-3.47	-3.49	-3.49	10146333	68270224.00
2003/02/25	-3.49	-3.43	-3.49	-3.45	16671100	114282760.00
2003/02/26	-3.44	-3.42	-3.46	-3.45	13132247	90695872.00
2003/02/27	-3.44	-3.42	-3.45	-3.45	12605305	87028640.00
2003/02/28	-3.44	-3.43	-3.46	-3.45	7605945	52180176.00
2003/03/03	-3.45	-3.43	-3.45	-3.43	12137912	83780648.00
2003/03/04	-3.43	-3.38	-3.43	-3.41	31272894	219827104.00
2003/03/05	-3.41	-3.41	-3.44	-3.44	14751704	102226368.00
2003/03/06	-3.43	-3.43	-3.47	-3.46	13965720	95479464.00
2003/03/07	-3.46	-3.45	-3.47	-3.47	7661784	52109096.00
2003/03/10	-3.47	-3.46	-3.50	-3.49	12145886	81707264.00
2003/03/11	-3.50	-3.47	-3.50	-3.49	4683682	31442488.00
2003/03/12	-3.49	-3.48	-3.54	-3.53	12532111	82211464.00
2003/03/13	-3.53	-3.51	-3.54	-3.54	6690300	43726284.00
2003/03/14	-3.54	-3.52	-3.54	-3.54	5312821	34610548.00
2003/03/17	-3.54	-3.52	-3.55	-3.52	6878435	44854264.00
2003/03/18	-3.52	-3.49	-3.53	-3.53	8161909	53941092.00
2003/03/19	-3.53	-3.50	-3.56	-3.52	10682340	69944384.00
2003/03/20	-3.52	-3.49	-3.53	-3.51	7169375	47412956.00
2003/03/21	-3.52	-3.50	-3.53	-3.51	5210189	34387008.00
2003/03/24	-3.51	-3.50	-3.54	-3.53	6024189	39436728.00
2003/03/25	-3.54	-3.53	-3.60	-3.59	22622042	143858640.00
2003/03/26	-3.60	-3.58	-3.62	-3.61	12328623	76948024.00
2003/03/27	-3.61	-3.47	-3.62	-3.51	41263829	269637984.00
