600031 三一重工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/07/03	-1.81	-1.81	-1.89	-1.86	33816715	718871488.00
2003/07/04	-1.86	-1.83	-1.86	-1.84	7697544	167054240.00
2003/07/07	-1.84	-1.84	-1.85	-1.84	3951205	85964280.00
2003/07/08	-1.84	-1.83	-1.85	-1.84	2117357	46384284.00
2003/07/09	-1.85	-1.82	-1.85	-1.83	3440447	76869584.00
2003/07/10	-1.83	-1.81	-1.83	-1.82	3137600	70923904.00
2003/07/11	-1.82	-1.80	-1.82	-1.81	3212906	74251120.00
2003/07/14	-1.81	-1.78	-1.81	-1.79	4681766	111602400.00
2003/07/15	-1.79	-1.79	-1.79	-1.79	2022002	48271184.00
2003/07/16	-1.79	-1.78	-1.79	-1.79	2022921	48528728.00
2003/07/17	-1.79	-1.75	-1.79	-1.76	3482400	86808416.00
2003/07/18	-1.76	-1.73	-1.77	-1.77	5282200	134105168.00
2003/07/21	-1.77	-1.75	-1.77	-1.75	2849398	71501776.00
2003/07/22	-1.75	-1.74	-1.79	-1.77	2514686	62304432.00
2003/07/23	-1.77	-1.76	-1.78	-1.76	801440	19777060.00
2003/07/24	-1.76	-1.74	-1.77	-1.74	2382980	60929696.00
2003/07/25	-1.73	-1.72	-1.76	-1.75	2824652	72886616.00
2003/07/28	-1.76	-1.75	-1.78	-1.76	1237491	30703840.00
2003/07/29	-1.77	-1.76	-1.77	-1.76	1312353	32588880.00
2003/07/30	-1.76	-1.76	-1.77	-1.77	774051	19216208.00
2003/07/31	-1.77	-1.77	-1.79	-1.77	2525690	61402220.00
2003/08/01	-1.77	-1.77	-1.80	-1.79	3738299	89591032.00
2003/08/04	-1.79	-1.76	-1.79	-1.76	1759275	43232708.00
2003/08/05	-1.76	-1.76	-1.77	-1.76	810562	20210388.00
2003/08/06	-1.77	-1.76	-1.77	-1.76	598625	14785939.00
2003/08/07	-1.77	-1.76	-1.77	-1.77	406520	10111284.00
2003/08/08	-1.75	-1.75	-1.76	-1.75	1641504	41327744.00
2003/08/11	-1.75	-1.75	-1.76	-1.76	532447	13389425.00
2003/08/12	-1.74	-1.74	-1.76	-1.76	609984	15379762.00
2003/08/13	-1.76	-1.76	-1.77	-1.77	826260	20491486.00
2003/08/14	-1.77	-1.76	-1.77	-1.77	706448	17575132.00
2003/08/15	-1.77	-1.76	-1.77	-1.77	382886	9447946.00
2003/08/18	-1.76	-1.76	-1.79	-1.79	1810536	43594396.00
2003/08/19	-1.79	-1.78	-1.79	-1.78	504589	12201530.00
2003/08/20	-1.78	-1.78	-1.79	-1.79	494879	11879751.00
2003/08/21	-1.79	-1.78	-1.79	-1.79	433272	10388776.00
2003/08/22	-1.79	-1.78	-1.79	-1.79	441744	10572948.00
2003/08/25	-1.79	-1.79	-1.80	-1.80	1100828	25906368.00
2003/08/26	-1.80	-1.79	-1.80	-1.80	241352	5686050.00
2003/08/27	-1.80	-1.79	-1.80	-1.79	155285	3683449.00
2003/08/28	-1.79	-1.79	-1.80	-1.79	248503	5887964.00
2003/08/29	-1.81	-1.78	-1.81	-1.78	1129796	26918056.00
2003/09/01	-1.78	-1.76	-1.79	-1.77	1482705	36669032.00
2003/09/02	-1.77	-1.75	-1.78	-1.77	1676913	41769376.00
2003/09/03	-1.77	-1.77	-1.79	-1.78	1151454	27985356.00
2003/09/04	-1.78	-1.77	-1.78	-1.78	339774	8236467.00
2003/09/05	-1.78	-1.78	-1.79	-1.79	976221	23374288.00
2003/09/08	-1.80	-1.79	-1.80	-1.79	209182	4981136.00
2003/09/09	-1.79	-1.79	-1.80	-1.79	417123	9913344.00
2003/09/10	-1.80	-1.79	-1.80	-1.79	250818	5948731.00
2003/09/11	-1.79	-1.78	-1.79	-1.78	322799	7762663.00
2003/09/12	-1.79	-1.79	-1.79	-1.79	223916	5340979.00
2003/09/15	-1.79	-1.79	-1.80	-1.79	132521	3130462.00
2003/09/16	-1.80	-1.79	-1.80	-1.79	324859	7727832.00
2003/09/17	-1.78	-1.78	-1.80	-1.79	267301	6329362.00
2003/09/18	-1.80	-1.79	-1.80	-1.80	87331	2060923.00
2003/09/19	-1.80	-1.79	-1.80	-1.79	127740	3018048.00
2003/09/22	-1.79	-1.79	-1.80	-1.80	254937	6047224.00
2003/09/23	-1.80	-1.79	-1.80	-1.79	147221	3476665.00
2003/09/24	-1.79	-1.79	-1.80	-1.80	123225	2917245.00
2003/09/25	-1.80	-1.80	-1.81	-1.81	651154	15226478.00
2003/09/26	-1.81	-1.80	-1.81	-1.80	644096	14991243.00
2003/09/29	-1.80	-1.80	-1.81	-1.80	209324	4884129.00
2003/09/30	-1.80	-1.79	-1.80	-1.79	702898	16575514.00
2003/10/08	-1.79	-1.79	-1.80	-1.80	95100	2248486.00
2003/10/09	-1.80	-1.79	-1.80	-1.80	164700	3889406.00
2003/10/10	-1.80	-1.78	-1.80	-1.79	305861	7289767.00
2003/10/13	-1.79	-1.79	-1.80	-1.80	301892	7188469.00
2003/10/14	-1.80	-1.79	-1.80	-1.80	1609203	37826840.00
2003/10/15	-1.79	-1.79	-1.80	-1.80	189578	4465449.00
2003/10/16	-1.80	-1.80	-1.80	-1.80	891093	20838266.00
2003/10/17	-1.80	-1.80	-1.80	-1.80	240190	5626221.00
2003/10/20	-1.80	-1.80	-1.81	-1.81	394300	9163931.00
2003/10/21	-1.81	-1.80	-1.82	-1.80	806933	18444292.00
2003/10/22	-1.81	-1.79	-1.81	-1.80	235918	5589596.00
2003/10/23	-1.80	-1.79	-1.81	-1.80	492290	11520990.00
2003/10/24	-1.80	-1.80	-1.80	-1.80	162300	3804067.00
2003/10/27	-1.80	-1.77	-1.80	-1.78	989170	23838088.00
2003/10/28	-1.78	-1.77	-1.79	-1.78	799730	19457608.00
2003/10/29	-1.77	-1.77	-1.78	-1.77	831774	20234904.00
2003/10/30	-1.78	-1.77	-1.78	-1.78	394240	9628514.00
2003/10/31	-1.78	-1.77	-1.78	-1.78	136680	3318969.00
2003/11/03	-1.78	-1.77	-1.79	-1.78	436575	10615446.00
2003/11/04	-1.77	-1.74	-1.78	-1.75	2484621	62509548.00
2003/11/05	-1.76	-1.75	-1.77	-1.76	589325	14768294.00
