600032 浙江新能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/05/25	4.21	5.05	4.21	5.05	1339017	6742716.00
2021/05/26	5.56	5.56	5.56	5.56	284787	1583416.00
2021/05/27	6.12	6.12	6.12	6.12	213725	1307997.00
2021/05/28	6.73	6.73	6.73	6.73	822564	5535856.00
2021/05/31	7.40	7.40	7.40	7.40	1366354	10111020.00
2021/06/01	8.14	8.14	8.14	8.14	790431	6434108.00
2021/06/02	8.95	8.95	8.95	8.95	1116150	9989543.00
2021/06/03	9.85	9.85	9.85	9.85	683764	6735075.00
2021/06/04	10.84	10.84	10.84	10.84	2209389	23949776.00
2021/06/07	11.92	11.92	11.92	11.92	3036504	36195128.00
2021/06/08	13.11	13.11	12.71	13.11	103532570	1354206848.00
2021/06/09	13.11	14.38	12.26	13.45	154724372	2043551104.00
2021/06/10	12.84	14.35	12.68	13.60	113424978	1545338624.00
2021/06/11	14.50	14.80	13.25	14.03	120808196	1701685888.00
2021/06/15	13.50	13.51	12.63	12.63	85476954	1100128256.00
2021/06/16	12.20	12.20	11.37	11.56	69718294	814298112.00
2021/06/17	11.62	12.57	11.19	12.30	71174620	852511488.00
2021/06/18	12.06	13.08	11.68	13.08	78198118	971694528.00
2021/06/21	13.00	13.55	12.73	12.88	77551571	1016920832.00
2021/06/22	12.98	14.17	12.98	14.17	108550518	1491787776.00
2021/06/23	14.00	15.59	13.80	15.59	121902531	1802974720.00
2021/06/24	16.11	16.66	14.03	14.04	97166785	1450443520.00
2021/06/25	13.63	13.89	12.81	12.94	73070618	959703232.00
2021/06/28	12.80	13.11	12.56	12.95	44140008	568976512.00
2021/06/29	12.93	13.32	12.55	13.06	43838251	571372608.00
2021/06/30	12.88	12.89	11.82	12.16	47908859	588593856.00
2021/07/01	12.02	12.37	11.50	11.50	35855708	426392128.00
2021/07/02	11.51	11.59	10.77	10.80	34511419	378835456.00
2021/07/05	10.80	10.84	10.36	10.63	29845124	314120800.00
2021/07/06	10.62	11.69	10.50	11.69	53351298	597068352.00
2021/07/07	11.40	11.69	11.01	11.32	43357060	490492128.00
2021/07/08	11.50	12.00	11.45	11.69	44696692	525693152.00
2021/07/09	11.41	11.90	11.27	11.58	35210577	408009984.00
2021/07/12	11.43	11.44	11.16	11.22	29204109	329284000.00
2021/07/13	11.19	12.22	10.94	11.83	49440391	573099584.00
2021/07/14	11.81	12.07	11.46	11.50	35579708	415868544.00
2021/07/15	11.16	11.20	10.78	11.12	27112580	298983424.00
2021/07/16	11.15	11.34	10.90	10.92	21061932	233931856.00
2021/07/19	10.60	10.80	10.46	10.48	19544848	206248064.00
2021/07/20	10.30	10.52	10.09	10.46	14540896	149694160.00
2021/07/21	10.41	10.54	10.27	10.40	14454324	150093680.00
2021/07/22	10.38	10.60	10.36	10.40	14754635	154106160.00
