600035 楚天高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/03/10	1.66	1.71	1.40	1.61	151209420	895735872.00
2004/03/11	1.57	1.68	1.54	1.58	75850124	460266016.00
2004/03/12	1.58	1.61	1.50	1.51	47255575	280726080.00
2004/03/15	1.51	1.65	1.51	1.59	47357323	286346368.00
2004/03/16	1.61	1.89	1.59	1.77	75265017	475358784.00
2004/03/17	1.77	1.85	1.73	1.78	41160285	265085744.00
2004/03/18	1.78	1.78	1.70	1.71	28203966	177857584.00
2004/03/19	1.70	1.78	1.68	1.77	16940712	107013368.00
2004/03/22	1.87	1.92	1.80	1.85	43342551	284303104.00
2004/03/23	1.85	1.85	1.78	1.84	15561967	100677992.00
2004/03/24	1.83	1.87	1.75	1.78	14643830	94534504.00
2004/03/25	1.78	1.80	1.74	1.78	11019908	70309728.00
2004/03/26	1.78	1.79	1.72	1.74	9797099	62025304.00
2004/03/29	1.74	1.74	1.66	1.67	12989482	80899736.00
2004/03/30	1.66	1.73	1.66	1.73	7437268	46353836.00
2004/03/31	1.74	1.74	1.68	1.70	7224694	45253440.00
2004/04/01	1.70	1.74	1.68	1.71	8471210	53084640.00
2004/04/02	1.72	1.75	1.69	1.72	8312719	52322452.00
2004/04/05	1.73	1.73	1.66	1.68	10973351	68211312.00
2004/04/06	1.68	1.77	1.64	1.77	16667194	104088912.00
2004/04/07	1.76	1.79	1.70	1.71	10729018	67974576.00
2004/04/08	1.73	1.75	1.68	1.69	8162853	51301176.00
2004/04/09	1.69	1.70	1.63	1.64	9655236	59551348.00
2004/04/12	1.62	1.69	1.61	1.67	5706053	35196144.00
2004/04/13	1.65	1.68	1.62	1.63	5646090	34732520.00
2004/04/14	1.62	1.65	1.55	1.57	7467952	44991648.00
2004/04/15	1.57	1.60	1.50	1.51	6177382	36681992.00
2004/04/16	1.51	1.56	1.41	1.50	6386399	37420768.00
2004/04/19	1.50	1.54	1.49	1.50	3618592	21331308.00
2004/04/20	1.49	1.55	1.45	1.55	4139601	24378336.00
2004/04/21	1.55	1.57	1.51	1.52	3982045	23710324.00
2004/04/22	1.52	1.58	1.50	1.58	3461595	20603462.00
2004/04/23	1.58	1.60	1.54	1.55	4998287	30043552.00
2004/04/26	1.55	1.60	1.49	1.52	3066587	18319072.00
2004/04/27	1.51	1.56	1.46	1.47	3757930	21942028.00
2004/04/28	1.46	1.54	1.45	1.47	3612820	21169426.00
2004/04/29	1.49	1.49	1.44	1.44	3282299	19012008.00
2004/04/30	1.42	1.48	1.42	1.46	1989892	11504255.00
2004/05/11	1.41	1.41	1.28	1.34	5112230	28319336.00
2004/05/12	1.34	1.41	1.29	1.41	3884092	21759154.00
2004/05/13	1.40	1.41	1.35	1.35	2401648	13501997.00
2004/05/14	1.35	1.37	1.30	1.31	2340872	12916865.00
2004/05/17	1.28	1.32	1.28	1.30	1763993	9679553.00
2004/05/18	1.30	1.41	1.29	1.39	2581896	14444690.00
2004/05/19	1.37	1.39	1.34	1.34	2834589	15911483.00
2004/05/20	1.31	1.35	1.31	1.32	1430585	7921633.00
2004/05/21	1.32	1.35	1.31	1.34	1411067	7820282.00
2004/05/24	1.35	1.36	1.30	1.30	1045587	5781819.00
2004/05/25	1.30	1.31	1.18	1.18	2894985	15523057.00
2004/05/26	1.18	1.18	1.07	1.12	2763614	14226793.00
2004/05/27	1.12	1.20	1.08	1.17	3567452	18587320.00
2004/05/28	1.19	1.19	1.12	1.13	1637074	8519782.00
2004/05/31	1.12	1.14	1.10	1.13	1667809	8578696.00
2004/06/01	1.12	1.26	1.11	1.23	5384272	28556168.00
2004/06/02	1.22	1.28	1.19	1.21	3956501	21230464.00
2004/06/03	1.20	1.22	1.12	1.13	3446631	17950092.00
2004/06/04	1.12	1.22	1.12	1.17	2420646	12749045.00
2004/06/07	1.17	1.18	1.13	1.15	1799889	9382948.00
2004/06/08	1.15	1.16	1.08	1.10	2067100	10626603.00
2004/06/09	1.10	1.12	1.07	1.07	2101990	10709199.00
2004/06/10	1.04	1.09	1.01	1.05	2348403	11757474.00
2004/06/11	1.05	1.13	1.04	1.04	2040227	10364298.00
2004/06/14	1.04	1.05	0.92	0.93	3347387	16241545.00
2004/06/15	0.93	0.99	0.90	0.98	3371440	16269395.00
2004/06/16	0.98	1.05	0.94	1.04	9643447	47709332.00
2004/06/17	1.06	1.07	1.00	1.00	7740297	38676176.00
2004/06/18	0.99	1.02	0.95	0.99	2502508	12194628.00
2004/06/21	0.98	1.04	0.96	1.04	1898775	9358699.00
2004/06/22	1.04	1.10	1.02	1.06	4632941	23456876.00
2004/06/23	1.07	1.08	1.01	1.08	2718542	13572998.00
