600036 招商银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/04/09	-3.87	-3.78	-3.87	-3.83	414108800	4418821632.00
2002/04/10	-3.83	-3.82	-3.90	-3.85	67945400	716684288.00
2002/04/11	-3.85	-3.83	-3.88	-3.87	22788200	240963536.00
2002/04/12	-3.87	-3.84	-3.88	-3.85	21256400	224059904.00
2002/04/15	-3.85	-3.85	-3.91	-3.90	18531100	193306928.00
2002/04/16	-3.91	-3.90	-3.96	-3.96	24925400	254942368.00
2002/04/17	-3.96	-3.93	-3.98	-3.94	11459300	116550896.00
2002/04/18	-3.95	-3.95	-3.97	-3.97	8533200	86436776.00
2002/04/19	-3.97	-3.96	-4.00	-3.96	15722200	157784096.00
2002/04/22	-3.97	-3.97	-4.00	-4.00	6593800	66105564.00
2002/04/23	-4.00	-3.98	-4.02	-4.00	7376544	73759696.00
2002/04/24	-4.00	-4.00	-4.08	-4.06	17241356	169554784.00
2002/04/25	-4.06	-4.04	-4.07	-4.05	9960272	97420592.00
2002/04/26	-4.05	-4.03	-4.05	-4.04	8169213	80382992.00
2002/04/29	-4.04	-4.03	-4.07	-4.04	9036087	88537528.00
2002/04/30	-4.03	-3.96	-4.05	-4.00	18262505	182699168.00
2002/05/08	-4.00	-3.99	-4.03	-4.03	4228300	41990480.00
2002/05/09	-4.03	-3.98	-4.03	-4.02	4470394	44552492.00
2002/05/10	-4.02	-4.02	-4.05	-4.05	4638480	45667176.00
2002/05/13	-4.05	-4.05	-4.11	-4.10	12725497	122595408.00
2002/05/14	-4.10	-4.09	-4.14	-4.13	8239948	78665000.00
2002/05/15	-4.14	-4.12	-4.18	-4.18	9708385	91212160.00
2002/05/16	-4.18	-4.18	-4.24	-4.22	19517141	178313616.00
2002/05/17	-4.21	-4.18	-4.24	-4.19	10010112	91833344.00
2002/05/20	-4.22	-4.21	-4.27	-4.26	11297072	101667312.00
2002/05/21	-4.21	-4.19	-4.25	-4.21	12608352	115523920.00
2002/05/22	-4.21	-4.21	-4.28	-4.27	7338358	66043320.00
2002/05/23	-4.27	-4.22	-4.27	-4.26	7188925	64749340.00
2002/05/24	-4.26	-4.25	-4.32	-4.29	10526000	92941496.00
2002/05/27	-4.28	-4.27	-4.31	-4.28	5439444	48160844.00
2002/05/28	-4.28	-4.26	-4.28	-4.28	5607677	50176392.00
2002/05/29	-4.28	-4.27	-4.35	-4.34	7480150	65398180.00
2002/05/30	-4.34	-4.31	-4.38	-4.32	13179829	113645568.00
2002/05/31	-4.33	-4.29	-4.34	-4.33	4669199	40944136.00
2002/06/04	-4.35	-4.26	-4.37	-4.29	21315760	188202672.00
2002/06/05	-4.20	-4.20	-4.33	-4.32	9149476	80995384.00
2002/06/06	-4.32	-4.24	-4.34	-4.26	12530992	112008800.00
2002/06/07	-4.25	-4.24	-4.28	-4.26	11760656	105772504.00
2002/06/10	-4.26	-4.24	-4.27	-4.26	4910142	44206176.00
2002/06/11	-4.26	-4.25	-4.28	-4.27	2848153	25522714.00
2002/06/12	-4.26	-4.26	-4.31	-4.29	3036753	26911352.00
2002/06/13	-4.29	-4.29	-4.32	-4.32	2861462	25179530.00
2002/06/14	-4.32	-4.32	-4.34	-4.34	2939500	25580232.00
2002/06/17	-4.35	-4.34	-4.36	-4.34	3036700	26183428.00
2002/06/18	-4.34	-4.29	-4.35	-4.30	5317500	46624768.00
2002/06/19	-4.30	-4.30	-4.35	-4.34	2774500	24170100.00
2002/06/20	-4.34	-4.30	-4.34	-4.33	4108300	36035752.00
2002/06/21	-4.32	-4.23	-4.33	-4.26	14947300	133912680.00
2002/06/24	-4.03	-4.03	-4.13	-4.03	95065000	934303744.00
2002/06/25	-4.00	-3.78	-4.05	-3.89	149514900	1563269888.00
2002/06/26	-3.91	-3.85	-3.96	-3.94	41963600	436232320.00
2002/06/27	-3.94	-3.85	-3.95	-3.87	41442700	431029632.00
2002/06/28	-3.87	-3.60	-3.87	-3.60	156015300	1785124992.00
2002/07/01	-3.57	-3.53	-3.64	-3.60	90583600	1050421248.00
2002/07/02	-3.60	-3.60	-3.70	-3.63	37955200	431511872.00
2002/07/03	-3.64	-3.57	-3.67	-3.62	25683700	295008704.00
2002/07/04	-3.62	-3.60	-3.76	-3.72	41951600	469443680.00
2002/07/05	-3.74	-3.66	-3.77	-3.67	33747200	375133056.00
2002/07/08	-3.70	-3.57	-3.70	-3.66	41931500	482217376.00
2002/07/09	-3.66	-3.56	-3.66	-3.58	53912800	625233344.00
2002/07/10	-3.58	-3.51	-3.67	-3.67	103668500	1203566208.00
2002/07/11	-3.69	-3.64	-3.71	-3.70	31305300	352569984.00
2002/07/12	-3.70	-3.68	-3.75	-3.74	32493600	359020960.00
2002/07/15	-3.74	-3.73	-3.81	-3.79	23448300	254515312.00
2002/07/16	-3.78	-3.73	-3.80	-3.78	18594600	203553088.00
2002/07/17	-3.78	-3.73	-3.80	-3.74	8479900	92305408.00
2002/07/18	-3.72	-3.69	-3.75	-3.72	20092000	223753104.00
2002/07/19	-3.71	-3.70	-3.74	-3.71	9684100	107533032.00
2002/07/22	-3.70	-3.70	-3.83	-3.82	21510500	233006976.00
2002/07/23	-3.83	-3.73	-3.84	-3.80	18666700	202301216.00
2002/07/24	-3.81	-3.76	-3.82	-3.80	8015800	86608488.00
2002/07/25	-3.81	-3.78	-3.85	-3.83	10470600	111641664.00
2002/07/26	-3.83	-3.81	-3.85	-3.84	7678800	81922992.00
2002/07/29	-3.85	-3.82	-3.87	-3.82	8736892	92498904.00
2002/07/30	-3.81	-3.71	-3.82	-3.76	33096969	361697376.00
2002/07/31	-3.77	-3.73	-3.83	-3.82	14637918	159111280.00
2002/08/01	-3.82	-3.79	-3.85	-3.81	6501091	69443720.00
2002/08/02	-3.81	-3.80	-3.83	-3.81	3755525	40261576.00
2002/08/05	-3.81	-3.81	-3.87	-3.87	5849596	61924220.00
2002/08/06	-3.87	-3.79	-3.91	-3.86	13136811	139434080.00
2002/08/07	-3.86	-3.82	-3.87	-3.85	8028176	85042728.00
2002/08/08	-3.83	-3.78	-3.84	-3.83	14410144	154749360.00
2002/08/09	-3.85	-3.83	-3.86	-3.86	10941629	115834568.00
2002/08/12	-3.92	-3.89	-3.94	-3.91	60520478	624023424.00
2002/08/13	-3.91	-3.87	-3.93	-3.91	15877898	164963344.00
2002/08/14	-3.91	-3.87	-3.91	-3.88	8680932	90676672.00
2002/08/15	-3.88	-3.87	-3.90	-3.89	6382901	66765252.00
2002/08/16	-3.89	-3.86	-3.93	-3.89	12814339	133810304.00
2002/08/19	-3.88	-3.83	-3.91	-3.86	11227906	118801544.00
2002/08/20	-3.85	-3.73	-3.85	-3.77	38149219	414593216.00
2002/08/21	-3.76	-3.74	-3.78	-3.78	16215953	177359952.00
2002/08/22	-3.78	-3.74	-3.79	-3.77	21519626	235240912.00
2002/08/23	-3.77	-3.73	-3.78	-3.77	13680119	149877584.00
