600037 歌华有线 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/02/08	4.69	4.83	3.77	3.87	45480700	1400461824.00
2001/02/09	4.00	4.51	4.00	4.25	15662000	472699264.00
2001/02/12	4.20	4.61	4.12	4.49	9643200	297612416.00
2001/02/13	4.51	4.55	4.40	4.46	3484400	108265152.00
2001/02/14	4.46	4.78	4.42	4.69	5799000	185205664.00
2001/02/15	4.71	4.75	4.48	4.52	2441600	77107856.00
2001/02/16	4.46	5.01	4.39	4.98	6642700	214228944.00
2001/02/19	5.01	5.15	4.87	4.90	6161200	205019024.00
2001/02/20	4.92	5.09	4.81	4.89	6726600	221702544.00
2001/02/21	4.87	4.98	4.82	4.87	3685200	121221808.00
2001/02/22	4.87	5.15	4.84	4.91	3769100	125998240.00
2001/02/23	4.92	5.09	4.87	5.06	2145600	71011832.00
2001/02/26	5.06	5.14	4.99	5.07	2245100	75508192.00
2001/02/27	5.05	5.10	4.89	4.92	3124100	103287440.00
2001/02/28	4.92	4.96	4.78	4.85	2249800	73570296.00
2001/03/01	4.85	4.96	4.83	4.85	1152800	37835840.00
2001/03/02	4.87	5.06	4.86	4.99	1617800	53762952.00
2001/03/05	4.92	5.00	4.85	4.87	998500	32834504.00
2001/03/06	4.82	5.06	4.82	5.05	1610600	53432612.00
2001/03/07	5.05	5.14	4.99	5.04	1716200	57819064.00
2001/03/08	5.04	5.45	5.02	5.38	4746700	164926512.00
2001/03/09	5.38	5.53	5.29	5.34	2544500	89509024.00
2001/03/12	5.34	5.45	5.31	5.41	1111800	38856216.00
2001/03/13	5.43	5.49	5.26	5.29	2013200	70059656.00
2001/03/14	5.26	5.34	5.26	5.31	1353600	46902392.00
2001/03/15	5.33	5.45	5.27	5.40	1493800	52039044.00
2001/03/16	5.40	5.47	5.34	5.35	1416400	49626712.00
2001/03/19	5.34	5.34	5.19	5.30	1877900	64574020.00
2001/03/20	5.30	5.44	5.24	5.31	1081400	37682112.00
2001/03/21	5.31	5.41	5.27	5.34	1164100	40596624.00
2001/03/22	5.35	5.64	5.34	5.54	1770400	62706064.00
2001/03/23	5.52	5.58	5.28	5.38	1468200	51555204.00
2001/03/26	5.34	5.49	5.33	5.49	823100	28916672.00
2001/03/27	5.53	5.74	5.45	5.61	1900000	68293528.00
2001/03/28	5.66	5.66	5.48	5.52	1112600	39589192.00
2001/03/29	5.50	5.59	5.45	5.50	966600	34321104.00
2001/03/30	5.48	5.64	5.46	5.53	952700	34024504.00
2001/04/02	5.55	5.82	5.52	5.69	1841000	67030888.00
2001/04/03	5.69	5.74	5.57	5.73	883700	31927310.00
2001/04/04	5.63	5.89	5.63	5.73	2644200	97314720.00
2001/04/05	5.68	6.19	5.66	6.18	3093700	117189272.00
2001/04/06	6.26	6.45	6.19	6.21	3287800	128042328.00
2001/04/09	6.22	6.54	6.13	6.50	1557900	60943728.00
2001/04/10	6.54	6.71	6.46	6.53	1994600	80131232.00
2001/04/11	6.54	6.70	6.40	6.48	1480500	59214868.00
2001/04/12	6.50	6.97	6.45	6.60	3258900	133280144.00
2001/04/13	6.61	6.89	6.56	6.89	1583100	64383920.00
2001/04/16	7.07	7.50	7.00	7.44	4817900	209200848.00
2001/04/17	7.49	7.61	7.27	7.46	3135900	137650912.00
2001/04/18	7.45	7.56	7.16	7.49	2503000	108865352.00
2001/04/19	7.46	7.50	7.03	7.14	5717600	245897792.00
2001/04/20	7.09	7.23	6.53	6.56	5454500	227294400.00
2001/04/23	6.54	6.77	6.47	6.68	3195700	128713112.00
2001/04/24	6.69	6.94	6.63	6.73	1947700	79928112.00
2001/04/25	6.70	6.71	6.20	6.23	4847800	190487072.00
2001/04/26	6.20	6.49	6.17	6.28	2499100	97750296.00
2001/04/27	6.24	6.54	6.24	6.33	1535900	60338612.00
2001/04/30	6.35	6.57	6.31	6.49	1060100	42142300.00
2001/05/08	6.49	6.56	6.45	6.52	668200	26642536.00
2001/05/09	6.52	6.52	6.19	6.28	1575500	61299152.00
2001/05/10	6.22	6.49	6.17	6.25	1069900	41423888.00
2001/05/11	6.31	6.40	6.20	6.40	549900	21441402.00
2001/05/14	6.40	6.65	6.40	6.63	1483800	59579660.00
2001/05/15	6.68	6.71	6.49	6.56	1092100	43811196.00
2001/05/16	6.56	6.88	6.50	6.79	1499400	61061008.00
2001/05/17	6.87	6.87	6.67	6.68	953900	39031012.00
2001/05/18	6.68	6.84	6.58	6.74	1248100	50676268.00
2001/05/21	6.77	6.98	6.68	6.79	1151300	47489720.00
2001/05/22	6.77	6.80	6.51	6.52	745100	30009930.00
2001/05/23	6.52	6.52	6.22	6.30	1877500	73425480.00
2001/05/24	6.29	6.39	6.24	6.31	651300	25378940.00
2001/05/25	6.31	6.35	6.08	6.24	1473600	56753692.00
2001/05/28	6.21	6.22	5.96	6.01	1564800	59321900.00
2001/05/29	5.98	6.16	5.94	6.12	538000	20394188.00
2001/05/30	6.09	6.38	5.96	6.33	1049200	40149200.00
2001/05/31	6.38	6.42	6.19	6.27	515900	20046152.00
2001/06/01	6.26	6.39	6.19	6.26	651000	25417552.00
2001/06/04	6.26	6.46	6.22	6.35	1025400	40127368.00
2001/06/05	6.35	6.37	6.29	6.31	492200	19208252.00
2001/06/06	6.29	6.31	6.13	6.15	628300	24174036.00
2001/06/07	6.15	6.15	5.98	6.01	1339400	50680032.00
2001/06/08	6.00	6.17	5.98	6.08	577800	21905876.00
2001/06/11	6.08	6.24	6.03	6.11	677800	25832854.00
2001/06/12	6.12	6.19	6.06	6.10	341800	13010858.00
2001/06/13	6.08	6.35	6.07	6.33	862300	33476618.00
2001/06/14	6.32	6.33	6.00	6.06	1120500	42881984.00
2001/06/15	6.05	6.17	6.00	6.10	721300	27454004.00
2001/06/18	6.06	6.10	5.83	6.02	1311000	49183080.00
2001/06/19	6.02	6.35	5.85	6.31	2067500	79469544.00
2001/06/20	6.29	6.38	6.15	6.19	1002200	39102176.00
2001/06/21	6.17	6.33	6.15	6.25	373800	14457146.00
2001/06/22	6.30	6.42	6.22	6.38	1240300	48623548.00
2001/06/26	6.53	6.53	6.38	6.42	1345700	53288800.00
2001/06/27	6.47	6.47	6.26	6.31	566600	22187864.00
2001/06/28	6.31	6.35	6.12	6.17	463700	17867280.00
2001/06/29	6.19	6.43	6.17	6.20	602400	23553654.00
2001/07/02	6.29	6.39	6.26	6.31	494300	19302960.00
2001/07/03	6.32	6.42	6.26	6.35	553600	21705588.00
2001/07/04	6.40	6.40	6.28	6.28	267100	10419681.00
2001/07/05	6.26	6.37	6.15	6.28	568000	22090930.00
2001/07/06	6.28	6.45	6.19	6.32	1506400	59269632.00
2001/07/09	6.32	6.71	6.31	6.61	2451800	98379536.00
2001/07/10	6.68	6.72	6.52	6.65	1186100	47767176.00
2001/07/11	6.67	6.74	6.54	6.71	1448300	58688532.00
2001/07/12	6.76	6.78	6.56	6.76	1877600	76348120.00
2001/07/13	6.75	7.11	6.72	6.79	3987400	165602912.00
2001/07/16	7.26	7.26	6.60	6.64	4520200	188705552.00
2001/07/17	6.64	6.64	6.33	6.38	1269300	50113420.00
2001/07/18	6.38	6.46	6.33	6.37	440000	17241668.00
2001/07/19	6.41	6.50	6.38	6.46	260400	10280822.00
2001/07/20	6.52	6.79	6.45	6.68	1052400	42437180.00
2001/07/23	6.68	6.70	6.42	6.49	693400	27540534.00
2001/07/24	6.42	6.45	6.01	6.19	2109300	80876240.00
2001/07/25	6.17	6.29	6.05	6.10	702200	26721882.00
2001/07/26	6.10	6.10	5.97	6.00	553200	20830312.00
2001/07/27	6.00	6.05	5.40	5.43	2403200	86428560.00
2001/07/30	5.36	5.36	4.85	5.08	2971900	98676304.00
2001/07/31	4.99	5.31	4.99	5.15	1453000	49480440.00
2001/08/01	5.22	5.40	5.15	5.31	1206000	41522012.00
2001/08/02	5.31	5.33	4.71	5.11	1645900	54658544.00
2001/08/03	5.06	5.18	4.88	4.93	1012900	33678216.00
2001/08/06	4.92	4.92	4.25	4.41	2060700	64521828.00
2001/08/07	4.39	4.66	4.32	4.51	2488800	77551728.00
2001/08/08	4.51	4.60	4.25	4.30	1103600	33670088.00
2001/08/09	4.32	4.42	4.16	4.41	1078700	32616984.00
2001/08/10	4.60	4.82	4.36	4.78	1934300	61899324.00
2001/08/13	4.78	5.02	4.71	4.83	2001000	65621608.00
2001/08/14	4.85	4.90	4.49	4.63	1877100	59582280.00
2001/08/15	4.60	4.93	4.53	4.92	1268600	41207168.00
2001/08/16	4.92	5.12	4.83	4.84	2916600	96948000.00
2001/08/17	4.83	4.98	4.65	4.90	2617100	83948704.00
2001/08/20	4.83	5.05	4.78	5.02	1294800	43034752.00
2001/08/21	5.01	5.20	5.01	5.08	2245900	75948296.00
2001/08/22	5.18	5.18	4.71	4.81	3123800	102554048.00
2001/08/23	4.71	4.97	4.52	4.92	3547100	112716624.00
2001/08/24	4.75	4.95	4.74	4.90	905200	29404106.00
2001/08/27	4.87	4.87	4.67	4.67	1267800	40680252.00
2001/08/28	4.59	4.91	4.57	4.88	1880300	60422952.00
2001/08/29	4.88	5.17	4.84	4.96	2680700	89608872.00
2001/08/30	4.96	5.11	4.91	5.03	1123900	37562812.00
2001/08/31	5.06	5.15	5.00	5.03	754300	25317000.00
2001/09/03	5.03	5.14	5.01	5.01	1029600	34565424.00
2001/09/04	4.99	5.29	4.95	5.22	2354100	80060848.00
2001/09/05	5.23	5.33	5.15	5.20	1780700	60901344.00
2001/09/06	5.20	5.22	5.01	5.17	1095000	36830128.00
2001/09/07	5.13	5.13	4.81	4.82	2127000	69897488.00
2001/09/10	4.71	5.16	4.66	5.11	1606100	53412248.00
2001/09/11	5.11	5.25	5.01	5.09	1250100	42453852.00
2001/09/12	4.92	5.08	4.83	5.06	1690200	55921408.00
2001/09/13	4.97	5.23	4.97	5.12	1444600	48960352.00
2001/09/14	5.11	5.20	5.02	5.08	779700	26305218.00
2001/09/17	4.97	5.16	4.94	5.06	845200	28377652.00
2001/09/18	5.06	5.18	4.99	5.13	505900	16982424.00
2001/09/19	5.15	5.30	5.04	5.28	1775700	60600064.00
2001/09/20	5.34	5.36	5.19	5.23	923200	31818640.00
2001/09/21	5.20	5.31	5.15	5.24	732100	25109864.00
2001/09/24	5.27	5.36	5.21	5.35	680900	23519110.00
2001/09/25	5.36	5.47	5.31	5.36	949600	33217262.00
2001/09/26	5.35	5.36	5.20	5.20	609400	20888712.00
2001/09/27	5.19	5.27	5.15	5.21	465000	15876044.00
2001/09/28	5.21	5.29	5.13	5.18	437800	14890377.00
2001/10/08	5.18	5.19	4.78	4.94	1055600	34902620.00
2001/10/09	4.90	5.09	4.86	4.99	219200	7270780.00
2001/10/10	5.01	5.01	4.62	4.71	1531900	49104824.00
2001/10/11	4.66	4.83	4.49	4.52	1506100	47582632.00
2001/10/12	4.52	4.83	4.44	4.60	1464900	46066900.00
2001/10/15	4.65	4.71	4.32	4.37	1260900	39113496.00
2001/10/16	4.30	4.33	3.94	3.99	2821400	82610144.00
2001/10/17	3.97	4.16	3.82	3.97	1660900	47632744.00
2001/10/18	4.07	4.22	3.95	4.00	1465300	42810372.00
2001/10/19	3.97	4.14	3.80	3.84	2177900	62571848.00
2001/10/22	3.79	4.05	3.62	3.67	1776400	50122248.00
2001/10/23	4.31	4.31	4.31	4.31	2316500	70074368.00
2001/10/24	5.01	5.01	4.67	4.71	7017800	229635168.00
2001/10/25	4.71	4.76	4.31	4.48	2161300	67925112.00
2001/10/26	4.45	4.58	4.37	4.53	1108500	34334600.00
2001/10/29	4.48	4.70	4.48	4.65	655600	20821020.00
2001/10/30	4.60	4.85	4.60	4.66	1728400	55406920.00
2001/10/31	4.57	4.74	4.35	4.67	2531200	77892016.00
2001/11/01	4.64	4.74	4.59	4.68	945000	30096792.00
2001/11/02	4.68	4.71	4.46	4.52	350300	10976368.00
2001/11/05	4.53	4.69	4.46	4.53	443400	13835268.00
2001/11/06	4.52	4.56	4.44	4.56	438400	13622732.00
2001/11/07	4.46	4.53	4.22	4.22	1479000	45199144.00
2001/11/08	4.03	4.39	4.03	4.37	1670100	50260912.00
2001/11/09	4.41	4.85	4.31	4.67	2421000	75718256.00
2001/11/12	4.60	4.67	4.48	4.53	341100	10689091.00
2001/11/13	4.48	4.57	4.42	4.47	335100	10367659.00
2001/11/14	4.48	4.61	4.45	4.45	182900	5701628.00
2001/11/15	4.46	4.63	4.46	4.58	303800	9479492.00
2001/11/16	5.01	5.22	4.69	4.70	2995100	98020384.00
2001/11/19	4.66	4.79	4.66	4.77	350800	11299805.00
2001/11/20	4.82	4.92	4.76	4.81	572100	18670772.00
2001/11/21	4.76	5.00	4.76	4.94	1050400	34579356.00
2001/11/22	4.95	4.95	4.82	4.89	324400	10603212.00
2001/11/23	4.89	4.97	4.83	4.94	456300	14988435.00
2001/11/26	4.94	4.94	4.83	4.89	379400	12395808.00
2001/11/27	4.83	4.94	4.83	4.91	128500	4206992.00
2001/11/28	4.89	5.03	4.89	4.94	500100	16552567.00
2001/11/29	4.94	4.99	4.90	4.92	258100	8500707.00
2001/11/30	4.97	4.99	4.91	4.94	271400	8938734.00
2001/12/03	4.94	5.08	4.91	5.02	705800	23471884.00
2001/12/04	5.02	5.05	4.92	4.98	371400	12257979.00
2001/12/05	4.94	4.96	4.81	4.81	510300	16684756.00
2001/12/06	4.83	4.92	4.81	4.88	261500	8554930.00
2001/12/07	4.94	4.94	4.82	4.83	197400	6441574.00
2001/12/10	4.83	4.83	4.72	4.73	337500	10847477.00
2001/12/11	4.72	4.83	4.71	4.72	362200	11616513.00
2001/12/12	4.71	4.78	4.70	4.70	340000	10898233.00
2001/12/13	4.68	4.72	4.64	4.64	451700	14356260.00
2001/12/14	4.63	4.66	4.55	4.56	200400	6315341.00
2001/12/17	4.56	4.71	4.56	4.58	123300	3885654.00
2001/12/18	4.60	4.63	4.38	4.59	361200	11188753.00
