600038 中直股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/12/18	4.78	5.10	4.18	4.78	38355600	692765184.00
2000/12/19	4.67	4.85	4.53	4.63	10639600	196803856.00
2000/12/20	4.61	5.29	4.59	5.29	9869900	192185968.00
2000/12/21	5.37	5.56	5.15	5.40	13469900	274477088.00
2000/12/22	5.36	5.42	5.10	5.14	5779500	116114176.00
2000/12/25	5.14	5.32	5.11	5.11	3247000	64728648.00
2000/12/26	5.11	5.28	5.04	5.27	3133700	61884668.00
2000/12/27	5.27	5.32	5.04	5.06	2318800	46034232.00
2000/12/28	5.04	5.10	4.90	4.93	2482300	47903456.00
2000/12/29	4.95	5.07	4.91	4.99	1460500	28286028.00
2001/01/02	5.04	5.20	4.96	5.13	1488600	29189180.00
2001/01/03	5.11	5.31	5.00	5.21	2924400	57750272.00
2001/01/04	5.25	5.33	5.16	5.18	2012700	40397224.00
2001/01/05	5.18	5.46	5.18	5.39	3639500	74294880.00
2001/01/08	5.43	5.47	5.11	5.24	1825300	36848840.00
2001/01/09	5.21	5.31	5.13	5.20	1165200	23242980.00
2001/01/10	5.20	5.31	5.12	5.24	985900	19749780.00
2001/01/11	5.25	5.36	5.21	5.22	1562500	31572928.00
2001/01/12	5.21	5.21	5.04	5.06	1455300	28722020.00
2001/01/15	4.99	5.05	4.75	4.76	1945700	37129532.00
2001/01/16	4.68	4.83	4.64	4.82	1110500	20751252.00
2001/01/17	4.82	4.85	4.67	4.71	660500	12317851.00
2001/01/18	4.68	4.80	4.67	4.71	728400	13585204.00
2001/01/19	4.80	4.89	4.73	4.86	705500	13401813.00
2001/02/05	4.87	4.88	4.50	4.53	1108900	20395290.00
2001/02/06	4.45	4.50	4.20	4.35	1247500	21907952.00
2001/02/07	4.35	4.49	4.32	4.40	547800	9684775.00
2001/02/08	4.41	4.47	4.28	4.29	561100	9876855.00
2001/02/09	4.32	4.48	4.32	4.43	510000	9046360.00
2001/02/12	4.45	4.46	4.32	4.44	263400	4673228.00
2001/02/13	4.46	4.52	4.39	4.43	297500	5326326.00
2001/02/14	4.35	4.44	4.35	4.40	410400	7263429.00
2001/02/15	4.37	4.42	4.36	4.38	163900	2898172.00
2001/02/16	4.32	4.44	4.25	4.43	356500	6207251.00
2001/02/19	4.42	4.53	4.37	4.49	334900	6012577.00
2001/02/20	4.50	4.53	4.32	4.35	431800	7717377.00
2001/02/21	4.25	4.35	4.25	4.30	374800	6530929.00
2001/02/22	4.28	4.41	4.27	4.32	226600	3976412.00
2001/02/23	4.35	4.46	4.32	4.45	266400	4697960.00
2001/02/26	4.44	4.57	4.38	4.54	640800	11507599.00
2001/02/27	4.54	4.57	4.44	4.54	619300	11190697.00
2001/02/28	4.54	4.54	4.43	4.46	358300	6430794.00
2001/03/01	4.44	4.53	4.44	4.50	274200	4933507.00
