600039 四川路桥 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/03/25	0.59	0.64	0.58	0.61	47150355	427765216.00
2003/03/26	0.60	0.61	0.56	0.58	15149117	134929216.00
2003/03/27	0.57	0.71	0.56	0.71	26921118	252923776.00
2003/03/28	0.76	0.80	0.73	0.74	45136818	456486432.00
2003/03/31	0.73	0.77	0.71	0.75	15234325	151824672.00
2003/04/01	0.74	0.76	0.72	0.73	11795655	117521152.00
2003/04/02	0.72	0.76	0.71	0.72	9277420	91987000.00
2003/04/03	0.71	0.74	0.71	0.74	5049947	49949176.00
2003/04/04	0.74	0.75	0.72	0.73	4084421	40620096.00
2003/04/07	0.72	0.73	0.66	0.66	11832630	113923688.00
2003/04/08	0.66	0.68	0.65	0.67	6744903	64043608.00
2003/04/09	0.67	0.68	0.61	0.65	10273000	95969720.00
2003/04/10	0.65	0.73	0.65	0.69	11003806	106613304.00
2003/04/11	0.68	0.72	0.67	0.70	7482634	72788864.00
2003/04/14	0.71	0.81	0.70	0.75	12890983	130596568.00
2003/04/15	0.75	0.76	0.72	0.74	7189829	71681240.00
2003/04/16	0.74	0.89	0.73	0.85	25998400	272400576.00
2003/04/17	0.85	0.88	0.81	0.83	13349289	142744832.00
2003/04/18	0.83	0.86	0.81	0.81	7654621	81036000.00
2003/04/21	0.81	0.81	0.75	0.78	6523331	66769708.00
2003/04/22	0.78	0.81	0.77	0.78	2904397	29878936.00
2003/04/23	0.78	0.79	0.71	0.72	5506058	55135916.00
2003/04/24	0.72	0.75	0.69	0.71	4185376	41173620.00
2003/04/25	0.71	0.73	0.66	0.67	3169626	30639414.00
2003/04/28	0.65	0.72	0.63	0.71	4787635	45679872.00
2003/04/29	0.67	0.67	0.60	0.61	7826766	71454584.00
2003/04/30	0.61	0.64	0.60	0.62	3774300	34528680.00
2003/05/12	0.62	0.62	0.56	0.58	3485600	31009444.00
2003/05/13	0.58	0.59	0.47	0.53	6354559	53447000.00
2003/05/14	0.53	0.58	0.53	0.58	6193355	53751692.00
2003/05/15	0.57	0.61	0.55	0.61	4952790	44338132.00
2003/05/16	0.61	0.62	0.59	0.59	2794235	25129764.00
2003/05/19	0.59	0.61	0.57	0.60	2877364	25780814.00
2003/05/20	0.60	0.60	0.57	0.57	2173049	19187312.00
2003/05/21	0.57	0.63	0.57	0.61	4159365	37646840.00
2003/05/22	0.60	0.61	0.58	0.60	1822399	16418214.00
2003/05/23	0.60	0.65	0.60	0.62	4549152	41885240.00
2003/05/26	0.62	0.68	0.62	0.66	5863226	55186244.00
2003/05/27	0.66	0.68	0.63	0.64	3861766	36049576.00
2003/05/28	0.64	0.65	0.60	0.61	3173233	29092076.00
2003/05/29	0.60	0.62	0.59	0.62	2252238	20344940.00
2003/05/30	0.62	0.63	0.60	0.62	2392929	21837208.00
2003/06/02	0.62	0.63	0.61	0.63	1601401	14688465.00
2003/06/03	0.62	0.64	0.60	0.60	1535932	14012593.00
2003/06/04	0.60	0.62	0.59	0.61	1449847	13142727.00
2003/06/05	0.61	0.61	0.59	0.59	1602459	14463016.00
2003/06/06	0.58	0.59	0.56	0.56	2302063	20329044.00
2003/06/09	0.56	0.56	0.54	0.54	1217976	10533474.00
2003/06/10	0.55	0.57	0.55	0.56	715135	6237146.00
2003/06/11	0.57	0.59	0.56	0.59	1053140	9330161.00
2003/06/12	0.59	0.60	0.57	0.60	1495901	13361427.00
2003/06/13	0.61	0.62	0.60	0.61	2084814	18980336.00
2003/06/16	0.61	0.62	0.59	0.59	716206	6444939.00
2003/06/17	0.59	0.60	0.58	0.58	528222	4717649.00
2003/06/18	0.58	0.60	0.58	0.58	568399	5074394.00
2003/06/19	0.59	0.59	0.56	0.57	829052	7285580.00
2003/06/20	0.57	0.57	0.55	0.55	716800	6248565.00
2003/06/23	0.55	0.56	0.54	0.55	630485	5459784.00
2003/06/24	0.55	0.57	0.55	0.57	449993	3947843.00
2003/06/25	0.57	0.58	0.54	0.54	468926	4082101.00
2003/06/26	0.54	0.55	0.52	0.55	943124	8102283.00
2003/06/27	0.55	0.55	0.52	0.52	837750	7132745.00
2003/06/30	0.51	0.51	0.50	0.50	739139	6171931.00
2003/07/01	0.50	0.52	0.49	0.49	551093	4608304.00
2003/07/02	0.49	0.52	0.49	0.52	676553	5658513.00
2003/07/04	0.52	0.52	0.50	0.51	614358	5156342.00
2003/07/07	0.51	0.51	0.49	0.50	413958	3437967.00
2003/07/08	0.50	0.51	0.50	0.51	395550	3318389.00
2003/07/09	0.51	0.54	0.51	0.53	858692	7281159.00
2003/07/10	0.53	0.56	0.52	0.54	1142100	9829227.00
2003/07/11	0.54	0.54	0.52	0.54	753046	6435055.00
2003/07/14	0.54	0.55	0.52	0.54	959397	8246931.00
2003/07/15	0.55	0.59	0.55	0.57	4096973	36317240.00
2003/07/16	0.57	0.57	0.56	0.56	870372	7606022.00
2003/07/17	0.56	0.57	0.55	0.57	1173500	10276368.00
2003/07/18	0.57	0.57	0.51	0.52	1303300	11188408.00
2003/07/21	0.51	0.51	0.49	0.50	1095183	9124443.00
