600048 保利发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/07/31	-2.71	-2.64	-2.79	-2.69	93617254	1846673408.00
2006/08/01	-2.71	-2.61	-2.75	-2.67	25865877	528773504.00
2006/08/02	-2.68	-2.58	-2.69	-2.61	21449920	456345120.00
2006/08/03	-2.61	-2.60	-2.66	-2.62	11632691	245761792.00
2006/08/04	-2.63	-2.57	-2.65	-2.60	14576344	314332896.00
2006/08/07	-2.59	-2.50	-2.61	-2.53	14323413	321071296.00
2006/08/08	-2.52	-2.48	-2.55	-2.51	9679870	220951072.00
2006/08/09	-2.52	-2.52	-2.59	-2.57	9328782	207184816.00
2006/08/10	-2.58	-2.55	-2.60	-2.56	8555872	187582272.00
2006/08/11	-2.56	-2.45	-2.57	-2.46	12181275	282284384.00
2006/08/14	-2.44	-2.42	-2.49	-2.46	11282717	269495616.00
2006/08/15	-2.49	-2.41	-2.51	-2.42	11575453	273770336.00
2006/08/16	-2.42	-2.40	-2.45	-2.44	7642225	185399648.00
2006/08/17	-2.45	-2.41	-2.47	-2.46	6462346	155574384.00
2006/08/18	-2.46	-2.44	-2.48	-2.47	4765777	113198272.00
2006/08/21	-2.53	-2.46	-2.53	-2.48	5687730	132309560.00
2006/08/22	-2.48	-2.44	-2.49	-2.48	3776118	89607216.00
2006/08/23	-2.48	-2.46	-2.51	-2.49	4716143	110003224.00
2006/08/24	-2.49	-2.43	-2.50	-2.43	6377857	153027200.00
2006/08/25	-2.43	-2.42	-2.45	-2.45	3786390	91328544.00
2006/08/28	-2.44	-2.30	-2.45	-2.30	9611396	245851920.00
2006/08/29	-2.25	-2.21	-2.30	-2.27	10993224	296459744.00
2006/08/30	-2.29	-2.11	-2.30	-2.14	10122071	284170112.00
2006/08/31	-2.15	-2.11	-2.16	-2.13	6868496	197908864.00
2006/09/01	-2.13	-2.01	-2.14	-2.13	8725988	260194240.00
2006/09/04	-2.13	-2.08	-2.16	-2.10	6911356	200658944.00
2006/09/05	-2.11	-2.04	-2.16	-2.15	6801913	198559696.00
2006/09/06	-2.14	-2.14	-2.23	-2.17	6910210	193934512.00
2006/09/07	-2.18	-2.14	-2.19	-2.16	3986985	113504040.00
2006/09/08	-2.15	-2.08	-2.16	-2.15	5120598	149630112.00
2006/09/11	-2.14	-2.12	-2.21	-2.15	4630661	131300048.00
2006/09/12	-2.15	-2.12	-2.17	-2.14	3626083	104334952.00
2006/09/13	-2.13	-2.12	-2.20	-2.19	3325057	94641760.00
2006/09/14	-2.21	-2.17	-2.23	-2.17	4887994	135815712.00
2006/09/15	-2.18	-2.15	-2.20	-2.17	3365652	95266408.00
2006/09/18	-2.17	-2.12	-2.17	-2.15	3189348	91568048.00
2006/09/19	-2.15	-2.15	-2.19	-2.19	3813322	107725480.00
2006/09/20	-2.19	-2.05	-2.19	-2.10	8643435	253955776.00
2006/09/22	-2.08	-2.06	-2.13	-2.10	4030055	118963688.00
2006/09/25	-2.11	-2.07	-2.17	-2.15	4053557	118034792.00
2006/09/26	-2.16	-2.15	-2.26	-2.23	6257932	172464208.00
2006/09/27	-2.23	-2.21	-2.26	-2.23	2123147	57882880.00
2006/09/28	-2.23	-2.17	-2.25	-2.21	4136554	115213416.00
2006/09/29	-2.21	-2.16	-2.22	-2.21	3136216	87822952.00
2006/10/09	-2.20	-2.18	-2.24	-2.20	5969175	164735904.00
2006/10/10	-2.21	-2.20	-2.33	-2.30	11108025	295139104.00
2006/10/11	-2.32	-2.30	-2.34	-2.31	5406733	140700976.00
2006/10/12	-2.31	-2.31	-2.37	-2.36	5404765	137874864.00
2006/10/13	-2.37	-2.33	-2.38	-2.34	2605932	66650288.00
2006/10/16	-2.36	-2.34	-2.39	-2.35	2825476	71311376.00
2006/10/17	-2.36	-2.29	-2.37	-2.33	3671618	95723136.00
2006/10/18	-2.32	-2.26	-2.35	-2.26	4796635	127023360.00
2006/10/19	-2.26	-2.26	-2.30	-2.29	3411349	90670824.00
2006/10/20	-2.30	-2.25	-2.30	-2.26	2962724	79394904.00
2006/10/23	-2.26	-2.26	-2.30	-2.30	2535240	67270576.00
2006/10/24	-2.30	-2.20	-2.30	-2.21	4734908	129492256.00
2006/10/25	-2.22	-2.19	-2.24	-2.23	2770996	76838088.00
2006/10/26	-2.23	-2.15	-2.26	-2.18	5889991	165433376.00
2006/10/27	-2.18	-2.13	-2.20	-2.18	3669167	104911648.00
2006/10/30	-2.19	-2.17	-2.26	-2.22	3252113	89935696.00
2006/10/31	-2.26	-2.19	-2.26	-2.25	6248897	171219072.00
2006/11/01	-2.24	-2.21	-2.28	-2.25	4555103	123238064.00
2006/11/02	-2.26	-2.25	-2.29	-2.26	3367056	89990584.00
2006/11/03	-2.26	-2.18	-2.27	-2.22	3646580	101442200.00
2006/11/06	-2.24	-2.20	-2.24	-2.21	2418366	66613456.00
2006/11/07	-2.22	-2.04	-2.23	-2.04	9339077	274434752.00
2006/11/08	-2.04	-2.01	-2.10	-2.03	5894600	177661664.00
2006/11/09	-2.04	-1.92	-2.07	-1.95	6219607	196788944.00
2006/11/10	-1.97	-1.94	-2.03	-2.01	4569295	143331904.00
2006/11/13	-2.05	-1.93	-2.07	-2.05	4694494	144962592.00
2006/11/14	-2.05	-1.98	-2.08	-2.00	3129544	96038616.00
2006/11/15	-2.00	-1.80	-2.02	-1.83	5374315	176971040.00
2006/11/16	-1.83	-1.75	-1.87	-1.86	5803524	198433472.00
2006/11/17	-1.87	-1.75	-1.89	-1.76	3426093	117206088.00
2006/11/20	-1.77	-1.67	-1.80	-1.75	4388144	154003904.00
2006/11/21	-1.76	-1.76	-1.83	-1.81	3989681	136555600.00
2006/11/22	-1.81	-1.75	-1.85	-1.78	3465019	118939072.00
2006/11/23	-1.75	-1.69	-1.83	-1.81	3566133	123669640.00
2006/11/24	-1.81	-1.78	-1.86	-1.84	3063819	103353224.00
2006/11/27	-1.86	-1.81	-1.90	-1.82	2643286	88086224.00
2006/11/28	-1.84	-1.76	-1.84	-1.79	2895851	99214872.00
2006/11/29	-1.81	-1.74	-1.84	-1.79	2941293	101520776.00
2006/11/30	-1.80	-1.60	-1.80	-1.66	5635157	202521472.00
2006/12/01	-1.66	-1.58	-1.68	-1.63	6065547	223748208.00
2006/12/04	-1.66	-1.61	-1.68	-1.65	5513909	202351904.00
2006/12/05	-1.65	-1.51	-1.67	-1.60	4884409	182976576.00
2006/12/06	-1.61	-1.60	-1.72	-1.67	4577499	165861040.00
2006/12/07	-1.69	-1.66	-1.72	-1.72	4599677	165113792.00
2006/12/08	-1.75	-1.65	-1.80	-1.70	4929620	174670272.00
2006/12/11	-1.70	-1.56	-1.71	-1.59	3404032	124453384.00
2006/12/12	-1.59	-1.50	-1.61	-1.54	2980141	113152504.00
2006/12/13	-1.53	-1.47	-1.58	-1.49	2783811	108336168.00
2006/12/14	-1.49	-1.44	-1.53	-1.53	1801976	70369296.00
2006/12/15	-1.53	-1.30	-1.53	-1.34	3261674	134506176.00
2006/12/18	-1.32	-1.20	-1.37	-1.27	2830277	119727200.00
2006/12/19	-1.27	-1.21	-1.33	-1.28	2959162	124710448.00
2006/12/20	-1.31	-1.11	-1.36	-1.13	2264468	98582248.00
2006/12/21	-1.14	-1.07	-1.23	-1.22	2366488	105671144.00
2006/12/22	-1.25	-1.19	-1.32	-1.30	2026632	86320432.00
2006/12/25	-1.31	-1.10	-1.31	-1.16	2762474	121872528.00
2006/12/26	-1.16	-1.13	-1.29	-1.23	1752868	76325272.00
2006/12/27	-1.25	-1.16	-1.28	-1.19	1345198	58416564.00
2006/12/28	-1.19	-1.09	-1.32	-1.30	4206136	180842768.00
2006/12/29	-1.30	-1.18	-1.30	-1.23	4278346	183810736.00
2007/01/04	-1.20	-0.95	-1.23	-1.12	6278948	287067808.00
2007/01/05	-1.15	-0.99	-1.18	-1.08	2379289	108631056.00
2007/01/08	-1.08	-0.80	-1.08	-0.96	3809844	181868560.00
2007/01/09	-0.95	-0.85	-1.00	-0.85	1790229	86375688.00
2007/01/10	-0.82	-0.74	-0.90	-0.79	1981398	98846352.00
2007/01/11	-0.83	-0.63	-0.85	-0.72	2274943	116519744.00
2007/01/15	-0.78	-0.56	-0.80	-0.64	3272894	170513296.00
