600050 中国联通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/10/09	1.48	1.54	1.37	1.37	1304738321	3911240448.00
2002/10/10	1.35	1.39	1.33	1.35	202927101	576092992.00
2002/10/11	1.36	1.43	1.35	1.42	173135913	504271968.00
2002/10/14	1.43	1.46	1.42	1.46	178761083	534049632.00
2002/10/15	1.46	1.46	1.43	1.44	90834152	271086336.00
2002/10/16	1.45	1.48	1.44	1.45	111936407	337916512.00
2002/10/17	1.45	1.46	1.43	1.44	81004244	242238144.00
2002/10/18	1.44	1.47	1.43	1.46	60059481	180426816.00
2002/10/21	1.46	1.48	1.45	1.47	53577800	161786064.00
2002/10/22	1.48	1.49	1.47	1.48	92634896	282630432.00
2002/10/23	1.48	1.49	1.46	1.48	51837602	157496512.00
2002/10/24	1.48	1.48	1.46	1.48	43407924	131766824.00
2002/10/25	1.48	1.49	1.45	1.45	88674495	268069840.00
2002/10/28	1.44	1.45	1.41	1.42	96863324	286858208.00
2002/10/29	1.41	1.43	1.40	1.43	47253958	139364032.00
2002/10/30	1.43	1.43	1.42	1.43	42917829	127003032.00
2002/10/31	1.43	1.43	1.42	1.42	56153139	165986688.00
2002/11/01	1.42	1.45	1.41	1.43	46558034	137578816.00
2002/11/04	1.43	1.46	1.43	1.46	66981553	200595856.00
2002/11/05	1.46	1.51	1.46	1.49	179164985	547365376.00
2002/11/06	1.49	1.49	1.47	1.49	78191682	238204048.00
2002/11/07	1.49	1.50	1.48	1.48	104716347	320456032.00
2002/11/08	1.50	1.50	1.45	1.46	191440505	579721984.00
2002/11/11	1.47	1.47	1.45	1.45	58728797	176648224.00
2002/11/12	1.46	1.49	1.46	1.46	158733028	482846688.00
2002/11/13	1.46	1.46	1.43	1.46	88517586	264886352.00
2002/11/14	1.46	1.46	1.43	1.44	35543272	106258912.00
2002/11/15	1.43	1.46	1.43	1.45	61146580	183170944.00
2002/11/18	1.45	1.46	1.44	1.45	32454787	97110336.00
2002/11/19	1.45	1.45	1.44	1.45	31297952	93536080.00
2002/11/20	1.45	1.46	1.42	1.43	70282343	208812848.00
2002/11/21	1.42	1.43	1.39	1.40	66025732	192866816.00
