600051 宁波联合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/04/10	6.83	7.13	6.38	6.53	19118800	595473856.00
1997/04/11	6.55	7.46	6.54	7.46	5608700	185682080.00
1997/04/14	8.46	8.48	8.40	8.48	1165500	43677696.00
1997/04/15	9.04	9.08	8.19	8.51	5006000	188547680.00
1997/04/16	8.49	8.51	7.98	8.16	3040300	110929120.00
1997/04/17	8.06	8.31	7.97	8.02	1726700	62371856.00
1997/04/18	8.05	8.42	7.83	8.25	1745000	62812344.00
1997/04/21	8.37	8.40	8.07	8.07	1278100	46725212.00
1997/04/22	8.13	8.34	8.07	8.15	880300	32119364.00
1997/04/23	8.30	8.76	8.11	8.56	2287700	85983136.00
1997/04/24	8.48	9.33	8.22	9.32	3420400	131924280.00
1997/04/25	9.35	9.47	8.66	8.79	3146600	125067600.00
1997/04/28	8.96	9.20	8.64	8.64	2949100	114403272.00
1997/04/29	8.19	8.56	7.73	8.24	1701600	61519124.00
1997/04/30	8.27	8.58	8.26	8.33	1897200	70386544.00
1997/05/05	8.28	8.60	8.22	8.44	1650800	61613116.00
1997/05/06	8.49	9.00	8.45	8.75	1874700	72029704.00
1997/05/07	8.79	8.93	8.58	8.61	1722300	65519624.00
1997/05/08	8.59	8.61	7.49	7.91	1725700	64273284.00
1997/05/09	8.04	8.43	7.97	8.40	1290700	47069576.00
1997/05/12	8.40	8.64	8.22	8.40	1115300	41383148.00
1997/05/13	8.40	8.40	8.04	8.22	750300	27394180.00
1997/05/14	8.09	8.13	7.67	7.67	1334600	47119276.00
1997/05/15	7.63	8.04	7.63	8.03	648900	22965536.00
1997/05/16	6.96	7.76	6.95	7.00	1578000	52438656.00
1997/05/19	7.14	7.34	7.06	7.19	503600	16669497.00
1997/05/20	7.30	7.94	7.28	7.92	1160000	40429184.00
1997/05/21	7.88	7.91	7.49	7.64	1334000	46308448.00
1997/05/22	6.85	7.28	6.60	6.74	1504600	48887828.00
1997/05/23	6.83	7.28	6.83	7.22	843100	27735392.00
1997/05/26	7.45	7.73	7.28	7.70	849900	29090092.00
1997/05/27	7.76	8.19	7.63	7.76	979500	34663376.00
1997/05/28	7.73	8.09	7.64	7.73	723500	25357378.00
1997/05/29	7.73	7.85	7.65	7.66	562500	19775320.00
1997/05/30	7.73	7.79	7.55	7.76	369800	12883792.00
1997/06/02	7.97	8.34	7.84	7.86	587700	20980844.00
1997/06/03	7.88	7.97	7.61	7.76	629500	22104292.00
1997/06/04	7.94	7.94	7.73	7.86	610100	21516108.00
1997/06/05	7.88	8.20	7.82	8.09	1396600	50230556.00
1997/06/06	7.40	7.85	7.28	7.52	1115500	38340232.00
1997/06/09	7.79	7.79	7.16	7.32	452400	10806631.00
1997/06/10	7.29	7.42	6.74	6.87	359200	8469409.00
1997/06/11	6.95	6.95	6.11	6.52	619800	13443365.00
1997/06/12	6.53	6.70	6.32	6.41	399700	8715704.00
1997/06/13	5.61	6.69	5.61	6.53	685300	14610042.00
1997/06/16	6.73	6.78	6.45	6.53	643900	14321812.00
1997/06/17	6.53	6.53	6.36	6.41	341200	7429454.00
1997/06/18	6.45	6.65	6.32	6.33	350500	7608537.00
1997/06/19	6.36	6.53	6.36	6.40	326600	7097777.00
1997/06/20	6.53	6.97	6.45	6.95	620400	13987893.00
1997/06/23	7.20	7.50	6.74	7.04	960600	22515388.00
1997/06/24	7.08	7.28	6.89	7.12	508800	11771669.00
1997/06/25	7.12	7.25	6.99	7.06	463800	10821688.00
1997/06/26	6.95	7.41	6.78	7.28	846500	20171008.00
1997/06/27	7.42	8.00	7.30	7.56	2016700	49619400.00
1997/07/02	7.69	7.79	6.53	7.25	831300	19931256.00
1997/07/03	7.16	7.16	6.74	6.78	578900	13325471.00
1997/07/04	6.73	7.08	6.57	6.83	578100	13153519.00
1997/07/07	6.82	7.03	6.11	6.47	371400	8265199.00
1997/07/08	6.66	6.74	6.12	6.55	383600	8356254.00
1997/07/09	6.57	6.70	6.44	6.52	271200	5979171.00
1997/07/10	6.70	6.70	6.45	6.45	228900	5033221.00
1997/07/11	7.29	7.31	6.90	7.15	1191200	27742660.00
1997/07/14	7.29	7.37	7.04	7.15	526700	12350827.00
1997/07/15	7.16	7.21	6.87	6.99	432500	9972533.00
1997/07/16	6.99	7.58	6.91	7.42	2249800	54029560.00
1997/07/17	7.50	7.58	7.21	7.25	1182000	28554842.00
1997/07/18	7.33	7.54	7.16	7.51	838300	20053556.00
1997/07/21	7.58	7.58	7.17	7.21	514100	12316114.00
1997/07/22	7.16	7.25	6.87	7.15	464200	10798182.00
1997/07/23	7.23	7.50	6.95	7.11	346800	8201554.00
1997/07/24	7.06	7.25	6.87	6.89	294900	6778487.00
1997/07/25	6.75	7.00	6.72	6.95	332400	7563159.00
1997/07/28	6.87	6.87	6.49	6.55	278400	6177626.00
1997/07/29	6.53	6.78	6.43	6.53	291300	6437799.00
1997/07/30	6.57	6.70	6.41	6.66	234400	5179630.00
1997/07/31	6.76	6.87	6.62	6.68	178800	4029100.00
1997/08/01	6.69	7.06	6.59	7.04	343000	7813960.00
1997/08/04	6.96	6.97	6.78	6.81	109300	2484596.00
1997/08/05	6.82	7.04	6.62	6.85	228900	5232847.00
1997/08/06	6.91	7.02	6.68	6.74	122200	2789182.00
1997/08/07	6.67	6.95	6.57	6.89	163100	3658943.00
1997/08/08	6.79	7.58	6.79	7.58	3074100	72672464.00
