600054 黄山旅游 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/06	4.11	4.40	4.11	4.26	22173200	473233952.00
1997/05/07	4.35	4.40	4.01	4.03	4447800	93114664.00
1997/05/08	3.90	3.99	3.61	3.67	3968100	78084704.00
1997/05/09	3.61	3.83	3.50	3.82	2304300	44110576.00
1997/05/12	3.82	3.87	3.60	3.65	1875500	36152864.00
1997/05/13	3.65	3.66	3.50	3.58	1308300	24527344.00
1997/05/14	3.51	3.91	3.50	3.58	1700100	32685316.00
1997/05/15	3.58	3.74	3.56	3.70	1052400	20088398.00
1997/05/16	3.22	3.58	3.19	3.19	1670200	30126800.00
1997/05/19	3.21	3.34	3.18	3.27	821500	14517351.00
1997/05/20	3.29	3.38	3.29	3.29	748800	13490715.00
1997/05/21	3.31	3.32	3.05	3.11	740300	12761171.00
1997/05/22	2.66	2.89	2.66	2.66	941800	14625804.00
1997/05/23	2.56	2.79	2.45	2.60	1278500	19370652.00
1997/05/26	2.63	2.70	2.47	2.54	737900	11080082.00
1997/05/27	2.60	2.93	2.57	2.93	2287300	36745380.00
1997/05/28	2.89	2.96	2.77	2.82	1297000	20826676.00
1997/05/29	2.79	2.95	2.77	2.81	985400	15981212.00
1997/06/02	3.05	3.10	2.86	3.08	1215900	20236100.00
1997/06/03	3.10	3.15	3.00	3.01	1016800	17225344.00
1997/06/04	3.03	3.05	2.92	2.95	634200	10470418.00
1997/06/05	2.95	2.95	2.83	2.86	836900	13569704.00
1997/06/06	2.48	2.71	2.48	2.58	1418300	21463390.00
1997/06/09	2.56	2.62	2.46	2.57	510100	7604642.00
1997/06/10	2.58	2.62	2.47	2.47	319500	4788616.00
1997/06/11	2.55	2.57	2.31	2.53	459600	6673292.00
1997/06/12	2.50	2.55	2.44	2.50	303500	4489629.00
1997/06/13	2.23	2.57	2.23	2.55	487200	7168922.00
1997/06/16	2.54	2.69	2.52	2.62	524300	7986375.00
1997/06/17	2.57	2.60	2.50	2.50	248800	3709535.00
1997/06/18	2.60	2.60	2.44	2.49	313100	4663429.00
1997/06/19	2.52	2.70	2.50	2.55	876000	13335096.00
1997/06/20	2.63	2.71	2.55	2.68	700200	10755397.00
1997/06/23	2.73	2.76	2.54	2.56	875100	13343997.00
1997/06/24	2.56	2.68	2.55	2.63	467300	7114027.00
1997/06/25	2.68	2.68	2.57	2.67	477100	7311874.00
1997/06/26	2.63	2.63	2.55	2.57	340300	5139279.00
1997/06/27	2.57	2.60	2.36	2.49	625500	9231702.00
1997/07/02	2.48	2.54	2.20	2.42	430900	6093407.00
1997/07/03	2.27	2.36	2.18	2.21	299800	4156646.00
1997/07/04	2.20	2.23	2.09	2.18	400900	5413834.00
1997/07/07	2.18	2.20	1.82	1.89	357500	4612315.00
1997/07/08	1.86	1.98	1.73	1.83	381500	4676348.00
1997/07/09	1.88	1.96	1.83	1.91	255700	3227942.00
1997/07/10	1.94	1.96	1.83	1.83	246800	3097447.00
1997/07/11	1.92	2.12	1.83	2.11	592700	7714464.00
1997/07/14	2.15	2.17	2.07	2.15	712300	9540952.00
1997/07/15	2.23	2.23	2.06	2.12	454300	6071000.00
1997/07/16	2.12	2.15	2.01	2.04	350500	4586181.00
1997/07/17	2.00	2.20	2.00	2.16	532100	7146320.00
1997/07/18	2.18	2.36	2.16	2.28	1046100	14646988.00
1997/07/21	2.32	2.34	2.18	2.18	303600	4171464.00
1997/07/22	2.12	2.18	1.83	2.17	204900	2717024.00
1997/07/23	2.15	2.24	2.13	2.16	246000	3345862.00
1997/07/24	2.16	2.20	2.02	2.04	245100	3236754.00
1997/07/25	2.07	2.08	1.91	1.98	283900	3661226.00
1997/07/28	2.01	2.02	1.92	1.93	196400	2511925.00
1997/07/29	1.92	2.18	1.87	2.05	254500	3273371.00
1997/07/30	2.00	2.10	1.99	2.10	189300	2477510.00
1997/07/31	2.13	2.23	2.10	2.16	469800	6384667.00
1997/08/01	2.18	2.18	2.12	2.16	282300	3802114.00
1997/08/04	2.10	2.20	2.08	2.16	229700	3094581.00
1997/08/05	2.16	2.26	2.13	2.18	232200	3174314.00
1997/08/06	2.21	2.24	2.02	2.04	145400	1957232.00
1997/08/07	2.05	2.09	2.01	2.09	189800	2484566.00
1997/08/08	2.16	2.16	2.03	2.05	185000	2445179.00
1997/08/11	2.02	2.02	1.77	1.93	338600	4244660.00
1997/08/12	1.91	1.92	1.80	1.80	362800	4457161.00
1997/08/13	1.76	1.88	1.75	1.75	205500	2493753.00
1997/08/14	1.81	1.89	1.78	1.87	303500	3729936.00
1997/08/15	1.91	1.95	1.79	1.83	314300	3913339.00
1997/08/18	1.91	1.91	1.73	1.85	184900	2245843.00
1997/08/19	1.86	1.86	1.79	1.80	99300	1214094.00
1997/08/20	1.79	1.93	1.79	1.93	137100	1672408.00
1997/08/21	1.95	1.97	1.87	1.93	270800	3406070.00
1997/08/22	1.92	1.93	1.87	1.91	301000	3785990.00
1997/08/25	1.91	1.96	1.90	1.93	237400	2997468.00
1997/08/26	1.95	2.10	1.90	2.06	576800	7487886.00
1997/08/27	2.07	2.18	2.07	2.09	618600	8281503.00
1997/08/28	2.16	2.16	2.05	2.09	265000	3508377.00
1997/08/29	2.05	2.08	2.00	2.04	273400	3558719.00
1997/09/01	1.89	2.02	1.89	1.96	233900	2975826.00
1997/09/02	1.95	2.01	1.91	1.92	284800	3607961.00
1997/09/03	1.92	2.02	1.88	2.01	301000	3838484.00
1997/09/04	2.05	2.05	1.96	2.01	288300	3734032.00
1997/09/05	2.16	2.16	2.01	2.06	365100	4799923.00
1997/09/08	2.05	2.06	2.00	2.03	196100	2547020.00
1997/09/09	2.02	2.05	1.93	1.96	167100	2154381.00
1997/09/10	1.96	1.99	1.91	1.97	300300	3795855.00
1997/09/11	2.02	2.05	1.95	1.97	163100	2099018.00
1997/09/12	1.99	1.99	1.91	1.92	305500	3877098.00
1997/09/15	1.89	1.91	1.81	1.82	161800	1996874.00
1997/09/16	1.76	1.92	1.76	1.90	153400	1882657.00
1997/09/17	1.97	1.97	1.82	1.83	86700	1079397.00
1997/09/18	1.83	1.89	1.81	1.84	80000	987553.00
