600055 万东医疗 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/19	1.14	1.16	1.00	1.01	7825500	180567968.00
1997/05/20	0.99	0.99	0.93	0.96	2419700	52540184.00
1997/05/21	0.97	0.99	0.89	0.90	1778400	38422880.00
1997/05/22	0.77	0.84	0.77	0.77	1705500	32482382.00
1997/05/23	0.77	0.82	0.72	0.78	1083400	20493992.00
1997/05/26	0.81	0.82	0.71	0.77	793300	14909662.00
1997/05/27	0.79	0.81	0.76	0.79	906000	17412286.00
1997/05/28	0.79	0.85	0.75	0.81	1059900	20583466.00
1997/05/29	0.81	0.88	0.80	0.82	1144300	22947444.00
1997/05/30	0.82	0.86	0.80	0.84	603900	11969062.00
1997/06/02	0.89	0.92	0.86	0.92	1413800	29628084.00
1997/06/03	0.94	0.96	0.89	0.91	1422000	30435116.00
1997/06/04	0.89	0.92	0.87	0.88	805800	16699736.00
1997/06/05	0.89	0.90	0.86	0.87	702100	14444587.00
1997/06/06	0.78	0.83	0.75	0.77	1022500	19652460.00
1997/06/09	0.79	0.81	0.77	0.81	419400	8044559.00
1997/06/10	0.82	0.82	0.76	0.76	272400	5227542.00
1997/06/11	0.76	0.77	0.70	0.73	483700	8829914.00
1997/06/12	0.75	0.75	0.72	0.72	251200	4602739.00
1997/06/13	0.69	0.77	0.68	0.76	431600	7905115.00
1997/06/16	0.77	0.79	0.76	0.76	262600	4968630.00
1997/06/17	0.75	0.75	0.72	0.74	189600	3498400.00
1997/06/18	0.74	0.76	0.73	0.73	243000	4491938.00
1997/06/19	0.74	0.76	0.73	0.74	183800	3393179.00
1997/06/20	0.75	0.79	0.75	0.78	297000	5643774.00
1997/06/23	0.80	0.81	0.74	0.76	431500	8187216.00
1997/06/24	0.76	0.76	0.75	0.76	245900	4612101.00
1997/06/25	0.76	0.79	0.74	0.78	273900	5164201.00
1997/06/26	0.77	0.77	0.75	0.77	182000	3428253.00
1997/06/27	0.76	0.81	0.74	0.78	635300	12201108.00
1997/07/02	0.80	0.87	0.74	0.86	1237600	24671362.00
1997/07/03	0.84	0.85	0.79	0.80	515700	10170149.00
1997/07/04	0.80	0.84	0.78	0.81	409500	8016325.00
1997/07/07	0.83	0.86	0.79	0.82	758200	15076224.00
1997/07/08	0.84	0.85	0.74	0.77	581500	11217474.00
1997/07/09	0.78	0.79	0.74	0.76	351000	6579705.00
1997/07/10	0.81	0.81	0.76	0.76	226000	4314927.00
1997/07/11	0.76	0.81	0.75	0.81	403500	7783397.00
1997/07/14	0.83	0.83	0.80	0.82	415500	8159565.00
1997/07/15	0.82	0.82	0.77	0.81	359800	6958012.00
1997/07/16	0.81	0.88	0.79	0.87	823400	16577086.00
1997/07/17	0.86	0.92	0.84	0.89	1387800	29008880.00
1997/07/18	0.90	0.91	0.85	0.90	616700	12853607.00
1997/07/21	0.91	0.93	0.86	0.87	554300	11601994.00
1997/07/22	0.86	0.91	0.84	0.90	531700	10883084.00
1997/07/23	0.92	0.93	0.86	0.87	314900	6534316.00
1997/07/24	0.86	0.87	0.83	0.83	296200	5960208.00
1997/07/25	0.81	0.84	0.81	0.82	192400	3797056.00
1997/07/28	0.81	0.81	0.77	0.77	219300	4193820.00
1997/07/29	0.77	0.81	0.75	0.79	143900	2749577.00
1997/07/30	0.79	0.80	0.79	0.79	128800	2485443.00
1997/07/31	0.80	0.83	0.80	0.80	160600	3142102.00
1997/08/01	0.80	0.80	0.78	0.79	278800	5354848.00
1997/08/04	0.80	0.80	0.77	0.78	161300	3082255.00
1997/08/05	0.78	0.81	0.78	0.78	107800	2079137.00
1997/08/06	0.79	0.80	0.76	0.77	145700	2770630.00
1997/08/07	0.76	0.79	0.76	0.79	138800	2622358.00
1997/08/08	0.81	0.81	0.74	0.74	312200	5863905.00
1997/08/11	0.74	0.74	0.62	0.62	754400	12764572.00
1997/08/12	0.61	0.66	0.59	0.63	194700	3247727.00
1997/08/13	0.52	0.54	0.52	0.52	191100	2871255.00
1997/08/14	0.49	0.55	0.49	0.55	448200	6700324.00
1997/08/15	0.54	0.55	0.51	0.53	284100	4280840.00
1997/08/18	0.52	0.53	0.49	0.52	181500	2678398.00
1997/08/19	0.53	0.53	0.50	0.52	184200	2759974.00
1997/08/20	0.52	0.54	0.52	0.53	79100	1193063.00
1997/08/21	0.54	0.54	0.51	0.53	158100	2405650.00
1997/08/22	0.53	0.58	0.52	0.57	235500	3671392.00
1997/08/25	0.58	0.60	0.57	0.58	219200	3526046.00
1997/08/26	0.58	0.59	0.57	0.59	204100	3266603.00
1997/08/27	0.59	0.59	0.58	0.58	153200	2453101.00
