600056 中国医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/15	-0.04	0.24	-0.10	0.21	19975200	408867008.00
1997/05/16	-0.06	0.12	-0.06	-0.06	8328600	169994208.00
1997/05/19	-0.02	0.05	-0.12	-0.02	3984100	80042432.00
1997/05/20	-0.02	0.07	-0.05	0.05	3382700	68903536.00
1997/05/21	0.05	0.05	-0.16	-0.12	2686800	53018732.00
1997/05/22	-0.36	-0.24	-0.36	-0.36	2167700	38006664.00
1997/05/23	-0.35	-0.28	-0.47	-0.34	2219800	38459008.00
1997/05/26	-0.31	-0.27	-0.46	-0.35	1335200	23044540.00
1997/05/27	-0.33	-0.29	-0.36	-0.31	1419500	25153460.00
1997/05/28	-0.31	-0.18	-0.42	-0.26	2747500	49421504.00
1997/05/29	-0.26	-0.15	-0.30	-0.28	1990100	36829988.00
1997/05/30	-0.28	-0.23	-0.30	-0.23	984400	17888948.00
1997/06/02	-0.18	-0.11	-0.21	-0.11	2227000	42473308.00
1997/06/03	-0.04	0.11	-0.06	-0.01	4737800	96911120.00
1997/06/04	-0.02	0.00	-0.10	-0.06	1913900	37868520.00
1997/06/05	-0.06	-0.05	-0.11	-0.09	1331900	26097940.00
1997/06/06	-0.33	-0.21	-0.33	-0.28	2189400	39516300.00
1997/06/09	-0.35	-0.27	-0.39	-0.36	663000	11562891.00
1997/06/10	-0.34	-0.31	-0.43	-0.43	487600	8435242.00
1997/06/11	-0.43	-0.41	-0.55	-0.46	797600	13050222.00
1997/06/12	-0.46	-0.41	-0.49	-0.47	495600	8304506.00
1997/06/13	-0.53	-0.38	-0.57	-0.39	669400	11137391.00
1997/06/16	-0.36	-0.35	-0.41	-0.40	525600	9048465.00
1997/06/17	-0.40	-0.40	-0.48	-0.46	451700	7526536.00
1997/06/18	-0.46	-0.41	-0.53	-0.50	456700	7447470.00
1997/06/19	-0.53	-0.47	-0.53	-0.52	323500	5265459.00
1997/06/20	-0.51	-0.38	-0.51	-0.40	613800	10289829.00
1997/06/23	-0.36	-0.35	-0.49	-0.46	781000	13130008.00
1997/06/24	-0.47	-0.43	-0.47	-0.45	528600	8774480.00
1997/06/25	-0.44	-0.38	-0.46	-0.43	795900	13416604.00
1997/06/26	-0.44	-0.43	-0.49	-0.48	425900	7025549.00
1997/06/27	-0.48	-0.42	-0.52	-0.51	617500	10142417.00
1997/07/02	-0.53	-0.49	-0.71	-0.64	537400	8211928.00
1997/07/03	-0.64	-0.64	-0.77	-0.73	604900	8763578.00
1997/07/04	-0.78	-0.71	-0.78	-0.73	371400	5336885.00
1997/07/07	-0.74	-0.73	-0.91	-0.88	460500	6247355.00
1997/07/08	-0.88	-0.84	-0.96	-0.88	433900	5654350.00
1997/07/09	-0.88	-0.84	-0.90	-0.85	364100	4852953.00
1997/07/10	-0.83	-0.82	-0.87	-0.85	288300	3892445.00
1997/07/11	-0.87	-0.75	-0.89	-0.76	439900	6121497.00
1997/07/14	-0.74	-0.69	-0.78	-0.70	622600	8989793.00
1997/07/15	-0.68	-0.67	-0.77	-0.71	496100	7161374.00
1997/07/16	-0.71	-0.70	-0.76	-0.74	454400	6527177.00
1997/07/17	-0.75	-0.66	-0.77	-0.69	521400	7609842.00
1997/07/18	-0.70	-0.69	-0.74	-0.70	362100	5247460.00
1997/07/21	-0.69	-0.67	-0.74	-0.73	428300	6283915.00
1997/07/22	-0.74	-0.72	-0.81	-0.72	360200	5114906.00
1997/07/23	-0.71	-0.63	-0.72	-0.67	906300	13499454.00
1997/07/24	-0.67	-0.62	-0.68	-0.66	656500	9891837.00
1997/07/25	-0.68	-0.65	-0.74	-0.71	367300	5397520.00
1997/07/28	-0.71	-0.71	-0.80	-0.79	252900	3586750.00
1997/07/29	-0.80	-0.73	-0.80	-0.77	214400	3022534.00
1997/07/30	-0.75	-0.70	-0.76	-0.72	206400	2951824.00
1997/07/31	-0.69	-0.66	-0.71	-0.68	416200	6195143.00
1997/08/01	-0.66	-0.66	-0.70	-0.66	287400	4279738.00
1997/08/04	-0.66	-0.64	-0.69	-0.65	333400	5000865.00
1997/08/05	-0.65	-0.62	-0.68	-0.68	146300	2188734.00
1997/08/06	-0.67	-0.66	-0.73	-0.73	153300	2247663.00
1997/08/07	-0.74	-0.71	-0.76	-0.72	200700	2871058.00
1997/08/08	-0.71	-0.69	-0.76	-0.75	342100	4900794.00
1997/08/11	-0.77	-0.75	-0.79	-0.78	347700	4866558.00
1997/08/12	-0.79	-0.75	-0.80	-0.77	209500	2934965.00
1997/08/13	-0.78	-0.78	-0.86	-0.86	176600	2412767.00
1997/08/14	-0.86	-0.71	-0.86	-0.79	238500	3286781.00
1997/08/15	-0.76	-0.76	-0.90	-0.86	209900	2839906.00
1997/08/18	-0.80	-0.75	-0.87	-0.78	446200	6086809.00
1997/08/19	-0.76	-0.75	-0.78	-0.77	297300	4203611.00
1997/08/20	-0.76	-0.69	-0.77	-0.70	342900	4938059.00
