600057 厦门象屿 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/04	1.92	2.48	1.92	1.95	18878200	382603648.00
1997/06/05	1.80	1.80	1.77	1.77	1522300	26449092.00
1997/06/06	1.61	1.61	1.61	1.61	700200	10923120.00
1997/06/09	1.46	1.55	1.46	1.53	3333400	48197692.00
1997/06/10	1.52	1.52	1.40	1.40	1566700	22008508.00
1997/06/11	1.40	1.48	1.36	1.47	1886600	25331364.00
1997/06/12	1.45	1.45	1.40	1.40	1058700	14277875.00
1997/06/13	1.30	1.44	1.29	1.41	1305200	17100604.00
1997/06/16	1.41	1.48	1.36	1.46	1743000	23431828.00
1997/06/17	1.45	1.45	1.40	1.40	746800	10135573.00
1997/06/18	1.40	1.42	1.37	1.38	707200	9326835.00
1997/06/19	1.38	1.40	1.32	1.34	582900	7519826.00
1997/06/20	1.34	1.40	1.34	1.39	828100	10892504.00
1997/06/23	1.39	1.41	1.33	1.34	1105200	14245993.00
1997/06/24	1.33	1.38	1.33	1.35	707700	9060923.00
1997/06/25	1.35	1.36	1.32	1.32	812100	10258010.00
1997/06/26	1.33	1.34	1.28	1.29	740300	9097702.00
1997/06/27	1.29	1.30	1.23	1.23	907600	10697144.00
1997/07/02	1.23	1.23	1.13	1.13	799400	8608337.00
1997/07/03	1.13	1.20	1.13	1.17	1342800	14693661.00
1997/07/04	1.17	1.21	1.14	1.20	682200	7469630.00
1997/07/07	1.21	1.21	1.15	1.16	651900	7113516.00
1997/07/08	1.13	1.19	1.13	1.18	469000	5071697.00
1997/07/09	1.18	1.19	1.17	1.19	468700	5132575.00
1997/07/10	1.20	1.20	1.18	1.18	420500	4655956.00
1997/07/11	1.17	1.25	1.16	1.25	831300	9446334.00
1997/07/14	1.26	1.29	1.24	1.29	1197700	14325917.00
1997/07/15	1.29	1.30	1.26	1.27	871000	10474497.00
1997/07/16	1.26	1.28	1.23	1.24	451600	5306199.00
1997/07/17	1.23	1.26	1.22	1.24	357300	4149855.00
1997/07/18	1.24	1.27	1.23	1.26	398100	4646587.00
1997/07/21	1.27	1.28	1.24	1.24	436200	5129638.00
1997/07/22	1.24	1.27	1.24	1.27	485600	5687566.00
1997/07/23	1.28	1.32	1.26	1.30	1199600	14763157.00
1997/07/24	1.29	1.29	1.24	1.25	652600	7713495.00
1997/07/25	1.24	1.26	1.23	1.25	361300	4209648.00
1997/07/28	1.24	1.30	1.24	1.28	843500	10173364.00
1997/07/29	1.28	1.31	1.27	1.31	668500	8103824.00
1997/07/30	1.31	1.32	1.28	1.31	576000	7077714.00
1997/07/31	1.31	1.35	1.31	1.35	1343400	16966696.00
1997/08/01	1.35	1.37	1.33	1.36	1219300	15676356.00
1997/08/04	1.38	1.42	1.37	1.40	1861800	24841540.00
1997/08/05	1.40	1.40	1.36	1.36	769700	10033874.00
1997/08/06	1.36	1.39	1.34	1.35	536400	6956582.00
1997/08/07	1.35	1.36	1.27	1.36	403400	5116039.00
1997/08/08	1.37	1.37	1.32	1.32	609300	7738352.00
1997/08/11	1.30	1.31	1.27	1.29	695500	8357792.00
1997/08/12	1.28	1.28	1.24	1.25	445400	5261512.00
1997/08/13	1.26	1.27	1.24	1.24	237600	2789001.00
1997/08/14	1.22	1.29	1.18	1.29	380900	4506220.00
