600059 古越龙山 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/16	3.34	3.54	3.21	3.42	24847500	645673472.00
1997/05/19	3.40	3.59	3.38	3.55	6448900	174323392.00
1997/05/20	3.54	3.59	3.51	3.55	4221300	116647008.00
1997/05/21	3.54	3.64	3.53	3.56	3439900	96685800.00
1997/05/22	3.38	3.64	3.38	3.50	3348600	91876368.00
1997/05/23	3.54	3.68	3.54	3.63	2225300	63761876.00
1997/05/26	3.66	3.75	3.58	3.67	1771200	50866304.00
1997/05/27	3.72	3.72	3.63	3.68	1155800	33735460.00
1997/05/28	3.66	3.66	3.61	3.62	967300	27746766.00
1997/05/29	3.62	3.71	3.60	3.63	1120500	32357860.00
1997/05/30	3.63	3.71	3.61	3.71	863600	24853526.00
1997/06/02	3.73	3.77	3.68	3.75	1468200	43833868.00
1997/06/03	3.76	3.76	3.70	3.72	883500	26386134.00
1997/06/04	3.71	3.74	3.68	3.72	1078600	32060270.00
1997/06/05	3.73	3.86	3.73	3.81	1587500	48999676.00
1997/06/06	3.66	3.77	3.63	3.66	1246800	36637388.00
1997/06/09	3.68	3.69	3.57	3.61	701400	19959764.00
1997/06/10	3.60	3.64	3.47	3.49	449900	12448303.00
1997/06/11	3.49	3.51	3.30	3.46	678000	17660878.00
1997/06/12	3.44	3.51	3.42	3.50	641300	17167088.00
1997/06/13	3.42	3.60	3.42	3.59	643600	17777280.00
1997/06/16	3.59	3.62	3.54	3.59	623800	17515442.00
1997/06/17	3.58	3.58	3.54	3.54	225800	6238070.00
1997/06/18	3.60	3.60	3.53	3.54	262900	7224991.00
1997/06/19	3.55	3.58	3.51	3.51	292900	8068054.00
1997/06/20	3.51	3.63	3.51	3.61	352600	9828321.00
1997/06/23	3.62	3.70	3.56	3.58	442800	12631205.00
1997/06/24	3.59	3.64	3.58	3.61	165700	4691896.00
1997/06/25	3.62	3.75	3.61	3.67	1886800	56096056.00
1997/06/26	3.70	3.70	3.63	3.65	276700	8005686.00
1997/06/27	3.64	3.67	3.54	3.58	454200	12862468.00
1997/07/02	3.59	3.63	3.43	3.59	270500	7515528.00
1997/07/03	3.56	3.56	3.46	3.51	204300	5540300.00
1997/07/04	3.50	3.59	3.46	3.52	173200	4759216.00
1997/07/07	3.51	3.56	3.40	3.49	219200	5854870.00
1997/07/08	3.48	3.51	3.43	3.51	156100	4177914.00
1997/07/09	3.51	3.60	3.48	3.58	1193900	33208884.00
1997/07/10	3.59	3.59	3.52	3.53	219400	6126048.00
1997/07/11	3.50	3.63	3.50	3.63	1254400	35522252.00
1997/07/14	3.68	3.70	3.64	3.66	425100	12336018.00
1997/07/15	3.66	3.82	3.63	3.82	1970500	58752220.00
1997/07/16	3.87	4.06	3.84	3.90	2008000	65095832.00
1997/07/17	3.82	3.94	3.82	3.86	605300	19167572.00
1997/07/18	3.86	3.90	3.78	3.90	551700	17247938.00
1997/07/21	3.94	3.94	3.81	3.81	438400	13904202.00
1997/07/22	3.87	3.90	3.80	3.89	596100	18596322.00
1997/07/23	3.94	4.08	3.89	4.07	2234500	73437936.00
1997/07/24	4.19	4.19	3.86	3.89	3576600	119901944.00
1997/07/25	3.85	3.89	3.81	3.87	1132500	35522940.00
1997/07/28	3.87	3.88	3.76	3.78	261000	8074523.00
1997/07/29	3.78	3.85	3.74	3.81	875700	26771680.00
1997/07/30	3.81	3.86	3.78	3.85	908100	28347274.00
1997/07/31	3.84	3.93	3.81	3.91	1615100	51044872.00
1997/08/01	3.92	3.94	3.86	3.90	1248400	39935420.00
1997/08/04	3.87	3.90	3.83	3.88	980100	30803580.00
1997/08/05	3.86	3.89	3.82	3.87	309800	9743348.00
1997/08/06	3.91	3.97	3.84	3.91	1623700	52265424.00
1997/08/07	3.90	3.94	3.86	3.90	230700	7370305.00
1997/08/08	3.91	3.93	3.86	3.91	210000	6689470.00
1997/08/11	3.90	3.90	3.76	3.80	177800	5525935.00
1997/08/12	3.80	3.80	3.66	3.69	212200	6397354.00
1997/08/13	3.69	3.71	3.59	3.60	274600	7941452.00
1997/08/14	3.60	3.73	3.60	3.72	151700	4414424.00
1997/08/15	3.72	3.72	3.66	3.70	120200	3530727.00
1997/08/18	3.68	3.72	3.65	3.68	146200	4262076.00
1997/08/19	3.68	3.72	3.66	3.67	179300	5240225.00
1997/08/20	3.43	3.70	3.43	3.70	160500	4612986.00
1997/08/21	3.70	3.71	3.68	3.70	86600	2554269.00
1997/08/22	3.69	3.79	3.69	3.75	187100	5639127.00
1997/08/25	3.78	3.79	3.70	3.76	217300	6574881.00
1997/08/26	3.82	3.85	3.78	3.80	395000	12213816.00
1997/08/27	3.80	3.88	3.80	3.85	536300	16828802.00
1997/08/28	3.87	3.89	3.80	3.82	312400	9670734.00
1997/08/29	3.82	3.82	3.76	3.81	476500	14572668.00
1997/09/01	3.83	3.92	3.79	3.83	545100	9464649.00
1997/09/02	3.80	3.86	3.79	3.81	494800	8484970.00
1997/09/03	3.83	3.85	3.80	3.82	486200	8356878.00
1997/09/04	3.86	3.88	3.81	3.86	942700	16363916.00
1997/09/05	3.87	3.89	3.84	3.84	921200	16097679.00
1997/09/08	3.85	3.86	3.78	3.80	632300	10827657.00
1997/09/09	3.80	3.82	3.75	3.75	472000	8018968.00
1997/09/10	3.75	3.79	3.67	3.69	734900	12066235.00
1997/09/11	3.70	3.78	3.69	3.73	888600	14743390.00
1997/09/12	3.76	3.77	3.60	3.64	797500	12900309.00
1997/09/15	3.64	3.64	3.57	3.58	280500	4424336.00
1997/09/16	3.58	3.61	3.57	3.58	215900	3373356.00
1997/09/17	3.58	3.61	3.57	3.61	156300	2446276.00
1997/09/18	3.61	3.69	3.61	3.64	344300	5547062.00
1997/09/19	3.65	3.66	3.63	3.64	161500	2582516.00
1997/09/22	3.64	3.64	3.47	3.49	376200	5710006.00
1997/09/23	3.50	3.50	3.34	3.37	357100	5128189.00
1997/09/24	3.40	3.50	3.40	3.45	1035300	15104408.00
1997/09/25	3.49	3.53	3.44	3.45	305400	4544388.00
1997/09/26	3.45	3.47	3.40	3.44	241500	3495400.00
1997/09/29	3.47	3.53	3.42	3.52	679100	10145035.00
1997/09/30	3.50	3.60	3.49	3.53	1052800	16191012.00
1997/10/06	3.60	3.60	3.48	3.50	247500	3740532.00
1997/10/07	3.49	3.51	3.47	3.51	123600	1846758.00
1997/10/08	3.51	3.57	3.51	3.55	328600	5033885.00
1997/10/09	3.55	3.55	3.48	3.50	187900	2830286.00
1997/10/10	3.50	3.51	3.48	3.50	133300	1998217.00
1997/10/13	3.51	3.53	3.49	3.49	154800	2319068.00
1997/10/14	3.48	3.50	3.47	3.50	113900	1703824.00
1997/10/15	3.49	3.57	3.49	3.53	160300	2428445.00
1997/10/16	3.54	3.65	3.51	3.64	1265100	19942632.00
1997/10/17	3.69	3.76	3.64	3.73	1499200	24495344.00
1997/10/20	3.74	3.82	3.73	3.77	1444900	24473160.00
1997/10/21	3.79	3.87	3.75	3.84	1637100	28168240.00
1997/10/22	3.84	3.89	3.76	3.83	2313900	39988272.00
1997/10/23	3.79	3.83	3.79	3.81	1044600	17975956.00
1997/10/24	3.80	3.82	3.75	3.79	679400	11538339.00
1997/10/27	3.89	3.91	3.85	3.88	1309300	23109980.00
1997/10/28	3.88	3.91	3.76	3.77	898000	15462168.00
1997/10/29	3.77	3.82	3.73	3.82	944100	15998309.00
1997/10/30	3.83	4.02	3.78	3.95	3919200	70150296.00
1997/10/31	3.92	4.11	3.87	4.06	5039500	93606272.00
1997/11/03	4.11	4.21	4.08	4.15	6263200	122237888.00
1997/11/04	4.11	4.18	4.07	4.14	1682600	32527586.00
1997/11/05	4.11	4.15	4.07	4.14	1892700	36160360.00
1997/11/06	4.15	4.18	4.07	4.08	1796200	34619396.00
1997/11/07	4.08	4.14	4.01	4.10	1120300	21408508.00
1997/11/10	4.09	4.17	4.05	4.08	1321300	25416878.00
1997/11/11	4.08	4.10	3.98	4.02	770900	14357890.00
1997/11/12	4.01	4.09	4.01	4.01	526600	9902499.00
1997/11/13	4.01	4.05	3.94	4.03	675100	12366881.00
1997/11/14	4.04	4.05	3.94	3.94	1536800	28070300.00
1997/11/17	3.86	4.01	3.86	3.97	3446500	62573656.00
1997/11/18	3.95	3.98	3.92	3.94	869600	15742632.00
1997/11/19	3.94	3.96	3.92	3.93	372200	6710839.00
1997/11/20	3.94	3.95	3.89	3.89	579600	10341526.00
1997/11/21	3.89	3.89	3.77	3.80	883300	15214064.00
1997/11/24	3.79	3.79	3.71	3.72	689000	11483314.00
1997/11/25	3.71	3.79	3.69	3.77	349200	5822031.00
1997/11/26	3.77	3.82	3.76	3.80	261500	4434666.00
1997/11/27	3.79	3.79	3.71	3.73	479100	7985105.00
1997/11/28	3.73	3.79	3.72	3.79	338800	5708360.00
1997/12/01	3.80	3.80	3.75	3.76	219000	3684565.00
1997/12/02	3.75	3.79	3.75	3.77	176500	2967550.00
1997/12/03	3.76	3.86	3.75	3.86	427100	7371942.00
1997/12/04	3.85	3.93	3.85	3.92	1224500	21815736.00
1997/12/05	3.92	3.93	3.88	3.88	895800	16001353.00
1997/12/08	3.89	3.90	3.82	3.85	343100	6006097.00
1997/12/09	3.85	3.92	3.84	3.86	475200	8292459.00
1997/12/10	3.89	3.89	3.83	3.84	658900	11446998.00
1997/12/11	3.84	3.87	3.82	3.85	441600	7674096.00
1997/12/12	3.86	3.88	3.79	3.82	1730000	29690944.00
1997/12/15	3.82	3.82	3.76	3.82	1406700	23875788.00
1997/12/16	3.82	3.91	3.82	3.84	2640100	46124028.00
1997/12/17	3.84	3.85	3.75	3.77	1528900	25852342.00
1997/12/18	3.76	3.77	3.71	3.74	1827600	30281900.00
1997/12/19	3.73	3.78	3.72	3.78	623400	10419014.00
1997/12/22	3.77	3.77	3.69	3.74	1520100	25101148.00
1997/12/23	3.76	3.85	3.74	3.82	1956300	33546648.00
1997/12/24	3.80	3.87	3.79	3.80	913400	15792039.00
1997/12/25	3.80	3.81	3.76	3.78	827100	14002235.00
1997/12/26	3.80	3.82	3.74	3.77	1153000	19375940.00
1997/12/29	3.76	3.77	3.71	3.73	1272100	21077720.00
1997/12/30	3.73	3.76	3.70	3.72	572300	9452709.00
1997/12/31	3.73	3.79	3.71	3.77	678100	11268238.00
1998/01/05	3.76	3.88	3.72	3.84	1900000	32588308.00
1998/01/06	3.85	4.10	3.85	4.06	6292200	116146992.00
1998/01/07	4.06	4.07	3.97	4.02	3852800	71489256.00
1998/01/08	4.02	4.11	4.00	4.03	2937700	55257108.00
1998/01/09	4.03	4.07	3.98	4.01	3032400	56328080.00
1998/01/12	4.02	4.16	4.02	4.02	6181800	118389832.00
1998/01/13	3.99	4.01	3.75	3.82	4522300	78964112.00
1998/01/14	3.83	3.91	3.77	3.83	3967400	68966000.00
1998/01/15	3.86	3.96	3.86	3.96	1882700	33452828.00
1998/01/16	3.95	4.00	3.89	3.91	1172500	21284218.00
1998/01/19	3.91	3.99	3.89	3.91	810100	14550274.00
1998/01/20	3.89	3.93	3.81	3.83	731600	12764230.00
1998/01/21	3.83	3.85	3.78	3.80	923100	15789566.00
1998/01/22	3.79	3.84	3.77	3.82	722100	12341957.00
1998/01/23	3.84	3.88	3.83	3.84	519600	9093096.00
1998/02/09	3.96	3.96	3.83	3.85	788400	13751113.00
1998/02/10	3.86	3.86	3.77	3.78	1138200	19370960.00
1998/02/11	3.79	3.84	3.78	3.81	403000	6887239.00
1998/02/12	3.80	3.83	3.78	3.79	568700	9670263.00
1998/02/13	3.80	3.80	3.77	3.78	591400	10039693.00
1998/02/16	3.77	3.77	3.73	3.74	885900	14760031.00
1998/02/17	3.74	3.77	3.71	3.73	623200	10369102.00
1998/02/18	3.75	3.76	3.71	3.74	536800	8912958.00
1998/02/19	3.74	3.77	3.72	3.73	417900	6934642.00
1998/02/20	3.74	3.80	3.72	3.76	535400	8989801.00
1998/02/23	3.75	3.75	3.64	3.65	1089800	17625796.00
1998/02/24	3.64	3.68	3.62	3.62	770200	12352774.00
1998/02/25	3.62	3.64	3.54	3.55	712400	11117270.00
1998/02/26	3.52	3.60	3.51	3.56	624100	9578607.00
1998/02/27	3.58	3.63	3.56	3.59	487000	7625076.00
1998/03/02	3.56	3.56	3.49	3.50	725900	10977972.00
1998/03/03	3.50	3.53	3.47	3.51	586400	8780777.00
1998/03/04	3.52	3.52	3.48	3.50	344500	5173523.00
1998/03/05	3.53	3.60	3.51	3.58	567500	8753739.00
1998/03/06	3.58	3.58	3.51	3.53	378900	5813828.00
1998/03/09	3.54	3.54	3.49	3.50	598100	8981206.00
1998/03/10	3.32	3.40	3.29	3.35	1870000	26277106.00
1998/03/11	3.36	3.44	3.35	3.38	842900	12111216.00
1998/03/12	3.38	3.41	3.35	3.36	331600	4695762.00
1998/03/13	3.36	3.39	3.34	3.35	420600	5892109.00
1998/03/16	3.35	3.37	3.32	3.36	667000	9244564.00
1998/03/17	3.38	3.42	3.34	3.40	751200	10670372.00
1998/03/18	3.40	3.41	3.37	3.37	408300	5786508.00
1998/03/19	3.39	3.39	3.35	3.36	287400	4049341.00
1998/03/20	3.36	3.37	3.35	3.35	251200	3529375.00
1998/03/23	3.35	3.39	3.34	3.36	374900	5271064.00
1998/03/24	3.37	3.40	3.36	3.39	259200	3674249.00
1998/03/25	3.43	3.44	3.35	3.36	570100	8081653.00
1998/03/26	3.36	3.38	3.34	3.34	539200	7553427.00
1998/03/27	3.35	3.41	3.32	3.39	865300	12230745.00
1998/03/30	3.39	3.48	3.37	3.47	1152700	16803168.00
1998/03/31	3.47	3.48	3.39	3.40	727800	10625026.00
1998/04/01	3.44	3.60	3.41	3.58	2605300	40010480.00
1998/04/02	3.60	3.61	3.53	3.55	1841800	28572680.00
1998/04/03	3.55	3.56	3.50	3.53	849900	12908047.00
1998/04/06	3.54	3.58	3.50	3.51	1028200	15672555.00
1998/04/07	3.51	3.54	3.50	3.51	761000	11529025.00
1998/04/08	3.51	3.61	3.50	3.53	1211300	18610906.00
1998/04/09	3.55	3.55	3.50	3.52	995100	15093464.00
1998/04/13	3.54	3.64	3.54	3.60	1629000	25588062.00
1998/04/14	3.60	3.61	3.55	3.57	708200	10971367.00
1998/04/15	3.56	3.57	3.53	3.53	624100	9559245.00
1998/04/16	3.53	3.56	3.50	3.50	917000	13865017.00
1998/04/17	3.50	3.50	3.43	3.43	742900	10941965.00
1998/04/20	3.43	3.45	3.37	3.41	659300	9547383.00
1998/04/21	3.39	3.47	3.39	3.45	521100	7630113.00
1998/04/22	3.47	3.51	3.45	3.51	586600	8748512.00
1998/04/23	3.53	3.55	3.48	3.51	858600	12948044.00
1998/04/24	3.48	3.60	3.46	3.59	2131300	32720338.00
1998/04/27	3.62	3.65	3.54	3.56	1384000	21546076.00
1998/04/28	3.56	3.62	3.56	3.61	1305400	20517916.00
1998/04/29	3.60	3.64	3.56	3.64	1257200	19721512.00
1998/04/30	3.60	3.70	3.59	3.68	2321400	37433712.00
1998/05/04	3.68	3.71	3.64	3.67	2364900	38413488.00
1998/05/05	3.67	3.75	3.67	3.70	1794100	29589652.00
1998/05/06	3.71	3.75	3.66	3.71	1910300	31440436.00
1998/05/07	3.71	3.71	3.59	3.63	1224600	19588084.00
1998/05/08	3.61	3.63	3.58	3.63	1017600	16009711.00
1998/05/11	3.63	3.64	3.59	3.63	1458300	23051558.00
1998/05/12	3.63	3.64	3.58	3.63	822200	12970312.00
1998/05/13	3.64	3.65	3.58	3.64	1097600	17336232.00
1998/05/14	3.63	3.70	3.60	3.68	1810700	29420076.00
1998/05/15	3.69	3.77	3.69	3.73	2602100	43183116.00
1998/05/18	3.75	3.78	3.69	3.69	1162000	19147640.00
1998/05/19	3.69	3.74	3.67	3.68	927700	15227116.00
1998/05/20	3.67	3.71	3.63	3.68	701600	11335146.00
1998/05/21	3.68	3.68	3.62	3.67	764900	12262227.00
1998/05/22	3.65	3.71	3.64	3.65	658600	10630391.00
