600060 海信视像 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/04/22	0.98	1.28	0.98	1.22	34689900	574390144.00
1997/04/23	1.19	1.26	1.14	1.17	14454600	247973200.00
1997/04/24	1.16	1.17	1.10	1.14	7450700	125508448.00
1997/04/25	1.16	1.35	1.16	1.35	10248800	188250352.00
1997/04/28	1.52	1.57	1.40	1.57	15785100	315841952.00
1997/04/29	1.65	1.69	1.38	1.44	9688100	192829312.00
1997/04/30	1.44	1.48	1.40	1.47	4951600	95977368.00
1997/05/05	1.47	1.51	1.41	1.44	5241300	102055568.00
1997/05/06	1.44	1.53	1.44	1.46	5634400	110571760.00
1997/05/07	1.48	1.63	1.47	1.55	5432000	109660560.00
1997/05/08	1.56	1.56	1.30	1.33	3494200	67796040.00
1997/05/09	1.34	1.42	1.28	1.41	4349800	80783440.00
1997/05/12	1.41	1.46	1.35	1.37	3289700	62373280.00
1997/05/13	1.38	1.39	1.26	1.31	3176100	57763192.00
1997/05/14	1.27	1.34	1.24	1.25	1990700	35796384.00
1997/05/15	1.24	1.30	1.22	1.28	1372600	24492846.00
1997/05/16	1.06	1.24	1.06	1.11	2355900	39665872.00
1997/05/19	1.11	1.15	1.08	1.12	1043600	17368484.00
1997/05/20	1.16	1.24	1.15	1.22	1365900	23645320.00
1997/05/21	1.22	1.22	1.10	1.15	1217200	20604476.00
1997/05/22	0.94	1.06	0.94	0.94	1985900	30757934.00
1997/05/23	0.95	1.06	0.94	1.03	1355200	21294792.00
1997/05/26	1.06	1.09	0.96	1.09	1227600	19710670.00
1997/05/27	1.12	1.21	1.12	1.17	2397600	40999272.00
1997/05/28	1.16	1.16	1.08	1.12	1158200	19402700.00
1997/05/29	1.12	1.18	1.11	1.11	934600	15716185.00
1997/05/30	1.09	1.13	1.07	1.12	698000	11536737.00
1997/06/02	1.16	1.22	1.14	1.16	1449200	24867920.00
1997/06/03	1.17	1.27	1.15	1.20	1737000	30315800.00
1997/06/04	1.21	1.22	1.16	1.17	858900	14719198.00
1997/06/05	1.17	1.19	1.12	1.15	836100	14176351.00
1997/06/06	1.02	1.07	0.99	1.02	1989400	31717788.00
1997/06/09	1.04	1.04	0.95	1.00	688100	10696400.00
1997/06/10	1.00	1.04	0.97	0.98	409800	6434999.00
1997/06/11	0.98	1.01	0.87	0.94	632800	9481519.00
1997/06/12	0.95	0.96	0.90	0.93	393800	5942385.00
1997/06/13	0.76	0.97	0.76	0.94	1093300	16117569.00
1997/06/16	0.97	0.98	0.94	0.95	613600	9420768.00
1997/06/17	0.91	0.94	0.89	0.91	482100	7248046.00
1997/06/18	0.91	0.91	0.87	0.88	442600	6553440.00
1997/06/19	0.88	0.89	0.86	0.87	430600	6317286.00
1997/06/20	0.91	1.01	0.90	0.97	663400	10125688.00
1997/06/23	0.99	1.02	0.91	0.93	849000	13035827.00
1997/06/24	0.93	0.97	0.91	0.94	609200	9229711.00
1997/06/25	0.94	1.01	0.91	0.97	912800	14202436.00
1997/06/26	0.94	0.96	0.92	0.93	505400	7727878.00
1997/06/27	0.94	0.95	0.88	0.89	688300	10309502.00
1997/07/02	0.91	0.91	0.71	0.79	605800	8511505.00
1997/07/03	0.79	0.82	0.71	0.74	474400	6444302.00
1997/07/04	0.73	0.73	0.67	0.72	422500	5607345.00
1997/07/07	0.73	0.74	0.55	0.57	423100	5414840.00
1997/07/08	0.55	0.62	0.50	0.60	613800	7423146.00
1997/07/09	0.61	0.73	0.60	0.71	1198100	15761305.00
1997/07/10	0.71	0.82	0.71	0.75	1516500	21013504.00
1997/07/11	0.77	0.81	0.77	0.81	980000	13720589.00
1997/07/14	0.85	0.94	0.85	0.91	1736700	25957956.00
1997/07/15	0.93	0.98	0.88	0.96	1622900	24420856.00
1997/07/16	0.96	0.96	0.88	0.90	737200	11005462.00
1997/07/17	0.89	0.94	0.89	0.91	568000	8509535.00
1997/07/18	0.92	0.93	0.88	0.90	621100	9235721.00
1997/07/21	0.90	0.91	0.79	0.84	613400	8948667.00
1997/07/22	0.82	0.83	0.75	0.82	767900	10751057.00
1997/07/23	0.91	0.97	0.86	0.88	1626200	24486672.00
1997/07/24	0.91	0.97	0.89	0.91	1727100	26210772.00
1997/07/25	0.90	1.00	0.89	0.99	2403200	36891416.00
1997/07/28	1.04	1.06	0.95	0.98	1914600	30027418.00
1997/07/29	0.98	0.98	0.85	0.92	1115400	16850336.00
1997/07/30	0.92	0.98	0.91	0.98	712500	10791028.00
1997/07/31	0.98	0.99	0.93	0.95	508700	7781121.00
1997/08/01	0.95	0.95	0.92	0.94	351300	5320708.00
1997/08/04	0.94	0.95	0.89	0.93	391200	5890525.00
1997/08/05	0.94	1.01	0.93	0.99	1035500	16074212.00
1997/08/06	0.98	0.98	0.91	0.92	511000	7783848.00
1997/08/07	0.92	0.95	0.88	0.94	490300	7297889.00
1997/08/08	0.94	0.95	0.89	0.90	566800	8480732.00
1997/08/11	0.90	0.90	0.79	0.83	808000	11585542.00
1997/08/12	0.81	0.85	0.79	0.79	488300	6937866.00
1997/08/13	0.79	0.83	0.73	0.77	332200	4648106.00
1997/08/14	0.77	0.85	0.75	0.85	347100	4868539.00
1997/08/15	0.85	0.85	0.78	0.79	276200	3883736.00
1997/08/18	0.78	0.79	0.73	0.75	287600	3929937.00
1997/08/19	0.74	0.75	0.72	0.74	228100	3077380.00
1997/08/20	0.75	0.79	0.74	0.75	151200	2068896.00
1997/08/21	0.76	0.79	0.76	0.79	198100	2743205.00
1997/08/22	0.79	0.80	0.67	0.75	758100	10150746.00
1997/08/25	0.74	0.75	0.69	0.71	555900	7393094.00
1997/08/26	0.71	0.73	0.71	0.71	421200	5642496.00
1997/08/27	0.72	0.72	0.68	0.70	452100	5978404.00
1997/08/28	0.71	0.78	0.71	0.76	452600	6184363.00
1997/08/29	0.76	0.77	0.73	0.73	343200	4651732.00
1997/09/01	0.73	0.74	0.69	0.71	419000	5575947.00
1997/09/02	0.75	0.78	0.73	0.76	470600	6432223.00
1997/09/03	0.75	0.78	0.74	0.78	468800	6479717.00
1997/09/04	0.78	0.84	0.78	0.83	528400	7458666.00
1997/09/05	0.82	0.83	0.78	0.79	343600	4815377.00
1997/09/08	0.79	0.79	0.74	0.76	311500	4272186.00
1997/09/09	0.76	0.78	0.73	0.73	332100	4522411.00
1997/09/10	0.73	0.77	0.72	0.73	261100	3531537.00
1997/09/11	0.73	0.76	0.71	0.73	409100	5531265.00
1997/09/12	0.73	0.74	0.71	0.71	219700	2953539.00
1997/09/15	0.69	0.72	0.66	0.66	296800	3879336.00
1997/09/16	0.67	0.68	0.66	0.67	158000	2052989.00
1997/09/17	0.67	0.68	0.65	0.66	141600	1829988.00
1997/09/18	0.67	0.68	0.66	0.66	203600	2639748.00
1997/09/19	0.68	0.71	0.67	0.69	141700	1859479.00
1997/09/22	0.69	0.69	0.58	0.58	232100	2911663.00
1997/09/23	0.55	0.57	0.45	0.46	380200	4471489.00
1997/09/24	0.51	0.55	0.48	0.55	377400	4437545.00
1997/09/25	0.57	0.59	0.55	0.56	317700	3876628.00
1997/09/26	0.55	0.55	0.52	0.54	224000	2654717.00
1997/09/29	0.55	0.55	0.49	0.50	169200	1971263.00
1997/09/30	0.49	0.55	0.49	0.53	217400	2566132.00
1997/10/06	0.55	0.56	0.52	0.53	134500	1596942.00
1997/10/07	0.53	0.54	0.51	0.52	62300	734664.00
1997/10/08	0.58	0.63	0.55	0.63	212600	2596072.00
1997/10/09	0.61	0.66	0.60	0.62	444500	5643090.00
1997/10/10	0.62	0.64	0.61	0.62	174900	2204688.00
1997/10/13	0.61	0.62	0.57	0.58	122000	1501924.00
1997/10/14	0.60	0.60	0.55	0.58	108100	1313041.00
