600061 国投资本 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/19	1.47	1.51	1.20	1.26	13100000	196512832.00
1997/05/20	1.25	1.25	1.20	1.21	3894400	55877776.00
1997/05/21	1.22	1.30	1.18	1.23	4330300	63495312.00
1997/05/22	1.09	1.16	1.08	1.08	1744700	23008256.00
1997/05/23	1.03	1.11	1.02	1.07	2419700	31082548.00
1997/05/26	1.09	1.10	0.96	1.01	1820400	22460792.00
1997/05/27	1.03	1.06	1.00	1.04	1551800	19500560.00
1997/05/28	1.04	1.08	1.00	1.05	2007600	25332434.00
1997/05/29	1.05	1.13	1.02	1.03	2377700	30924654.00
1997/05/30	1.03	1.08	1.02	1.07	1314900	16700935.00
1997/06/02	1.11	1.16	1.08	1.16	2133200	28546620.00
1997/06/03	1.15	1.21	1.13	1.15	3052400	42422140.00
1997/06/04	1.16	1.17	1.11	1.12	1766600	23813044.00
1997/06/05	1.08	1.12	1.08	1.09	1169700	15365242.00
1997/06/06	0.99	1.03	0.95	0.98	1693800	20528598.00
1997/06/09	0.97	0.98	0.91	0.94	712000	8308971.00
1997/06/10	0.93	0.98	0.89	0.89	635700	7418979.00
1997/06/11	0.89	0.93	0.85	0.92	808100	9047406.00
1997/06/12	0.93	1.00	0.89	0.95	1654900	19603804.00
1997/06/13	0.89	1.04	0.89	1.04	2154300	26271784.00
1997/06/16	1.04	1.04	0.99	1.00	1325200	16393167.00
1997/06/17	1.00	1.00	0.95	0.96	746300	8911462.00
1997/06/18	0.95	0.97	0.87	0.92	738100	8536269.00
1997/06/19	0.92	0.96	0.91	0.92	790700	9119812.00
1997/06/20	0.95	0.99	0.92	0.98	760600	9041076.00
1997/06/23	1.00	1.00	0.91	0.92	958000	11216321.00
1997/06/24	0.92	0.95	0.91	0.93	508700	5873134.00
1997/06/25	0.95	0.95	0.90	0.91	535200	6126853.00
1997/06/26	0.90	0.91	0.88	0.89	837900	9331745.00
1997/06/27	0.90	0.91	0.82	0.82	932900	10121128.00
1997/07/02	0.82	0.83	0.74	0.80	1082000	10850426.00
1997/07/03	0.78	0.82	0.74	0.77	653000	6528259.00
