600062 华润双鹤 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/22	-0.06	0.23	-0.07	0.15	25824000	358696992.00
1997/05/23	0.16	0.30	0.16	0.30	15761400	234428800.00
1997/05/26	0.36	0.38	0.17	0.36	12797900	194619328.00
1997/05/27	0.37	0.37	0.27	0.31	6333400	97414856.00
1997/05/28	0.30	0.33	0.25	0.29	5641100	85021512.00
1997/05/29	0.28	0.39	0.26	0.30	5097900	79091776.00
1997/05/30	0.30	0.32	0.26	0.32	2840800	42991472.00
1997/06/02	0.36	0.44	0.33	0.44	8133900	130882496.00
1997/06/03	0.44	0.51	0.39	0.41	6748600	111055136.00
1997/06/04	0.40	0.43	0.36	0.38	4099000	65633672.00
1997/06/05	0.38	0.42	0.36	0.38	3247400	51929980.00
1997/06/06	0.23	0.32	0.20	0.24	4523300	67210560.00
1997/06/09	0.25	0.26	0.17	0.21	1336300	19245676.00
1997/06/10	0.21	0.24	0.15	0.15	960100	13680865.00
1997/06/11	0.15	0.16	0.05	0.15	1689100	22546538.00
1997/06/12	0.15	0.16	0.09	0.10	1391800	18882410.00
1997/06/13	0.03	0.17	0.02	0.17	1948800	26486140.00
1997/06/16	0.19	0.22	0.17	0.19	1726600	24585712.00
1997/06/17	0.19	0.19	0.14	0.15	860900	11992656.00
1997/06/18	0.15	0.16	0.12	0.14	717300	9891436.00
1997/06/19	0.14	0.15	0.10	0.10	725400	9863013.00
1997/06/20	0.11	0.20	0.11	0.18	1008700	14062819.00
1997/06/23	0.20	0.23	0.13	0.15	1551900	21809264.00
1997/06/24	0.16	0.20	0.15	0.18	960700	13524688.00
1997/06/25	0.18	0.19	0.14	0.14	958000	13338362.00
1997/06/26	0.14	0.14	0.11	0.12	999300	13594983.00
1997/06/27	0.11	0.13	0.05	0.06	1376600	18234428.00
1997/07/02	0.06	0.08	-0.09	-0.04	951000	11833312.00
1997/07/03	-0.04	0.03	-0.11	-0.05	1053300	12814543.00
1997/07/04	-0.06	0.01	-0.07	-0.03	749500	9239355.00
1997/07/07	-0.02	-0.01	-0.12	-0.12	867400	10311384.00
1997/07/08	-0.12	-0.07	-0.17	-0.10	706400	8065295.00
