600063 皖维高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/28	0.77	0.91	0.76	0.91	32803700	451682368.00
1997/05/29	0.86	0.91	0.84	0.85	15993500	230628544.00
1997/05/30	0.85	0.87	0.79	0.82	7019400	96724296.00
1997/06/02	0.84	0.88	0.83	0.88	7688900	109382304.00
1997/06/03	0.88	0.94	0.86	0.89	11796600	174984400.00
1997/06/04	0.89	0.89	0.84	0.86	5435600	77451496.00
1997/06/05	0.86	0.86	0.81	0.82	3145200	43816448.00
1997/06/06	0.73	0.78	0.72	0.72	4289800	54895632.00
1997/06/09	0.72	0.73	0.62	0.67	1746500	20780518.00
1997/06/10	0.67	0.67	0.60	0.62	1532700	17749382.00
1997/06/11	0.62	0.66	0.56	0.64	2588300	28388444.00
1997/06/12	0.64	0.64	0.60	0.60	1022600	11391751.00
1997/06/13	0.55	0.63	0.55	0.62	1837400	20134848.00
1997/06/16	0.63	0.68	0.61	0.66	2261000	25881008.00
1997/06/17	0.68	0.73	0.66	0.70	6370600	78788504.00
1997/06/18	0.70	0.74	0.70	0.73	4775200	59889544.00
1997/06/19	0.75	0.76	0.67	0.68	3574100	44690496.00
1997/06/20	0.68	0.73	0.68	0.72	2181900	26841008.00
1997/06/23	0.74	0.74	0.66	0.68	2004600	24415676.00
1997/06/24	0.68	0.72	0.67	0.70	1085800	13294068.00
1997/06/25	0.71	0.72	0.68	0.70	1172800	14340709.00
1997/06/26	0.71	0.71	0.68	0.68	938100	11365690.00
1997/06/27	0.68	0.68	0.62	0.62	1313400	15316907.00
1997/07/02	0.63	0.65	0.54	0.55	1081900	11458516.00
1997/07/03	0.55	0.57	0.51	0.53	900000	9099255.00
1997/07/04	0.52	0.54	0.51	0.51	810000	8078667.00
1997/07/07	0.51	0.54	0.43	0.44	727200	6952891.00
1997/07/08	0.44	0.48	0.42	0.47	949800	8594823.00
1997/07/09	0.47	0.48	0.44	0.47	610500	5632112.00
1997/07/10	0.47	0.49	0.44	0.46	684800	6305287.00
1997/07/11	0.44	0.49	0.44	0.48	820900	7688503.00
1997/07/14	0.49	0.53	0.48	0.52	1105500	10879906.00
1997/07/15	0.51	0.52	0.48	0.49	869500	8311815.00
1997/07/16	0.49	0.52	0.47	0.48	593700	5691892.00
1997/07/17	0.48	0.51	0.48	0.51	846800	8222630.00
1997/07/18	0.51	0.53	0.50	0.53	1234200	12342656.00
1997/07/21	0.53	0.56	0.52	0.53	1266100	12993379.00
1997/07/22	0.52	0.55	0.49	0.53	730100	7247164.00
1997/07/23	0.54	0.54	0.51	0.52	696300	6961851.00
1997/07/24	0.51	0.52	0.48	0.48	603600	5812501.00
1997/07/25	0.48	0.50	0.48	0.49	527600	5028276.00
1997/07/28	0.49	0.49	0.45	0.46	321200	3018908.00
1997/07/29	0.48	0.48	0.46	0.48	303200	2849597.00
1997/07/30	0.48	0.50	0.48	0.50	398400	3817479.00
1997/07/31	0.50	0.51	0.50	0.50	326200	3166032.00
1997/08/01	0.50	0.55	0.50	0.54	1439900	14481621.00
1997/08/04	0.55	0.61	0.55	0.58	3577200	38431368.00
1997/08/05	0.64	0.67	0.62	0.66	5612700	65284256.00
1997/08/06	0.65	0.67	0.63	0.64	2824800	32797978.00
1997/08/07	0.63	0.67	0.62	0.66	1997700	23094772.00
1997/08/08	0.68	0.69	0.65	0.66	1979000	23420132.00
1997/08/11	0.67	0.70	0.66	0.67	2342800	28049634.00
1997/08/12	0.67	0.68	0.63	0.63	1571100	18203112.00
1997/08/13	0.54	0.59	0.54	0.54	2600300	27197912.00
1997/08/14	0.54	0.56	0.51	0.56	1978800	20248744.00
1997/08/15	0.56	0.57	0.53	0.55	1124300	11580893.00
1997/08/18	0.54	0.56	0.53	0.56	662900	6783386.00
1997/08/19	0.56	0.57	0.55	0.56	554900	5810655.00
1997/08/20	0.56	0.57	0.55	0.56	351200	3671315.00
1997/08/21	0.57	0.59	0.55	0.58	923800	9749495.00
1997/08/22	0.58	0.61	0.56	0.60	1189000	12919329.00
1997/08/25	0.60	0.61	0.59	0.60	738200	8058695.00
1997/08/26	0.60	0.61	0.59	0.61	1088400	11969951.00
1997/08/27	0.61	0.61	0.59	0.60	861300	9413808.00
1997/08/28	0.60	0.60	0.58	0.59	820100	8915383.00
1997/08/29	0.59	0.61	0.59	0.61	1356100	14943170.00
1997/09/01	0.61	0.63	0.61	0.62	784800	8825115.00
1997/09/02	0.62	0.62	0.60	0.61	863200	9560864.00
1997/09/03	0.60	0.62	0.60	0.62	759300	8463091.00
1997/09/04	0.62	0.64	0.62	0.64	959200	10927021.00
1997/09/05	0.64	0.64	0.62	0.63	523500	5926045.00
1997/09/08	0.62	0.63	0.61	0.62	545900	6080237.00
1997/09/09	0.61	0.62	0.59	0.59	583600	6430618.00
1997/09/10	0.59	0.60	0.58	0.59	603700	6541555.00
1997/09/11	0.60	0.62	0.58	0.59	822500	8947982.00
1997/09/12	0.59	0.59	0.56	0.56	435200	4649041.00
1997/09/15	0.56	0.57	0.54	0.54	354000	3669284.00
1997/09/16	0.55	0.55	0.54	0.54	275200	2812462.00
1997/09/17	0.55	0.56	0.54	0.54	348000	3563730.00
1997/09/18	0.54	0.56	0.54	0.54	206700	2117956.00
1997/09/19	0.55	0.56	0.54	0.55	229100	2364463.00
1997/09/22	0.55	0.55	0.49	0.49	377600	3716149.00
1997/09/23	0.48	0.50	0.44	0.45	469500	4357575.00
1997/09/24	0.47	0.50	0.46	0.49	552200	5206804.00
1997/09/25	0.48	0.52	0.48	0.50	478500	4652925.00
1997/09/26	0.50	0.50	0.48	0.48	311000	2959639.00
1997/09/29	0.48	0.48	0.45	0.46	399500	3680000.00
1997/09/30	0.46	0.48	0.46	0.46	210200	1942760.00
1997/10/06	0.47	0.48	0.46	0.46	210000	1937308.00
1997/10/07	0.46	0.47	0.46	0.47	115500	1062820.00
1997/10/08	0.51	0.51	0.48	0.50	404500	3911727.00
1997/10/09	0.50	0.50	0.48	0.48	210900	2025353.00
1997/10/10	0.50	0.50	0.49	0.50	195200	1880079.00
1997/10/13	0.50	0.51	0.48	0.48	125000	1198433.00
1997/10/14	0.48	0.48	0.47	0.48	180700	1690800.00
1997/10/15	0.48	0.49	0.48	0.48	106200	1008756.00
1997/10/16	0.50	0.51	0.48	0.51	516600	5040944.00
1997/10/17	0.51	0.54	0.51	0.52	718400	7144168.00
1997/10/20	0.52	0.54	0.52	0.53	885200	8918133.00
1997/10/21	0.52	0.53	0.51	0.52	430800	4274594.00
1997/10/22	0.52	0.53	0.50	0.50	661400	6472628.00
1997/10/23	0.50	0.54	0.49	0.53	1574100	15674420.00
1997/10/24	0.54	0.54	0.52	0.53	899000	9081091.00
