600064 南京高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/06	-0.47	-0.21	-0.47	-0.21	35352000	944039104.00
1997/05/07	-0.20	-0.18	-0.32	-0.29	10852800	296207104.00
1997/05/08	-0.30	-0.29	-0.46	-0.44	6743300	177334288.00
1997/05/09	-0.42	-0.29	-0.44	-0.30	4930600	129058960.00
1997/05/12	-0.26	-0.22	-0.37	-0.35	3737000	100034944.00
1997/05/13	-0.36	-0.34	-0.42	-0.38	2329800	60475460.00
1997/05/14	-0.38	-0.33	-0.45	-0.43	2065800	53593568.00
1997/05/15	-0.43	-0.39	-0.44	-0.40	1560700	40065648.00
1997/05/16	-0.61	-0.45	-0.61	-0.61	2874500	69361400.00
1997/05/19	-0.56	-0.49	-0.60	-0.55	985600	23495332.00
1997/05/20	-0.54	-0.51	-0.55	-0.52	1228500	29705954.00
1997/05/21	-0.52	-0.52	-0.62	-0.58	1093200	25786512.00
1997/05/22	-0.77	-0.67	-0.77	-0.77	1931800	41410064.00
1997/05/23	-0.78	-0.71	-0.85	-0.74	1681500	35557284.00
1997/05/26	-0.72	-0.70	-0.84	-0.77	936900	19891562.00
1997/05/27	-0.75	-0.65	-0.75	-0.70	2080400	46247280.00
1997/05/28	-0.69	-0.67	-0.76	-0.70	1181300	25893372.00
1997/05/29	-0.71	-0.63	-0.73	-0.70	1249700	28068616.00
1997/05/30	-0.69	-0.66	-0.73	-0.68	697000	15415116.00
1997/06/02	-0.63	-0.57	-0.64	-0.58	1996300	46819332.00
1997/06/03	-0.57	-0.50	-0.60	-0.57	1872700	45021920.00
1997/06/04	-0.58	-0.55	-0.60	-0.58	1127300	26473112.00
1997/06/05	-0.59	-0.56	-0.64	-0.56	1797500	41845808.00
1997/06/06	-0.71	-0.63	-0.76	-0.71	2215300	49193780.00
1997/06/09	-0.73	-0.70	-0.77	-0.75	579900	12495339.00
1997/06/10	-0.71	-0.71	-0.79	-0.77	664300	14286973.00
1997/06/11	-0.77	-0.77	-0.89	-0.83	1022800	20786156.00
1997/06/12	-0.81	-0.79	-0.86	-0.84	549700	11347798.00
1997/06/13	-0.95	-0.75	-0.95	-0.77	944600	19240638.00
1997/06/16	-0.75	-0.73	-0.79	-0.79	637400	13598835.00
1997/06/17	-0.79	-0.77	-0.81	-0.81	507500	10604158.00
1997/06/18	-0.81	-0.76	-0.81	-0.81	340600	7128188.00
1997/06/19	-0.80	-0.79	-0.83	-0.83	387600	8023664.00
1997/06/20	-0.80	-0.73	-0.81	-0.75	578300	12278927.00
1997/06/23	-0.71	-0.70	-0.83	-0.80	871100	18532612.00
1997/06/24	-0.80	-0.77	-0.81	-0.79	662300	13891732.00
1997/06/25	-0.77	-0.72	-0.80	-0.76	606500	12977724.00
1997/06/26	-0.76	-0.76	-0.80	-0.79	536200	11269044.00
1997/06/27	-0.79	-0.78	-0.84	-0.83	832800	17229916.00
1997/07/02	-0.82	-0.79	-1.00	-0.91	669100	13112716.00
1997/07/03	-0.91	-0.91	-0.97	-0.96	476400	9045036.00
1997/07/04	-0.99	-0.94	-1.00	-0.97	384000	7194076.00
1997/07/07	-0.96	-0.96	-1.12	-1.11	554900	9892886.00
1997/07/08	-1.11	-1.08	-1.16	-1.10	545900	9237728.00
1997/07/09	-1.09	-1.08	-1.12	-1.09	363500	6212093.00
1997/07/10	-1.09	-1.08	-1.11	-1.10	361700	6225039.00
1997/07/11	-1.11	-1.01	-1.12	-1.01	577900	10291707.00
1997/07/14	-0.99	-0.90	-1.00	-0.94	954700	18253916.00
1997/07/15	-0.94	-0.94	-0.99	-0.94	570500	10806180.00
1997/07/16	-0.96	-0.93	-0.98	-0.96	405200	7688061.00
1997/07/17	-0.95	-0.93	-0.96	-0.95	592300	11281279.00
1997/07/18	-0.94	-0.94	-0.98	-0.94	526100	9968941.00
1997/07/21	-0.91	-0.86	-0.93	-0.92	826300	16372547.00
1997/07/22	-0.94	-0.92	-0.98	-0.92	432000	8261940.00
1997/07/23	-0.90	-0.90	-0.96	-0.95	316800	6117640.00
1997/07/24	-0.96	-0.94	-0.99	-0.98	282600	5328393.00
1997/07/25	-0.99	-0.99	-1.01	-1.00	364100	6706667.00
1997/07/28	-1.00	-0.99	-1.04	-1.04	245200	4425131.00
1997/07/29	-1.04	-1.03	-1.06	-1.04	234700	4177643.00
1997/07/30	-1.04	-1.00	-1.05	-1.00	174400	3169220.00
1997/07/31	-0.99	-0.97	-1.00	-1.00	176000	3281550.00
1997/08/01	-1.00	-0.98	-1.02	-1.00	153000	2801578.00
1997/08/04	-1.00	-0.99	-1.04	-1.02	253200	4583743.00
1997/08/05	-1.01	-0.99	-1.01	-1.01	172000	3165627.00
1997/08/06	-1.00	-1.00	-1.05	-1.05	152500	2760526.00
1997/08/07	-1.06	-1.04	-1.10	-1.04	527200	9209683.00
1997/08/08	-1.03	-1.02	-1.07	-1.07	342100	6072083.00
1997/08/11	-1.15	-1.13	-1.21	-1.21	820600	13126106.00
1997/08/12	-1.24	-1.20	-1.25	-1.24	742600	11628893.00
1997/08/13	-1.24	-1.21	-1.24	-1.24	339800	5327778.00
1997/08/14	-1.24	-1.18	-1.24	-1.19	430300	6782900.00
1997/08/15	-1.17	-1.17	-1.23	-1.21	255800	4066805.00
1997/08/18	-1.21	-1.21	-1.26	-1.25	277900	4269447.00
1997/08/19	-1.22	-1.22	-1.26	-1.25	266100	4110890.00
1997/08/20	-1.24	-1.23	-1.26	-1.24	348900	5367480.00
1997/08/21	-1.22	-1.18	-1.23	-1.20	547500	8728902.00
1997/08/22	-1.20	-1.17	-1.21	-1.18	468500	7551123.00
1997/08/25	-1.17	-1.13	-1.17	-1.14	632400	10530982.00
1997/08/26	-1.14	-1.14	-1.16	-1.15	557100	9259453.00
1997/08/27	-1.15	-1.14	-1.17	-1.16	322400	5314638.00
1997/08/28	-1.15	-1.14	-1.17	-1.16	365400	6001092.00
1997/08/29	-1.17	-1.16	-1.19	-1.17	430800	7038804.00
1997/09/01	-1.18	-1.18	-1.20	-1.19	481200	7728006.00
1997/09/02	-1.19	-1.14	-1.20	-1.15	401300	6575861.00
1997/09/03	-1.15	-1.13	-1.16	-1.14	427400	7106554.00
1997/09/04	-1.14	-1.11	-1.14	-1.11	431900	7318799.00
1997/09/05	-1.12	-1.11	-1.14	-1.13	275000	4637220.00
1997/09/08	-1.13	-1.12	-1.15	-1.14	229100	3829503.00
1997/09/09	-1.14	-1.13	-1.16	-1.15	259000	4315705.00
1997/09/10	-1.14	-1.14	-1.16	-1.14	244300	4044977.00
1997/09/12	-1.14	-1.12	-1.20	-1.19	190900	3101919.00
1997/09/15	-1.20	-1.19	-1.24	-1.23	251800	3963297.00
1997/09/16	-1.23	-1.21	-1.23	-1.23	128000	2006722.00
1997/09/17	-1.21	-1.21	-1.23	-1.22	152100	2385659.00
1997/09/18	-1.21	-1.20	-1.21	-1.21	86000	1367053.00
1997/09/19	-1.20	-1.20	-1.22	-1.20	96800	1540460.00
1997/09/22	-1.20	-1.20	-1.29	-1.29	262400	3999282.00
1997/09/23	-1.30	-1.28	-1.38	-1.37	277100	3992734.00
1997/09/24	-1.35	-1.30	-1.35	-1.31	299400	4297985.00
1997/09/25	-1.29	-1.29	-1.33	-1.32	222100	3253290.00
1997/09/26	-1.32	-1.30	-1.32	-1.31	97100	1419379.00
1997/09/29	-1.32	-1.31	-1.35	-1.34	139100	1983105.00
1997/09/30	-1.33	-1.31	-1.33	-1.32	95800	1381776.00
1997/10/06	-1.32	-1.30	-1.32	-1.31	89000	1299597.00
1997/10/07	-1.30	-1.30	-1.33	-1.32	62300	889163.00
1997/10/08	-1.30	-1.27	-1.31	-1.29	120500	1773454.00
1997/10/09	-1.29	-1.27	-1.30	-1.28	79200	1165646.00
1997/10/10	-1.28	-1.23	-1.28	-1.24	263900	4002649.00
1997/10/13	-1.23	-1.22	-1.26	-1.26	124200	1889091.00
1997/10/14	-1.27	-1.27	-1.28	-1.27	89900	1336765.00
1997/10/15	-1.27	-1.25	-1.27	-1.26	69300	1042870.00
1997/10/16	-1.22	-1.18	-1.24	-1.20	315600	4957948.00
1997/10/17	-1.19	-1.14	-1.19	-1.15	618500	10085853.00
1997/10/20	-1.14	-1.12	-1.17	-1.15	467800	7700225.00
1997/10/21	-1.17	-1.14	-1.17	-1.15	330200	5367261.00
1997/10/22	-1.15	-1.15	-1.19	-1.19	540500	8676998.00
1997/10/23	-1.19	-1.16	-1.21	-1.18	385700	6160095.00
1997/10/24	-1.18	-1.17	-1.20	-1.18	247800	3951427.00
1997/10/27	-1.17	-1.08	-1.17	-1.08	1221100	20591708.00
1997/10/28	-1.08	-1.08	-1.17	-1.16	665100	11113579.00
1997/10/29	-1.17	-1.15	-1.18	-1.17	341700	5542940.00
1997/10/30	-1.16	-1.10	-1.16	-1.15	548300	9109004.00
1997/10/31	-1.17	-1.14	-1.18	-1.15	301000	4862338.00
1997/11/03	-1.14	-1.09	-1.15	-1.11	841000	14156975.00
1997/11/04	-1.11	-1.08	-1.12	-1.12	433600	7335023.00
1997/11/05	-1.12	-1.06	-1.13	-1.08	942000	16145455.00
1997/11/06	-1.07	-1.03	-1.09	-1.09	1294400	22759670.00
1997/11/07	-1.08	-1.00	-1.09	-1.02	1459100	26062288.00
1997/11/10	-0.99	-0.95	-1.04	-1.01	1500700	27519688.00
1997/11/11	-1.02	-1.01	-1.09	-1.04	776500	13755207.00
1997/11/12	-1.02	-1.02	-1.07	-1.06	493100	8685401.00
1997/11/13	-1.07	-1.06	-1.11	-1.06	596300	10256947.00
1997/11/14	-1.07	-1.04	-1.07	-1.06	374300	6562404.00
1997/11/17	-1.04	-1.04	-1.08	-1.08	246900	4298270.00
1997/11/18	-1.08	-1.07	-1.14	-1.11	309800	5253386.00
1997/11/19	-1.11	-1.09	-1.12	-1.11	207600	3511310.00
1997/11/20	-1.11	-1.10	-1.13	-1.12	307000	5150436.00
1997/11/21	-1.14	-1.12	-1.16	-1.15	397700	6536939.00
1997/11/24	-1.16	-1.16	-1.20	-1.19	256700	4083796.00
1997/11/25	-1.19	-1.18	-1.22	-1.21	341600	5376915.00
