600066 宇通客车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/08	-5.11	-5.05	-5.25	-5.24	22349800	623164672.00
1997/05/09	-5.24	-5.21	-5.27	-5.24	5314100	138991936.00
1997/05/12	-5.23	-5.19	-5.23	-5.23	3051200	82117456.00
1997/05/13	-5.23	-5.23	-5.26	-5.25	1828100	47411676.00
1997/05/14	-5.25	-5.20	-5.26	-5.24	2613000	68951792.00
1997/05/15	-5.23	-5.18	-5.23	-5.19	3759400	102131368.00
1997/05/16	-5.29	-5.23	-5.29	-5.29	4007800	102176696.00
1997/05/19	-5.27	-5.25	-5.29	-5.27	921200	23073288.00
1997/05/20	-5.27	-5.25	-5.28	-5.26	878300	22301172.00
1997/05/21	-5.26	-5.26	-5.30	-5.28	1037600	25822138.00
1997/05/22	-5.36	-5.32	-5.36	-5.36	1660800	37744936.00
1997/05/23	-5.36	-5.34	-5.40	-5.34	1227200	27576478.00
1997/05/26	-5.34	-5.33	-5.39	-5.35	865300	19533810.00
1997/05/27	-5.35	-5.33	-5.36	-5.35	850200	19615994.00
1997/05/28	-5.35	-5.34	-5.37	-5.35	1115300	25331120.00
1997/05/29	-5.35	-5.32	-5.35	-5.35	897200	20926308.00
1997/05/30	-5.35	-5.33	-5.35	-5.33	636000	14741255.00
1997/06/02	-5.29	-5.26	-5.31	-5.26	3144700	79614768.00
1997/06/03	-5.25	-5.23	-5.28	-5.26	2703500	69809720.00
1997/06/04	-5.25	-5.24	-5.27	-5.25	1435200	37002696.00
1997/06/05	-5.25	-5.22	-5.26	-5.22	2885700	75722784.00
1997/06/06	-5.28	-5.23	-5.31	-5.28	2973800	75480888.00
1997/06/09	-5.28	-5.26	-5.29	-5.28	1041200	26171984.00
1997/06/10	-5.28	-5.27	-5.32	-5.31	830100	20465054.00
1997/06/11	-5.32	-5.32	-5.37	-5.34	1293300	29898256.00
1997/06/12	-5.32	-5.31	-5.34	-5.33	567900	13409926.00
