600067 冠城大通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/08	-0.19	-0.15	-0.27	-0.27	6975200	113934208.00
1997/05/09	-0.27	-0.23	-0.30	-0.25	2086300	31335828.00
1997/05/12	-0.27	-0.24	-0.28	-0.27	1169900	17572142.00
1997/05/13	-0.27	-0.20	-0.28	-0.20	2537500	40107536.00
1997/05/14	-0.17	-0.14	-0.22	-0.19	2911600	48670832.00
1997/05/15	-0.18	-0.17	-0.22	-0.18	1347600	22142160.00
1997/05/16	-0.27	-0.20	-0.27	-0.27	1279900	19684472.00
1997/05/19	-0.26	-0.24	-0.29	-0.27	386300	5842201.00
1997/05/20	-0.26	-0.24	-0.27	-0.27	596600	8983243.00
1997/05/21	-0.27	-0.27	-0.30	-0.29	500300	7302227.00
1997/05/22	-0.35	-0.32	-0.37	-0.37	760200	10010092.00
1997/05/23	-0.36	-0.33	-0.39	-0.33	632300	8291926.00
1997/05/26	-0.30	-0.30	-0.34	-0.30	388900	5425060.00
1997/05/27	-0.31	-0.28	-0.32	-0.29	653800	9402233.00
1997/05/28	-0.27	-0.27	-0.32	-0.30	357300	5157564.00
1997/05/29	-0.32	-0.28	-0.32	-0.29	293700	4259595.00
1997/05/30	-0.30	-0.22	-0.31	-0.22	1418600	21153252.00
1997/06/02	-0.23	-0.21	-0.25	-0.21	1301300	20713750.00
1997/06/03	-0.20	-0.20	-0.27	-0.24	787600	12407653.00
1997/06/04	-0.24	-0.23	-0.27	-0.25	344600	5304736.00
1997/06/05	-0.27	-0.25	-0.28	-0.27	447500	6743731.00
1997/06/06	-0.32	-0.28	-0.33	-0.32	685000	9657217.00
1997/06/09	-0.31	-0.31	-0.34	-0.32	148800	2057000.00
1997/06/10	-0.36	-0.31	-0.36	-0.34	171500	2366993.00
1997/06/11	-0.34	-0.34	-0.41	-0.36	156100	2019382.00
1997/06/12	-0.36	-0.35	-0.39	-0.38	208900	2717615.00
1997/06/13	-0.42	-0.33	-0.42	-0.33	189900	2447010.00
1997/06/16	-0.34	-0.32	-0.34	-0.32	154000	2112163.00
1997/06/17	-0.34	-0.32	-0.34	-0.33	120200	1660408.00
1997/06/18	-0.33	-0.33	-0.37	-0.36	85300	1141416.00
1997/06/19	-0.36	-0.34	-0.38	-0.38	98500	1304389.00
1997/06/20	-0.37	-0.34	-0.37	-0.34	192200	2581694.00
1997/06/23	-0.33	-0.32	-0.41	-0.37	184800	2451426.00
1997/06/24	-0.38	-0.35	-0.38	-0.35	310500	4087328.00
1997/06/25	-0.37	-0.35	-0.37	-0.37	184000	2418281.00
1997/06/26	-0.36	-0.36	-0.37	-0.37	224800	2944764.00
1997/06/27	-0.37	-0.37	-0.40	-0.40	166200	2103424.00
1997/07/02	-0.39	-0.39	-0.43	-0.42	164700	2031090.00
1997/07/03	-0.40	-0.40	-0.44	-0.42	143000	1725458.00
1997/07/04	-0.43	-0.41	-0.43	-0.41	77900	941759.00
1997/07/07	-0.40	-0.40	-0.44	-0.44	110300	1326183.00
1997/07/08	-0.44	-0.38	-0.44	-0.40	218100	2658722.00
1997/07/09	-0.40	-0.40	-0.42	-0.40	118500	1449213.00
1997/07/10	-0.42	-0.39	-0.42	-0.41	87100	1076676.00
1997/07/11	-0.41	-0.38	-0.41	-0.39	170700	2144029.00
1997/07/14	-0.39	-0.36	-0.39	-0.37	160600	2081058.00
1997/07/15	-0.37	-0.34	-0.38	-0.36	331800	4333161.00
1997/07/16	-0.37	-0.36	-0.40	-0.38	216200	2801762.00
1997/07/17	-0.36	-0.31	-0.36	-0.32	933500	13016847.00
1997/07/18	-0.32	-0.26	-0.34	-0.30	763000	11059818.00
1997/07/21	-0.30	-0.27	-0.30	-0.29	361800	5342256.00
1997/07/22	-0.29	-0.25	-0.29	-0.25	574400	8615822.00
1997/07/23	-0.24	-0.23	-0.28	-0.27	368700	5568744.00
1997/07/24	-0.30	-0.26	-0.30	-0.27	207900	3052800.00
1997/07/25	-0.27	-0.21	-0.28	-0.23	618500	9545096.00
1997/07/28	-0.24	-0.20	-0.24	-0.20	762600	12177993.00
