600070 浙江富润 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/04	1.25	1.37	1.23	1.26	15566900	297031232.00
1997/06/05	1.11	1.17	1.09	1.09	1370700	23127388.00
1997/06/06	0.94	0.94	0.94	0.94	306400	4629704.00
1997/06/09	0.80	0.89	0.80	0.85	3727200	51987056.00
1997/06/10	0.84	0.84	0.72	0.72	1897800	25170218.00
1997/06/11	0.73	0.81	0.71	0.81	2574900	33839016.00
1997/06/12	0.79	0.79	0.73	0.75	1180200	15447376.00
1997/06/13	0.65	0.79	0.65	0.76	1308000	16712734.00
1997/06/16	0.76	0.77	0.72	0.76	1469500	19062112.00
1997/06/17	0.75	0.76	0.69	0.70	818200	10406178.00
1997/06/18	0.70	0.71	0.66	0.66	778900	9526071.00
1997/06/19	0.66	0.68	0.61	0.62	823900	9731464.00
1997/06/20	0.64	0.68	0.62	0.67	916100	11012031.00
1997/06/23	0.69	0.70	0.59	0.63	1091300	12963225.00
1997/06/24	0.64	0.68	0.62	0.65	911600	10898772.00
1997/06/25	0.66	0.66	0.63	0.65	670400	7974114.00
1997/06/26	0.65	0.65	0.60	0.62	666800	7767106.00
1997/06/27	0.62	0.64	0.57	0.57	926700	10396163.00
1997/07/02	0.53	0.56	0.48	0.53	699300	7271156.00
1997/07/03	0.53	0.59	0.49	0.54	884300	9624994.00
1997/07/04	0.54	0.58	0.50	0.57	940800	10342703.00
1997/07/07	0.59	0.59	0.48	0.49	561000	6044148.00
1997/07/08	0.49	0.53	0.44	0.50	448200	4508620.00
1997/07/09	0.50	0.52	0.43	0.47	373200	3700541.00
1997/07/10	0.48	0.48	0.45	0.46	359900	3543739.00
1997/07/11	0.45	0.51	0.44	0.51	698200	7025874.00
1997/07/14	0.53	0.58	0.53	0.58	1246600	13570048.00
1997/07/15	0.57	0.58	0.53	0.57	649100	7005411.00
1997/07/16	0.56	0.56	0.53	0.54	481200	5121126.00
1997/07/17	0.53	0.59	0.49	0.56	791000	8635514.00
1997/07/18	0.57	0.58	0.54	0.56	463000	5052898.00
1997/07/21	0.56	0.58	0.55	0.56	742000	8158202.00
1997/07/22	0.57	0.57	0.52	0.56	372900	4047598.00
1997/07/23	0.58	0.59	0.56	0.57	734600	8152547.00
1997/07/24	0.56	0.58	0.53	0.55	294500	3215240.00
1997/07/25	0.54	0.55	0.50	0.52	343600	3610645.00
1997/07/28	0.51	0.52	0.47	0.48	294600	3004250.00
1997/07/30	0.55	0.55	0.51	0.53	268600	2826935.00
1997/07/31	0.54	0.54	0.52	0.53	237000	2504566.00
1997/08/01	0.53	0.53	0.50	0.53	222200	2331303.00
1997/08/04	0.59	0.59	0.54	0.56	490100	5401394.00
1997/08/05	0.57	0.58	0.55	0.56	340900	3738302.00
1997/08/06	0.56	0.57	0.55	0.55	418900	4598221.00
1997/08/07	0.54	0.55	0.48	0.54	295800	3125533.00
1997/08/08	0.56	0.57	0.52	0.53	411700	4463269.00
1997/08/11	0.49	0.52	0.48	0.49	249900	2552772.00
1997/08/12	0.53	0.53	0.48	0.49	178100	1833306.00
1997/08/13	0.48	0.51	0.48	0.48	189600	1939040.00
1997/08/14	0.48	0.52	0.48	0.50	281100	2861143.00
1997/08/15	0.51	0.54	0.48	0.48	384000	3969639.00
1997/08/18	0.48	0.48	0.42	0.42	186100	1487840.00
1997/08/19	0.42	0.46	0.42	0.44	128900	1033140.00
1997/08/20	0.44	0.45	0.42	0.44	119600	947420.00
1997/08/21	0.46	0.46	0.43	0.45	182000	1464665.00
1997/08/22	0.44	0.46	0.44	0.45	261800	2118213.00
1997/08/25	0.45	0.46	0.45	0.46	271600	2217185.00
1997/08/26	0.46	0.49	0.45	0.48	331300	2735087.00
1997/08/27	0.48	0.51	0.48	0.51	370200	3148068.00
1997/08/28	0.51	0.52	0.49	0.50	265800	2281170.00
1997/08/29	0.50	0.51	0.48	0.50	358500	3039550.00
1997/09/01	0.50	0.51	0.48	0.50	416300	3537764.00
1997/09/02	0.50	0.53	0.49	0.52	560300	4868836.00
1997/09/03	0.52	0.53	0.51	0.53	472700	4145999.00
1997/09/04	0.54	0.59	0.53	0.58	826100	7440689.00
1997/09/05	0.58	0.59	0.56	0.58	729900	6730169.00
1997/09/08	0.58	0.58	0.55	0.57	440900	4004895.00
1997/09/09	0.56	0.56	0.52	0.53	377000	3390001.00
1997/09/10	0.52	0.54	0.51	0.54	294000	2588964.00
1997/09/11	0.54	0.55	0.50	0.52	269600	2376212.00
1997/09/12	0.53	0.53	0.48	0.49	224700	1935259.00
1997/09/15	0.49	0.50	0.46	0.47	147600	1242914.00
1997/09/16	0.48	0.49	0.46	0.47	141400	1176464.00
1997/09/17	0.47	0.49	0.47	0.47	105600	878958.00
1997/09/18	0.49	0.49	0.47	0.48	79500	667960.00
1997/09/19	0.49	0.53	0.48	0.53	188600	1607122.00
1997/09/22	0.52	0.52	0.43	0.43	399800	3287416.00
1997/09/23	0.43	0.46	0.37	0.38	289300	2273576.00
1997/09/24	0.42	0.44	0.40	0.43	243100	1900388.00
1997/09/25	0.44	0.49	0.44	0.48	524700	4344563.00
1997/09/26	0.49	0.49	0.45	0.47	229300	1897199.00
1997/09/29	0.46	0.46	0.42	0.42	160800	1283133.00
1997/09/30	0.44	0.45	0.43	0.44	122900	980305.00
1997/10/06	0.44	0.45	0.42	0.43	55100	436942.00
1997/10/07	0.43	0.43	0.42	0.43	39300	309768.00
1997/10/08	0.45	0.47	0.44	0.47	138900	1133905.00
1997/10/09	0.45	0.47	0.44	0.45	75200	610727.00
1997/10/10	0.43	0.45	0.43	0.45	100400	810734.00
1997/10/13	0.45	0.46	0.44	0.44	96100	778285.00
1997/10/14	0.44	0.44	0.42	0.43	72400	571787.00
1997/10/15	0.43	0.46	0.43	0.44	57200	459426.00
1997/10/16	0.46	0.46	0.44	0.46	143300	1169025.00
1997/10/17	0.47	0.50	0.46	0.48	326400	2713816.00
1997/10/20	0.50	0.50	0.47	0.48	236800	1982220.00
1997/10/21	0.48	0.48	0.46	0.47	232800	1925320.00
1997/10/22	0.47	0.47	0.40	0.44	392900	3181675.00
1997/10/23	0.46	0.46	0.43	0.45	311300	2507780.00
1997/10/24	0.45	0.46	0.43	0.45	295500	2368899.00
1997/10/27	0.46	0.54	0.45	0.54	1246300	10689440.00
1997/10/28	0.54	0.54	0.46	0.47	762500	6573884.00
1997/10/29	0.47	0.51	0.46	0.49	444000	3740292.00
1997/10/30	0.49	0.51	0.48	0.48	522200	4457605.00
1997/10/31	0.46	0.48	0.46	0.48	256200	2113666.00
1997/11/03	0.48	0.49	0.46	0.47	182300	1508745.00
1997/11/04	0.48	0.49	0.46	0.47	138500	1153635.00
1997/11/05	0.49	0.49	0.46	0.47	208800	1714062.00
1997/11/06	0.46	0.47	0.45	0.45	217300	1779812.00
1997/11/07	0.45	0.47	0.44	0.47	264300	2142871.00
1997/11/10	0.47	0.50	0.46	0.47	403500	3374762.00
1997/11/11	0.47	0.48	0.45	0.47	213400	1759542.00
1997/11/12	0.47	0.49	0.46	0.46	225800	1884221.00
1997/11/13	0.47	0.47	0.44	0.46	168600	1368738.00
1997/11/14	0.46	0.49	0.46	0.47	293900	2443637.00
1997/11/17	0.48	0.50	0.48	0.49	469100	3974006.00
1997/11/18	0.48	0.49	0.46	0.47	122900	1023627.00
1997/11/19	0.47	0.48	0.45	0.45	196100	1593872.00
1997/11/20	0.45	0.46	0.44	0.44	178100	1439896.00
1997/11/21	0.43	0.45	0.43	0.43	191200	1524163.00
1997/11/24	0.42	0.42	0.40	0.41	121900	941593.00
1997/11/25	0.40	0.41	0.40	0.40	171400	1310665.00
1997/11/26	0.40	0.42	0.40	0.42	86900	668945.00
1997/11/27	0.41	0.41	0.39	0.40	99700	760782.00
1997/11/28	0.44	0.44	0.41	0.41	74600	576918.00
1997/12/01	0.42	0.43	0.41	0.42	88900	694683.00
1997/12/02	0.43	0.44	0.41	0.44	177300	1394944.00
1997/12/03	0.43	0.43	0.41	0.41	112800	883420.00
1997/12/04	0.41	0.46	0.41	0.41	119600	938338.00
1997/12/05	0.41	0.43	0.41	0.42	164600	1286207.00
1997/12/08	0.42	0.43	0.41	0.42	120300	938081.00
1997/12/09	0.42	0.44	0.41	0.43	168800	1330467.00
1997/12/10	0.43	0.44	0.42	0.44	144400	1151342.00
1997/12/11	0.44	0.45	0.43	0.43	104200	827962.00
1997/12/12	0.43	0.44	0.43	0.44	177300	1416261.00
1997/12/15	0.44	0.48	0.43	0.47	500800	4109662.00
1997/12/16	0.48	0.48	0.45	0.46	228500	1880828.00
1997/12/17	0.46	0.46	0.42	0.42	227700	1818620.00
1997/12/18	0.42	0.43	0.41	0.42	183300	1439165.00
1997/12/19	0.42	0.43	0.42	0.43	138200	1084326.00
1997/12/22	0.43	0.46	0.42	0.46	293100	2320389.00
1997/12/23	0.45	0.45	0.43	0.44	212600	1696172.00
1997/12/24	0.44	0.45	0.42	0.44	156100	1241913.00
1997/12/25	0.44	0.47	0.43	0.46	427300	3482630.00
1997/12/26	0.46	0.48	0.45	0.48	591800	4903254.00
1997/12/29	0.49	0.52	0.47	0.48	824000	7069075.00
1997/12/30	0.47	0.49	0.46	0.47	244300	2043243.00
1997/12/31	0.47	0.48	0.46	0.47	246100	2037337.00
1998/01/05	0.47	0.48	0.46	0.47	418700	3456235.00
1998/01/06	0.47	0.50	0.46	0.48	344700	2899268.00
1998/01/07	0.49	0.49	0.47	0.48	255500	2134108.00
1998/01/08	0.48	0.49	0.46	0.46	285200	2370260.00
1998/01/09	0.47	0.52	0.47	0.51	837000	7096868.00
1998/01/12	0.52	0.52	0.49	0.49	809500	7007526.00
1998/01/13	0.47	0.49	0.40	0.44	621800	4990567.00
1998/01/14	0.44	0.47	0.43	0.47	368300	3011081.00
1998/01/15	0.47	0.50	0.47	0.49	556800	4708001.00
1998/01/16	0.50	0.50	0.47	0.48	277400	2341387.00
1998/01/19	0.48	0.48	0.46	0.48	275900	2288492.00
1998/01/20	0.47	0.48	0.46	0.47	154700	1282571.00
1998/01/21	0.48	0.48	0.46	0.46	101300	834313.00
1998/01/22	0.46	0.46	0.44	0.45	185900	1509146.00
1998/01/23	0.48	0.48	0.45	0.46	152200	1245268.00
1998/02/09	0.50	0.50	0.47	0.47	270600	2273006.00
1998/02/10	0.47	0.49	0.47	0.48	207100	1731286.00
1998/02/11	0.48	0.49	0.48	0.49	384300	3238454.00
1998/02/12	0.49	0.57	0.49	0.53	1492700	13181054.00
1998/02/13	0.54	0.58	0.54	0.55	1681500	15327688.00
1998/02/16	0.56	0.60	0.54	0.59	2284200	21168830.00
1998/02/17	0.59	0.60	0.56	0.58	780200	7263556.00
1998/02/18	0.58	0.62	0.57	0.61	1526400	14437700.00
1998/02/19	0.61	0.62	0.59	0.61	706600	6730003.00
1998/02/20	0.60	0.61	0.55	0.55	862800	7928027.00
1998/02/23	0.55	0.57	0.52	0.56	689900	6122988.00
1998/02/24	0.56	0.58	0.54	0.54	392600	3564362.00
1998/02/25	0.54	0.55	0.50	0.50	464100	4042621.00
1998/02/26	0.50	0.53	0.49	0.53	290200	2491724.00
1998/02/27	0.53	0.53	0.50	0.51	212500	1857731.00
1998/03/02	0.50	0.53	0.48	0.50	402200	3445842.00
1998/03/03	0.48	0.51	0.48	0.49	301800	2582762.00
1998/03/04	0.50	0.52	0.48	0.50	346300	2978554.00
1998/03/05	0.51	0.53	0.49	0.52	182100	1578396.00
1998/03/06	0.51	0.51	0.49	0.50	219700	1877938.00
1998/03/09	0.48	0.49	0.48	0.48	393700	3310634.00
1998/03/10	0.47	0.49	0.46	0.49	168000	1396071.00
1998/03/11	0.47	0.49	0.47	0.48	202900	1700140.00
1998/03/12	0.48	0.49	0.46	0.47	224200	1860643.00
1998/03/13	0.46	0.49	0.46	0.48	113500	943704.00
1998/03/16	0.46	0.48	0.44	0.44	691500	5569892.00
1998/03/17	0.44	0.46	0.43	0.46	461500	3709007.00
1998/03/18	0.46	0.46	0.44	0.45	312300	2519182.00
1998/03/19	0.45	0.47	0.44	0.46	263800	2155498.00
1998/03/20	0.47	0.47	0.44	0.45	165300	1340341.00
1998/03/23	0.45	0.45	0.44	0.44	252200	2028100.00
1998/03/24	0.44	0.44	0.42	0.43	268600	2131882.00
1998/03/25	0.44	0.45	0.42	0.43	259300	2059183.00
1998/03/26	0.43	0.44	0.41	0.42	313000	2449953.00
1998/03/27	0.42	0.46	0.41	0.45	452800	3614877.00
1998/03/30	0.45	0.47	0.45	0.47	458000	3748497.00
1998/03/31	0.47	0.48	0.45	0.45	304700	2500994.00
1998/04/01	0.47	0.47	0.45	0.46	398700	3252908.00
1998/04/02	0.46	0.49	0.46	0.48	693900	5792382.00
1998/04/03	0.48	0.50	0.46	0.49	563500	4725610.00
1998/04/06	0.51	0.59	0.51	0.59	1199000	11124708.00
1998/04/07	0.66	0.66	0.60	0.62	5385600	52627284.00
1998/04/08	0.61	0.64	0.59	0.62	1980400	19097374.00
1998/04/09	0.62	0.63	0.55	0.56	1685100	15619334.00
1998/04/10	0.55	0.57	0.52	0.57	1032500	9221472.00
1998/04/13	0.57	0.58	0.55	0.57	691600	6327544.00
1998/04/14	0.57	0.57	0.53	0.54	625700	5604477.00
1998/04/15	0.54	0.58	0.54	0.57	560100	5120693.00
1998/04/16	0.56	0.60	0.56	0.60	616100	5696271.00
1998/04/17	0.51	0.60	0.51	0.56	535800	4966047.00
1998/04/21	0.57	0.60	0.56	0.59	446200	4135969.00
1998/04/22	0.60	0.64	0.59	0.62	1055300	10174598.00
1998/04/23	0.63	0.64	0.58	0.59	535400	5047887.00
1998/04/24	0.58	0.59	0.55	0.56	554500	5088492.00
1998/04/27	0.55	0.56	0.53	0.55	494700	4434508.00
1998/04/28	0.55	0.58	0.55	0.57	348200	3186852.00
1998/04/29	0.58	0.61	0.57	0.60	699100	6579288.00
1998/04/30	0.61	0.61	0.59	0.60	690900	6527480.00
1998/05/04	0.60	0.64	0.59	0.63	1084700	10417601.00
1998/05/05	0.64	0.64	0.61	0.64	935500	9105104.00
1998/05/06	0.63	0.65	0.60	0.62	549800	5365598.00
1998/05/07	0.62	0.63	0.58	0.59	557900	5292200.00
1998/05/08	0.58	0.63	0.57	0.62	593000	5602898.00
1998/05/11	0.62	0.72	0.60	0.71	3648500	37545880.00
1998/05/12	0.70	0.70	0.64	0.66	1102000	11097895.00
1998/05/13	0.65	0.71	0.65	0.67	828900	8468461.00
1998/05/14	0.67	0.70	0.64	0.65	688200	6922677.00
1998/05/15	0.65	0.67	0.61	0.63	692300	6788180.00
1998/05/18	0.64	0.66	0.63	0.65	421900	4162935.00
1998/05/19	0.66	0.67	0.63	0.64	311100	3058977.00
1998/05/20	0.65	0.65	0.62	0.63	454600	4434929.00
1998/05/21	0.63	0.68	0.62	0.67	667800	6674435.00
1998/05/22	0.68	0.68	0.66	0.67	730700	7408328.00
1998/05/25	0.67	0.72	0.66	0.70	1134800	11779618.00
1998/05/26	0.70	0.76	0.69	0.72	1098700	11706016.00
1998/05/27	0.72	0.75	0.71	0.74	963100	10303585.00
1998/05/28	0.75	0.75	0.70	0.72	824700	8734106.00
1998/05/29	0.72	0.74	0.70	0.74	794600	8383448.00
