600071 凤凰光学 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/28	2.67	2.75	2.52	2.67	13717200	215035088.00
1997/05/29	2.64	2.75	2.55	2.61	4633600	73202448.00
1997/05/30	2.59	2.65	2.48	2.56	2126400	32332694.00
1997/06/02	2.59	2.70	2.54	2.69	3727500	58391124.00
1997/06/03	2.67	2.81	2.62	2.64	3800800	61421940.00
1997/06/04	2.64	2.64	2.57	2.58	1638600	25398060.00
1997/06/05	2.59	2.67	2.56	2.58	1228200	19037420.00
1997/06/06	2.36	2.51	2.34	2.34	2004400	28221692.00
1997/06/09	2.31	2.38	2.22	2.23	1189000	15880955.00
1997/06/10	2.25	2.27	2.05	2.08	640100	8299044.00
1997/06/11	2.08	2.14	1.97	2.12	1174100	14010605.00
1997/06/12	2.11	2.11	2.03	2.05	875500	10615918.00
1997/06/13	1.92	2.13	1.92	2.12	1033400	12471182.00
1997/06/16	2.13	2.15	2.08	2.11	914400	11367433.00
1997/06/17	2.10	2.11	2.04	2.05	547000	6659671.00
1997/06/18	2.07	2.09	2.00	2.02	599300	7200845.00
1997/06/19	2.01	2.05	1.99	2.01	408700	4842348.00
1997/06/20	2.05	2.12	2.03	2.10	717600	8773292.00
1997/06/23	2.14	2.15	1.97	2.03	855500	10377034.00
1997/06/24	2.05	2.11	2.04	2.09	639900	7792162.00
1997/06/25	2.09	2.11	2.03	2.05	471300	5668401.00
1997/06/26	2.05	2.07	2.01	2.01	494800	5873316.00
1997/06/27	2.02	2.04	1.93	1.93	572000	6667973.00
1997/07/02	2.01	2.01	1.76	1.81	747200	8040074.00
1997/07/03	1.82	1.86	1.72	1.79	966500	9979952.00
1997/07/04	1.75	1.84	1.75	1.82	525200	5513910.00
1997/07/07	1.82	1.83	1.71	1.72	633800	6378927.00
1997/07/08	1.76	1.81	1.70	1.79	602300	6091456.00
1997/07/09	1.79	1.81	1.77	1.79	368700	3822433.00
1997/07/10	1.80	1.80	1.73	1.76	489300	4983942.00
1997/07/11	1.71	1.87	1.71	1.84	749700	7930622.00
1997/07/14	1.87	1.95	1.87	1.92	1292600	14430609.00
1997/07/15	1.94	1.94	1.86	1.90	678600	7501068.00
1997/07/16	1.91	2.01	1.91	1.94	1366700	15690700.00
1997/07/17	1.94	2.00	1.94	1.97	822600	9474993.00
1997/07/18	1.97	1.98	1.94	1.97	604200	6884624.00
1997/07/21	1.98	1.99	1.91	1.91	616200	7045754.00
1997/07/22	1.91	1.93	1.86	1.93	591300	6524641.00
1997/07/23	1.94	1.99	1.93	1.94	546400	6242873.00
1997/07/24	1.94	1.97	1.91	1.91	349400	3952904.00
1997/07/25	1.89	1.94	1.87	1.91	376100	4164753.00
1997/07/28	1.91	1.91	1.81	1.84	294000	3186527.00
1997/07/29	1.82	1.86	1.81	1.84	213000	2270232.00
1997/07/30	1.85	1.92	1.84	1.90	287300	3148828.00
1997/07/31	1.93	1.94	1.89	1.90	185400	2061702.00
1997/08/01	1.92	1.93	1.89	1.93	240500	2677811.00
1997/08/04	1.94	2.00	1.94	1.99	660700	7657375.00
1997/08/05	2.00	2.00	1.95	1.95	366000	4207362.00
1997/08/06	1.95	1.99	1.91	1.92	357800	4094155.00
1997/08/07	1.91	1.94	1.89	1.94	228400	2550032.00
1997/08/08	1.96	1.96	1.93	1.94	306800	3483273.00
1997/08/11	1.94	1.94	1.84	1.85	405900	4428902.00
1997/08/12	1.84	1.89	1.83	1.83	223600	2411996.00
1997/08/13	1.83	1.87	1.79	1.79	213800	2258197.00
1997/08/14	1.79	1.84	1.79	1.84	238900	2519090.00
1997/08/15	1.81	1.93	1.81	1.86	526600	5748011.00
1997/08/18	1.86	1.87	1.79	1.84	185200	1954910.00
1997/08/19	1.80	1.80	1.69	1.70	452700	4516277.00
1997/08/20	1.69	1.76	1.69	1.76	382900	3783807.00
1997/08/21	1.76	1.78	1.74	1.76	313400	3183044.00
1997/08/22	1.74	1.76	1.73	1.75	325000	3271522.00
