600072 中船科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/03	3.62	4.42	3.62	4.28	44406200	778710784.00
1997/06/04	4.07	4.13	3.90	3.93	18177100	323578944.00
1997/06/05	3.83	3.87	3.72	3.78	8167300	137167520.00
1997/06/06	3.43	3.59	3.43	3.43	4486300	68841920.00
1997/06/09	3.32	3.40	3.11	3.34	5440300	76300336.00
1997/06/10	3.26	3.32	3.05	3.07	2608600	36311208.00
1997/06/11	3.07	3.13	2.86	3.09	2936300	38935408.00
1997/06/12	3.09	3.11	2.95	2.99	1743200	22890022.00
1997/06/13	2.79	3.07	2.79	3.03	2847700	36500564.00
1997/06/16	3.03	3.07	2.97	3.00	2489800	32557100.00
1997/06/17	2.99	2.99	2.88	2.89	1451100	18439272.00
1997/06/18	2.87	2.91	2.80	2.81	1712200	21075066.00
1997/06/19	2.80	2.84	2.74	2.76	1654400	19881662.00
1997/06/20	2.78	2.90	2.78	2.88	1863500	22996760.00
1997/06/23	2.92	2.93	2.72	2.75	2571400	31047944.00
1997/06/24	2.76	2.88	2.74	2.82	2096000	25562392.00
1997/06/25	2.82	2.84	2.76	2.77	1527100	18356516.00
1997/06/26	2.78	2.80	2.57	2.70	1664500	19418718.00
1997/06/27	2.70	2.72	2.55	2.57	2546200	28388864.00
1997/07/02	2.57	2.61	2.34	2.35	1837100	18601700.00
1997/07/03	2.34	2.48	2.24	2.38	2267500	22609060.00
1997/07/04	2.34	2.40	2.28	2.31	1317300	12972595.00
1997/07/07	2.32	2.36	2.10	2.14	929700	8809741.00
1997/07/08	2.13	2.19	1.98	2.13	1296400	11253410.00
1997/07/09	2.13	2.16	2.05	2.15	1278900	11335528.00
1997/07/10	2.15	2.23	2.09	2.13	1559100	14248909.00
1997/07/11	2.19	2.25	2.14	2.25	1615500	14940432.00
1997/07/14	2.29	2.38	2.25	2.34	2626400	25833744.00
1997/07/15	2.34	2.35	2.15	2.29	1565000	15012746.00
1997/07/16	2.29	2.30	2.20	2.21	1224500	11459262.00
1997/07/17	2.22	2.28	2.21	2.24	1187400	11221531.00
1997/07/18	2.26	2.33	2.26	2.31	1695700	16446272.00
1997/07/21	2.33	2.46	2.33	2.38	3198500	32751292.00
1997/07/22	2.38	2.47	2.34	2.44	2618000	27035570.00
1997/07/23	2.49	2.51	2.40	2.41	1802500	18862948.00
1997/07/24	2.40	2.44	2.32	2.35	1004200	10127046.00
1997/07/25	2.32	2.34	2.27	2.30	994500	9677403.00
1997/07/28	2.30	2.30	2.19	2.21	713000	6786490.00
