600075 新疆天业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/17	1.54	1.56	1.35	1.38	16255900	240470944.00
1997/06/18	1.36	1.39	1.32	1.32	3545300	48793136.00
1997/06/19	1.33	1.38	1.32	1.32	1757300	24134746.00
1997/06/20	1.33	1.37	1.33	1.36	1859300	25612538.00
1997/06/23	1.39	1.42	1.35	1.39	3137600	44684864.00
1997/06/24	1.40	1.45	1.40	1.41	2966600	43834732.00
1997/06/25	1.42	1.43	1.37	1.38	1394800	19939896.00
1997/06/26	1.38	1.38	1.36	1.37	1059100	14815290.00
1997/06/27	1.37	1.38	1.32	1.34	1382500	18913458.00
1997/07/02	1.34	1.38	1.25	1.33	976200	13323511.00
1997/07/03	1.33	1.34	1.27	1.27	675600	8791248.00
1997/07/04	1.27	1.29	1.24	1.26	578800	7313352.00
1997/07/07	1.26	1.26	1.16	1.16	696500	8247873.00
1997/07/08	1.15	1.19	1.12	1.18	865800	9714934.00
1997/07/09	1.18	1.18	1.14	1.16	502500	5683062.00
1997/07/10	1.16	1.20	1.15	1.17	600300	6868607.00
1997/07/11	1.15	1.23	1.15	1.22	1205100	14382503.00
1997/07/14	1.24	1.28	1.23	1.26	1259700	15840872.00
1997/07/15	1.25	1.26	1.22	1.24	902700	11083085.00
1997/07/16	1.23	1.28	1.21	1.25	1010900	12507942.00
1997/07/17	1.25	1.27	1.23	1.24	619500	7750249.00
1997/07/18	1.25	1.27	1.23	1.27	740100	9285959.00
1997/07/21	1.25	1.34	1.25	1.30	2461600	32503456.00
1997/07/22	1.31	1.34	1.28	1.33	2077800	27502140.00
1997/07/23	1.35	1.38	1.34	1.35	2333400	32473164.00
1997/07/24	1.35	1.37	1.33	1.33	1500500	20719652.00
1997/07/25	1.33	1.43	1.32	1.36	3041800	42608900.00
1997/07/28	1.37	1.37	1.32	1.32	881600	12132535.00
1997/07/29	1.32	1.37	1.32	1.36	1196600	16579491.00
1997/07/30	1.37	1.40	1.37	1.38	1408000	20175222.00
1997/07/31	1.38	1.41	1.37	1.41	766000	10869404.00
1997/08/01	1.41	1.44	1.40	1.42	1723600	25402526.00
1997/08/04	1.43	1.43	1.40	1.40	850500	12452547.00
1997/08/05	1.41	1.42	1.38	1.39	681800	9825706.00
1997/08/06	1.39	1.42	1.39	1.40	904400	13064930.00
1997/08/07	1.40	1.47	1.39	1.46	2617500	39260096.00
1997/08/08	1.47	1.55	1.45	1.54	3913900	61850644.00
1997/08/11	1.54	1.55	1.48	1.52	2402800	38189688.00
1997/08/12	1.52	1.58	1.51	1.56	1880100	30577300.00
1997/08/13	1.53	1.54	1.47	1.49	991000	15699825.00
1997/08/14	1.51	1.54	1.40	1.49	2797900	42424708.00
1997/08/15	1.48	1.48	1.42	1.44	1427400	21258112.00
1997/08/18	1.42	1.46	1.37	1.45	969600	14525751.00
1997/08/19	1.45	1.45	1.36	1.39	766500	11025818.00
1997/08/20	1.37	1.42	1.35	1.41	919200	13067320.00
1997/08/21	1.41	1.52	1.41	1.49	2834300	43765544.00
1997/08/22	1.50	1.52	1.47	1.50	2039200	31873084.00
1997/08/25	1.53	1.53	1.47	1.49	1866600	29242514.00
1997/08/26	1.49	1.54	1.49	1.52	2372500	37871616.00
1997/08/27	1.65	1.65	1.52	1.55	2931300	48088728.00
1997/08/28	1.55	1.56	1.52	1.52	1305800	20958570.00
1997/08/29	1.52	1.53	1.49	1.51	724800	11467827.00
1997/09/01	1.52	1.56	1.52	1.53	1240400	20033938.00
1997/09/02	1.55	1.58	1.54	1.55	1450600	23830120.00
1997/09/03	1.57	1.58	1.53	1.54	1412100	23118964.00
1997/09/04	1.56	1.57	1.54	1.57	1240000	20308898.00
1997/09/05	1.56	1.57	1.55	1.56	795300	13116092.00
1997/09/08	1.57	1.57	1.55	1.55	487600	7981668.00
1997/09/09	1.55	1.55	1.52	1.53	513700	8311348.00
1997/09/10	1.53	1.54	1.52	1.52	532900	8534854.00
1997/09/11	1.53	1.56	1.52	1.53	750600	12133823.00
1997/09/12	1.52	1.54	1.51	1.51	256200	4108429.00
1997/09/15	1.52	1.52	1.49	1.50	258900	4080264.00
1997/09/16	1.51	1.52	1.50	1.50	378600	5980571.00
1997/09/17	1.50	1.52	1.50	1.50	152600	2401311.00
1997/09/18	1.51	1.52	1.50	1.51	166800	2639760.00
1997/09/19	1.52	1.52	1.50	1.51	215700	3410274.00
1997/09/22	1.52	1.53	1.44	1.45	451700	7083419.00
1997/09/23	1.45	1.46	1.35	1.37	473100	6819921.00
1997/09/24	1.41	1.45	1.41	1.45	376500	5544977.00
1997/09/25	1.46	1.47	1.44	1.45	468400	7087384.00
1997/09/26	1.45	1.50	1.45	1.48	459300	7069393.00
1997/09/30	1.54	1.60	1.44	1.46	302600	4581126.00
1997/10/06	1.46	1.47	1.44	1.44	146300	2193015.00
1997/10/07	1.45	1.45	1.41	1.42	91900	1357800.00
1997/10/08	1.45	1.45	1.42	1.44	374300	5565888.00
1997/10/09	1.45	1.52	1.45	1.50	830500	13019085.00
1997/10/10	1.52	1.52	1.49	1.50	456300	7175838.00
1997/10/13	1.50	1.52	1.48	1.49	334900	5212867.00
1997/10/14	1.48	1.50	1.45	1.49	688100	10544272.00
1997/10/15	1.48	1.48	1.45	1.46	334000	2813937.00
1997/10/16	1.47	1.48	1.45	1.47	629200	5347009.00
1997/10/17	1.46	1.55	1.45	1.54	2251600	20048884.00
1997/10/20	1.54	1.55	1.52	1.55	1983900	17759352.00
1997/10/21	1.55	1.58	1.54	1.56	1714700	15682446.00
1997/10/22	1.56	1.56	1.51	1.52	1477900	13241242.00
1997/10/23	1.56	1.58	1.52	1.56	1554500	14254745.00
1997/10/24	1.57	1.59	1.52	1.54	1228400	11211236.00
1997/10/27	1.54	1.62	1.53	1.60	3477900	32567964.00
1997/10/28	1.61	1.61	1.52	1.52	1851100	16973988.00
1997/10/29	1.51	1.55	1.50	1.52	857800	7622640.00
1997/10/30	1.54	1.54	1.50	1.50	1010200	8944941.00
1997/10/31	1.50	1.51	1.46	1.48	734600	6283293.00
1997/11/03	1.48	1.49	1.45	1.46	488900	4144997.00
1997/11/04	1.48	1.50	1.47	1.49	332700	2846926.00
1997/11/05	1.47	1.50	1.47	1.48	387100	3308660.00
1997/11/06	1.49	1.50	1.46	1.46	386000	3324024.00
1997/11/07	1.46	1.48	1.46	1.48	365500	3110095.00
1997/11/10	1.48	1.55	1.48	1.52	1066100	9492067.00
1997/11/11	1.52	1.53	1.49	1.50	321900	2812044.00
1997/11/12	1.50	1.50	1.48	1.48	262500	2251370.00
1997/11/13	1.47	1.50	1.45	1.48	375600	3171360.00
1997/11/14	1.48	1.49	1.47	1.48	282300	2420450.00
1997/11/17	1.51	1.51	1.47	1.47	188100	1603339.00
1997/11/18	1.46	1.47	1.45	1.45	243400	2044949.00
1997/11/19	1.45	1.50	1.44	1.48	398900	3412428.00
1997/11/20	1.48	1.48	1.45	1.46	166300	1399293.00
1997/11/21	1.45	1.46	1.39	1.39	289000	2377739.00
1997/11/24	1.41	1.42	1.39	1.40	401200	3215862.00
1997/11/25	1.41	1.41	1.36	1.41	323800	2550047.00
1997/11/27	1.45	1.45	1.39	1.40	292200	2373180.00
1997/11/28	1.39	1.42	1.39	1.42	310300	2506836.00
1997/12/01	1.40	1.43	1.40	1.41	128600	1043401.00
1997/12/02	1.44	1.44	1.42	1.42	417400	3426662.00
1997/12/03	1.42	1.44	1.40	1.40	134800	1088287.00
1997/12/04	1.41	1.43	1.40	1.42	362000	2923478.00
1997/12/05	1.42	1.53	1.42	1.50	2192800	19005518.00
1997/12/08	1.50	1.52	1.50	1.51	807600	7088813.00
1997/12/09	1.51	1.55	1.51	1.53	1068000	9574821.00
1997/12/10	1.53	1.55	1.49	1.50	874600	7678874.00
1997/12/11	1.51	1.52	1.45	1.50	699900	6000542.00
1997/12/12	1.50	1.53	1.47	1.51	909800	7961016.00
1997/12/15	1.52	1.55	1.48	1.54	2104900	18900590.00
1997/12/16	1.55	1.59	1.52	1.59	2879500	26434844.00
1997/12/17	1.58	1.59	1.51	1.53	1693900	15480425.00
1997/12/18	1.51	1.55	1.50	1.55	1099100	9916895.00
1997/12/19	1.54	1.56	1.53	1.55	966100	8735569.00
1997/12/22	1.55	1.56	1.50	1.51	1427400	12692468.00
1997/12/23	1.51	1.52	1.48	1.49	901900	7809444.00
1997/12/24	1.47	1.55	1.47	1.54	3589100	31587156.00
1997/12/25	1.54	1.64	1.54	1.62	5168700	49003616.00
1997/12/26	1.62	1.71	1.62	1.69	4249200	42349648.00
1997/12/29	1.72	1.72	1.65	1.67	3229300	32217884.00
1997/12/30	1.66	1.71	1.64	1.71	2990600	29421060.00
1997/12/31	1.71	1.78	1.69	1.74	3776500	39423056.00
1998/01/05	1.75	1.80	1.74	1.76	2455000	26149276.00
1998/01/06	1.76	1.77	1.71	1.76	2037900	21220280.00
1998/01/07	1.75	1.77	1.72	1.74	1294800	13536572.00
1998/01/08	1.75	1.85	1.75	1.80	1731500	18859744.00
1998/01/09	1.80	1.82	1.76	1.81	1632800	17704600.00
1998/01/12	1.81	1.84	1.74	1.74	1586100	17084620.00
1998/01/13	1.71	1.75	1.60	1.69	3167300	31800724.00
1998/01/14	1.69	1.75	1.68	1.71	1743700	17863610.00
1998/01/15	1.71	1.82	1.71	1.81	1789800	19077050.00
1998/01/16	1.82	1.96	1.80	1.90	6262300	73065864.00
1998/01/19	1.93	1.97	1.85	1.95	5858900	68918936.00
1998/01/20	1.96	2.01	1.87	1.95	4990300	59851008.00
1998/01/21	1.96	1.96	1.89	1.89	1612300	18933750.00
1998/01/22	1.89	1.93	1.88	1.91	926400	10756240.00
1998/01/23	1.92	1.93	1.90	1.91	814300	9511693.00
1998/02/09	1.95	2.01	1.94	1.99	1046800	12675307.00
1998/02/10	2.00	2.11	2.00	2.09	2370800	30408232.00
1998/02/11	2.08	2.11	2.04	2.08	1534300	19701308.00
1998/02/12	2.08	2.10	2.06	2.07	850000	10882303.00
1998/02/13	2.08	2.08	2.05	2.05	796000	10136959.00
1998/02/16	2.05	2.06	1.94	1.96	1572400	19216704.00
1998/02/17	1.94	2.01	1.92	1.96	918700	11139208.00
1998/02/18	1.97	1.98	1.92	1.96	777500	9303029.00
1998/02/19	1.95	2.00	1.95	1.99	722000	8785035.00
1998/02/20	1.99	2.08	1.99	2.05	1968700	24925406.00
1998/02/23	2.05	2.07	2.01	2.05	860300	10812599.00
1998/02/24	2.04	2.09	2.02	2.06	926200	11821081.00
1998/02/25	2.06	2.06	2.01	2.03	910300	11458676.00
1998/02/26	2.04	2.05	2.01	2.01	1006800	12594796.00
1998/02/27	2.02	2.07	2.01	2.03	880800	11106724.00
1998/03/02	2.00	2.05	1.93	1.96	1161500	14127285.00
1998/03/03	1.79	2.07	1.79	2.04	4350200	53341648.00
1998/03/04	2.01	2.13	2.01	2.09	2496400	32303000.00
