600076 康欣新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/26	6.40	6.84	5.83	6.23	29971000	579800000.00
1997/05/27	6.23	6.28	6.01	6.02	9193700	175485600.00
1997/05/28	5.98	6.49	5.93	6.46	12344100	245884736.00
1997/05/29	6.47	6.98	6.34	6.71	14451700	315697536.00
1997/05/30	6.73	7.06	6.54	7.00	8794600	191605408.00
1997/06/02	7.19	7.40	7.09	7.23	10085700	238869936.00
1997/06/03	7.21	7.55	7.09	7.27	7344000	175894112.00
1997/06/04	7.26	7.47	7.12	7.36	6590900	157472720.00
1997/06/05	7.39	7.60	7.35	7.47	6228800	153223568.00
1997/06/06	7.04	7.33	6.85	6.89	9337900	212170256.00
1997/06/09	6.89	6.97	6.33	6.56	5531400	115766760.00
1997/06/10	6.56	6.66	6.14	6.20	2968800	60352480.00
1997/06/11	6.20	6.46	5.87	6.41	4644500	89209592.00
1997/06/12	6.34	6.51	6.25	6.29	2846500	57378580.00
1997/06/13	6.06	6.64	6.03	6.56	3534900	71756576.00
1997/06/16	6.59	6.66	6.46	6.50	2833200	58972040.00
1997/06/17	6.46	6.52	6.31	6.33	1805200	36548216.00
1997/06/18	6.33	6.41	6.23	6.25	1060400	21120924.00
1997/06/19	6.25	6.28	6.14	6.16	1156000	22579340.00
1997/06/20	6.21	6.51	6.21	6.51	1851100	37473008.00
1997/06/23	6.59	6.63	6.08	6.31	2526700	51289140.00
1997/06/24	6.30	6.38	6.23	6.33	1194600	23766804.00
1997/06/25	6.33	6.48	6.21	6.33	1656100	33256898.00
1997/06/26	6.32	6.56	6.23	6.46	2174700	44398148.00
1997/06/27	6.56	6.87	6.42	6.53	5182600	110260040.00
1997/07/02	6.71	6.84	6.03	6.59	3048500	63739800.00
1997/07/03	6.59	6.59	6.23	6.28	1979600	39691056.00
1997/07/04	6.21	6.33	6.15	6.18	1369300	26801044.00
1997/07/07	6.18	6.26	5.69	5.70	1693600	31042302.00
1997/07/08	5.58	5.83	5.38	5.80	1797300	30951412.00
1997/07/09	5.82	5.82	5.64	5.75	1125100	19797382.00
1997/07/10	5.75	5.81	5.63	5.63	1090300	19177596.00
1997/07/11	5.63	5.93	5.60	5.89	1342800	23895240.00
1997/07/14	5.95	6.03	5.85	5.89	1632100	30097208.00
1997/07/15	6.08	6.08	5.70	5.83	940000	16983140.00
1997/07/16	5.83	6.08	5.75	5.95	1932600	35214544.00
1997/07/17	5.95	6.00	5.83	5.90	1092600	20117458.00
1997/07/18	5.90	5.95	5.85	5.90	1065700	19503624.00
1997/07/21	5.90	5.95	5.75	5.78	1047100	18951352.00
1997/07/22	5.75	5.80	5.57	5.75	1016500	17668716.00
1997/07/23	5.75	5.86	5.72	5.76	978800	17574944.00
1997/07/24	5.75	5.77	5.60	5.63	796900	13835614.00
1997/07/25	5.61	5.67	5.58	5.61	578600	9930074.00
1997/07/28	5.58	5.59	5.42	5.45	743700	12429090.00
1997/07/29	5.42	5.52	5.37	5.42	664200	10898752.00
1997/07/30	5.45	5.68	5.45	5.66	666400	11281895.00
1997/07/31	5.66	5.75	5.60	5.65	468400	8130215.00
1997/08/01	5.65	5.68	5.55	5.59	257800	4392241.00
1997/08/04	5.59	5.60	5.50	5.52	477200	8038217.00
1997/08/05	5.60	5.67	5.54	5.64	569400	9792469.00
1997/08/06	5.63	5.68	5.52	5.52	318400	5400653.00
1997/08/07	5.49	5.51	5.42	5.51	418300	6924684.00
1997/08/08	5.52	5.57	5.37	5.42	666500	10994981.00
1997/08/11	5.57	5.57	5.32	5.52	744000	12483505.00
1997/08/12	5.53	5.57	5.37	5.40	599200	10028975.00
1997/08/13	5.40	5.56	5.38	5.42	700700	11608559.00
1997/08/14	5.42	5.70	5.42	5.68	1048700	17829836.00
1997/08/15	5.68	5.68	5.45	5.50	637500	10836824.00
1997/08/18	5.50	5.57	5.46	5.50	539600	9044903.00
1997/08/19	5.57	5.64	5.51	5.55	422500	7212278.00
1997/08/20	5.57	5.65	5.57	5.64	407800	6993616.00
1997/08/21	5.66	5.80	5.65	5.73	1038900	18364344.00
1997/08/22	5.70	5.76	5.65	5.72	549200	9640290.00
1997/08/25	5.78	5.88	5.76	5.83	986600	17780208.00
1997/08/26	5.83	5.84	5.73	5.80	707900	12641777.00
1997/08/27	5.80	5.83	5.70	5.75	588100	10402876.00
1997/08/28	5.78	5.80	5.68	5.70	601000	10531582.00
1997/08/29	5.70	5.70	5.62	5.64	654800	11312262.00
1997/09/01	5.60	5.68	5.60	5.65	432400	7457051.00
1997/09/02	5.63	5.74	5.62	5.66	367900	6380659.00
1997/09/03	5.67	5.76	5.67	5.75	337200	5949990.00
1997/09/04	5.77	5.81	5.73	5.78	470900	8357845.00
1997/09/05	5.79	5.80	5.67	5.72	501600	8877579.00
1997/09/08	5.72	5.72	5.57	5.64	317200	5467323.00
1997/09/09	5.63	5.69	5.57	5.57	263300	4527222.00
1997/09/10	5.57	5.62	5.52	5.62	355800	6030246.00
1997/09/11	5.64	5.67	5.53	5.56	549400	9372019.00
1997/09/12	5.55	5.61	5.48	5.50	273000	4604320.00
1997/09/15	5.50	5.52	5.40	5.41	271700	4502634.00
1997/09/16	5.54	5.78	5.44	5.48	328600	5555609.00
1997/09/17	5.48	5.49	5.44	5.46	191300	3165912.00
1997/09/18	5.47	5.54	5.44	5.48	243800	4058257.00
1997/09/19	5.52	5.53	5.47	5.50	156700	2620628.00
1997/09/22	5.50	5.50	5.15	5.19	452400	7203453.00
1997/09/23	5.19	5.19	4.83	4.92	513100	7625956.00
1997/09/24	5.02	5.19	4.97	5.16	1023000	15415174.00
1997/09/25	5.18	5.26	5.09	5.12	486900	7531827.00
1997/09/26	5.12	5.17	5.04	5.07	244300	3685040.00
1997/09/29	5.07	5.08	4.98	5.02	310600	4603864.00
1997/09/30	5.02	5.12	5.02	5.10	230200	3466587.00
1997/10/06	5.10	5.17	5.07	5.08	119300	1802945.00
1997/10/07	5.07	5.07	5.01	5.07	101300	1510249.00
1997/10/08	5.16	5.30	5.16	5.21	280000	4380240.00
1997/10/09	5.21	5.29	5.17	5.18	271200	4253027.00
1997/10/10	5.19	5.37	5.19	5.27	377500	5989316.00
1997/10/13	5.30	5.30	5.20	5.21	148400	2331380.00
1997/10/14	5.17	5.27	5.16	5.27	210200	3266927.00
1997/10/15	5.27	5.33	5.26	5.30	210100	3344405.00
1997/10/16	5.36	5.62	5.36	5.56	1576800	26532016.00
1997/10/17	5.57	5.78	5.57	5.64	1451400	25352800.00
1997/10/20	5.65	5.78	5.54	5.65	1363800	23687800.00
1997/10/21	5.66	5.82	5.56	5.75	1195800	20809212.00
1997/10/22	5.78	5.84	5.61	5.61	1532500	27004152.00
1997/10/23	5.63	5.77	5.57	5.69	1363100	23810736.00
1997/10/24	5.73	5.73	5.57	5.72	772400	13397794.00
1997/10/27	5.75	5.98	5.75	5.94	1871200	34218708.00
1997/10/28	5.94	5.94	5.63	5.63	1543500	27316190.00
1997/10/29	5.60	5.75	5.55	5.75	1016800	17635092.00
1997/10/30	5.81	6.07	5.79	5.83	3629200	67362512.00
1997/10/31	5.75	5.88	5.70	5.83	1217900	21761648.00
1997/11/03	5.85	5.90	5.79	5.83	467100	8434717.00
1997/11/04	5.85	5.90	5.80	5.87	669600	12169372.00
1997/11/05	5.87	6.00	5.85	5.97	1163700	21506516.00
1997/11/06	5.98	6.15	5.93	5.93	1453400	27490964.00
1997/11/07	5.93	6.13	5.93	6.06	1437800	27089662.00
1997/11/10	6.13	6.16	5.92	5.97	1337300	25328820.00
1997/11/11	5.93	5.99	5.83	5.95	985200	18023952.00
1997/11/12	5.97	6.08	5.84	5.90	791200	14712130.00
1997/11/13	5.83	5.95	5.75	5.95	905600	16292118.00
1997/11/14	5.98	6.00	5.85	5.85	660200	12171632.00
1997/11/17	5.94	5.98	5.83	5.89	472800	8637962.00
1997/11/18	5.84	5.95	5.83	5.83	305800	5554707.00
1997/11/19	5.85	5.92	5.78	5.80	383500	6920486.00
1997/11/20	5.83	5.84	5.75	5.78	356000	6360626.00
1997/11/21	5.74	5.74	5.63	5.65	531400	9276166.00
1997/11/24	5.57	5.60	5.49	5.50	529200	8911874.00
1997/11/25	5.46	5.58	5.46	5.57	252200	4235879.00
1997/11/26	5.57	5.61	5.52	5.57	244000	4137075.00
1997/11/27	5.57	5.58	5.45	5.47	252800	4220829.00
1997/11/28	5.44	5.57	5.42	5.56	210700	3522078.00
1997/12/01	5.60	5.60	5.52	5.60	251000	4260094.00
1997/12/02	5.60	5.72	5.58	5.63	275800	4778436.00
1997/12/03	5.65	5.67	5.60	5.60	137500	2371385.00
1997/12/04	5.61	5.73	5.59	5.70	283000	4924682.00
1997/12/05	5.70	5.75	5.65	5.65	335800	5902721.00
1997/12/08	5.67	5.78	5.67	5.72	295000	5216729.00
1997/12/09	5.74	5.86	5.73	5.82	560800	10078892.00
1997/12/10	5.85	5.87	5.77	5.79	299200	5351633.00
1997/12/11	5.80	5.81	5.68	5.81	471300	8279642.00
1997/12/12	5.80	5.80	5.70	5.72	376300	6666317.00
1997/12/15	5.73	5.95	5.70	5.92	1209000	21926966.00
1997/12/16	5.95	5.95	5.88	5.92	802500	14749818.00
1997/12/17	5.88	5.88	5.74	5.76	601300	10722100.00
