600078 *ST澄星 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/27	2.08	2.24	2.05	2.14	25729500	340227968.00
1997/07/02	2.16	2.27	2.06	2.21	10589000	145469888.00
1997/07/03	2.23	2.23	2.04	2.04	6160900	80239304.00
1997/07/04	2.01	2.07	1.95	1.98	3983200	48461852.00
1997/07/07	2.03	2.05	1.95	1.98	3080600	37783976.00
1997/07/08	1.97	2.09	1.96	2.08	2854100	35663508.00
1997/07/09	2.07	2.08	2.02	2.07	1664800	21008898.00
1997/07/10	2.05	2.07	2.01	2.02	1434000	17988964.00
1997/07/11	2.03	2.13	2.01	2.11	2983300	38651236.00
1997/07/14	2.13	2.19	2.11	2.14	3741100	50367688.00
1997/07/15	2.14	2.16	2.09	2.11	2265700	29865640.00
1997/07/16	2.10	2.16	2.10	2.12	1972800	26176972.00
1997/07/17	2.14	2.19	2.10	2.14	2063100	27742326.00
1997/07/18	2.14	2.16	2.11	2.13	1929500	25625070.00
1997/07/21	2.14	2.14	2.06	2.09	1664200	21796616.00
1997/07/22	2.08	2.12	2.01	2.11	1456300	18578668.00
1997/07/23	2.12	2.14	2.05	2.07	1259200	16470887.00
1997/07/24	2.06	2.08	2.03	2.03	1138900	14309318.00
1997/07/25	2.03	2.06	2.02	2.04	836800	10528055.00
1997/07/28	2.05	2.06	2.00	2.00	736800	9131174.00
1997/07/29	2.00	2.03	1.98	2.00	639500	7802921.00
1997/07/30	2.01	2.07	2.00	2.05	615400	7713068.00
1997/07/31	2.07	2.08	2.03	2.04	538700	6766576.00
1997/08/01	2.07	2.07	2.02	2.05	456000	5723771.00
1997/08/04	2.07	2.11	2.07	2.10	1058500	13755782.00
1997/08/05	2.11	2.11	2.07	2.09	490400	6335373.00
1997/08/06	2.08	2.08	2.02	2.03	534600	6755853.00
1997/08/07	2.02	2.06	2.00	2.05	495100	6129716.00
1997/08/08	2.05	2.06	2.01	2.02	687200	8542508.00
1997/08/11	2.02	2.02	1.95	1.95	923600	11102312.00
1997/08/12	1.95	1.98	1.94	1.95	513600	6108049.00
1997/08/13	1.94	1.98	1.88	1.88	473100	5479865.00
1997/08/14	1.86	1.95	1.86	1.94	388500	4442594.00
1997/08/15	1.95	1.95	1.86	1.87	386300	4362862.00
1997/08/18	1.87	1.87	1.79	1.80	548700	5885419.00
1997/08/19	1.81	1.84	1.81	1.81	234900	2523174.00
1997/08/20	1.82	1.87	1.82	1.84	298600	3253826.00
1997/08/21	1.85	1.91	1.85	1.90	377800	4246820.00
1997/08/22	1.88	1.90	1.87	1.90	377200	4224945.00
1997/08/25	1.90	1.91	1.85	1.85	647100	7165685.00
1997/08/26	1.85	1.90	1.81	1.84	985500	10714669.00
1997/08/27	1.85	1.90	1.85	1.90	995100	11242026.00
1997/08/28	1.90	1.91	1.88	1.90	587600	6689705.00
1997/08/29	1.90	1.90	1.87	1.88	1112700	12419843.00
1997/09/01	1.90	1.95	1.90	1.92	714800	8295982.00
1997/09/02	1.93	1.95	1.88	1.93	682900	7862665.00
1997/09/03	1.93	1.95	1.92	1.94	647500	7535850.00
1997/09/04	1.94	1.96	1.94	1.96	661600	7806585.00
1997/09/05	1.96	2.00	1.95	1.99	956000	11521344.00
1997/09/08	1.99	2.02	1.96	1.97	748100	9067192.00
1997/09/09	1.98	1.98	1.94	1.94	592000	7019394.00
1997/09/10	1.96	2.03	1.93	2.03	401100	4727151.00
1997/09/11	1.99	2.01	1.94	1.94	673600	8114886.00
1997/09/12	1.97	1.98	1.92	1.92	561900	6611000.00
1997/09/15	1.94	1.96	1.92	1.92	644000	7524144.00
1997/09/16	1.93	1.95	1.93	1.93	270700	3159213.00
1997/09/17	1.93	1.97	1.93	1.95	499400	5903903.00
1997/09/18	1.96	2.00	1.95	1.97	678700	8157414.00
1997/09/19	2.00	2.00	1.95	1.96	449200	5380214.00
1997/09/22	1.97	1.97	1.87	1.88	516300	5986845.00
1997/09/23	1.88	1.88	1.77	1.79	581100	6320460.00
1997/09/24	1.83	1.88	1.82	1.88	525300	5771720.00
1997/09/25	1.88	1.92	1.88	1.88	556500	6313480.00
1997/09/26	1.89	1.89	1.84	1.87	336300	3709707.00
1997/09/29	1.87	1.87	1.82	1.83	236200	2559167.00
1997/09/30	1.83	1.85	1.82	1.83	167800	1822070.00
1997/10/06	1.83	1.87	1.83	1.83	176900	1934840.00
1997/10/07	1.85	1.86	1.82	1.84	190300	2057470.00
1997/10/08	1.86	1.90	1.86	1.88	274100	3086988.00
1997/10/09	1.89	1.89	1.86	1.86	181600	2020006.00
1997/10/10	1.87	1.89	1.87	1.88	150900	1690840.00
1997/10/13	1.90	1.90	1.87	1.88	123800	1392539.00
1997/10/14	1.88	1.92	1.86	1.92	472000	5358819.00
1997/10/15	1.92	1.97	1.91	1.94	606400	7121104.00
1997/10/16	1.96	1.99	1.95	1.97	1142800	13708895.00
1997/10/17	1.98	1.99	1.96	1.98	828100	9936090.00
1997/10/20	1.98	1.99	1.96	1.99	663100	7942721.00
1997/10/21	1.99	2.00	1.97	1.98	431000	5177815.00
1997/10/22	1.98	1.99	1.93	1.97	1173800	14002227.00
1997/10/23	1.96	1.97	1.93	1.94	488700	5779808.00
1997/10/24	1.95	1.99	1.93	1.98	656100	7823942.00
1997/10/27	2.00	2.08	2.00	2.07	1923300	24291344.00
1997/10/28	2.08	2.08	1.98	1.99	1339000	16554278.00
1997/10/29	1.98	2.01	1.96	1.99	734900	8875992.00
1997/10/30	2.01	2.04	1.98	1.98	786100	9685736.00
