600079 人福医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/06	0.64	0.78	0.64	0.73	15306400	275520896.00
1997/06/09	0.69	0.69	0.64	0.64	599500	10006158.00
1997/06/10	0.56	0.62	0.56	0.56	3383700	50828864.00
1997/06/11	0.54	0.55	0.49	0.55	2976600	41226472.00
1997/06/12	0.54	0.54	0.50	0.51	1330400	18510380.00
1997/06/13	0.48	0.55	0.47	0.53	1765300	24385164.00
1997/06/16	0.53	0.55	0.52	0.52	1570600	22256592.00
1997/06/17	0.53	0.53	0.48	0.48	856700	11856977.00
1997/06/18	0.50	0.53	0.49	0.50	1053200	14510521.00
1997/06/19	0.51	0.51	0.49	0.49	722800	9805660.00
1997/06/20	0.50	0.53	0.50	0.52	1001100	13867149.00
1997/06/23	0.55	0.55	0.49	0.50	1217700	16727799.00
1997/06/24	0.51	0.52	0.49	0.50	819700	11094631.00
1997/06/25	0.50	0.51	0.49	0.50	616100	8308086.00
1997/06/26	0.50	0.50	0.48	0.48	737800	9706735.00
1997/06/27	0.48	0.49	0.44	0.45	851000	10905444.00
1997/07/02	0.45	0.46	0.39	0.39	727800	8448412.00
1997/07/03	0.39	0.44	0.39	0.41	1294500	15283442.00
1997/07/04	0.42	0.42	0.39	0.40	596200	6854522.00
1997/07/07	0.40	0.40	0.35	0.35	488500	5328883.00
1997/07/08	0.33	0.37	0.33	0.36	607300	6209662.00
1997/07/09	0.36	0.37	0.34	0.36	415500	4378092.00
1997/07/10	0.37	0.38	0.34	0.36	642900	6716387.00
1997/07/11	0.36	0.40	0.35	0.40	1054300	11594766.00
1997/07/14	0.41	0.44	0.40	0.42	1480300	17407214.00
1997/07/15	0.42	0.42	0.39	0.41	699500	8080407.00
1997/07/16	0.41	0.41	0.38	0.40	612400	6914309.00
1997/07/17	0.39	0.41	0.39	0.40	401500	4584689.00
1997/07/18	0.40	0.41	0.39	0.41	398100	4551212.00
1997/07/21	0.40	0.43	0.40	0.41	790800	9249059.00
