600080 金花股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/12	3.21	3.32	3.04	3.19	13514800	177389280.00
1997/06/13	3.02	3.42	3.01	3.42	8998700	125916304.00
1997/06/16	3.52	3.67	3.42	3.65	11288000	175905296.00
1997/06/17	3.58	3.64	3.44	3.49	4190700	64291228.00
1997/06/18	3.50	3.59	3.45	3.55	3081200	47345112.00
1997/06/19	3.61	3.77	3.54	3.54	4927800	79604000.00
1997/06/20	3.54	3.70	3.54	3.69	4768900	75895592.00
1997/06/23	3.73	3.90	3.67	3.87	6502300	109270952.00
1997/06/24	3.87	3.92	3.79	3.83	2497700	42961276.00
1997/06/25	3.86	3.94	3.85	3.87	3110700	54303076.00
1997/06/26	3.86	3.92	3.78	3.90	1914100	33073796.00
1997/06/27	3.92	4.03	3.87	3.95	3703700	65934912.00
1997/07/02	4.00	4.16	3.85	4.14	2418900	43663140.00
1997/07/03	4.33	4.33	3.99	4.13	2750300	50833876.00
1997/07/04	4.11	4.11	3.97	3.99	2174900	39743480.00
1997/07/07	4.02	4.19	3.99	4.15	2813800	52621000.00
1997/07/08	4.20	4.41	4.15	4.34	3341400	66269664.00
1997/07/09	4.34	4.39	4.26	4.36	1514200	30488244.00
1997/07/10	4.38	4.71	4.36	4.61	3350600	72205072.00
1997/07/11	4.60	4.91	4.56	4.84	2298800	52628536.00
1997/07/14	4.93	5.24	4.91	5.24	3374300	83763032.00
1997/07/15	5.36	5.67	5.28	5.64	2267500	60038968.00
1997/07/16	5.74	5.91	5.16	5.16	5507100	143806512.00
1997/07/17	5.10	5.25	4.84	5.21	4623300	111250824.00
1997/07/18	5.16	5.17	4.96	5.02	2134400	51644768.00
1997/07/21	4.98	5.14	4.91	5.02	1659900	39844056.00
1997/07/22	5.02	5.35	4.98	5.32	3061700	76739440.00
1997/07/23	5.36	5.50	5.16	5.21	2425200	62659344.00
1997/07/24	5.19	5.30	4.97	5.00	1695900	41257672.00
1997/07/25	4.98	5.05	4.86	5.01	1362700	32163572.00
1997/07/28	4.98	4.98	4.69	4.69	1375300	31517052.00
1997/07/29	4.66	4.86	4.60	4.83	1504900	33485964.00
1997/07/30	4.84	4.89	4.79	4.84	645700	14831859.00
1997/07/31	4.85	4.98	4.84	4.98	970500	22764856.00
1997/08/01	5.00	5.06	4.94	5.05	620700	14784886.00
1997/08/04	4.92	5.10	4.81	5.02	1183200	28044262.00
1997/08/05	4.98	4.98	4.84	4.91	553300	12940030.00
1997/08/06	4.86	5.02	4.85	4.98	708800	16689423.00
1997/08/07	5.00	5.09	4.92	5.01	929900	22226592.00
1997/08/11	5.28	5.28	4.71	4.71	737200	16946848.00
1997/08/12	4.67	4.78	4.64	4.65	570600	12636453.00
1997/08/13	4.78	4.83	4.67	4.77	350900	7904269.00
1997/08/14	4.76	4.93	4.74	4.86	491000	11253363.00
1997/08/15	4.91	5.12	4.91	5.02	1090200	26100826.00
1997/08/18	5.10	5.10	4.81	4.97	1035100	24548044.00
1997/08/19	5.02	5.02	4.74	4.85	829500	11877924.00
1997/08/20	4.85	4.93	4.80	4.87	348900	5041080.00
1997/08/21	4.86	5.23	4.86	5.17	2100600	32273500.00
1997/08/22	5.15	5.19	5.09	5.18	1189300	18416096.00
1997/08/25	5.21	5.34	5.20	5.26	1845700	29556454.00
1997/08/26	5.26	5.61	5.24	5.57	2762700	46136784.00
1997/08/27	5.58	5.71	5.54	5.70	2254400	38990328.00
1997/08/28	5.72	5.76	5.57	5.59	1623800	28073720.00
1997/08/29	5.57	5.67	5.49	5.64	1498300	25549334.00
1997/09/01	5.65	5.67	5.51	5.54	1070000	18213524.00
1997/09/02	5.51	5.58	5.48	5.50	936000	15805130.00
1997/09/03	5.50	5.53	5.31	5.37	3229200	52649496.00
1997/09/04	5.37	5.47	5.33	5.40	1499300	24526786.00
1997/09/05	5.45	5.54	5.40	5.46	988500	16485163.00
1997/09/08	5.46	5.46	5.32	5.36	764700	12393229.00
1997/09/09	5.38	5.38	5.25	5.32	919100	14725994.00
1997/09/10	5.29	5.31	5.18	5.24	743800	11758099.00
1997/09/11	5.24	5.37	5.15	5.26	933000	14767536.00
1997/09/12	5.21	5.37	5.20	5.21	605200	9667185.00
1997/09/15	5.25	5.25	5.10	5.13	479000	7459240.00
1997/09/16	5.14	5.34	5.11	5.20	335400	5206156.00
1997/09/17	5.25	5.38	5.25	5.28	1317000	21206566.00
1997/09/18	5.31	5.34	5.21	5.24	331800	5274223.00
1997/09/19	5.25	5.31	5.18	5.28	304900	4824933.00
1997/09/22	5.29	5.29	4.94	4.96	703100	10699807.00
1997/09/23	4.93	4.93	4.55	4.55	797900	11212786.00
1997/09/24	4.69	4.79	4.63	4.76	1381800	19256202.00
1997/09/25	4.76	4.82	4.62	4.74	1182400	16470645.00
1997/09/26	4.71	4.71	4.60	4.63	522400	7136063.00
