600081 东风科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/03	0.50	0.56	0.28	0.36	6484000	98410816.00
1997/07/04	0.30	0.31	0.20	0.24	2503700	34726436.00
1997/07/07	0.24	0.30	0.22	0.24	1262300	17392028.00
1997/07/08	0.26	0.38	0.26	0.33	1283500	18371276.00
1997/07/09	0.33	0.33	0.25	0.30	836800	11828306.00
1997/07/10	0.32	0.34	0.29	0.29	816100	11636520.00
1997/07/11	0.28	0.42	0.27	0.40	1620300	24026520.00
1997/07/14	0.45	0.54	0.37	0.51	2169400	33906984.00
1997/07/15	0.50	0.52	0.43	0.49	1221800	19210576.00
1997/07/16	0.48	0.59	0.48	0.56	1663600	27371008.00
1997/07/17	0.54	0.58	0.50	0.53	1016000	16532208.00
1997/07/18	0.54	0.55	0.47	0.53	706700	11345328.00
1997/07/21	0.54	0.57	0.50	0.55	962200	15697908.00
1997/07/22	0.54	0.63	0.53	0.61	1031400	17293916.00
1997/07/23	0.62	0.65	0.54	0.54	726400	12154274.00
1997/07/24	0.54	0.57	0.46	0.47	722700	11584379.00
1997/07/25	0.45	0.49	0.43	0.46	527000	8214613.00
1997/07/28	0.46	0.50	0.44	0.45	497200	7836935.00
1997/07/29	0.44	0.50	0.43	0.48	351600	5490999.00
1997/07/30	0.49	0.51	0.47	0.50	358000	5686122.00
1997/07/31	0.50	0.54	0.50	0.51	359300	5788971.00
1997/08/01	0.51	0.52	0.48	0.50	203200	3232321.00
1997/08/04	0.51	0.52	0.48	0.50	254200	4059688.00
1997/08/05	0.50	0.53	0.49	0.49	161100	2586952.00
1997/08/06	0.49	0.49	0.45	0.45	193500	3045684.00
1997/08/07	0.45	0.52	0.44	0.51	484100	7614385.00
1997/08/08	0.52	0.52	0.47	0.47	258600	4102295.00
1997/08/11	0.47	0.50	0.44	0.45	323900	5056263.00
1997/08/12	0.44	0.46	0.32	0.33	506600	7562579.00
1997/08/13	0.30	0.37	0.30	0.31	353100	5121800.00
1997/08/14	0.31	0.40	0.31	0.40	359200	5267497.00
1997/08/15	0.39	0.40	0.33	0.37	232200	3411369.00
1997/08/18	0.37	0.39	0.34	0.37	145900	2157209.00
1997/08/19	0.38	0.38	0.34	0.37	101000	1489806.00
1997/08/20	0.37	0.38	0.35	0.38	207900	3067334.00
1997/08/21	0.38	0.40	0.38	0.40	131700	1970014.00
1997/08/22	0.28	0.34	0.23	0.29	690300	9579730.00
1997/08/25	0.28	0.28	0.23	0.27	358700	4920851.00
1997/08/26	0.27	0.29	0.25	0.29	339700	4723977.00
1997/08/27	0.28	0.28	0.26	0.28	188000	2620295.00
1997/08/28	0.28	0.29	0.27	0.29	266600	3743120.00
1997/08/29	0.29	0.29	0.27	0.29	259700	3645189.00
1997/09/01	0.29	0.33	0.29	0.33	367100	5271793.00
1997/09/02	0.32	0.34	0.31	0.33	290200	4194206.00
1997/09/03	0.33	0.35	0.33	0.35	304600	4449976.00
1997/09/04	0.35	0.38	0.34	0.37	222300	3280506.00
1997/09/05	0.37	0.37	0.33	0.37	199900	2924103.00
1997/09/08	0.37	0.37	0.31	0.36	167100	2430517.00
1997/09/09	0.33	0.38	0.33	0.36	196300	2885296.00
1997/09/10	0.34	0.37	0.34	0.37	255200	3751916.00
1997/09/11	0.39	0.39	0.35	0.37	205800	3035187.00
1997/09/12	0.37	0.38	0.33	0.36	187600	2756539.00
1997/09/15	0.36	0.38	0.32	0.35	229000	3365847.00
1997/09/16	0.35	0.36	0.34	0.35	74800	1092605.00
1997/09/17	0.35	0.36	0.32	0.34	92300	1340788.00
