600082 海泰发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/20	1.58	1.73	1.49	1.70	20366800	211444048.00
1997/06/23	1.69	1.70	1.51	1.56	8777300	90422376.00
1997/06/24	1.55	1.59	1.50	1.53	4050400	40319176.00
1997/06/25	1.53	1.58	1.49	1.51	2554800	25522728.00
1997/06/26	1.49	1.51	1.43	1.44	2637000	24996316.00
1997/06/27	1.42	1.44	1.28	1.32	3020600	27110420.00
1997/07/02	1.32	1.36	1.17	1.19	1738500	14336224.00
1997/07/03	1.19	1.29	1.18	1.21	1940800	15990945.00
1997/07/04	1.20	1.24	1.16	1.20	1053000	8432675.00
1997/07/07	1.21	1.22	1.06	1.06	1226200	9235499.00
1997/07/08	1.07	1.10	1.00	1.08	1248500	8979563.00
1997/07/09	1.06	1.07	1.02	1.06	704000	5055704.00
1997/07/10	1.07	1.10	1.05	1.06	819600	6006708.00
1997/07/11	1.05	1.14	1.04	1.12	1201800	8978879.00
1997/07/14	1.14	1.21	1.12	1.20	1893100	14843248.00
1997/07/15	1.17	1.17	1.11	1.14	1951100	15000726.00
1997/07/16	1.12	1.12	1.07	1.10	1756000	13078879.00
1997/07/17	1.09	1.15	1.09	1.13	1352300	10272675.00
1997/07/18	1.13	1.17	1.12	1.16	1328800	10283076.00
1997/07/21	1.19	1.25	1.17	1.19	2761100	22359440.00
1997/07/22	1.17	1.21	1.13	1.21	1314600	10384094.00
1997/07/23	1.23	1.24	1.17	1.17	1265100	10176937.00
1997/07/24	1.16	1.21	1.16	1.16	904400	7151080.00
1997/07/25	1.15	1.17	1.13	1.16	786300	6118551.00
1997/07/28	1.19	1.19	1.12	1.13	546300	4220517.00
1997/07/29	1.14	1.15	1.10	1.13	522600	3990939.00
1997/07/30	1.13	1.18	1.12	1.18	702500	5502252.00
1997/07/31	1.19	1.19	1.16	1.17	578800	4569093.00
1997/08/01	1.17	1.24	1.17	1.23	1624800	13177420.00
1997/08/04	1.23	1.27	1.22	1.24	1519800	12650915.00
1997/08/05	1.25	1.25	1.21	1.22	864300	7107987.00
1997/08/06	1.22	1.22	1.17	1.18	722400	5798913.00
1997/08/07	1.17	1.22	1.15	1.22	570800	4501853.00
1997/08/08	1.23	1.23	1.18	1.20	849300	6840922.00
1997/08/11	1.19	1.19	1.15	1.16	712800	5594117.00
1997/08/12	1.14	1.18	1.12	1.13	538500	4175873.00
1997/08/13	1.19	1.19	1.11	1.12	496100	3829537.00
1997/08/14	1.12	1.18	1.12	1.18	656100	5101662.00
1997/08/15	1.17	1.18	1.10	1.12	603700	4630960.00
1997/08/18	1.10	1.11	1.05	1.07	816500	5996621.00
1997/08/19	1.07	1.11	1.07	1.08	287600	2130673.00
1997/08/20	1.09	1.12	1.08	1.12	299700	2239140.00
1997/08/21	1.12	1.14	1.10	1.14	393300	3006799.00
1997/08/22	1.14	1.15	1.12	1.14	403000	3082803.00
1997/08/25	1.13	1.17	1.13	1.17	666200	5187845.00
1997/08/26	1.16	1.17	1.14	1.16	521000	4060593.00
1997/08/27	1.16	1.17	1.15	1.17	484100	3789636.00
1997/08/28	1.17	1.18	1.15	1.17	662000	5207389.00
1997/08/29	1.18	1.18	1.15	1.17	782000	6141132.00
1997/09/01	1.18	1.23	1.17	1.21	1077100	8682205.00
1997/09/02	1.22	1.22	1.18	1.19	767600	6165902.00
1997/09/03	1.19	1.26	1.19	1.25	1482000	12175459.00
1997/09/04	1.25	1.27	1.25	1.27	1413300	11832958.00
1997/09/05	1.26	1.26	1.24	1.25	773400	6432726.00
1997/09/08	1.26	1.31	1.26	1.28	1766300	15157314.00
1997/09/09	1.28	1.29	1.23	1.23	1196500	9996247.00
1997/09/10	1.23	1.28	1.22	1.26	688600	5697202.00
1997/09/11	1.27	1.28	1.19	1.21	722500	5978029.00
1997/09/12	1.22	1.24	1.17	1.18	806500	6504089.00
1997/09/15	1.19	1.19	1.15	1.15	553700	4349068.00
1997/09/16	1.15	1.17	1.15	1.16	291400	2276937.00
1997/09/17	1.16	1.17	1.14	1.14	232900	1802853.00
1997/09/18	1.16	1.17	1.14	1.16	298400	2326054.00
1997/09/19	1.17	1.18	1.17	1.18	298600	2361855.00
1997/09/22	1.18	1.18	1.09	1.09	464800	3539740.00
1997/09/23	1.07	1.10	1.00	1.02	571700	4126752.00
1997/09/24	1.05	1.10	1.05	1.09	559600	4090712.00
1997/09/25	1.09	1.15	1.09	1.14	608300	4604003.00
1997/09/26	1.14	1.16	1.10	1.13	405000	3080220.00
1997/09/29	1.12	1.12	1.07	1.08	387700	2873067.00
1997/09/30	1.08	1.11	1.08	1.10	261100	1948772.00
1997/10/06	1.10	1.12	1.09	1.12	171600	1291001.00
1997/10/07	1.10	1.13	1.08	1.10	91600	683625.00
1997/10/08	1.13	1.17	1.12	1.15	339800	2635533.00
1997/10/09	1.17	1.17	1.10	1.13	161000	1232913.00
1997/10/10	1.12	1.15	1.12	1.14	118500	910472.00
1997/10/13	1.14	1.16	1.10	1.11	184300	1411962.00
1997/10/14	1.11	1.12	1.10	1.11	182200	1367295.00
1997/10/15	1.12	1.14	1.10	1.12	179800	1371019.00
1997/10/16	1.16	1.19	1.14	1.18	813300	6395310.00
1997/10/17	1.18	1.19	1.16	1.18	455100	3603554.00
1997/10/20	1.18	1.21	1.16	1.21	616200	4869769.00
1997/10/21	1.20	1.21	1.17	1.19	405800	3245636.00
1997/10/22	1.19	1.19	1.13	1.15	773400	6037472.00
1997/10/23	1.19	1.24	1.18	1.20	1879900	15285495.00
1997/10/24	1.21	1.24	1.20	1.22	984800	8040884.00
1997/10/27	1.22	1.29	1.21	1.29	1712200	14311518.00
1997/10/28	1.29	1.30	1.17	1.19	1203400	9853261.00
1997/10/29	1.19	1.23	1.17	1.20	547400	4380637.00
1997/10/30	1.24	1.24	1.17	1.17	758700	6138404.00
1997/10/31	1.16	1.22	1.14	1.21	419600	3326361.00
1997/11/03	1.22	1.23	1.17	1.19	411500	3303427.00
1997/11/04	1.18	1.20	1.17	1.17	324500	2570319.00
1997/11/05	1.19	1.21	1.16	1.19	393200	3117091.00
1997/11/06	1.19	1.22	1.18	1.20	539300	4334458.00
1997/11/07	1.19	1.26	1.19	1.26	1143800	9437167.00
1997/11/10	1.25	1.29	1.24	1.26	1476400	12476635.00
1997/11/11	1.24	1.25	1.20	1.24	505700	4145329.00
1997/11/12	1.24	1.26	1.20	1.21	409000	3333601.00
1997/11/13	1.19	1.25	1.19	1.25	455100	3672859.00
1997/11/14	1.24	1.27	1.22	1.24	628700	5234200.00
1997/11/17	1.25	1.26	1.21	1.24	264200	2173768.00
1997/11/18	1.23	1.23	1.19	1.21	293500	2372187.00
1997/11/19	1.20	1.22	1.18	1.19	484600	3889048.00
1997/11/20	1.19	1.22	1.17	1.18	290800	2320465.00
1997/11/21	1.17	1.18	1.14	1.15	415200	3250664.00
1997/11/24	1.12	1.15	1.11	1.12	272200	2078495.00
1997/11/25	1.12	1.14	1.10	1.14	291700	2205380.00
1997/11/26	1.14	1.15	1.11	1.15	175300	1350261.00
1997/11/27	1.13	1.14	1.11	1.11	227900	1731157.00
1997/11/28	1.11	1.17	1.10	1.17	218100	1674101.00
1997/12/01	1.12	1.17	1.12	1.16	140100	1090984.00
1997/12/02	1.14	1.18	1.14	1.16	170700	1333039.00
1997/12/03	1.16	1.18	1.14	1.17	179800	1393685.00
1997/12/04	1.17	1.21	1.15	1.20	415700	3302988.00
1997/12/05	1.21	1.21	1.16	1.17	235700	1877518.00
1997/12/08	1.17	1.21	1.16	1.20	564700	4500738.00
1997/12/09	1.20	1.20	1.18	1.19	484900	3868044.00
1997/12/10	1.19	1.22	1.17	1.19	330000	2644538.00
1997/12/11	1.19	1.19	1.16	1.17	266000	2094574.00
1997/12/12	1.17	1.19	1.16	1.17	227200	1797017.00
1997/12/15	1.19	1.28	1.19	1.26	1940900	16117085.00
1997/12/16	1.26	1.28	1.24	1.26	1029600	8644457.00
1997/12/17	1.26	1.26	1.21	1.23	942000	7727511.00
1997/12/18	1.21	1.37	1.21	1.36	3714300	32484484.00
1997/12/19	1.33	1.41	1.32	1.39	3192900	28804064.00
1997/12/22	1.37	1.42	1.35	1.40	2260600	20586896.00
1997/12/23	1.40	1.40	1.36	1.39	1308900	11843628.00
1997/12/24	1.39	1.48	1.37	1.44	1588900	14938865.00
1997/12/25	1.43	1.46	1.42	1.46	942400	8882657.00
1997/12/26	1.46	1.47	1.42	1.44	1164400	10927803.00
1997/12/29	1.43	1.44	1.37	1.38	970000	8856332.00
1997/12/30	1.38	1.42	1.37	1.42	591300	5432237.00
1997/12/31	1.39	1.42	1.38	1.39	909600	8323400.00
1998/01/05	1.39	1.43	1.39	1.41	737300	6790376.00
1998/01/06	1.41	1.47	1.39	1.44	1048200	9770325.00
1998/01/07	1.44	1.45	1.40	1.43	836500	7794567.00
1998/01/08	1.42	1.42	1.37	1.39	923800	8445373.00
1998/01/09	1.38	1.40	1.33	1.39	1211900	10890076.00
1998/01/12	1.38	1.41	1.34	1.36	721700	6519390.00
1998/01/13	1.35	1.35	1.21	1.24	1226700	10225778.00
1998/01/14	1.25	1.29	1.25	1.28	909400	7696609.00
1998/01/15	1.30	1.36	1.30	1.35	647600	5691828.00
1998/01/16	1.35	1.35	1.29	1.30	399600	3483343.00
1998/01/19	1.33	1.33	1.30	1.32	448300	3897977.00
1998/01/20	1.33	1.35	1.32	1.32	319900	2814375.00
1998/01/21	1.32	1.32	1.28	1.30	310400	2679255.00
1998/01/22	1.29	1.33	1.28	1.29	296600	2557466.00
1998/01/23	1.31	1.39	1.30	1.38	575300	5136219.00
1998/02/09	1.42	1.45	1.39	1.40	808700	7518453.00
1998/02/10	1.40	1.47	1.39	1.45	1297200	12250885.00
1998/02/11	1.44	1.48	1.42	1.43	460500	4354363.00
1998/02/12	1.43	1.45	1.40	1.40	514200	4786914.00
1998/02/13	1.40	1.43	1.40	1.42	393700	3663848.00
1998/02/16	1.42	1.43	1.37	1.39	621800	5698363.00
1998/02/17	1.41	1.42	1.38	1.42	311400	2847758.00
1998/02/18	1.41	1.45	1.40	1.44	422700	3913299.00
1998/02/19	1.41	1.44	1.41	1.43	329900	3072418.00
1998/02/20	1.43	1.44	1.39	1.40	238100	2191829.00
1998/02/23	1.37	1.39	1.34	1.35	435200	3879269.00
1998/02/24	1.35	1.37	1.34	1.36	231500	2069192.00
1998/02/25	1.36	1.36	1.32	1.33	284800	2523194.00
1998/02/26	1.33	1.35	1.30	1.33	310100	2708683.00
1998/02/27	1.32	1.37	1.32	1.36	277700	2457662.00
1998/03/02	1.32	1.32	1.28	1.29	438100	3781884.00
1998/03/03	1.27	1.31	1.27	1.31	303600	2596243.00
1998/03/04	1.32	1.33	1.30	1.32	206500	1799593.00
1998/03/05	1.34	1.35	1.31	1.31	156400	1360884.00
