600084 *ST中葡 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/11	1.88	2.14	1.83	2.11	18659600	266462976.00
1997/07/14	2.11	2.27	2.10	2.19	9742100	154451360.00
1997/07/15	2.16	2.18	2.02	2.09	7385600	111231776.00
1997/07/16	2.06	2.14	2.03	2.09	3896500	58037592.00
1997/07/17	2.08	2.15	2.05	2.09	3138300	47548400.00
1997/07/18	2.09	2.20	2.07	2.19	3803600	58589416.00
1997/07/21	2.24	2.31	2.16	2.18	6384000	103799856.00
1997/07/22	2.15	2.21	2.09	2.19	2755200	42688848.00
1997/07/23	2.21	2.23	2.13	2.14	1724400	27048608.00
1997/07/24	2.14	2.15	2.08	2.09	1498800	22664130.00
1997/07/25	2.04	2.10	2.03	2.06	1236800	18318256.00
1997/07/28	2.05	2.05	1.95	1.95	1269100	18002890.00
1997/07/29	1.95	2.00	1.92	1.98	865500	12057934.00
1997/07/30	2.01	2.02	1.97	2.01	739800	10568558.00
1997/07/31	2.04	2.04	1.98	1.99	606700	8711096.00
1997/08/01	2.00	2.05	2.00	2.04	641200	9296411.00
1997/08/04	2.05	2.06	2.03	2.04	507500	7398060.00
1997/08/05	2.05	2.05	2.00	2.00	460800	6669002.00
1997/08/06	2.00	2.01	1.96	1.96	606200	8562045.00
1997/08/07	1.95	2.01	1.94	2.01	548100	7641362.00
1997/08/08	2.02	2.02	1.96	1.96	802000	11273732.00
1997/08/11	1.96	1.96	1.83	1.85	1340000	17758132.00
1997/08/12	1.85	1.91	1.85	1.85	543100	7190353.00
1997/08/13	1.85	1.88	1.83	1.83	466000	6078581.00
1997/08/14	1.85	1.88	1.82	1.88	546100	7137270.00
1997/08/15	1.90	1.91	1.80	1.81	425700	5513844.00
1997/08/18	1.88	1.90	1.79	1.87	495800	6531814.00
1997/08/19	1.89	1.90	1.86	1.87	372500	4950466.00
1997/08/20	1.89	1.94	1.88	1.93	648200	8828897.00
1997/08/21	1.95	1.96	1.93	1.94	579300	7984733.00
1997/08/22	1.93	1.96	1.92	1.94	449800	6206689.00
1997/08/25	1.96	1.99	1.94	1.97	612900	8585880.00
1997/08/26	1.99	2.02	1.97	1.98	539000	7629250.00
1997/08/27	1.99	1.99	1.94	1.96	495600	6913612.00
1997/08/28	1.97	1.97	1.95	1.97	468500	6530443.00
1997/08/29	1.98	1.98	1.94	1.96	532600	7398294.00
1997/09/01	1.96	2.02	1.95	2.01	1038600	14795599.00
1997/09/02	2.02	2.03	1.97	2.00	559200	7965398.00
1997/09/03	2.03	2.07	2.02	2.06	1294100	19073340.00
1997/09/04	2.07	2.08	2.06	2.06	715900	10606555.00
1997/09/05	2.06	2.06	2.04	2.05	527800	7753756.00
1997/09/08	2.09	2.10	2.07	2.08	1006700	15103228.00
1997/09/09	2.09	2.10	2.04	2.05	648800	9623169.00
1997/09/10	2.05	2.08	2.05	2.07	587600	8697622.00
1997/09/11	2.09	2.09	2.05	2.05	578900	8587823.00
1997/09/12	2.06	2.06	1.97	1.99	517600	7501519.00
1997/09/15	1.98	2.01	1.96	1.96	426700	6027830.00
1997/09/16	1.97	1.98	1.95	1.96	295100	4123335.00
1997/09/17	1.96	1.97	1.95	1.95	218800	3048384.00
1997/09/18	1.96	1.99	1.96	1.97	215100	3023299.00
1997/09/19	1.97	2.00	1.97	1.99	252400	3568255.00
1997/09/22	1.99	1.99	1.88	1.88	351200	4770088.00
1997/09/23	1.88	1.90	1.79	1.82	432600	5642125.00
1997/09/24	1.87	1.90	1.85	1.90	438600	5809448.00
1997/09/25	1.88	1.93	1.88	1.90	366600	4944866.00
1997/09/26	1.90	1.92	1.86	1.89	194800	2602082.00
1997/09/29	1.88	1.89	1.84	1.85	289700	3798835.00
1997/09/30	1.85	1.88	1.83	1.88	167200	2207452.00
1997/10/06	1.87	1.89	1.87	1.88	105900	1405094.00
1997/10/07	1.87	1.89	1.86	1.88	90100	1191048.00
1997/10/08	1.94	1.95	1.91	1.93	289700	3981889.00
1997/10/09	1.94	1.94	1.90	1.91	142500	1936950.00
