600085 同仁堂 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/25	-1.24	-1.14	-1.29	-1.23	34095500	587851840.00
1997/06/26	-1.25	-1.08	-1.29	-1.14	11213100	201651264.00
1997/06/27	-1.14	-1.08	-1.20	-1.18	8830500	160882528.00
1997/07/02	-1.17	-1.13	-1.33	-1.28	4605700	77620176.00
1997/07/03	-1.28	-1.27	-1.40	-1.38	3510700	54962828.00
1997/07/04	-1.42	-1.35	-1.44	-1.38	1871100	28772448.00
1997/07/07	-1.38	-1.38	-1.51	-1.51	2038300	29624818.00
1997/07/08	-1.54	-1.48	-1.60	-1.50	2234100	30348046.00
1997/07/09	-1.51	-1.46	-1.55	-1.47	1720500	24232604.00
1997/07/10	-1.47	-1.47	-1.52	-1.52	1334700	18768568.00
1997/07/11	-1.52	-1.43	-1.52	-1.44	1908700	27447052.00
1997/07/14	-1.43	-1.39	-1.45	-1.41	2229200	33406942.00
1997/07/15	-1.42	-1.42	-1.48	-1.45	1672800	24411068.00
1997/07/16	-1.44	-1.40	-1.48	-1.42	1974300	29336600.00
1997/07/17	-1.42	-1.39	-1.44	-1.42	1428100	21409444.00
1997/07/18	-1.42	-1.36	-1.44	-1.39	1775100	26882672.00
1997/07/21	-1.36	-1.36	-1.43	-1.42	1414900	21788328.00
1997/07/22	-1.41	-1.40	-1.45	-1.40	1059700	15844701.00
1997/07/23	-1.39	-1.37	-1.43	-1.42	895600	13551519.00
1997/07/24	-1.44	-1.42	-1.46	-1.46	600500	8842863.00
1997/07/25	-1.47	-1.46	-1.48	-1.47	735700	10565608.00
1997/07/28	-1.49	-1.48	-1.51	-1.51	736600	10319185.00
1997/07/29	-1.51	-1.48	-1.52	-1.50	510400	7167855.00
1997/07/30	-1.50	-1.46	-1.50	-1.46	525400	7527090.00
1997/07/31	-1.46	-1.44	-1.48	-1.46	503600	7288772.00
1997/08/01	-1.46	-1.45	-1.48	-1.46	394600	5688486.00
1997/08/04	-1.46	-1.42	-1.47	-1.43	850200	12521700.00
1997/08/05	-1.43	-1.43	-1.47	-1.46	407100	5939351.00
1997/08/06	-1.45	-1.45	-1.50	-1.48	452100	6526015.00
1997/08/07	-1.48	-1.46	-1.51	-1.47	442200	6251385.00
1997/08/08	-1.47	-1.47	-1.51	-1.51	1078700	15180396.00
1997/08/11	-1.51	-1.48	-1.51	-1.51	714600	10034053.00
1997/08/12	-1.48	-1.46	-1.50	-1.50	585900	8352016.00
1997/08/13	-1.50	-1.48	-1.52	-1.52	467700	6546582.00
1997/08/14	-1.52	-1.48	-1.52	-1.49	540800	7599913.00
1997/08/15	-1.48	-1.48	-1.52	-1.50	413500	5795673.00
1997/08/18	-1.51	-1.50	-1.54	-1.53	393400	5413352.00
1997/08/19	-1.52	-1.49	-1.52	-1.50	368200	5130941.00
1997/08/20	-1.50	-1.45	-1.50	-1.46	502200	7139660.00
1997/08/21	-1.45	-1.45	-1.47	-1.46	769200	11137206.00
1997/08/22	-1.47	-1.44	-1.48	-1.46	645400	9380952.00
1997/08/25	-1.45	-1.41	-1.45	-1.42	1010000	15031034.00
1997/08/26	-1.42	-1.40	-1.43	-1.41	1444500	21776564.00
1997/08/27	-1.41	-1.41	-1.43	-1.42	746200	11143669.00
1997/08/28	-1.43	-1.41	-1.44	-1.43	529400	7868739.00
1997/08/29	-1.42	-1.42	-1.45	-1.43	662800	9799730.00
1997/09/01	-1.38	-1.38	-1.43	-1.42	698100	10455409.00
1997/09/02	-1.42	-1.40	-1.44	-1.41	1165100	17390276.00
1997/09/03	-1.41	-1.35	-1.41	-1.36	2541000	39438280.00
1997/09/04	-1.36	-1.36	-1.38	-1.37	914100	14220546.00
1997/09/05	-1.37	-1.36	-1.39	-1.38	539200	8294753.00
1997/09/08	-1.38	-1.37	-1.39	-1.39	657400	10108718.00
1997/09/09	-1.39	-1.37	-1.41	-1.41	626100	9601857.00
1997/09/10	-1.42	-1.40	-1.43	-1.41	495000	7395242.00
1997/09/11	-1.39	-1.39	-1.43	-1.43	610100	9176947.00
1997/09/12	-1.43	-1.42	-1.45	-1.45	564000	8371786.00
1997/09/15	-1.45	-1.44	-1.49	-1.49	512500	7323717.00
1997/09/16	-1.49	-1.45	-1.50	-1.48	303200	4305125.00
1997/09/17	-1.48	-1.47	-1.49	-1.48	195300	2776178.00
1997/09/18	-1.48	-1.47	-1.49	-1.48	204000	2910926.00
1997/09/19	-1.48	-1.46	-1.48	-1.48	171600	2464114.00
1997/09/22	-1.46	-1.46	-1.56	-1.56	477800	6568912.00
1997/09/23	-1.56	-1.54	-1.63	-1.61	546100	7142981.00
1997/09/24	-1.57	-1.53	-1.59	-1.53	660000	8839967.00
1997/09/25	-1.52	-1.51	-1.54	-1.53	334600	4602405.00
1997/09/26	-1.52	-1.51	-1.56	-1.56	225900	3056564.00
1997/09/29	-1.55	-1.55	-1.60	-1.58	350200	4576270.00
1997/09/30	-1.58	-1.55	-1.58	-1.57	153800	2038837.00
1997/10/06	-1.54	-1.54	-1.57	-1.56	106500	1417833.00
1997/10/07	-1.56	-1.56	-1.58	-1.57	88400	1166498.00
1997/10/08	-1.54	-1.52	-1.55	-1.53	227100	3101919.00
1997/10/09	-1.53	-1.53	-1.55	-1.54	135400	1833215.00
1997/10/10	-1.55	-1.53	-1.55	-1.54	128900	1746812.00
1997/10/13	-1.54	-1.53	-1.56	-1.56	164300	2207663.00
1997/10/14	-1.57	-1.56	-1.57	-1.57	218900	2891100.00
1997/10/15	-1.56	-1.55	-1.58	-1.56	277800	3695965.00
1997/10/16	-1.54	-1.49	-1.55	-1.51	865100	12009209.00
1997/10/17	-1.49	-1.47	-1.50	-1.50	615100	8731416.00
1997/10/20	-1.48	-1.46	-1.49	-1.48	789900	11301183.00
1997/10/21	-1.48	-1.44	-1.49	-1.44	795900	11480897.00
1997/10/22	-1.44	-1.44	-1.51	-1.48	678500	9727474.00
1997/10/23	-1.49	-1.48	-1.51	-1.49	463800	6551996.00
1997/10/24	-1.49	-1.48	-1.50	-1.48	743800	10512007.00
1997/10/27	-1.47	-1.42	-1.47	-1.42	1346900	19805980.00
1997/10/28	-1.42	-1.41	-1.50	-1.48	1088800	15782839.00
1997/10/29	-1.49	-1.48	-1.51	-1.48	1014100	14274038.00
1997/10/30	-1.47	-1.45	-1.49	-1.49	679000	9732721.00
1997/10/31	-1.50	-1.48	-1.51	-1.49	511300	7182614.00
1997/11/03	-1.47	-1.46	-1.49	-1.49	291400	4145615.00
1997/11/04	-1.49	-1.48	-1.50	-1.50	284700	4010975.00
1997/11/05	-1.49	-1.45	-1.50	-1.47	725800	10429003.00
1997/11/06	-1.46	-1.43	-1.47	-1.46	867900	12712322.00
1997/11/07	-1.46	-1.42	-1.48	-1.43	964100	14189877.00
1997/11/10	-1.42	-1.37	-1.42	-1.39	2908300	44346624.00
1997/11/11	-1.40	-1.40	-1.46	-1.42	949200	14158400.00
1997/11/12	-1.42	-1.40	-1.46	-1.45	641400	9489499.00
1997/11/13	-1.46	-1.43	-1.49	-1.44	623300	8973716.00
1997/11/14	-1.45	-1.43	-1.46	-1.45	398900	5856735.00
1997/11/17	-1.42	-1.42	-1.46	-1.46	292600	4299652.00
1997/11/18	-1.46	-1.44	-1.48	-1.47	416500	5966084.00
1997/11/19	-1.46	-1.45	-1.48	-1.47	231200	3322472.00
1997/11/20	-1.49	-1.47	-1.49	-1.48	306900	4377017.00
1997/11/21	-1.48	-1.48	-1.50	-1.50	434400	6119541.00
1997/11/24	-1.52	-1.51	-1.53	-1.53	443700	6125370.00
1997/11/25	-1.54	-1.52	-1.54	-1.53	345500	4710771.00
1997/11/26	-1.53	-1.51	-1.54	-1.52	284900	3909646.00
1997/11/27	-1.52	-1.52	-1.54	-1.54	277500	3790951.00
1997/11/28	-1.55	-1.51	-1.56	-1.52	264800	3576391.00
1997/12/01	-1.52	-1.50	-1.54	-1.52	182500	2508854.00
1997/12/02	-1.52	-1.51	-1.54	-1.52	187500	2593427.00
1997/12/03	-1.52	-1.52	-1.55	-1.53	185200	2523059.00
1997/12/04	-1.52	-1.49	-1.53	-1.50	397900	5533670.00
1997/12/05	-1.48	-1.48	-1.50	-1.50	390900	5515038.00
1997/12/08	-1.49	-1.48	-1.50	-1.49	188500	2679240.00
1997/12/09	-1.49	-1.47	-1.49	-1.47	195400	2787847.00
1997/12/10	-1.46	-1.46	-1.48	-1.47	207600	2975029.00
1997/12/11	-1.48	-1.47	-1.49	-1.48	277500	3946866.00
1997/12/12	-1.48	-1.46	-1.48	-1.48	373100	5353379.00
1997/12/15	-1.48	-1.45	-1.49	-1.45	562400	8154170.00
1997/12/16	-1.45	-1.45	-1.47	-1.45	421400	6120936.00
1997/12/17	-1.46	-1.46	-1.50	-1.50	389500	5527232.00
1997/12/18	-1.50	-1.50	-1.51	-1.50	417800	5832838.00
1997/12/19	-1.43	-1.43	-1.48	-1.48	588000	8422873.00
1997/12/22	-1.47	-1.40	-1.49	-1.43	1145100	16704979.00
1997/12/23	-1.42	-1.41	-1.45	-1.45	559500	8236677.00
1997/12/24	-1.45	-1.43	-1.46	-1.45	460900	6748321.00
1997/12/25	-1.45	-1.41	-1.46	-1.41	1317000	19638180.00
1997/12/26	-1.41	-1.39	-1.42	-1.41	1349300	20404944.00
1997/12/29	-1.41	-1.38	-1.44	-1.43	999100	15231034.00
1997/12/30	-1.43	-1.40	-1.43	-1.42	479400	7151985.00
1997/12/31	-1.42	-1.41	-1.43	-1.41	564800	8471156.00
1998/01/05	-1.41	-1.36	-1.42	-1.37	1680100	26071572.00
1998/01/06	-1.36	-1.31	-1.37	-1.33	2445200	39095576.00
1998/01/07	-1.34	-1.33	-1.36	-1.34	1158100	18304216.00
1998/01/08	-1.34	-1.31	-1.36	-1.35	1389800	22212220.00
1998/01/09	-1.35	-1.33	-1.40	-1.35	1234200	19347384.00
1998/01/12	-1.34	-1.31	-1.36	-1.36	1785800	28579544.00
1998/01/13	-1.39	-1.39	-1.50	-1.45	1873500	27459040.00
1998/01/14	-1.44	-1.42	-1.45	-1.43	1250000	18511280.00
1998/01/15	-1.42	-1.36	-1.42	-1.38	1390800	21389636.00
1998/01/16	-1.37	-1.36	-1.40	-1.37	884500	13585302.00
1998/01/19	-1.38	-1.35	-1.39	-1.38	466600	7250366.00
1998/01/20	-1.39	-1.36	-1.41	-1.40	484500	7382521.00
1998/01/21	-1.42	-1.38	-1.42	-1.41	316700	4783197.00
1998/01/22	-1.41	-1.39	-1.43	-1.40	329700	4997171.00
1998/01/23	-1.38	-1.37	-1.40	-1.37	489300	7543605.00
1998/02/09	-1.34	-1.31	-1.35	-1.33	2134700	34368916.00
1998/02/10	-1.33	-1.33	-1.35	-1.35	799600	12731471.00
1998/02/11	-1.34	-1.32	-1.35	-1.33	716100	11410296.00
1998/02/12	-1.33	-1.32	-1.36	-1.36	564600	8930705.00
1998/02/13	-1.35	-1.29	-1.36	-1.31	2070600	33539392.00
1998/02/16	-1.26	-1.25	-1.31	-1.30	2882400	47897108.00
1998/02/17	-1.31	-1.29	-1.33	-1.32	841200	13639859.00
1998/02/18	-1.32	-1.31	-1.35	-1.34	726400	11610558.00
1998/02/19	-1.34	-1.32	-1.35	-1.33	483100	7666354.00
1998/02/20	-1.33	-1.32	-1.36	-1.35	361900	5735737.00
1998/02/23	-1.35	-1.35	-1.39	-1.38	524700	8098310.00
1998/02/24	-1.38	-1.36	-1.39	-1.39	332200	5117184.00
1998/02/25	-1.39	-1.39	-1.41	-1.41	437600	6629501.00
1998/02/26	-1.41	-1.39	-1.42	-1.39	388300	5851199.00
1998/02/27	-1.39	-1.39	-1.42	-1.42	360200	5448330.00
1998/03/02	-1.46	-1.42	-1.46	-1.45	551600	8097504.00
1998/03/03	-1.45	-1.42	-1.47	-1.42	419100	6107761.00
1998/03/04	-1.43	-1.41	-1.44	-1.42	227500	3365437.00
1998/03/05	-1.42	-1.41	-1.43	-1.43	168000	2496051.00
1998/03/06	-1.44	-1.43	-1.46	-1.45	360000	5245083.00
1998/03/09	-1.47	-1.42	-1.48	-1.45	773200	11338462.00
1998/03/10	-1.45	-1.45	-1.49	-1.47	433500	6230918.00
1998/03/11	-1.46	-1.45	-1.50	-1.50	654600	9310890.00
1998/03/12	-1.50	-1.48	-1.50	-1.49	322500	4560126.00
1998/03/13	-1.49	-1.48	-1.50	-1.48	345700	4884186.00
1998/03/16	-1.47	-1.45	-1.50	-1.46	383600	5506077.00
1998/03/17	-1.46	-1.45	-1.48	-1.45	391600	5666707.00
1998/03/18	-1.46	-1.45	-1.48	-1.47	374700	5380909.00
1998/03/19	-1.48	-1.47	-1.50	-1.49	349400	4961491.00
1998/03/20	-1.50	-1.48	-1.50	-1.49	245100	3455315.00
1998/03/23	-1.49	-1.49	-1.50	-1.50	443300	6221833.00
1998/03/24	-1.50	-1.46	-1.50	-1.46	281400	4029103.00
1998/03/25	-1.45	-1.44	-1.46	-1.45	663900	9706425.00
1998/03/26	-1.45	-1.44	-1.48	-1.48	273700	3939528.00
1998/03/27	-1.48	-1.46	-1.49	-1.47	450700	6452214.00
1998/03/30	-1.46	-1.44	-1.46	-1.44	571000	8337291.00
1998/03/31	-1.44	-1.44	-1.48	-1.46	566400	8176838.00
1998/04/01	-1.46	-1.43	-1.47	-1.45	507600	7385667.00
1998/04/02	-1.45	-1.43	-1.45	-1.45	971800	14301231.00
1998/04/03	-1.44	-1.42	-1.45	-1.42	771600	11356887.00
1998/04/06	-1.42	-1.38	-1.42	-1.40	1398900	21233116.00
1998/04/07	-1.41	-1.39	-1.43	-1.39	828400	12481911.00
1998/04/09	-1.42	-1.42	-1.50	-1.44	606300	8955664.00
1998/04/10	-1.44	-1.42	-1.46	-1.42	962400	14171121.00
1998/04/13	-1.42	-1.37	-1.43	-1.39	1994000	30326036.00
1998/04/14	-1.39	-1.39	-1.42	-1.42	756500	11392729.00
1998/04/15	-1.41	-1.38	-1.42	-1.41	759700	11503374.00
1998/04/16	-1.40	-1.38	-1.41	-1.40	1147600	17431856.00
1998/04/17	-1.40	-1.39	-1.45	-1.44	733000	10949698.00
1998/04/20	-1.43	-1.43	-1.47	-1.46	620100	9058597.00
1998/04/21	-1.46	-1.45	-1.47	-1.46	389600	5658998.00
1998/04/22	-1.46	-1.42	-1.46	-1.43	441800	6513617.00
1998/04/23	-1.43	-1.42	-1.45	-1.45	517200	7620989.00
1998/04/24	-1.45	-1.42	-1.45	-1.44	458000	6785958.00
1998/04/27	-1.43	-1.38	-1.43	-1.38	1523500	23183474.00
1998/04/28	-1.37	-1.35	-1.38	-1.37	1816700	28267032.00
1998/04/29	-1.35	-1.31	-1.36	-1.36	2034400	32133000.00
1998/04/30	-1.35	-1.35	-1.37	-1.37	850400	13248649.00
1998/05/04	-1.36	-1.34	-1.38	-1.35	1362100	21304460.00
1998/05/05	-1.34	-1.34	-1.37	-1.36	630500	9868725.00
