600094 大名城 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/03	4.19	4.21	3.68	3.73	17828600	203900736.00
1997/07/04	3.71	3.79	3.54	3.56	6401600	67021816.00
1997/07/07	3.58	3.64	3.54	3.59	3729900	37982848.00
1997/07/08	3.59	3.66	3.50	3.61	2746700	28224688.00
1997/07/09	3.62	3.62	3.48	3.52	2101600	20934340.00
1997/07/10	3.54	3.57	3.50	3.50	1098200	10931704.00
1997/07/11	3.50	3.65	3.50	3.65	3131500	32128164.00
1997/07/14	3.70	3.74	3.63	3.68	3980000	42626556.00
1997/07/15	3.70	3.71	3.60	3.63	1694000	17781146.00
1997/07/16	3.64	3.82	3.62	3.77	4093600	44646300.00
1997/07/17	3.75	3.79	3.70	3.75	2224000	24401108.00
1997/07/18	3.75	3.77	3.69	3.75	1766700	19291892.00
1997/07/21	3.77	3.79	3.68	3.70	1702000	18555960.00
1997/07/22	3.68	3.70	3.60	3.66	1265500	13271101.00
1997/07/23	3.68	3.72	3.64	3.65	1258300	13396842.00
1997/07/24	3.65	3.66	3.58	3.58	739200	7699086.00
1997/07/25	3.58	3.66	3.58	3.62	933300	9675281.00
1997/07/28	3.61	3.62	3.55	3.57	579500	5940467.00
1997/07/29	3.57	3.64	3.55	3.59	558700	5711952.00
1997/07/30	3.62	3.66	3.60	3.65	819600	8590422.00
1997/07/31	3.66	3.66	3.63	3.63	529700	5555565.00
1997/08/01	3.64	3.68	3.61	3.66	619300	6497814.00
1997/08/04	3.71	3.74	3.69	3.70	1162000	12605103.00
1997/08/05	3.71	3.72	3.66	3.71	849600	9119247.00
1997/08/06	3.71	3.72	3.60	3.62	617500	6554230.00
1997/08/07	3.63	3.68	3.60	3.68	511300	5358876.00
1997/08/08	3.70	3.70	3.58	3.61	917600	9591995.00
1997/08/11	3.62	3.68	3.62	3.62	987700	10436030.00
1997/08/12	3.68	3.74	3.62	3.64	1847500	19774002.00
1997/08/13	3.65	3.68	3.57	3.59	749200	7831301.00
1997/08/14	3.70	3.72	3.62	3.66	690100	7281806.00
1997/08/15	3.68	3.78	3.64	3.73	3427300	37497344.00
1997/08/18	3.76	3.81	3.73	3.77	2475100	27557148.00
1997/08/19	3.78	3.79	3.71	3.71	887000	9716349.00
1997/08/20	3.72	3.80	3.72	3.79	1342300	14888180.00
1997/08/21	3.82	3.84	3.77	3.79	1829000	20691608.00
1997/08/22	3.79	3.81	3.74	3.81	1566100	17427212.00
1997/08/25	3.81	3.85	3.79	3.84	1683400	19043672.00
1997/08/26	3.83	3.93	3.81	3.88	1842300	21280616.00
1997/08/27	3.87	3.90	3.85	3.88	1364000	15798351.00
1997/08/28	3.88	3.90	3.81	3.84	1315500	15067649.00
1997/08/29	3.83	3.92	3.82	3.90	1601000	18627332.00
1997/09/01	3.92	3.93	3.88	3.90	994300	11670327.00
1997/09/02	3.90	3.91	3.83	3.85	930300	10737034.00
1997/09/03	3.86	3.90	3.85	3.87	1116600	12896792.00
1997/09/04	3.87	3.92	3.87	3.90	1240000	14518462.00
1997/09/05	3.90	3.95	3.89	3.92	1110500	13117244.00
1997/09/08	3.92	3.94	3.87	3.88	784800	9196037.00
1997/09/09	3.87	3.90	3.79	3.80	863500	9894498.00
1997/09/10	3.80	3.84	3.77	3.81	780800	8798630.00
1997/09/11	3.83	3.85	3.77	3.80	1027900	11536286.00
1997/09/12	3.79	3.81	3.71	3.72	601900	6653168.00
1997/09/15	3.72	3.72	3.64	3.66	612500	6533356.00
1997/09/16	3.64	3.70	3.64	3.68	375700	3996657.00
1997/09/17	3.66	3.68	3.64	3.67	307200	3248160.00
1997/09/18	3.68	3.73	3.67	3.71	321000	3468364.00
