600095 湘财股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/08	3.12	3.45	2.98	3.44	34130300	344378560.00
1997/07/09	3.34	3.40	3.13	3.16	18317700	190324400.00
1997/07/10	3.17	3.44	3.17	3.32	14415500	153726016.00
1997/07/11	3.34	3.62	3.34	3.62	15292800	176488640.00
1997/07/14	3.76	3.95	3.66	3.95	18004900	223849152.00
1997/07/15	3.93	4.11	3.77	3.96	10633700	137315440.00
1997/07/16	3.93	3.95	3.73	3.81	7172200	90312344.00
1997/07/17	3.79	4.02	3.76	3.98	6868000	88405696.00
1997/07/18	3.95	4.01	3.84	3.91	3957100	50914300.00
1997/07/21	3.93	3.94	3.76	3.79	5171900	64822060.00
1997/07/22	3.76	3.89	3.65	3.84	4021900	49344912.00
1997/07/23	3.88	3.89	3.70	3.74	3058700	37730624.00
1997/07/24	3.70	3.76	3.64	3.67	2172900	26175586.00
1997/07/25	3.65	3.67	3.56	3.60	2023900	23844496.00
1997/07/28	3.56	3.56	3.40	3.42	1706000	19286916.00
1997/07/29	3.40	3.53	3.36	3.53	1394900	15662548.00
1997/07/30	3.53	3.62	3.52	3.60	1350300	15682708.00
1997/07/31	3.62	3.64	3.53	3.56	912300	10610864.00
1997/08/01	3.58	3.59	3.49	3.57	808300	9271805.00
1997/08/04	3.57	3.58	3.48	3.55	896600	10292456.00
1997/08/05	3.57	3.67	3.54	3.62	1194300	14054660.00
1997/08/06	3.62	3.62	3.48	3.49	720200	8339033.00
1997/08/07	3.45	3.53	3.43	3.52	971200	10954058.00
1997/08/08	3.53	3.56	3.45	3.47	1043300	11801839.00
1997/08/11	3.45	3.45	3.26	3.30	1461500	15712825.00
1997/08/12	3.26	3.36	3.21	3.22	960900	10151068.00
1997/08/13	3.22	3.31	3.15	3.16	635700	6588540.00
1997/08/14	3.15	3.28	3.15	3.27	847900	8749066.00
1997/08/15	3.30	3.31	3.12	3.15	803100	8201883.00
1997/08/18	3.14	3.15	2.96	3.03	966000	9371368.00
1997/08/19	3.02	3.11	3.00	3.02	467300	4583801.00
1997/08/20	3.03	3.12	3.03	3.12	421400	4164443.00
1997/08/21	3.15	3.23	3.12	3.21	797400	8117097.00
1997/08/22	3.20	3.24	3.14	3.23	748600	7684042.00
1997/08/26	3.52	3.52	3.52	3.52	210900	2410587.00
1997/08/27	3.83	3.83	3.83	3.83	1557600	19580064.00
1997/08/28	4.19	4.19	4.01	4.19	17786900	244577552.00
1997/08/29	4.19	4.27	4.04	4.15	8226700	113130448.00
1997/09/01	4.09	4.09	3.96	4.03	4393300	58240808.00
1997/09/02	3.97	4.17	3.95	4.14	3157600	42263272.00
1997/09/03	4.15	4.15	4.08	4.10	1926100	26090772.00
1997/09/04	4.09	4.10	4.04	4.08	1757400	23633868.00
1997/09/05	4.07	4.12	4.04	4.10	1655900	22212048.00
1997/09/08	4.08	4.08	3.98	4.01	1121800	14859349.00
1997/09/09	4.01	4.08	3.96	3.96	747800	9922031.00
1997/09/10	3.96	4.02	3.90	3.96	1299400	16785470.00
1997/09/11	3.98	4.10	3.96	4.00	1258500	16597718.00
1997/09/12	4.00	4.01	3.87	3.88	831800	10725640.00
1997/09/15	3.84	3.84	3.70	3.71	1148900	14106825.00
1997/09/16	3.70	3.79	3.69	3.73	649500	7918148.00
1997/09/17	3.73	3.76	3.65	3.66	698700	8410943.00
1997/09/18	3.68	3.79	3.67	3.73	515800	6297824.00
1997/09/19	3.76	3.79	3.72	3.74	379400	4658281.00
1997/09/22	3.74	3.76	3.51	3.52	781400	9175424.00
1997/09/23	3.48	3.48	3.21	3.26	1281500	14001927.00
1997/09/24	3.40	3.55	3.34	3.55	1567400	17573812.00
1997/09/25	3.66	3.84	3.63	3.70	2614400	31815484.00
1997/09/26	3.65	3.68	3.56	3.63	1206800	14256903.00
1997/09/29	3.51	3.59	3.49	3.49	893800	10256824.00
1997/09/30	3.48	3.57	3.40	3.56	590400	6801432.00
1997/10/06	3.59	3.60	3.51	3.55	284500	3286698.00
1997/10/07	3.48	3.56	3.48	3.55	252900	2884562.00
1997/10/08	3.63	3.75	3.59	3.67	806400	9663783.00
1997/10/09	3.69	3.69	3.59	3.60	378500	4478471.00
1997/10/10	3.59	3.65	3.56	3.63	307900	3633987.00
1997/10/13	3.63	3.66	3.54	3.57	343200	4010658.00
1997/10/14	3.56	3.58	3.51	3.56	326300	3750120.00
1997/10/15	3.56	3.67	3.53	3.61	238800	2793291.00
1997/10/16	3.65	3.80	3.62	3.74	1701500	20864668.00
1997/10/17	3.80	3.91	3.78	3.85	2255200	28541936.00
1997/10/20	3.87	3.93	3.79	3.84	1680200	21319228.00
1997/10/21	3.84	3.94	3.78	3.93	1462600	18503728.00
1997/10/22	3.93	3.95	3.78	3.81	1863900	23660138.00
1997/10/23	3.80	3.88	3.70	3.81	1233400	15347652.00
1997/10/24	3.81	3.92	3.79	3.90	1563800	19952650.00
1997/10/27	3.90	4.09	3.90	4.06	2812000	37278800.00
1997/10/28	4.06	4.09	3.76	3.83	1729800	22254046.00
1997/10/29	3.79	3.86	3.73	3.84	1287800	16020477.00
1997/10/30	3.86	4.07	3.86	3.88	2582000	33843212.00
1997/10/31	3.84	3.92	3.79	3.91	955000	12031446.00
1997/11/03	3.90	3.92	3.82	3.84	500200	6328261.00
1997/11/04	3.81	3.84	3.81	3.82	571500	7151333.00
1997/11/05	3.82	3.95	3.81	3.90	847100	10759963.00
1997/11/06	3.90	3.99	3.84	3.84	1111200	14346216.00
1997/11/07	3.87	3.98	3.83	3.95	1219400	15721333.00
1997/11/10	4.29	4.31	4.25	4.31	3828200	54618800.00
1997/11/11	4.65	4.67	4.40	4.42	18020700	271268000.00
1997/11/12	4.38	4.83	4.32	4.71	12567400	194957904.00
1997/11/13	4.68	4.76	4.51	4.70	6908100	106613584.00
1997/11/14	4.68	4.75	4.57	4.60	3978100	61739728.00
1997/11/17	4.65	4.65	4.46	4.48	2468100	37286536.00
1997/11/18	4.46	4.59	4.37	4.50	2267300	33725684.00
1997/11/19	4.50	4.56	4.41	4.46	1068200	15944276.00
1997/11/20	4.45	4.46	4.32	4.33	2130600	30904034.00
1997/11/21	4.28	4.34	4.24	4.28	1987000	28252546.00
1997/11/24	4.23	4.37	4.19	4.28	1471700	20930276.00
1997/11/25	4.26	4.43	4.23	4.42	1349600	19417692.00
1997/11/26	4.44	4.47	4.35	4.41	898500	13129899.00
1997/11/27	4.39	4.41	4.24	4.28	1104700	15818516.00
1997/11/28	4.25	4.40	4.22	4.39	971400	13852253.00
1997/12/01	4.39	4.48	4.33	4.45	900400	13160517.00
1997/12/02	4.45	4.64	4.41	4.51	2079300	31461184.00
1997/12/03	4.50	4.54	4.46	4.51	878400	13175104.00
1997/12/04	4.51	4.70	4.50	4.61	1909200	29362588.00
1997/12/05	4.65	4.69	4.49	4.49	1507200	23174936.00
1997/12/08	4.54	4.67	4.54	4.62	1230600	18962412.00
1997/12/09	4.62	4.70	4.62	4.67	1288100	20020178.00
1997/12/10	4.71	4.75	4.64	4.67	1303000	20417066.00
1997/12/11	4.65	4.69	4.55	4.62	1290300	19719114.00
1997/12/12	4.65	4.83	4.62	4.73	3103300	49288400.00
1997/12/15	4.83	5.17	4.80	5.10	4568500	77224832.00
1997/12/16	4.96	5.04	4.81	4.86	8114300	132740008.00
1997/12/17	4.79	4.98	4.65	4.80	5513600	87788912.00
1997/12/18	4.78	4.85	4.74	4.76	1852600	29716590.00
1997/12/19	4.76	4.85	4.65	4.79	2180500	34488136.00
1997/12/22	4.79	5.01	4.69	4.93	2982100	48762696.00
1997/12/23	4.96	5.01	4.85	4.87	1977500	32544380.00
1997/12/24	4.87	4.93	4.74	4.79	1509700	24465940.00
1997/12/25	4.74	4.82	4.74	4.79	1873900	29837908.00
