600097 开创国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/19	10.18	10.63	9.15	9.33	19750800	300818304.00
1997/06/20	9.13	10.40	9.08	10.40	8962300	136590976.00
1997/06/23	11.40	11.58	11.03	11.58	12516700	214781584.00
1997/06/24	12.00	12.04	11.04	11.51	7152400	123720344.00
1997/06/25	11.51	12.11	11.28	11.83	3554300	62081620.00
1997/06/26	11.66	11.89	11.38	11.55	2199100	38110884.00
1997/06/27	11.47	12.26	11.40	11.81	3799300	66763048.00
1997/07/02	11.98	12.66	11.25	12.26	4628400	83261960.00
1997/07/03	12.26	12.30	11.25	11.28	2689000	46592820.00
1997/07/04	11.04	11.38	10.53	10.61	2583300	42257412.00
1997/07/07	10.53	10.63	9.41	9.59	1753700	26566180.00
1997/07/08	9.59	10.49	9.52	10.46	1432600	21832044.00
1997/07/09	10.49	10.62	10.08	10.45	1042900	16383199.00
1997/07/10	10.46	10.89	10.34	10.45	1150000	18537896.00
1997/07/11	10.38	11.08	10.34	11.06	1297100	21041020.00
1997/07/14	11.25	11.31	10.80	11.13	2001900	33180244.00
1997/07/15	11.06	11.10	10.61	10.82	1250900	20309150.00
1997/07/16	10.72	12.04	10.65	11.65	2909400	50096504.00
1997/07/17	11.55	12.00	11.32	11.55	1658600	28661578.00
1997/07/18	11.63	11.77	11.32	11.77	1230700	21043980.00
1997/07/21	11.81	11.89	11.17	11.25	948100	16336769.00
1997/07/22	11.17	11.40	10.63	11.28	1152000	19000240.00
1997/07/23	11.51	11.51	10.83	10.94	862200	14318083.00
1997/07/24	10.80	11.01	10.63	10.71	991200	16013393.00
1997/07/25	10.57	10.87	10.31	10.74	1094000	17383632.00
1997/07/28	10.55	10.85	10.49	10.68	562800	9024262.00
1997/07/29	10.62	10.93	10.57	10.77	492000	7946010.00
1997/07/30	10.87	11.19	10.70	11.19	839700	13864668.00
1997/07/31	11.28	11.31	10.99	11.25	727200	12162771.00
1997/08/01	11.31	11.64	11.27	11.29	1385100	23643408.00
