600098 广州发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/18	1.99	2.23	1.99	2.11	59467900	961043200.00
1997/07/21	2.10	2.21	1.91	1.92	16142800	259761168.00
1997/07/22	1.92	2.00	1.78	1.93	9635100	147578432.00
1997/07/23	1.94	1.98	1.78	1.81	6122200	92998224.00
1997/07/24	1.81	1.93	1.79	1.82	3537100	53731832.00
1997/07/25	1.81	1.94	1.80	1.87	3459500	52708620.00
1997/07/28	1.88	1.89	1.61	1.63	4090900	60084964.00
1997/07/29	1.61	1.67	1.52	1.59	4367600	61098204.00
1997/07/30	1.63	1.71	1.59	1.66	2325400	33282048.00
1997/07/31	1.69	1.70	1.63	1.64	1829800	26094556.00
1997/08/01	1.65	1.65	1.59	1.63	1574800	22301806.00
1997/08/04	1.68	1.72	1.62	1.65	1784300	25581132.00
1997/08/05	1.66	1.68	1.62	1.63	1479300	21051556.00
1997/08/06	1.65	1.78	1.64	1.65	2891400	42244576.00
1997/08/07	1.65	1.70	1.61	1.69	1626200	23190524.00
1997/08/08	1.71	1.72	1.61	1.63	1698900	24189538.00
1997/08/11	1.62	1.62	1.49	1.49	2395100	32749812.00
1997/08/12	1.48	1.48	1.35	1.36	1917500	25274256.00
1997/08/13	1.34	1.37	1.18	1.18	1900700	23855328.00
1997/08/14	1.20	1.36	1.20	1.35	1455200	18268746.00
1997/08/15	1.25	1.41	1.20	1.27	924900	11806261.00
1997/08/18	1.25	1.31	1.20	1.30	928700	11563791.00
1997/08/19	1.32	1.34	1.27	1.28	540400	6857098.00
1997/08/20	1.28	1.32	1.28	1.32	561300	7141006.00
1997/08/21	1.33	1.41	1.31	1.40	1043400	13522528.00
1997/08/22	1.37	1.41	1.34	1.37	834800	10913498.00
1997/08/25	1.38	1.38	1.34	1.36	950400	12337796.00
1997/08/26	1.37	1.38	1.33	1.34	1379300	17816204.00
1997/08/27	1.34	1.44	1.34	1.38	1000800	13108324.00
1997/08/28	1.39	1.40	1.33	1.35	921600	11914204.00
1997/08/29	1.36	1.42	1.32	1.40	1121900	14501473.00
1997/09/01	1.41	1.48	1.40	1.43	1262400	16863148.00
1997/09/02	1.45	1.46	1.36	1.39	805500	10609096.00
1997/09/03	1.40	1.46	1.39	1.43	963100	12749022.00
1997/09/04	1.43	1.50	1.41	1.50	1725300	23137964.00
1997/09/05	1.50	1.50	1.46	1.47	839700	11346900.00
1997/09/08	1.46	1.50	1.41	1.44	702700	9405430.00
1997/09/09	1.44	1.45	1.36	1.37	802700	10562277.00
1997/09/10	1.38	1.39	1.34	1.36	722300	9385930.00
1997/09/11	1.36	1.41	1.34	1.36	855400	11130519.00
1997/09/12	1.32	1.36	1.29	1.29	660400	8461357.00
1997/09/15	1.29	1.30	1.22	1.22	803700	10026901.00
1997/09/16	1.23	1.26	1.20	1.24	574700	7122688.00
1997/09/17	1.24	1.25	1.20	1.21	489800	6032130.00
1997/09/18	1.23	1.24	1.20	1.22	418300	5160860.00
1997/09/19	1.22	1.29	1.22	1.26	412300	5160225.00
1997/09/22	1.26	1.29	1.02	1.03	668300	7992293.00
1997/09/23	1.03	1.05	0.81	0.83	1120100	12348622.00
1997/09/24	0.90	1.04	0.90	1.03	1673200	18767650.00
1997/09/25	1.05	1.08	0.99	1.01	997900	11493424.00
1997/09/26	1.01	1.01	0.92	0.97	490700	5484928.00
1997/09/29	0.97	0.97	0.92	0.92	467400	5169676.00
1997/09/30	0.92	1.08	0.90	1.08	477100	5335647.00
1997/10/06	0.99	1.07	0.99	1.06	576500	6627242.00
1997/10/07	1.03	1.05	1.00	1.05	200700	2301702.00
1997/10/08	1.08	1.15	1.07	1.12	1000200	11904289.00
1997/10/09	1.12	1.14	1.07	1.07	455700	5400290.00
1997/10/10	1.06	1.10	1.06	1.08	285100	3342006.00
1997/10/13	1.10	1.14	1.04	1.07	249100	2924310.00
1997/10/14	1.05	1.06	1.01	1.03	258800	2964966.00
1997/10/15	1.05	1.08	1.02	1.05	284400	3307511.00
1997/10/16	1.08	1.16	1.03	1.10	1384600	16520393.00
1997/10/17	1.16	1.23	1.14	1.21	1559400	19121152.00
1997/10/20	1.24	1.24	1.17	1.19	1054300	12953927.00
1997/10/21	1.19	1.21	1.15	1.19	718000	8734928.00
1997/10/22	1.21	1.34	1.19	1.23	2238300	27903684.00
1997/10/23	1.23	1.24	1.19	1.20	1090400	13445803.00
1997/10/24	1.20	1.21	1.15	1.20	1168500	14167615.00
1997/10/27	1.23	1.43	1.22	1.42	4326000	56425216.00
