600000 浦发银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/11/10	-0.11	-0.08	-0.41	-0.32	174085000	4859102208.00
1999/11/11	-0.34	-0.25	-0.34	-0.32	29403400	821582208.00
1999/11/12	-0.31	-0.25	-0.32	-0.28	15007900	421591616.00
1999/11/15	-0.27	-0.26	-0.32	-0.32	11921000	332952800.00
1999/11/16	-0.30	-0.29	-0.47	-0.46	23223100	628908288.00
1999/11/17	-0.46	-0.38	-0.48	-0.38	10052500	268995040.00
1999/11/18	-0.38	-0.34	-0.43	-0.40	8446500	229577872.00
1999/11/19	-0.35	-0.34	-0.43	-0.42	5374900	145887120.00
1999/11/22	-0.42	-0.41	-0.49	-0.47	5535400	147086160.00
1999/11/23	-0.47	-0.46	-0.51	-0.47	3843900	101224496.00
1999/11/24	-0.47	-0.46	-0.52	-0.47	4098000	107344464.00
1999/11/25	-0.49	-0.45	-0.52	-0.48	5725200	150528192.00
1999/11/26	-0.47	-0.45	-0.51	-0.47	2282600	60508936.00
1999/11/29	-0.47	-0.43	-0.50	-0.48	2681200	71099576.00
1999/11/30	-0.49	-0.46	-0.51	-0.48	2371300	62335744.00
1999/12/01	-0.49	-0.42	-0.50	-0.45	2865100	76287992.00
1999/12/02	-0.46	-0.44	-0.50	-0.49	1938400	51110240.00
1999/12/03	-0.49	-0.45	-0.50	-0.48	2552500	67291880.00
1999/12/06	-0.49	-0.48	-0.57	-0.56	6983900	180516080.00
1999/12/07	-0.57	-0.54	-0.58	-0.57	3955700	101467904.00
1999/12/08	-0.57	-0.55	-0.58	-0.58	2236500	57214360.00
1999/12/09	-0.58	-0.58	-0.60	-0.60	2564600	65136972.00
1999/12/10	-0.60	-0.51	-0.61	-0.53	3553900	91041272.00
1999/12/13	-0.52	-0.47	-0.57	-0.53	7058400	184655968.00
1999/12/14	-0.56	-0.52	-0.56	-0.52	1618400	41845144.00
1999/12/15	-0.52	-0.42	-0.53	-0.47	6797800	180407904.00
1999/12/16	-0.46	-0.46	-0.53	-0.52	3616200	94601472.00
1999/12/17	-0.52	-0.51	-0.58	-0.57	3565300	91807408.00
1999/12/21	-0.59	-0.58	-0.62	-0.61	4215300	106523992.00
1999/12/22	-0.61	-0.60	-0.63	-0.62	3083500	77614088.00
1999/12/23	-0.62	-0.60	-0.67	-0.66	4161500	103557904.00
1999/12/24	-0.69	-0.63	-0.69	-0.67	2832400	70142720.00
1999/12/27	-0.67	-0.64	-0.70	-0.69	2233700	55170692.00
1999/12/28	-0.69	-0.63	-0.70	-0.69	3176600	78430312.00
1999/12/29	-0.67	-0.64	-0.69	-0.68	2284200	56436028.00
1999/12/30	-0.65	-0.64	-0.68	-0.67	2333100	57888236.00
2000/01/04	-0.64	-0.55	-0.67	-0.57	4496000	113946784.00
2000/01/05	-0.57	-0.52	-0.62	-0.61	5252800	134465424.00
2000/01/06	-0.62	-0.49	-0.63	-0.52	6229600	160059792.00
2000/01/07	-0.49	-0.35	-0.51	-0.42	21355300	575751104.00
2000/01/10	-0.41	-0.31	-0.44	-0.38	16539700	450453504.00
2000/01/11	-0.38	-0.37	-0.51	-0.50	9390700	251055904.00
2000/01/12	-0.52	-0.52	-0.66	-0.63	35274900	889867328.00
2000/01/13	-0.64	-0.61	-0.66	-0.65	7975600	199244304.00
2000/01/14	-0.65	-0.64	-0.77	-0.73	17861800	434206080.00
2000/01/17	-0.75	-0.70	-0.78	-0.71	8101500	194776960.00
2000/01/18	-0.70	-0.69	-0.77	-0.74	7693300	185091680.00
