600004 白云机场 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/04/28	1.52	2.12	1.50	2.11	187469932	1512258176.00
2003/04/29	1.97	2.09	1.84	1.96	75212876	635863424.00
2003/04/30	2.00	2.32	2.00	2.18	80122500	710063488.00
2003/05/12	2.08	2.18	1.85	2.07	36122300	308806272.00
2003/05/13	2.05	2.06	1.68	1.73	39277696	325715936.00
2003/05/14	1.68	1.96	1.63	1.88	30387370	253425344.00
2003/05/15	1.87	2.02	1.77	2.00	28183918	236834464.00
2003/05/16	2.00	2.07	1.89	2.00	36065125	307204544.00
2003/05/19	2.03	2.25	2.03	2.11	46250444	407544256.00
2003/05/20	2.11	2.16	2.00	2.07	17067564	147727680.00
2003/05/21	2.07	2.12	1.98	2.03	12859547	110939928.00
2003/05/22	2.01	2.10	1.97	2.06	10301282	88781120.00
2003/05/23	2.08	2.56	1.97	2.33	72926760	670902016.00
2003/05/26	2.32	2.49	2.31	2.35	46718180	431132448.00
2003/05/27	2.37	2.43	2.29	2.35	20188005	184901456.00
2003/05/28	2.37	2.42	2.25	2.27	33183174	302104864.00
2003/05/29	2.27	2.47	2.23	2.46	23025540	210900160.00
2003/05/30	2.48	2.57	2.37	2.39	26011735	244128624.00
2003/06/02	2.40	2.53	2.37	2.42	21582098	201804928.00
2003/06/03	2.43	2.47	2.36	2.36	13226726	122447232.00
2003/06/04	2.35	2.43	2.30	2.41	12237084	112488208.00
2003/06/05	2.39	2.43	2.31	2.35	12108703	110737200.00
2003/06/06	2.32	2.42	2.30	2.35	9715878	88911856.00
2003/06/09	2.31	2.37	2.30	2.33	6946622	63322600.00
2003/06/10	2.33	2.48	2.32	2.43	16954572	157420720.00
2003/06/11	2.43	2.53	2.41	2.49	13992361	131429944.00
2003/06/12	2.51	2.52	2.42	2.44	8916546	83354480.00
2003/06/13	2.47	2.52	2.43	2.44	6677204	62495500.00
2003/06/16	2.44	2.48	2.36	2.41	6645891	61435524.00
2003/06/17	2.39	2.41	2.35	2.37	5069464	46610784.00
2003/06/18	2.37	2.44	2.33	2.34	6074105	55781136.00
2003/06/19	2.33	2.37	2.26	2.30	6532675	59409928.00
2003/06/20	2.43	2.43	2.28	2.30	5142300	46895164.00
2003/06/23	2.29	2.33	2.23	2.29	6939561	62547672.00
2003/06/24	2.28	2.32	2.24	2.29	3128626	28250536.00
2003/06/25	2.31	2.32	2.07	2.08	19463165	171431600.00
2003/06/27	2.14	2.21	2.04	2.09	11451907	100730064.00
2003/06/30	2.08	2.17	2.06	2.08	4754370	41484932.00
