600006 东风汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/07/27	1.37	1.39	1.13	1.16	107249700	734412608.00
1999/07/28	1.16	1.26	1.16	1.21	32242300	220726144.00
1999/07/29	1.29	1.29	1.17	1.20	13575900	92844624.00
1999/07/30	1.20	1.22	1.16	1.17	7753200	52278576.00
1999/08/02	1.17	1.22	1.17	1.18	6593000	44700788.00
1999/08/03	1.19	1.20	1.13	1.15	9514900	63470828.00
1999/08/04	1.16	1.20	1.14	1.18	8469400	56958080.00
1999/08/05	1.18	1.26	1.18	1.23	14603500	100529352.00
1999/08/06	1.23	1.30	1.15	1.26	14542600	99815040.00
1999/08/09	1.26	1.29	1.22	1.24	10283800	71431960.00
1999/08/10	1.23	1.29	1.20	1.20	6168800	42527164.00
1999/08/11	1.19	1.20	1.15	1.15	4005600	26993908.00
1999/08/12	1.15	1.20	1.15	1.16	2367300	15903073.00
1999/08/13	1.18	1.21	1.17	1.19	2820200	19155122.00
1999/08/16	1.20	1.20	1.16	1.18	1864500	12594117.00
1999/08/17	1.19	1.23	1.18	1.18	3666200	24966820.00
1999/08/18	1.19	1.20	1.13	1.18	2824700	18905448.00
1999/08/19	1.26	1.26	1.20	1.22	7660700	52617520.00
1999/08/20	1.24	1.24	1.18	1.18	5523700	37813960.00
1999/08/23	1.18	1.21	1.16	1.18	3280100	22227296.00
1999/08/24	1.19	1.23	1.19	1.20	4586300	31246366.00
1999/08/25	1.20	1.26	1.19	1.21	7471100	51272476.00
1999/08/26	1.21	1.33	1.21	1.29	17541100	123073840.00
1999/08/27	1.30	1.31	1.26	1.27	7491900	52548724.00
1999/08/30	1.27	1.29	1.25	1.25	4711800	32907250.00
1999/08/31	1.26	1.28	1.24	1.27	4594100	32023584.00
1999/09/01	1.27	1.27	1.20	1.20	2762300	19051146.00
1999/09/02	1.20	1.25	1.19	1.23	3167000	21736048.00
1999/09/03	1.23	1.24	1.16	1.17	2259700	15392321.00
1999/09/06	1.17	1.21	1.16	1.18	1581200	10716037.00
1999/09/07	1.18	1.22	1.16	1.18	1491400	10096081.00
1999/09/08	1.20	1.22	1.18	1.19	1402600	9565830.00
1999/09/09	1.23	1.32	1.23	1.31	15861100	111593920.00
1999/09/10	1.33	1.45	1.30	1.35	24409400	177534960.00
1999/09/13	1.37	1.44	1.36	1.38	7229500	52918788.00
1999/09/14	1.39	1.41	1.31	1.34	6215600	44874080.00
1999/09/15	1.35	1.38	1.33	1.35	4761600	34319440.00
1999/09/16	1.35	1.37	1.33	1.33	2832400	20362044.00
1999/09/17	1.33	1.38	1.31	1.34	4095700	29471284.00
1999/09/20	1.34	1.35	1.26	1.27	3510200	24833710.00
1999/09/21	1.27	1.29	1.23	1.25	2537000	17667208.00
1999/09/22	1.25	1.26	1.23	1.25	1542100	10705097.00
1999/09/23	1.25	1.26	1.21	1.22	2009800	13822679.00
1999/09/24	1.26	1.27	1.23	1.24	1247000	8658383.00
1999/09/27	1.26	1.27	1.21	1.22	1313900	9046026.00
1999/09/28	1.22	1.25	1.21	1.23	920000	6331670.00
1999/09/29	1.24	1.25	1.20	1.20	1399300	9596035.00
1999/09/30	1.21	1.23	1.20	1.20	1227700	8377952.00
1999/10/08	1.20	1.20	1.11	1.12	3457200	22972044.00
1999/10/11	1.11	1.11	1.06	1.06	3614600	23475380.00
1999/10/12	1.06	1.09	1.06	1.07	1648500	10670317.00
1999/10/13	1.05	1.06	1.00	1.00	1550800	9818027.00
1999/10/14	1.00	1.05	0.95	0.97	2742200	17103698.00
1999/10/15	0.99	1.04	0.99	1.02	2489200	15737439.00
1999/10/18	1.03	1.04	0.94	0.96	1853000	11510956.00
1999/10/19	0.94	0.96	0.89	0.91	2612400	15836628.00
1999/10/20	0.92	0.95	0.88	0.92	3324000	20048296.00
1999/10/21	0.91	0.94	0.89	0.90	2291100	13773323.00
1999/10/22	0.90	0.97	0.90	0.94	2945800	18102460.00
1999/10/25	0.95	0.96	0.91	0.93	944200	5766374.00
1999/10/26	0.94	0.99	0.93	0.96	1231100	7563686.00
1999/10/27	0.99	1.14	0.98	1.03	9024000	57776504.00
1999/10/28	1.03	1.05	0.93	0.97	3610900	22482576.00
1999/10/29	0.97	1.00	0.93	0.94	2077400	12742921.00
1999/11/01	0.95	0.97	0.93	0.94	851000	5213686.00
1999/11/02	0.94	0.97	0.93	0.94	716800	4381277.00
1999/11/03	0.93	0.94	0.91	0.92	1084800	6591936.00
1999/11/04	0.92	0.92	0.90	0.92	1034100	6248442.00
1999/11/05	0.92	0.95	0.91	0.91	977400	5933760.00
1999/11/08	0.92	0.95	0.91	0.92	835900	5086250.00
1999/11/09	0.92	0.95	0.91	0.91	971600	5912963.00
1999/11/10	0.91	0.91	0.86	0.89	2854200	17025578.00
1999/11/11	0.89	0.93	0.86	0.86	1249600	7456029.00
1999/11/12	0.89	0.89	0.86	0.87	959500	5685427.00
1999/11/15	0.89	0.91	0.85	0.85	1047500	6182997.00
1999/11/16	0.74	0.76	0.63	0.67	7003800	38080476.00
1999/11/17	0.68	0.72	0.67	0.72	3722900	20383832.00
1999/11/18	0.73	0.76	0.69	0.73	2802500	15545528.00
1999/11/19	0.74	0.74	0.69	0.70	2142700	11784814.00
1999/11/22	0.71	0.71	0.64	0.65	3298200	17655286.00
1999/11/23	0.66	0.67	0.63	0.67	2644200	14155895.00
1999/11/24	0.67	0.68	0.64	0.65	1471900	7883948.00
1999/11/25	0.65	0.65	0.59	0.62	3229300	16988096.00
1999/11/26	0.61	0.63	0.61	0.62	1299900	6852894.00
1999/11/29	0.63	0.64	0.62	0.62	1340900	7085271.00
1999/11/30	0.62	0.63	0.61	0.63	1003800	5295730.00
1999/12/01	0.65	0.65	0.62	0.64	1104900	5867742.00
1999/12/02	0.63	0.64	0.62	0.62	1105300	5833096.00
1999/12/03	0.62	0.63	0.61	0.61	1266100	6666392.00
1999/12/06	0.62	0.62	0.59	0.59	2181600	11360413.00
1999/12/07	0.59	0.62	0.59	0.60	1624100	8487510.00
1999/12/08	0.60	0.61	0.56	0.58	2301000	11875410.00
1999/12/09	0.58	0.59	0.56	0.56	2026600	10381925.00
1999/12/10	0.56	0.58	0.56	0.57	2041900	10461544.00
1999/12/13	0.58	0.62	0.58	0.59	2249400	11751329.00
1999/12/14	0.58	0.60	0.56	0.58	2110600	10896027.00
1999/12/15	0.58	0.64	0.58	0.63	4365600	22918416.00
1999/12/16	0.62	0.62	0.58	0.58	1269400	6587316.00
1999/12/17	0.59	0.59	0.56	0.56	1935200	9910252.00
1999/12/21	0.56	0.56	0.52	0.52	2305200	11573042.00
1999/12/22	0.52	0.54	0.50	0.51	1630400	8121602.00
1999/12/23	0.51	0.52	0.46	0.48	1911200	9355458.00
1999/12/24	0.48	0.51	0.47	0.49	807900	3967721.00
1999/12/27	0.50	0.50	0.44	0.44	1423000	6923198.00
1999/12/28	0.44	0.50	0.42	0.43	1724300	8289468.00
1999/12/29	0.44	0.51	0.43	0.48	2405500	11709091.00
1999/12/30	0.49	0.50	0.47	0.48	1009100	4950000.00
2000/01/04	0.50	0.54	0.47	0.52	1950400	9665307.00
2000/01/05	0.52	0.55	0.48	0.50	3999500	19987510.00
2000/01/06	0.50	0.57	0.49	0.56	4277900	21561478.00
2000/01/07	0.57	0.62	0.56	0.61	9596000	49895228.00
2000/01/10	0.63	0.65	0.60	0.61	6675200	35192360.00
2000/01/11	0.61	0.67	0.53	0.54	5878200	30837268.00
2000/01/12	0.53	0.56	0.48	0.48	4133200	20489824.00
2000/01/13	0.49	0.50	0.47	0.49	1632900	8034457.00
2000/01/14	0.49	0.50	0.46	0.47	1285400	6278948.00
2000/01/17	0.47	0.49	0.44	0.47	1194300	5784818.00
2000/01/18	0.47	0.49	0.45	0.48	1005500	4907388.00
2000/01/19	0.46	0.52	0.46	0.49	1432400	7053741.00
2000/01/20	0.49	0.50	0.46	0.47	3049900	14825291.00
2000/01/21	0.48	0.49	0.43	0.45	3476100	16737223.00
2000/01/24	0.44	0.48	0.33	0.43	3953300	18685736.00
2000/01/25	0.43	0.52	0.41	0.47	4598400	22256560.00
2000/01/26	0.47	0.51	0.46	0.47	3260000	16010024.00
2000/01/27	0.44	0.44	0.42	0.44	2227300	10635521.00
2000/01/28	0.44	0.45	0.40	0.42	7748600	36529968.00
2000/02/14	0.49	0.58	0.46	0.57	8062500	40382932.00
2000/02/15	0.58	0.59	0.48	0.48	10215900	51326560.00
2000/02/16	0.48	0.50	0.41	0.43	8730300	42025216.00
2000/02/17	0.44	0.61	0.44	0.59	22754900	115683280.00
2000/02/18	0.59	0.63	0.50	0.51	10865600	55080068.00
2000/02/21	0.52	0.70	0.52	0.70	20732600	108880336.00
2000/02/22	0.70	0.70	0.56	0.58	11277500	59662592.00
2000/02/23	0.57	0.62	0.54	0.55	4939300	25370756.00
2000/02/24	0.55	0.58	0.52	0.55	4407600	22185988.00
2000/02/25	0.56	0.57	0.52	0.53	3735600	18779118.00
2000/02/29	0.58	0.59	0.53	0.57	4700000	23901364.00
2000/03/01	0.59	0.60	0.55	0.56	5715300	29464126.00
2000/03/02	0.56	0.57	0.50	0.52	6910800	34718272.00
2000/03/03	0.53	0.55	0.53	0.55	5154300	26010272.00
2000/03/06	0.55	0.61	0.54	0.56	9108000	47047976.00
2000/03/07	0.56	0.73	0.56	0.67	18252200	97164568.00
2000/03/08	0.67	0.67	0.59	0.61	7490400	39373104.00
2000/03/09	0.61	0.63	0.58	0.59	4751600	24699164.00
2000/03/10	0.59	0.59	0.55	0.56	4460300	22855854.00
2000/03/13	0.59	0.61	0.57	0.59	2643600	13685561.00
2000/03/14	0.59	0.59	0.51	0.55	5308300	26853396.00
2000/03/15	0.55	0.59	0.54	0.56	4167000	21368538.00
2000/03/16	0.56	0.58	0.51	0.52	3293400	16600632.00
2000/03/17	0.52	0.56	0.52	0.55	2779500	14018842.00
2000/03/20	0.55	0.61	0.52	0.60	6111900	31591224.00
2000/03/21	0.60	0.67	0.60	0.61	8755200	46476976.00
2000/03/22	0.61	0.70	0.61	0.65	8860900	47345160.00
2000/03/23	0.65	0.76	0.65	0.72	23070100	127658480.00
2000/03/24	0.73	0.75	0.65	0.65	10740100	58572948.00
2000/03/27	0.65	0.73	0.65	0.71	7403800	40484720.00
2000/03/28	0.73	0.82	0.73	0.78	16243800	91948944.00
2000/03/29	0.80	0.80	0.71	0.74	8855400	49638148.00
2000/03/30	0.77	0.79	0.74	0.76	7971900	44852352.00
2000/03/31	0.75	0.76	0.71	0.71	6037900	33523884.00
2000/04/03	0.71	0.71	0.68	0.68	5178300	28401144.00
2000/04/04	0.67	0.67	0.64	0.64	4517500	24128748.00
2000/04/05	0.64	0.68	0.63	0.67	3135400	16812600.00
2000/04/06	0.67	0.71	0.65	0.70	3343200	18201712.00
2000/04/07	0.71	0.79	0.69	0.78	10912400	61003576.00
2000/04/10	0.80	0.93	0.80	0.89	38176900	226863168.00
2000/04/11	0.90	0.92	0.79	0.79	33455700	199706640.00
2000/04/12	0.80	0.92	0.80	0.89	25392000	150041360.00
2000/04/13	0.93	0.99	0.91	0.96	22941200	141312944.00
2000/04/14	0.97	0.98	0.88	0.91	14966000	90618184.00
2000/04/17	0.90	0.91	0.80	0.82	9016000	52743464.00
2000/04/18	0.81	0.89	0.78	0.86	7300600	42521664.00
2000/04/19	0.86	0.87	0.82	0.83	5731800	33605616.00
2000/04/20	0.84	0.86	0.82	0.84	6025400	35261312.00
2000/04/21	0.84	0.85	0.78	0.79	5207900	29973572.00
2000/04/24	0.79	0.81	0.76	0.81	4480700	25597032.00
2000/04/26	0.84	0.88	0.82	0.83	2849600	16741451.00
2000/04/27	0.84	0.86	0.73	0.77	4263400	24412834.00
2000/04/28	0.75	0.79	0.75	0.78	2970700	16788856.00
2000/05/08	0.78	0.80	0.74	0.77	2466700	13960052.00
2000/05/09	0.77	0.77	0.70	0.71	2883600	16044792.00
2000/05/10	0.71	0.71	0.62	0.62	3887600	20819712.00
2000/05/11	0.62	0.65	0.61	0.61	2233600	11795015.00
