600007 中国国贸 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/03/12	1.06	1.15	0.91	0.94	55675300	329260320.00
1999/03/15	0.92	1.02	0.82	0.97	14449600	84195928.00
1999/03/16	0.98	1.43	0.92	1.33	33196100	207144592.00
1999/03/17	1.34	1.45	1.30	1.33	23754800	151684672.00
1999/03/18	1.35	1.43	1.21	1.27	13184000	83092400.00
1999/03/19	1.26	1.61	1.17	1.56	20101300	129390344.00
1999/03/22	1.59	1.66	1.49	1.57	19180800	127824472.00
1999/03/23	1.57	1.58	1.44	1.55	7967900	52248480.00
1999/03/24	1.55	1.61	1.46	1.52	6567600	43071752.00
1999/03/25	1.46	1.50	1.31	1.33	7339700	46904448.00
1999/03/26	1.31	1.38	1.27	1.35	4724100	29869372.00
1999/03/29	1.32	1.42	1.28	1.37	3720900	23630896.00
1999/03/30	1.36	1.37	1.20	1.23	4073900	25552532.00
1999/03/31	1.23	1.34	1.20	1.30	3191000	19937842.00
1999/04/01	1.31	1.31	1.22	1.25	2951800	18389296.00
1999/04/02	1.25	1.39	1.19	1.32	4146200	26131786.00
1999/04/05	1.35	1.53	1.31	1.46	5893700	38085344.00
1999/04/06	1.47	1.51	1.38	1.42	3529900	22835236.00
1999/04/07	1.42	1.47	1.35	1.39	3295400	21190360.00
1999/04/08	1.39	1.52	1.35	1.39	4093400	26397416.00
1999/04/09	1.39	1.44	1.30	1.33	3771500	24075132.00
1999/04/12	1.36	1.50	1.27	1.40	6142300	39318360.00
1999/04/13	1.40	1.84	1.39	1.59	19159100	129670864.00
1999/04/14	1.59	1.65	1.51	1.55	4653400	30871196.00
1999/04/15	1.60	1.86	1.56	1.75	17080800	116776200.00
1999/04/16	1.78	1.90	1.70	1.81	14930200	103441128.00
1999/04/19	1.82	1.83	1.54	1.60	9103400	61615800.00
1999/04/20	1.59	1.68	1.52	1.67	5309800	35320288.00
1999/04/21	1.67	1.68	1.41	1.44	5455000	35887608.00
1999/04/22	1.38	1.47	1.29	1.36	5061100	32428122.00
1999/04/23	1.38	1.46	1.34	1.41	2727600	17518760.00
1999/04/26	1.41	1.41	1.22	1.23	3934600	24773504.00
1999/04/27	1.22	1.49	1.18	1.29	2820800	17760112.00
1999/04/28	1.29	1.43	1.23	1.28	1898300	12003128.00
1999/04/29	1.28	1.40	1.23	1.35	1595400	10122223.00
1999/04/30	1.36	1.39	1.27	1.34	1651600	10467811.00
1999/05/04	1.30	1.36	1.26	1.27	1124100	7086643.00
1999/05/05	1.27	1.36	1.27	1.33	1098600	6937606.00
1999/05/06	1.34	1.46	1.32	1.37	1443700	9255699.00
1999/05/07	1.37	1.39	1.20	1.24	3388000	21207354.00
1999/05/10	1.18	1.19	0.98	1.01	4695800	28259332.00
1999/05/11	1.01	1.18	1.01	1.10	1729100	10407402.00
1999/05/13	1.10	1.11	0.93	0.96	2169600	12781107.00
1999/05/14	0.96	0.97	0.74	0.78	3870500	22037068.00
1999/05/17	0.75	0.86	0.64	0.75	1649700	9216377.00
1999/05/18	0.74	0.99	0.74	0.83	3212200	18709316.00
1999/05/19	0.84	1.03	0.79	1.02	2774300	16275083.00
1999/05/20	1.06	1.13	0.95	1.12	4192800	25133002.00
1999/05/21	1.14	1.18	1.00	1.08	4859900	29256212.00
1999/05/24	1.08	1.36	0.95	1.29	7178000	44261400.00
1999/05/25	1.35	1.45	1.07	1.11	6636800	41735208.00
1999/05/26	1.11	1.22	1.07	1.18	4244100	25863864.00
1999/05/27	1.23	1.66	1.23	1.52	13152300	85915432.00
1999/05/28	1.56	1.82	1.43	1.49	13123000	88048584.00
1999/05/31	1.54	1.75	1.46	1.55	12085800	80843800.00
1999/06/01	1.63	1.67	1.45	1.60	6205200	40976040.00
1999/06/02	1.67	2.02	1.66	1.74	19353800	134958448.00
1999/06/03	1.70	1.77	1.46	1.48	6422000	42885096.00
1999/06/04	1.46	1.57	1.42	1.48	4649900	30261088.00
1999/06/07	1.48	1.62	1.36	1.59	6321500	41180560.00
1999/06/08	1.63	1.82	1.47	1.52	7383800	49732904.00
1999/06/09	1.52	1.74	1.52	1.67	5796700	38895944.00
1999/06/10	1.79	2.22	1.69	2.18	37466000	269140928.00
1999/06/11	2.14	2.20	1.95	2.03	14877500	107672480.00
1999/06/14	2.14	2.38	2.04	2.32	14475000	108512272.00
1999/06/15	2.54	2.85	2.14	2.32	30650600	245269680.00
1999/06/16	2.51	2.93	2.51	2.93	22050900	177889136.00
1999/06/17	3.22	3.59	3.10	3.59	28281700	253514432.00
1999/06/18	3.66	3.70	3.36	3.47	16407100	148099808.00
1999/06/21	3.47	3.70	3.22	3.46	14470000	129563840.00
1999/06/22	3.46	3.58	3.30	3.57	8607200	77559712.00
1999/06/23	3.57	4.02	3.44	3.75	10572300	98556816.00
1999/06/24	3.62	3.86	3.46	3.60	9448400	86484376.00
1999/06/25	3.60	3.84	3.38	3.38	19712500	179051792.00
1999/06/28	3.39	4.09	3.38	4.09	15875400	147638928.00
1999/06/29	4.26	4.34	3.82	3.94	14019300	135823728.00
1999/06/30	3.94	3.95	3.46	3.55	10568400	95949888.00
1999/07/01	3.54	3.54	2.83	2.83	7026200	58745352.00
1999/07/02	2.87	3.15	2.58	3.10	6913800	57017480.00
1999/07/05	3.14	3.14	2.75	2.86	4403000	36150932.00
1999/07/06	2.82	2.85	2.40	2.48	4254400	33416632.00
1999/07/07	2.50	2.73	2.34	2.73	3790500	29512160.00
1999/07/08	2.74	3.03	2.64	2.84	5016700	41237424.00
1999/07/09	2.86	3.10	2.82	2.98	3828300	31757904.00
1999/07/12	2.98	3.12	2.82	2.96	3326900	27611868.00
1999/07/13	2.89	2.94	2.70	2.73	2463500	19839780.00
1999/07/14	2.74	2.90	2.71	2.90	2024100	16335807.00
1999/07/15	2.90	2.92	2.74	2.76	1464700	11833309.00
1999/07/16	2.74	2.80	2.59	2.64	2072900	16412434.00
1999/07/19	2.58	2.58	2.24	2.27	2899700	21941558.00
1999/07/20	2.27	2.82	2.27	2.80	3239200	25083648.00
1999/07/21	2.90	3.14	2.90	3.04	8142800	68270792.00
1999/07/22	3.06	3.36	2.96	2.97	7110500	60440976.00
1999/07/23	2.91	3.14	2.91	3.00	2642000	22125784.00
1999/07/26	3.02	3.26	3.02	3.16	3620000	30979378.00
1999/07/27	3.17	3.22	3.02	3.05	1697300	14287291.00
1999/07/28	3.06	3.20	2.90	2.98	2433500	20249668.00
1999/07/29	2.98	3.06	2.87	2.95	1609400	13263850.00
1999/07/30	2.93	2.96	2.76	2.88	1868400	15215137.00
1999/08/02	2.88	3.05	2.83	3.00	1623800	13449707.00
1999/08/03	3.02	3.05	2.82	2.92	1770200	14502655.00
1999/08/04	2.93	3.18	2.92	3.11	2788500	23443968.00
1999/08/05	3.12	3.36	3.04	3.30	6063100	52453928.00
1999/08/06	3.35	3.54	3.12	3.50	9856100	86915864.00
1999/08/09	3.62	3.90	3.58	3.68	12310900	114147104.00
1999/08/10	3.64	3.64	3.32	3.35	5896300	52322768.00
1999/08/11	3.22	3.36	3.18	3.21	2828800	24433904.00
1999/08/12	3.22	3.30	3.04	3.09	2096800	17959186.00
1999/08/13	3.11	3.22	3.08	3.13	1192300	10123580.00
1999/08/16	3.30	3.40	3.19	3.33	2557800	22371128.00
1999/08/17	3.46	3.69	3.42	3.45	5449300	49120456.00
1999/08/18	3.49	3.52	3.30	3.46	1709200	14994558.00
1999/08/19	3.54	3.82	3.46	3.68	6277200	57385612.00
1999/08/20	3.77	3.77	3.54	3.55	3382300	30857250.00
1999/08/23	3.60	3.90	3.59	3.75	6881100	64127560.00
1999/08/24	3.78	3.86	3.64	3.69	3946100	36491564.00
1999/08/25	3.74	3.74	3.44	3.49	2809400	25303344.00
1999/08/26	3.46	3.60	3.34	3.58	2639000	23563030.00
1999/08/27	3.59	3.68	3.47	3.62	2358100	21373892.00
1999/08/30	3.66	3.82	3.56	3.70	4137500	38042360.00
1999/08/31	3.74	3.78	3.60	3.70	1714700	15725488.00
1999/09/01	3.68	3.98	3.66	3.75	7837700	73585080.00
1999/09/02	3.72	3.83	3.55	3.78	3592200	32990756.00
1999/09/03	3.82	3.84	3.59	3.59	2761700	25518178.00
1999/09/06	3.54	3.62	3.44	3.46	1800900	16147809.00
1999/09/07	3.46	3.58	3.41	3.44	1478200	13195324.00
1999/09/08	3.44	3.59	3.42	3.48	1108000	9917739.00
1999/09/09	3.59	3.94	3.58	3.89	4256600	39801884.00
1999/09/10	3.89	4.24	3.76	4.13	12706600	122453104.00
1999/09/13	4.30	4.72	4.26	4.51	13012400	133204032.00
1999/09/14	4.58	4.66	4.38	4.48	5674700	57898456.00
1999/09/15	4.48	4.54	4.32	4.39	4492900	45344660.00
1999/09/16	4.36	4.40	4.18	4.21	4709800	46781836.00
1999/09/17	4.20	4.33	4.07	4.20	3279400	32192436.00
1999/09/20	4.20	4.30	4.10	4.15	1705000	16729845.00
1999/09/21	4.10	4.13	3.92	3.97	1977700	18957952.00
1999/09/22	3.96	4.04	3.84	3.86	1986000	18770312.00
1999/09/23	3.87	3.96	3.78	3.88	1855800	17469796.00
1999/09/24	3.92	4.06	3.88	3.98	1349400	12876941.00
