600009 上海机场 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1998/02/18	-1.49	-1.36	-1.96	-1.89	133356100	1267012864.00
1998/02/19	-1.92	-1.92	-2.11	-2.00	31182200	272106976.00
1998/02/20	-2.00	-1.88	-2.06	-1.97	15578600	138011056.00
1998/02/23	-1.99	-1.81	-2.00	-1.86	17831000	161653360.00
1998/02/24	-1.84	-1.84	-1.99	-1.96	11437700	102987720.00
1998/02/25	-1.97	-1.92	-2.02	-1.94	7138000	63259020.00
1998/02/26	-1.92	-1.85	-1.96	-1.91	6787500	61395172.00
1998/02/27	-1.89	-1.86	-1.96	-1.93	5430200	48942852.00
1998/03/02	-1.97	-1.90	-2.04	-2.01	6495200	57346240.00
1998/03/03	-2.00	-1.92	-2.01	-1.96	4353100	38641016.00
1998/03/04	-1.92	-1.71	-1.96	-1.78	21731600	201578752.00
1998/03/05	-1.78	-1.72	-1.81	-1.76	10391600	97034504.00
1998/03/06	-1.75	-1.59	-1.76	-1.64	21915900	210571136.00
1998/03/09	-1.59	-1.57	-1.69	-1.66	12887800	124292320.00
1998/03/10	-1.68	-1.67	-1.79	-1.73	10041500	94512632.00
1998/03/11	-1.73	-1.72	-1.82	-1.80	7815600	73014936.00
1998/03/12	-1.80	-1.68	-1.81	-1.74	5831800	54575684.00
1998/03/13	-1.75	-1.71	-1.78	-1.76	3339800	31407188.00
1998/03/16	-1.74	-1.67	-1.80	-1.71	5612000	52740284.00
1998/03/17	-1.67	-1.49	-1.71	-1.54	25701500	252888032.00
1998/03/18	-1.53	-1.51	-1.66	-1.63	9174200	89849472.00
1998/03/19	-1.64	-1.43	-1.65	-1.53	15926100	158721760.00
1998/03/20	-1.53	-1.40	-1.55	-1.42	12313600	123735880.00
1998/03/23	-1.42	-1.30	-1.44	-1.36	15080300	155218960.00
1998/03/24	-1.36	-1.34	-1.45	-1.39	9492300	96868456.00
1998/03/25	-1.34	-1.32	-1.50	-1.49	11845100	119604232.00
1998/03/26	-1.49	-1.42	-1.53	-1.52	7587100	75793248.00
1998/03/27	-1.52	-1.31	-1.55	-1.32	15572900	158096608.00
1998/03/30	-1.32	-1.32	-1.46	-1.42	9341200	95195776.00
1998/03/31	-1.42	-1.41	-1.49	-1.49	8888200	89316264.00
1998/04/01	-1.46	-1.27	-1.49	-1.39	8716000	88853536.00
1998/04/02	-1.39	-1.35	-1.45	-1.44	9874200	100235768.00
