600011 华能国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/12/06	1.03	1.33	1.03	1.16	123438100	1684639232.00
2001/12/07	1.15	1.18	0.93	0.96	21226600	284941984.00
2001/12/10	0.92	1.02	0.82	0.98	11154100	145102144.00
2001/12/11	0.95	1.03	0.90	0.90	5654100	74127608.00
2001/12/12	0.88	1.20	0.86	1.09	18886100	254419520.00
2001/12/13	1.08	1.14	1.02	1.06	5719600	76988192.00
2001/12/14	1.04	1.14	1.02	1.03	3588100	48141408.00
2001/12/17	1.07	1.13	1.03	1.03	2935500	39365224.00
2001/12/18	1.03	1.06	0.88	0.98	7393500	96591648.00
2001/12/19	0.98	1.01	0.89	0.91	3267700	42651832.00
2001/12/20	0.88	0.88	0.70	0.72	7445700	93776200.00
2001/12/21	0.68	0.75	0.64	0.73	3083400	38183000.00
2001/12/24	0.68	0.72	0.57	0.63	4534200	55657808.00
2001/12/25	0.64	0.75	0.60	0.69	3351600	41584044.00
2001/12/26	0.65	0.82	0.65	0.72	3566700	44719248.00
2001/12/27	0.75	0.81	0.71	0.72	3720900	46725484.00
2001/12/28	0.72	0.75	0.66	0.73	2142800	26678028.00
2001/12/31	0.75	0.81	0.73	0.75	2109900	26631836.00
2002/01/04	0.75	0.75	0.59	0.61	1922100	23600214.00
2002/01/07	0.61	0.65	0.56	0.63	1328200	16136023.00
2002/01/08	0.63	0.67	0.58	0.59	1042400	12783145.00
2002/01/09	0.57	0.60	0.45	0.49	2066700	24735268.00
2002/01/10	0.45	0.60	0.34	0.57	3313700	38863524.00
2002/01/11	0.55	0.55	0.34	0.35	2739000	32258152.00
2002/01/14	0.30	0.34	0.22	0.25	2764000	31313460.00
2002/01/15	0.21	0.45	0.21	0.28	3424400	39158236.00
2002/01/16	0.28	0.42	0.21	0.37	2830200	32501508.00
2002/01/17	0.35	0.38	0.25	0.28	2558600	29213158.00
2002/01/18	0.24	0.53	0.21	0.38	5675100	66055248.00
2002/01/21	0.41	0.47	0.33	0.40	3142800	36496712.00
2002/01/22	0.38	0.53	0.36	0.44	3163300	37246384.00
2002/01/23	0.48	0.76	0.41	0.72	6359300	77314680.00
2002/01/24	0.72	0.86	0.54	0.73	9668600	121114944.00
2002/01/25	0.73	0.75	0.67	0.68	3145000	39162760.00
2002/01/28	0.65	0.68	0.33	0.34	5566400	66214120.00
2002/01/29	0.22	0.49	0.22	0.47	2695600	31564416.00
2002/01/30	0.45	0.51	0.41	0.43	1632500	19295664.00
2002/01/31	0.49	0.84	0.49	0.69	7924500	98754192.00
2002/02/01	0.71	0.76	0.65	0.66	3339900	41444440.00
2002/02/04	0.71	0.87	0.68	0.81	4772600	60707568.00
2002/02/05	0.80	0.83	0.76	0.80	2621800	33342224.00
2002/02/06	0.81	0.82	0.68	0.70	2379400	29855784.00
2002/02/07	0.70	0.88	0.70	0.80	4285800	54791936.00
2002/02/08	0.84	0.91	0.82	0.82	3239500	41747368.00
2002/02/25	0.95	0.99	0.84	0.89	4979700	64638180.00
2002/02/26	0.88	0.91	0.82	0.88	2200200	28300932.00
2002/02/27	0.88	0.97	0.87	0.90	1765400	23007024.00
2002/02/28	0.91	0.97	0.88	0.93	2557900	33314484.00
2002/03/01	0.88	0.89	0.76	0.76	2798000	35841016.00
2002/03/04	0.72	0.90	0.71	0.89	2101500	26957620.00
2002/03/05	0.88	1.01	0.88	0.95	5396000	70806880.00
2002/03/06	0.96	1.05	0.92	0.94	4783300	63163596.00
2002/03/07	0.95	1.06	0.95	1.05	4648900	61746656.00
2002/03/08	1.07	1.13	0.99	1.06	5766200	77202600.00
2002/03/11	1.09	1.28	1.06	1.24	11772900	161676032.00
2002/03/12	1.25	1.27	1.11	1.15	5197300	71312224.00
2002/03/13	1.15	1.24	1.04	1.11	5859200	79720544.00
2002/03/14	1.11	1.24	1.11	1.22	2994000	41083932.00
2002/03/15	1.22	1.34	1.15	1.17	8601100	119667952.00
2002/03/18	1.30	1.33	1.11	1.18	3204500	44149820.00
2002/03/19	1.18	1.33	1.18	1.31	4311700	60102336.00
2002/03/20	1.34	1.38	1.24	1.30	6140800	86176192.00
2002/03/21	1.30	1.33	1.22	1.26	2770400	38509072.00
2002/03/22	1.26	1.30	1.21	1.26	2005200	27802110.00
2002/03/25	1.27	1.33	1.23	1.31	2316500	32315740.00
2002/03/26	1.32	1.33	1.11	1.20	2644800	36469100.00
2002/03/27	1.14	1.23	1.12	1.17	1780000	24307584.00
2002/03/28	1.17	1.21	1.13	1.15	1689100	23061904.00
2002/03/29	1.14	1.15	1.05	1.13	3010800	40554864.00
2002/04/01	1.11	1.15	1.05	1.11	1174600	15833481.00
2002/04/02	1.11	1.13	0.99	1.01	1440200	19177280.00
2002/04/03	0.98	1.08	0.96	1.00	2722100	36000996.00
2002/04/04	1.03	1.13	0.96	1.12	1252400	16747941.00
2002/04/05	1.14	1.18	1.08	1.09	1005200	13657448.00
