600012 皖通高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/01/07	-0.41	-0.08	-0.49	-0.30	148778282	649435008.00
2003/01/08	-0.35	0.05	-0.39	0.05	69001550	306829504.00
2003/01/09	0.19	0.45	0.09	0.45	128392519	661450112.00
2003/01/10	0.45	0.87	0.38	0.48	110100169	598121472.00
2003/01/13	0.41	0.55	0.25	0.36	52827777	273708064.00
2003/01/14	0.36	0.70	0.29	0.50	80150160	425395584.00
2003/01/15	0.48	0.65	0.40	0.56	56097108	300671648.00
2003/01/16	0.62	0.78	0.55	0.62	42443065	231578096.00
2003/01/17	0.64	0.65	0.45	0.46	26191152	139620880.00
2003/01/20	0.41	0.58	0.39	0.50	20419468	107891000.00
2003/01/21	0.50	0.51	0.33	0.33	18944697	98065896.00
2003/01/22	0.29	0.37	0.28	0.31	12304737	62722896.00
2003/01/23	0.34	0.43	0.31	0.35	11612541	59745620.00
2003/01/24	0.35	0.60	0.35	0.51	28350937	150181696.00
2003/01/27	0.50	0.53	0.45	0.50	12178382	64457248.00
2003/01/28	0.50	0.54	0.41	0.50	10422162	54981472.00
2003/01/29	0.49	0.62	0.48	0.53	23489439	126773168.00
2003/02/10	0.52	0.53	0.45	0.45	6499302	34267968.00
2003/02/11	0.42	0.53	0.42	0.52	5783141	30576328.00
2003/02/12	0.50	0.86	0.47	0.66	30148437	167006576.00
2003/02/13	0.65	0.73	0.60	0.60	15849933	86958904.00
2003/02/14	0.59	0.73	0.58	0.65	11418300	62700560.00
2003/02/17	0.65	0.69	0.54	0.56	10469614	56642172.00
2003/02/18	0.55	0.63	0.52	0.57	6628586	35700276.00
2003/02/19	0.58	0.65	0.55	0.63	9984274	54360280.00
2003/02/20	0.64	0.68	0.59	0.60	6158662	33557404.00
2003/02/21	0.59	0.60	0.46	0.47	14023613	74537176.00
2003/02/24	0.46	0.51	0.45	0.48	5196442	27464992.00
2003/02/25	0.48	0.60	0.47	0.55	7290800	39122320.00
2003/02/26	0.55	0.60	0.52	0.53	4707379	25263140.00
2003/02/27	0.53	0.59	0.51	0.53	5433336	29126256.00
2003/02/28	0.53	0.56	0.47	0.50	4170738	22154508.00
2003/03/03	0.50	0.56	0.50	0.56	4444317	23738860.00
2003/03/04	0.56	0.63	0.53	0.56	7875323	42581644.00
2003/03/05	0.56	0.58	0.49	0.50	5455098	29057544.00
2003/03/06	0.50	0.52	0.40	0.41	7666327	40111760.00
2003/03/07	0.41	0.45	0.37	0.38	6222277	32298036.00
2003/03/10	0.38	0.41	0.29	0.29	6262881	31940436.00
2003/03/11	0.28	0.32	0.26	0.29	5027643	25410542.00
2003/03/12	0.27	0.31	0.16	0.25	7746286	38432500.00
2003/03/13	0.24	0.27	0.14	0.15	5243700	25991402.00
2003/03/14	0.15	0.20	0.14	0.15	4641032	22772924.00
2003/03/17	0.15	0.24	0.13	0.22	4625892	22782836.00
2003/03/18	0.22	0.27	0.16	0.16	4760823	23668850.00
2003/03/19	0.15	0.25	0.11	0.21	6407496	31522352.00
2003/03/20	0.19	0.25	0.19	0.20	3411786	16948412.00
2003/03/21	0.23	0.26	0.20	0.24	3116164	15553524.00
2003/03/24	0.26	0.27	0.21	0.27	2477441	12386173.00
2003/03/25	0.25	0.25	0.16	0.16	3391026	16795420.00
2003/03/26	0.15	0.20	0.12	0.15	2062109	10074008.00
2003/03/27	0.15	0.41	0.12	0.32	12272994	62207408.00
2003/03/28	0.33	0.45	0.30	0.35	14161112	73212712.00
2003/03/31	0.32	0.50	0.32	0.46	14102340	74080016.00
2003/04/01	0.46	0.58	0.43	0.52	13723032	72815104.00
2003/04/02	0.53	0.57	0.48	0.51	6961452	37041236.00
2003/04/03	0.51	0.58	0.45	0.46	8180124	43400144.00
2003/04/04	0.42	0.51	0.42	0.50	4361659	23020248.00
2003/04/07	0.50	0.60	0.50	0.55	16852320	90782792.00
2003/04/08	0.54	0.70	0.52	0.66	22960417	125430752.00
2003/04/09	0.66	1.06	0.65	0.95	35149100	200080912.00
2003/04/10	0.94	1.04	0.79	0.85	27608368	160092256.00
2003/04/11	0.85	1.02	0.80	1.00	26327310	153441168.00
2003/04/14	1.04	1.27	1.00	1.10	27807208	168025088.00
2003/04/15	1.08	1.15	0.98	1.05	15747674	93900392.00
2003/04/16	1.05	1.11	0.83	0.88	22188264	129502464.00
2003/04/17	0.88	1.05	0.87	0.93	12253402	71636312.00
2003/04/18	0.92	0.98	0.74	0.76	9597034	54472512.00
2003/04/21	0.75	0.75	0.65	0.70	10258773	56556848.00
2003/04/22	0.70	0.75	0.67	0.70	3316995	18388604.00
2003/04/23	0.66	0.73	0.55	0.59	6621376	35939520.00
2003/04/24	0.65	0.65	0.33	0.40	9158166	47774356.00
2003/04/25	0.40	0.45	0.35	0.39	5235675	27168546.00
2003/04/28	0.35	0.74	0.30	0.65	9470896	50441732.00
2003/04/29	0.60	0.61	0.48	0.48	7541600	40359328.00
2003/04/30	0.48	0.62	0.45	0.54	5077100	27187560.00
2003/05/12	0.50	0.56	0.41	0.50	5344100	28248288.00
2003/05/13	0.50	0.54	0.23	0.30	13671033	69535728.00
2003/05/14	0.30	0.41	0.25	0.38	4575052	23439736.00
2003/05/15	0.40	0.54	0.31	0.52	8538454	44890840.00
2003/05/16	0.52	0.64	0.48	0.60	11645115	62601856.00
2003/05/19	0.62	0.63	0.51	0.56	5404303	29062232.00
2003/05/20	0.54	0.56	0.50	0.54	4196219	22419488.00
2003/05/21	0.55	0.60	0.45	0.47	3407568	18154324.00
2003/05/22	0.47	0.49	0.38	0.48	2748946	14383815.00
2003/05/23	0.48	0.65	0.45	0.56	9186728	49543836.00
2003/05/26	0.60	1.01	0.59	1.01	60719512	352850112.00
2003/05/27	1.06	1.10	0.96	1.01	38293503	227494784.00
2003/05/28	1.01	1.01	0.80	0.81	20299058	116864176.00
2003/05/29	0.80	0.93	0.73	0.92	14454960	82221200.00
2003/05/30	0.91	1.00	0.85	0.86	13806949	80223088.00
2003/06/02	0.88	0.98	0.77	0.94	9216824	52989976.00
2003/06/03	0.94	0.96	0.82	0.85	5764918	33216876.00
2003/06/04	0.82	0.95	0.76	0.94	6576170	37627352.00
2003/06/05	0.95	0.99	0.81	0.83	8320051	48256916.00
2003/06/06	0.80	0.85	0.73	0.74	5776829	32633960.00
2003/06/09	0.71	0.80	0.66	0.67	5091879	28348080.00
2003/06/11	0.73	0.90	0.70	0.86	7691547	43877464.00
2003/06/12	0.87	1.00	0.83	0.93	10581725	61759712.00
2003/06/13	0.96	1.00	0.88	0.92	4644503	27042528.00
2003/06/16	0.93	0.95	0.85	0.95	2646673	15299241.00
2003/06/17	0.95	0.99	0.89	0.90	3588690	20952618.00
2003/06/18	0.91	1.14	0.91	1.03	17432654	104077488.00
2003/06/19	1.03	1.07	0.88	0.95	9676573	56618716.00
2003/06/20	0.92	0.95	0.85	0.85	5088200	29471768.00
2003/06/23	0.83	0.90	0.81	0.84	3375114	19324468.00
2003/06/24	0.85	1.07	0.83	1.02	10206236	59906072.00
2003/06/25	1.04	1.04	0.87	0.92	6190972	36101916.00
2003/06/26	0.90	1.01	0.81	1.00	7959014	46329144.00
2003/06/27	0.98	0.99	0.85	0.86	5905401	34205496.00
2003/06/30	0.85	0.91	0.80	0.82	4465155	25497292.00
2003/07/01	0.81	0.92	0.75	0.79	5384717	30749504.00
2003/07/02	0.79	0.87	0.73	0.86	4448453	25220872.00
2003/07/03	0.85	0.87	0.79	0.85	2376718	13562356.00
2003/07/04	0.85	0.91	0.80	0.91	3968107	22834754.00
2003/07/07	0.93	0.96	0.85	0.93	3478951	20215140.00
2003/07/08	0.95	1.02	0.94	0.95	5883315	34572168.00
2003/07/09	0.95	0.97	0.84	0.86	3850537	22174640.00
2003/07/10	0.85	1.07	0.84	1.01	13729900	80993976.00
2003/07/11	1.04	1.24	1.00	1.12	19967107	120574400.00
2003/07/14	1.11	1.20	1.10	1.13	7919775	47974192.00
2003/07/15	1.14	1.19	1.05	1.17	6901689	41620180.00
2003/07/16	1.17	1.28	1.15	1.25	13065441	80249120.00
2003/07/17	1.27	1.37	1.20	1.22	14597100	90915864.00
2003/07/18	1.22	1.26	1.05	1.06	13318200	80773424.00
