600015 华夏银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/09/12	-0.02	0.01	-0.15	-0.13	480212288	3516635904.00
2003/09/15	-0.16	-0.09	-0.16	-0.10	95884884	687931072.00
2003/09/16	-0.06	-0.06	-0.12	-0.09	61922464	449853056.00
2003/09/17	-0.09	-0.08	-0.13	-0.12	36528096	263549904.00
2003/09/18	-0.13	-0.06	-0.13	-0.09	49335879	359097536.00
2003/09/19	-0.08	-0.07	-0.12	-0.09	32036592	232242240.00
2003/09/22	-0.09	-0.08	-0.12	-0.11	22624394	163131600.00
2003/09/23	-0.11	-0.05	-0.12	-0.06	72024640	527648384.00
2003/09/24	-0.06	-0.05	-0.08	-0.08	35390666	260142768.00
2003/09/25	-0.08	-0.07	-0.10	-0.10	24220907	176065728.00
2003/09/26	-0.10	-0.09	-0.12	-0.11	24739382	178919264.00
2003/09/29	-0.12	-0.11	-0.13	-0.12	24157056	173476080.00
2003/09/30	-0.12	-0.08	-0.16	-0.10	37613691	269491616.00
2003/10/08	-0.12	-0.09	-0.12	-0.11	10159077	73162248.00
2003/10/09	-0.11	-0.09	-0.13	-0.13	11537607	82936856.00
2003/10/10	-0.13	-0.06	-0.15	-0.08	49406364	358425248.00
2003/10/13	-0.08	-0.07	-0.10	-0.10	19934912	144968160.00
2003/10/14	-0.10	-0.09	-0.13	-0.12	15708662	113129896.00
2003/10/15	-0.12	-0.08	-0.13	-0.12	17325388	124757008.00
2003/10/17	-0.13	-0.10	-0.15	-0.13	15064521	107699848.00
2003/10/20	-0.13	-0.11	-0.16	-0.15	19442100	138249312.00
2003/10/21	-0.16	-0.14	-0.21	-0.19	38220838	267196000.00
2003/10/22	-0.20	-0.12	-0.21	-0.14	42126812	299329408.00
2003/10/23	-0.14	-0.11	-0.17	-0.16	27250361	194221408.00
2003/10/24	-0.16	-0.15	-0.19	-0.18	18730644	131496944.00
2003/10/27	-0.18	-0.17	-0.21	-0.20	11883767	82800736.00
2003/10/28	-0.20	-0.15	-0.21	-0.15	19707096	138458704.00
2003/10/29	-0.14	-0.11	-0.18	-0.12	44138957	314660416.00
2003/10/30	-0.12	-0.12	-0.16	-0.15	17258160	122804096.00
2003/10/31	-0.15	-0.11	-0.16	-0.12	26315223	188600064.00
2003/11/03	-0.12	-0.10	-0.13	-0.11	31486683	226870000.00
2003/11/04	-0.07	0.00	-0.09	-0.05	66411705	468550144.00
2003/11/05	-0.05	-0.02	-0.06	-0.04	31386210	221772400.00
2003/11/06	-0.04	-0.03	-0.09	-0.08	30651432	214055936.00
2003/11/07	-0.08	-0.07	-0.14	-0.13	35784247	244948624.00
2003/11/10	-0.16	-0.13	-0.19	-0.15	23034872	154220784.00
2003/11/11	-0.15	-0.14	-0.18	-0.16	15175478	101667544.00
2003/11/12	-0.17	-0.17	-0.27	-0.26	30452082	197250192.00
2003/11/13	-0.27	-0.25	-0.28	-0.26	16544438	105910424.00
2003/11/14	-0.24	-0.20	-0.24	-0.23	17675293	115514424.00
2003/11/17	-0.23	-0.23	-0.26	-0.26	8777568	56634184.00
2003/11/18	-0.26	-0.26	-0.30	-0.29	12792903	81284960.00
2003/11/19	-0.30	-0.24	-0.31	-0.25	17037352	109008168.00
2003/11/20	-0.26	-0.18	-0.27	-0.20	30762916	201472768.00
2003/11/21	-0.20	-0.15	-0.24	-0.24	28199775	186256832.00
2003/11/24	-0.25	-0.16	-0.26	-0.17	25572575	169179792.00
2003/11/25	-0.15	-0.08	-0.18	-0.14	54981053	375339104.00
2003/11/26	-0.14	-0.11	-0.17	-0.14	21409993	144842256.00
2003/11/27	-0.14	-0.12	-0.20	-0.20	19396734	129575376.00
2003/11/28	-0.20	-0.17	-0.20	-0.19	10063760	66770388.00
2003/12/01	-0.19	-0.10	-0.19	-0.13	27149221	184259936.00
2003/12/02	-0.11	-0.10	-0.16	-0.15	18472346	125102320.00
2003/12/03	-0.15	-0.09	-0.18	-0.14	29883043	202512320.00
2003/12/04	-0.14	-0.05	-0.14	-0.08	58898452	408553568.00
2003/12/05	-0.07	-0.06	-0.10	-0.08	23197561	161236560.00
2003/12/08	-0.08	-0.06	-0.12	-0.12	16622920	114862344.00
2003/12/09	-0.12	-0.11	-0.16	-0.13	16251955	110160568.00
2003/12/10	-0.06	0.00	-0.10	-0.08	49317778	345163872.00
