600019 宝钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/12/12	-0.52	1.44	-0.58	0.40	312239700	1818469760.00
2000/12/13	0.17	0.28	0.07	0.08	96102000	554640640.00
2000/12/14	0.06	0.08	-0.07	-0.01	47045700	261534160.00
2000/12/15	-0.01	0.04	-0.06	-0.05	16202200	90166640.00
2000/12/18	-0.05	-0.04	-0.26	-0.21	23154900	123828272.00
2000/12/19	-0.21	-0.12	-0.22	-0.20	11773900	63241080.00
2000/12/20	-0.20	-0.19	-0.27	-0.25	14936600	78994672.00
2000/12/21	-0.24	-0.13	-0.26	-0.19	13957900	74357136.00
2000/12/22	-0.19	-0.12	-0.20	-0.17	10208400	54985128.00
2000/12/25	-0.16	-0.12	-0.16	-0.16	10286100	55703040.00
2000/12/26	-0.16	-0.14	-0.24	-0.22	9146500	48731828.00
2000/12/27	-0.21	-0.18	-0.24	-0.21	5563100	29663142.00
2000/12/28	-0.21	-0.15	-0.24	-0.17	9737300	51996844.00
2000/12/29	-0.16	-0.13	-0.17	-0.14	6507700	35241328.00
2001/01/02	-0.12	0.00	-0.12	0.00	14936800	82921312.00
2001/01/03	0.00	0.16	0.00	0.10	22813200	129938032.00
2001/01/04	0.10	0.11	0.00	0.01	13037400	73829328.00
2001/01/05	0.01	0.01	-0.03	-0.01	7416900	41325808.00
2001/01/08	-0.01	0.21	-0.04	0.17	21305500	121900856.00
2001/01/09	0.17	0.23	0.12	0.16	16940400	98473936.00
2001/01/10	0.16	0.22	0.16	0.17	12634000	73725992.00
2001/01/11	0.17	0.22	0.12	0.20	16139700	94064312.00
2001/01/12	0.21	0.37	0.21	0.34	30834200	184560848.00
2001/01/15	0.37	0.39	0.17	0.20	22659300	135536608.00
2001/01/16	0.14	0.53	0.12	0.49	33215100	201993888.00
2001/01/17	0.51	0.55	0.42	0.49	19864200	123491448.00
2001/01/18	0.49	0.69	0.49	0.65	31558100	201448736.00
2001/01/19	0.69	0.73	0.64	0.69	32646400	210730688.00
2001/02/05	0.69	0.73	0.47	0.49	23212500	146457312.00
2001/02/06	0.47	0.69	0.33	0.65	21869700	135194368.00
2001/02/07	0.65	0.70	0.56	0.59	13958400	89228264.00
2001/02/08	0.57	0.63	0.42	0.46	10594100	65978592.00
2001/02/09	0.46	0.57	0.39	0.48	10897000	67287680.00
2001/02/12	0.48	0.53	0.37	0.49	7076300	43533444.00
2001/02/13	0.49	0.55	0.47	0.53	6589300	40988336.00
2001/02/14	0.52	0.52	0.43	0.46	4401100	27220078.00
2001/02/15	0.46	0.51	0.40	0.42	5212500	31990820.00
2001/02/16	0.41	0.42	0.37	0.42	6867100	41831424.00
2001/02/19	0.43	0.48	0.38	0.47	4680200	28654398.00
2001/02/20	0.46	0.52	0.42	0.48	5368800	33204318.00
2001/02/21	0.46	0.46	0.37	0.39	7293400	44396680.00
2001/02/22	0.37	0.42	0.34	0.39	3736800	22705294.00
2001/02/23	0.39	0.55	0.37	0.53	8953600	55408948.00
2001/02/26	0.51	0.54	0.42	0.45	14518300	89715744.00
2001/02/27	0.41	0.42	0.25	0.28	33415000	199896752.00
2001/03/01	0.31	0.31	-0.20	-0.05	375817900	2050733056.00
2001/03/02	-0.08	0.04	-0.11	0.02	115400600	644475840.00
2001/03/05	0.03	0.05	-0.03	0.00	36705400	205314352.00
2001/03/06	0.00	0.01	-0.03	0.01	24376500	136396752.00
2001/03/07	0.01	0.01	-0.01	0.00	22946100	128380088.00
2001/03/08	0.00	0.00	-0.07	-0.03	31134700	172397184.00
2001/03/09	-0.03	-0.03	-0.10	-0.08	44409600	244237472.00
2001/03/12	-0.08	-0.03	-0.11	-0.06	20664100	113661384.00
2001/03/13	-0.05	-0.03	-0.09	-0.06	10990700	60611292.00
2001/03/14	-0.07	-0.01	-0.07	-0.02	11478200	63727904.00
2001/03/15	-0.03	0.03	-0.03	-0.01	15846500	88494240.00
2001/03/16	-0.01	0.00	-0.04	-0.03	12195500	67801752.00
2001/03/19	-0.03	-0.03	-0.08	-0.04	14436800	79572792.00
2001/03/20	-0.04	-0.02	-0.07	-0.06	16533600	91394952.00
2001/03/21	-0.06	0.03	-0.06	0.02	35628400	199041680.00
2001/03/22	0.04	0.20	0.03	0.16	77081600	445346560.00
2001/03/23	0.17	0.19	0.05	0.06	36374000	208826128.00
2001/03/26	0.05	0.12	0.04	0.10	23440300	133626208.00
2001/03/27	0.10	0.12	0.05	0.07	17943100	102150912.00
2001/03/28	0.07	0.08	0.04	0.05	17267100	97955528.00
2001/03/29	0.00	0.05	0.00	0.03	20792300	117183152.00
2001/03/30	0.03	0.09	0.03	0.08	14674700	83371008.00
2001/04/02	0.09	0.10	0.06	0.09	13829300	78797088.00
2001/04/03	0.09	0.10	0.06	0.08	11698300	66629740.00
2001/04/04	0.08	0.17	0.06	0.07	29237300	167569264.00
2001/04/05	0.06	0.13	0.05	0.12	11847300	67684800.00
2001/04/06	0.13	0.15	0.07	0.09	8826100	50558216.00
2001/04/09	0.09	0.10	0.05	0.08	9416500	53560648.00
2001/04/10	0.08	0.10	0.06	0.09	8158200	46492648.00
2001/04/11	0.09	0.10	0.03	0.05	16358400	92686408.00
2001/04/12	0.05	0.05	0.00	0.01	23737200	133462264.00
2001/04/13	0.01	0.03	-0.02	0.02	12266600	68778328.00
2001/04/16	0.02	0.03	0.00	0.01	13586200	76157552.00
2001/04/17	0.01	0.02	0.00	0.01	16153400	90533856.00
2001/04/18	0.01	0.01	-0.02	-0.01	16606400	92807496.00
2001/04/19	0.00	0.01	-0.03	-0.02	13658100	76189368.00
2001/04/20	-0.02	-0.02	-0.06	-0.06	19524000	108054216.00
2001/04/23	-0.06	-0.06	-0.12	-0.11	28270600	154612784.00
2001/04/24	-0.11	-0.06	-0.12	-0.07	12555700	68869880.00
2001/04/25	-0.07	-0.05	-0.18	-0.15	25143600	136508192.00
2001/04/26	-0.16	-0.13	-0.17	-0.16	10765600	58178636.00
2001/04/27	-0.16	-0.04	-0.16	-0.07	15267600	83475760.00
2001/05/08	-0.05	-0.03	-0.12	-0.10	4476500	24547260.00
2001/05/09	-0.10	-0.08	-0.16	-0.14	8338600	45189064.00
2001/05/10	-0.14	-0.13	-0.16	-0.15	7350400	39756776.00
2001/05/11	-0.15	-0.13	-0.16	-0.14	5543600	29981660.00
2001/05/14	-0.14	-0.12	-0.17	-0.14	13682300	73938032.00
2001/05/15	-0.12	0.03	-0.12	-0.02	26154800	145781056.00
2001/05/16	0.00	0.01	-0.07	-0.04	9961200	55374528.00
2001/05/17	-0.03	-0.02	-0.10	-0.08	11426300	62771192.00
2001/05/18	-0.07	-0.07	-0.12	-0.09	8295100	45409024.00
2001/05/21	-0.07	0.01	-0.09	-0.04	12725800	70685192.00
2001/05/22	-0.03	-0.01	-0.07	-0.07	4849700	26801184.00
2001/05/23	-0.07	-0.07	-0.16	-0.12	9188500	50016332.00
2001/05/24	-0.13	-0.12	-0.16	-0.13	14468900	78305984.00
